Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,78.6,78.99,77.17,77.95,62.12,4275326
2019-05-08,77.95,78.89,77.32,77.99,62.15,3820744
2019-05-09,77.51,78.13,76.73,77.91,62.09,3792357
2019-05-10,77.45,77.73,75.62,77.45,61.72,4731823
2019-05-13,76.3,77.3,76.17,76.87,61.26,3858417
2019-05-14,77.16,79.36,77.0,78.44,62.51,6365499
2019-05-15,78.51,79.15,77.48,78.78,62.78,4795684
2019-05-16,78.98,80.75,78.71,79.5,63.36,5404737
2019-05-17,78.53,80.08,78.02,79.46,63.33,4756826
2019-05-20,79.02,80.39,78.91,79.82,63.61,4395510
2019-05-21,80.33,81.5,80.32,80.88,64.46,4841857
2019-05-22,80.51,81.75,79.88,81.59,65.02,4219477
2019-05-23,80.39,81.63,80.32,81.15,64.67,3299440
2019-05-24,81.09,81.1,79.87,80.06,63.8,3872999
2019-05-28,80.0,80.1,77.92,78.03,62.19,6557817
2019-05-29,77.57,78.28,77.1,78.06,62.21,4182232
2019-05-30,78.52,78.59,77.13,77.61,61.85,3533061
2019-05-31,77.31,77.57,76.4,76.71,61.13,4003268
2019-06-03,76.63,76.84,73.81,75.7,60.33,8434438
2019-06-04,76.14,77.44,75.9,76.75,61.17,6447201
2019-06-05,77.41,78.17,76.66,77.06,61.41,3804787
2019-06-06,77.16,77.72,76.86,77.07,61.42,4032814
2019-06-07,77.49,78.38,77.08,77.43,61.71,4829110
2019-06-10,77.46,77.75,76.6,76.95,61.32,3969351
2019-06-11,77.49,78.9,77.49,78.17,62.3,4210211
2019-06-12,78.25,79.25,78.18,78.57,62.62,4165677
2019-06-13,78.93,79.2,78.3,78.95,62.92,2925049
2019-06-14,78.95,79.34,78.21,78.69,62.71,4075868
2019-06-17,78.4,79.05,78.4,78.65,62.68,3083163
2019-06-18,78.88,79.2,77.01,78.25,62.36,5433470
2019-06-19,78.4,78.48,77.29,77.61,61.85,6147281
2019-06-20,78.24,79.17,78.08,78.34,62.43,5346960
2019-06-21,78.15,79.08,76.43,78.78,62.78,10516967
2019-06-24,78.41,79.31,77.85,78.45,62.52,5182709
2019-06-25,70.47,70.67,65.06,65.7,52.36,90131820
2019-06-26,67.24,68.41,66.8,68.0,54.19,42093838
2019-06-27,68.16,70.6,68.1,70.0,55.79,22129152
2019-06-28,70.58,72.74,70.33,72.72,57.95,21381518
2019-07-01,73.5,73.85,72.28,73.4,58.5,18105496
2019-07-02,73.2,74.25,72.32,74.23,59.16,12864835
2019-07-03,74.35,74.97,73.78,74.96,59.74,7434087
2019-07-05,74.65,74.79,72.61,72.99,58.17,10854945
2019-07-08,72.52,73.0,70.88,71.22,56.76,13487378
2019-07-09,71.18,72.45,70.89,71.24,56.77,11832511
2019-07-10,71.58,71.74,70.96,71.65,57.1,9170420
2019-07-11,72.3,72.4,69.85,71.24,56.77,13001022
2019-07-12,70.3,70.3,68.54,70.28,56.86,12903111
2019-07-15,70.31,71.02,69.7,70.27,56.86,10253429
2019-07-16,70.15,70.3,69.13,69.16,55.96,10141634
2019-07-17,69.33,69.86,68.31,68.32,55.28,12205006
2019-07-18,68.57,68.95,68.0,68.25,55.22,8573306
2019-07-19,68.14,68.82,68.1,68.54,55.46,9806852
2019-07-22,68.5,68.75,67.84,68.0,55.02,9962079
2019-07-23,68.0,68.44,67.6,67.73,54.8,8025288
2019-07-24,67.77,67.89,66.76,67.46,54.58,12595252
2019-07-25,67.46,67.87,66.5,66.66,53.93,12403526
2019-07-26,67.64,69.14,67.37,67.76,54.82,12259324
2019-07-29,67.87,68.41,66.88,67.18,54.36,10117256
2019-07-30,66.92,67.53,66.26,67.18,54.36,8143672
2019-07-31,66.91,67.38,65.63,66.62,53.9,11299984
2019-08-01,66.93,67.2,65.11,65.8,53.24,13106724
2019-08-02,65.5,65.79,65.03,65.35,52.87,9653852
2019-08-05,64.98,66.12,64.54,65.23,52.78,11618789
2019-08-06,65.27,65.84,64.29,64.77,52.41,10248732
2019-08-07,64.38,64.9,63.31,64.46,52.15,10532126
2019-08-08,64.79,65.45,64.33,65.45,52.96,7427587
2019-08-09,65.37,66.87,64.29,65.58,53.06,10893502
2019-08-12,65.24,65.48,64.08,64.53,52.21,6122091
2019-08-13,64.86,65.93,64.64,65.01,52.6,7215089
2019-08-14,64.5,64.99,63.5,63.5,51.38,9373304
2019-08-15,64.12,64.24,62.66,62.98,50.96,9195726
2019-08-16,63.51,64.81,63.07,64.43,52.13,8348143
