Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,75.66,76.48,74.88,76.42,70.2,3736727
2019-05-10,76.21,76.66,74.54,76.45,70.22,3993531
2019-05-13,75.17,75.79,74.96,75.5,69.35,5166977
2019-05-14,75.64,76.77,75.63,76.03,69.84,5319291
2019-05-15,75.5,77.02,75.22,76.51,70.28,4385516
2019-05-16,76.52,77.37,76.17,76.6,70.36,6098066
2019-05-17,76.29,77.21,75.96,75.97,69.78,5169349
2019-05-20,75.6,75.96,75.2,75.77,69.6,4493099
2019-05-21,76.56,76.82,76.02,76.03,69.84,3819675
2019-05-22,76.14,76.59,75.85,76.26,70.05,3062654
2019-05-23,76.14,76.14,75.32,75.63,69.47,5506958
2019-05-24,76.02,77.08,75.96,76.98,70.71,4866347
2019-05-28,77.03,77.98,75.68,75.71,69.55,5418558
2019-05-29,75.37,75.97,74.94,75.67,69.51,4013124
2019-05-30,76.01,76.59,75.87,76.52,70.29,3600295
2019-05-31,75.97,76.52,75.6,76.13,69.93,6571012
2019-06-03,76.25,76.79,75.44,75.71,69.55,6286485
2019-06-04,76.25,77.61,76.16,77.46,71.15,5836169
2019-06-05,77.84,78.85,77.83,78.69,72.28,5286485
2019-06-06,78.85,80.43,78.64,80.09,73.57,5966650
2019-06-07,80.49,81.16,80.3,80.74,74.17,5136407
2019-06-10,81.0,81.5,80.44,81.27,74.65,3927050
2019-06-11,81.79,82.0,80.63,81.12,74.51,3905452
2019-06-12,81.29,81.97,81.26,81.95,75.28,3332562
2019-06-13,81.98,82.33,81.75,82.29,75.59,5220434
2019-06-14,82.17,82.86,82.02,82.22,75.52,4771105
2019-06-17,82.39,82.58,81.67,82.05,75.37,4095932
2019-06-18,82.45,83.59,81.92,83.42,76.63,6252980
2019-06-19,83.4,84.5,83.05,84.33,77.46,4113451
2019-06-20,84.84,85.32,84.32,84.94,78.02,6436372
2019-06-21,85.36,85.36,84.41,85.0,78.08,8855471
2019-06-24,84.78,85.33,84.64,84.71,77.81,4531625
2019-06-25,84.94,85.45,84.24,84.24,77.38,4915464
2019-06-26,84.05,84.37,82.63,82.96,76.2,5731370
2019-06-27,83.39,83.98,83.07,83.69,76.88,4111620
2019-06-28,83.82,84.26,83.12,84.1,77.25,16436946
2019-07-01,84.74,84.98,83.75,84.49,77.61,4533799
2019-07-02,84.75,84.96,84.15,84.95,78.03,4023290
2019-07-03,85.05,85.65,84.92,85.64,78.67,2437460
2019-07-05,85.16,85.5,84.64,85.42,78.46,3784656
2019-07-08,85.28,85.28,84.69,85.09,78.16,3591105
2019-07-09,84.96,85.37,84.82,85.27,78.33,3126024
2019-07-10,85.68,85.88,85.15,85.38,78.43,4315910
2019-07-11,85.65,85.99,85.19,85.77,78.79,3653628
2019-07-12,85.28,85.44,83.06,83.92,77.38,5667227
2019-07-15,83.81,84.24,83.41,83.81,77.27,5177684
2019-07-16,84.11,84.24,82.9,83.16,76.67,3886747
2019-07-17,85.89,86.75,85.43,85.76,79.07,9381371
2019-07-18,86.24,87.84,85.32,87.76,80.92,8311763
2019-07-19,88.29,88.33,87.45,87.49,80.67,5824075
2019-07-22,87.36,88.71,87.27,88.07,81.2,6566074
2019-07-23,88.1,88.76,87.53,88.74,81.82,4049242
2019-07-24,88.45,88.69,87.59,88.59,81.68,3879139
2019-07-25,88.27,88.47,87.74,88.0,81.14,4671289
2019-07-26,88.35,88.62,87.3,87.75,80.91,4177672
2019-07-29,88.06,88.62,87.38,88.55,81.64,3623930
2019-07-30,88.18,88.73,87.85,88.31,81.42,2864651
2019-07-31,88.18,88.4,86.37,87.1,80.31,6197159
2019-08-01,87.18,88.06,85.64,86.08,79.37,7022041
2019-08-02,85.95,86.2,84.74,85.82,79.13,4756375
2019-08-05,84.73,84.88,82.42,83.16,76.67,6253772
2019-08-06,83.81,84.89,83.68,84.86,78.24,4422511
2019-08-07,83.8,85.0,82.31,84.6,78.0,5502629
2019-08-08,85.11,86.27,85.01,85.56,78.89,6439311
2019-08-09,85.63,87.05,85.43,86.62,79.86,5102717
2019-08-12,86.39,86.51,84.33,84.66,78.06,3977443
2019-08-13,85.32,87.1,84.98,86.89,80.11,4892696
2019-08-14,85.88,86.31,83.91,83.94,77.39,4106212
2019-08-15,84.16,84.73,83.52,83.94,77.39,4952562
2019-08-16,84.74,85.08,84.27,84.78,78.17,5786292
