Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,278.82,280.65,273.67,277.07,277.070007,2567977
2019-05-08,275.83,278.37,274.16,276.77,276.769989,2611043
2019-05-09,274.16,277.12,270.7975,275.79,275.790009,1867193
2019-05-10,273.58,279.5,270.32,278.48,278.480011,2097736
2019-05-13,270.565,274.19,267.22,267.7,267.700012,2698322
2019-05-14,269.43,274.23,269.29,271.86,271.859985,2046551
2019-05-15,269.82,276.95,269.5,276.82,276.820007,2708559
2019-05-16,278.63,285.87,278.4,283.55,283.549988,3413063
2019-05-17,281.68,284.412,279.069,279.85,279.850006,2223523
2019-05-20,276.1,277.89,273.4,275.45,275.450012,2391950
2019-05-21,278.21,280.0,277.045,278.07,278.070007,1793665
2019-05-22,277.42,282.74,277.255,281.82,281.820007,1570628
2019-05-23,278.29,278.43,271.69,274.25,274.25,2706419
2019-05-24,273.54,277.475,273.54,274.77,274.769989,1878339
2019-05-28,276.49,281.45,275.37,278.25,278.25,2475891
2019-05-29,275.29,276.8025,272.28,273.38,273.380005,1805982
2019-05-30,274.43,275.09,272.43,274.51,274.51001,1600106
2019-05-31,271.28,272.91,268.75,270.9,270.899994,2526653
2019-06-03,270.51,272.81,257.53,259.03,259.029999,3903421
2019-06-04,263.27,268.93,257.46,268.71,268.709991,3750815
2019-06-05,272.78,273.21,268.39,272.86,272.859985,2650396
2019-06-06,273.72,275.76,271.045,274.8,274.799988,2211787
2019-06-07,275.87,282.37,275.51,278.16,278.160004,2759013
2019-06-10,280.98,284.98,280.2,280.34,280.339996,2487726
2019-06-11,283.91,284.89,272.0301,275.99,275.98999,2969720
2019-06-12,276.13,277.555,274.575,276.84,276.839996,1313852
2019-06-13,278.59,278.96,275.915,276.3,276.299988,1696743
2019-06-14,275.91,277.1,274.0,274.28,274.279999,2262838
2019-06-17,274.63,277.47,274.63,275.6,275.600006,2254229
2019-06-18,280.37,280.4908,276.62,276.78,276.779999,4529340
2019-06-19,287.0,292.0,284.34,291.21,291.209991,9738584
2019-06-20,293.25,302.66,293.25,302.11,302.109985,5632525
2019-06-21,301.46,304.0,299.09,299.33,299.329987,4015546
2019-06-24,300.0,302.58,298.685,299.87,299.869995,2869223
2019-06-25,299.21,300.645,287.0,287.97,287.970001,4638470
2019-06-26,291.26,292.76,288.7,288.72,288.720001,2896763
2019-06-27,290.04,294.67,290.04,293.23,293.230011,2596919
2019-06-28,294.5,295.1,291.95,294.65,294.649994,2648300
2019-07-01,299.55,301.9,297.66,300.97,300.970001,2624198
2019-07-02,301.19,301.58,299.3598,301.39,301.390015,1816885
2019-07-03,302.0,305.86,301.29,305.7,305.700012,1585273
2019-07-05,304.01,305.24,298.93,303.98,303.980011,2872770
2019-07-08,302.76,303.11,300.13,302.92,302.920013,1909180
2019-07-09,300.56,305.13,300.2201,304.2,304.200012,1644254
2019-07-10,305.1,309.32,305.1,306.98,306.980011,1954088
2019-07-11,307.39,310.1709,305.9,307.6,307.600006,1951519
2019-07-12,308.01,309.7,304.965,309.42,309.420013,1624840
2019-07-15,310.0,310.455,307.72,308.76,308.76001,1161681
2019-07-16,308.0,308.46,305.0711,305.7,305.700012,1838747
2019-07-17,307.13,310.9566,306.75,309.39,309.390015,2298481
2019-07-18,307.21,310.92,306.85,310.08,310.079987,1597673
2019-07-19,311.56,313.11,305.265,306.87,306.869995,2100253
