Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,94.68,95.09,93.98,94.39,83.32,2007672
2019-05-10,94.01,96.51,93.95,96.38,85.08,1883855
2019-05-13,95.22,95.34,93.54,94.08,83.05,1350154
2019-05-14,93.95,95.73,93.93,94.74,83.63,2301524
2019-05-15,94.43,96.09,94.43,95.49,84.3,1851093
2019-05-16,95.6,96.74,95.5,95.87,84.63,1950653
2019-05-17,95.02,96.28,95.02,95.64,84.43,1416338
2019-05-20,95.53,96.48,95.44,95.94,84.69,1236798
2019-05-21,96.4,97.0,95.81,96.91,85.55,1865319
2019-05-22,96.69,97.35,96.09,97.09,85.71,1876152
2019-05-23,96.49,96.5,95.46,95.98,84.73,1316228
2019-05-24,96.23,96.5,95.77,96.37,85.07,1049579
2019-05-28,96.32,96.89,95.02,95.09,83.94,1894650
2019-05-29,95.9,96.38,95.26,96.23,84.95,1828728
2019-05-30,96.08,96.4,95.43,95.89,85.09,1395792
2019-05-31,94.93,95.74,94.82,95.51,84.75,1403110
2019-06-03,95.33,96.96,95.27,96.77,85.87,2059832
2019-06-04,97.6,98.06,97.14,97.88,86.86,1747279
2019-06-05,97.91,99.5,97.81,99.33,88.14,2047152
2019-06-06,99.42,99.67,98.95,99.5,88.29,1771551
2019-06-07,99.58,101.12,99.53,100.72,89.38,2270322
2019-06-10,101.02,101.26,100.54,100.79,89.44,1583567
2019-06-11,101.05,101.37,99.73,100.43,89.12,1488066
2019-06-12,100.55,101.16,100.33,100.61,89.28,1127701
2019-06-13,100.69,101.25,100.37,101.1,89.71,1881236
2019-06-14,101.18,102.48,101.16,102.14,90.64,1019410
2019-06-17,102.25,102.3,101.05,101.28,89.87,1294980
2019-06-18,101.3,102.05,101.07,101.87,90.4,1467333
2019-06-19,102.05,103.03,102.05,102.76,91.19,2555342
2019-06-20,102.99,103.99,102.6,103.55,91.89,2870933
2019-06-21,103.33,103.49,100.93,101.21,89.81,2704717
2019-06-24,101.15,102.57,101.11,102.19,90.68,1197518
2019-06-25,102.3,102.44,101.61,101.61,90.17,1890210
2019-06-26,101.62,101.72,99.38,99.49,88.29,1850216
2019-06-27,99.95,100.35,99.58,100.14,88.86,1074875
2019-06-28,100.87,101.74,100.74,101.69,90.24,1756011
2019-07-01,102.98,103.2,101.91,103.15,91.53,1423081
2019-07-02,102.96,103.57,102.6,103.27,91.64,1437117
2019-07-03,103.27,107.43,103.27,104.63,92.85,1090766
2019-07-05,104.63,104.69,103.56,104.49,92.72,1074044
2019-07-08,104.32,104.67,104.03,104.38,92.62,1251612
2019-07-09,104.11,104.8,104.01,104.66,92.87,1321851
2019-07-10,104.61,105.26,103.81,104.26,92.52,1125153
2019-07-11,103.35,103.81,102.29,103.15,91.53,1767333
2019-07-12,103.35,103.93,102.89,103.91,92.21,979387
2019-07-15,104.02,104.39,103.61,104.39,92.63,1263837
2019-07-16,104.52,104.92,104.23,104.85,93.04,1160997
2019-07-17,104.68,104.68,102.46,102.94,91.35,1402200
2019-07-18,102.93,103.38,102.43,103.2,91.58,1205920
2019-07-19,103.33,103.33,101.36,101.41,89.99,1294731
