Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,148.8,152.2,148.2,149.7,148.74,154610
2019-05-08,149.1,149.7,145.7,146.5,145.56,174930
2019-05-09,137.9,139.0,130.2,136.3,135.42,589810
2019-05-10,135.8,139.3,132.9,138.2,137.31,225520
2019-05-13,135.3,137.5,130.6,132.9,132.04,233560
2019-05-14,133.9,136.5,133.6,135.0,134.13,156940
2019-05-15,133.5,137.2,133.1,135.8,134.93,163040
2019-05-16,135.7,136.7,133.3,134.0,133.14,179320
2019-05-17,133.2,135.5,131.1,131.3,130.46,199240
2019-05-20,131.9,132.2,129.0,130.0,129.16,203200
2019-05-21,130.9,133.3,130.3,132.1,131.25,175250
2019-05-22,132.0,133.3,130.3,130.4,129.56,98320
2019-05-23,129.8,130.0,126.8,129.5,128.67,211470
2019-05-24,130.0,130.6,126.5,126.9,126.08,111800
2019-05-28,126.9,128.1,124.5,125.0,124.2,139550
2019-05-29,124.6,125.2,120.1,120.6,119.82,188660
2019-05-30,120.6,123.9,119.1,120.1,119.33,162220
2019-05-31,118.8,121.4,117.1,119.8,119.03,143950
2019-06-03,119.4,120.3,117.6,119.0,118.23,163240
2019-06-04,120.1,120.8,117.5,117.8,117.04,201250
2019-06-05,118.5,118.7,111.3,111.8,111.08,345270
2019-06-06,111.8,112.0,107.0,110.9,110.19,402610
2019-06-07,110.0,112.1,107.2,107.5,107.0,243740
2019-06-10,108.1,110.1,107.9,109.4,108.89,226590
2019-06-11,110.0,111.8,109.7,110.4,109.89,151430
2019-06-12,110.5,111.5,106.5,106.9,106.4,166510
2019-06-13,107.5,109.7,106.3,109.5,108.99,318450
2019-06-14,109.3,110.2,108.3,109.6,109.09,151020
2019-06-17,109.8,113.0,108.8,111.8,111.28,123870
2019-06-18,112.7,114.2,111.9,114.1,113.57,186710
2019-06-19,115.0,116.8,113.4,115.3,114.77,152860
2019-06-20,115.8,115.9,108.8,109.3,108.79,273320
2019-06-21,108.8,108.8,103.1,106.0,105.51,303980
2019-06-24,106.4,106.6,99.7,100.1,99.64,290900
2019-06-25,100.1,100.3,94.2,94.8,94.36,366300
2019-06-26,95.3,97.0,93.1,94.5,94.06,292530
2019-06-27,94.5,95.4,93.5,94.9,94.46,202950
2019-06-28,94.6,95.2,92.8,93.3,92.87,254380
