Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,27.2,27.35,26.21,26.66,26.66,75868821
2019-05-08,26.41,27.71,26.27,27.09,27.09,65967544
2019-05-09,26.7,27.38,26.03,27.21,27.209999,73068883
2019-05-10,27.03,28.1,26.93,27.96,27.959999,82930144
2019-05-13,26.98,27.23,26.1,26.24,26.24,99017893
2019-05-14,26.53,27.48,26.15,27.32,27.32,82980397
2019-05-15,26.87,27.79,26.73,27.58,27.58,55689874
2019-05-16,27.37,28.37,27.2699,28.01,28.01,67330064
2019-05-17,27.69,28.46,27.4,27.5,27.5,65385351
2019-05-20,26.98,27.24,26.49,26.68,26.68,69757402
2019-05-21,27.18,27.37,26.93,27.35,27.35,46079177
2019-05-22,27.12,27.59,27.07,27.41,27.41,40035288
2019-05-23,26.99,27.1,26.03,26.36,26.360001,67646353
2019-05-24,26.61,26.925,26.4,26.44,26.440001,39835788
2019-05-28,27.27,29.67,27.06,29.03,29.049999,146949629
2019-05-29,29.0,29.32,27.73,28.09,28.09,99969597
2019-05-30,28.4,28.56,27.6,28.03,28.030001,65289093
2019-05-31,27.57,28.36,27.4,27.41,27.41,68667809
2019-06-03,28.75,29.62,27.29,27.58,27.58,147532180
2019-06-04,28.39,29.59,27.91,29.57,29.57,107549523
2019-06-05,29.93,29.99,29.03,29.5,29.5,79481540
2019-06-06,29.87,31.98,29.84,31.82,31.82,131267796
2019-06-07,31.94,32.6,31.57,32.41,32.41,86841098
2019-06-10,33.53,34.3,33.08,33.23,33.23,97668791
2019-06-11,33.43,33.49,31.82,32.41,32.41,82834914
2019-06-12,32.0,32.57,31.92,32.18,32.18,56298671
2019-06-13,32.39,32.5,31.06,31.39,31.389999,63555986
2019-06-14,30.7,30.96,30.02,30.36,30.360001,70373015
2019-06-17,30.25,30.45,29.18,29.2,29.200001,70791743
2019-06-18,29.76,30.97,29.58,30.45,30.450001,86444542
2019-06-19,30.665,30.79,30.06,30.5,30.5,63233939
2019-06-20,31.24,31.36,29.84,30.01,30.01,72418162
2019-06-21,29.65,30.35,28.97,29.1,29.1,81861322
2019-06-24,29.32,29.4,28.67,29.26,29.26,55724826
2019-06-25,29.26,29.72,28.8,28.86,28.860001,53680887
2019-06-26,29.98,30.48,29.78,29.92,29.92,65064199
2019-06-27,30.41,30.96,30.21,30.74,30.74,55623309
2019-06-28,31.08,31.11,30.33,30.37,30.370001,50090925
2019-07-01,31.79,32.04,30.87,31.2,31.200001,60525532
2019-07-02,30.96,31.26,30.73,31.24,31.24,37721679
2019-07-03,31.13,31.33,30.74,31.19,31.190001,23462004
2019-07-05,30.88,31.56,30.75,31.5,31.5,34011867
2019-07-08,31.8,32.15,31.26,32.04,32.040001,49689399
2019-07-09,31.76,33.18,31.71,33.15,33.150002,61419773
2019-07-10,33.56,34.03,33.36,33.79,33.790001,60388439
2019-07-11,33.91,34.0,32.76,33.06,33.060001,63081800
2019-07-12,32.76,33.39,32.59,33.21,33.209999,51509682
2019-07-15,33.34,34.55,33.27,34.39,34.389999,65565248
2019-07-16,34.3,34.86,33.8,33.85,33.849998,66912699
2019-07-17,34.01,34.3,33.49,33.6,33.599998,42557903
2019-07-18,33.03,33.46,32.42,33.0,33.0,58610857
2019-07-19,33.08,33.35,32.45,32.51,32.509998,44617702
2019-07-22,32.8,33.31,32.735,32.85,32.849998,37277312
2019-07-23,33.17,33.5,32.93,33.49,33.490002,38532460
2019-07-24,33.64,34.36,33.45,34.11,34.110001,41952256
2019-07-25,34.05,34.25,33.62,33.67,33.669998,36635416
2019-07-26,34.23,34.77,33.865,34.02,34.02,43502776
2019-07-29,34.14,34.18,32.98,33.48,33.48,45921978
2019-07-30,33.21,33.94,32.94,33.87,33.869999,72198880
2019-07-31,32.08,32.3,30.3,30.45,30.450001,119190001
2019-08-01,30.5,31.48,29.1,29.86,29.860001,80878890
2019-08-02,29.48,29.7301,28.94,29.44,29.440001,60410852
2019-08-05,28.26,28.49,27.65,27.99,27.99,74333240
2019-08-06,28.86,29.05,28.2,28.86,28.860001,60437644
2019-08-07,28.47,29.28,28.37,29.19,29.190001,58577543
2019-08-08,31.53,34.27,31.48,33.92,33.919998,167278810
2019-08-09,33.45,35.55,33.08,34.19,34.189999,132393947
2019-08-12,34.16,34.65,32.08,32.43,32.43,106936040
2019-08-13,32.36,33.14,31.72,32.11,32.110001,102579321
2019-08-14,31.0,31.05,29.51,30.24,30.24,127521456
2019-08-15,30.63,30.73,29.21,29.67,29.67,72606817
2019-08-16,30.305,31.48,30.21,31.18,31.18,71588978
2019-08-19,32.0,32.19,31.42,31.48,31.48,67781613
2019-08-20,30.94,31.305,30.45,30.72,30.719999,48016381
2019-08-21,31.05,31.74,30.84,31.7,31.700001,41635046
2019-08-22,31.76,31.92,30.98,31.9,31.9,47742174
2019-08-23,31.3,31.83,29.4,29.54,29.540001,83931683
2019-08-26,30.34,30.72,29.94,30.28,30.280001,50858859
2019-08-27,30.6,30.89,29.6,30.2,30.200001,53351711
2019-08-28,29.92,31.1801,29.7,30.78,30.780001,55896445
2019-08-29,31.47,31.83,31.33,31.45,31.450001,44485479
2019-08-30,31.6,31.865,31.13,31.45,31.450001,40347321
2019-09-03,30.83,31.14,30.68,30.9,30.9,38080254
2019-09-04,31.32,31.83,30.85,30.95,30.950001,46709780
2019-09-05,31.79,32.05,31.12,31.5,31.5,57932080
2019-09-06,31.5,31.51,30.48,30.56,30.559999,51672982
2019-09-09,30.93,31.1752,30.24,30.5,30.5,54413163
2019-09-10,30.22,30.38,29.77,30.23,30.23,48604766
2019-09-11,30.38,30.43,29.51,29.76,29.76,50631683
2019-09-12,30.08,30.84,29.95,30.21,30.209999,53618344
2019-09-13,30.27,30.85,29.95,30.69,30.690001,47758753
2019-09-16,30.37,31.15,30.26,30.83,30.83,52248540
2019-09-17,31.07,31.32,30.74,30.99,30.99,35125750
2019-09-18,30.75,30.893,29.88,30.42,30.42,47277309
2019-09-19,30.57,30.96,30.14,30.29,30.290001,41930831
2019-09-20,30.36,30.47,29.65,30.05,30.049999,83555555
2019-09-23,30.12,30.8,30.07,30.64,30.639999,45185837
2019-09-24,30.54,30.75,29.29,29.52,29.52,73220942
2019-09-25,29.48,29.65,28.5501,29.54,29.540001,58691579
2019-09-26,29.67,29.77,29.0,29.47,29.469999,41182228
2019-09-27,29.17,29.77,28.35,28.72,28.719999,54144672
2019-09-30,28.89,29.05,28.36,28.99,28.99,40332052
2019-10-01,29.05,29.54,28.64,28.76,28.76,37366072
2019-10-02,28.5,28.85,28.03,28.31,28.309999,44048752
2019-10-03,28.28,28.778,27.43,28.68,28.68,56905408
2019-10-04,28.83,29.06,28.57,29.01,29.01,34609211
2019-10-07,28.9,29.63,28.8431,28.93,28.93,39745268
2019-10-08,28.55,28.64,27.92,28.23,28.23,44432078
2019-10-09,28.8,28.95,28.35,28.46,28.459999,36321583
2019-10-10,28.52,28.89,28.0,28.38,28.379999,41171995
2019-10-11,28.83,30.2,28.81,29.75,29.75,66632445
2019-10-14,29.71,30.61,29.38,30.53,30.530001,44818233
2019-10-15,30.7,30.92,30.17,30.72,30.719999,42142385
2019-10-16,30.6,31.41,30.53,30.81,30.809999,43064255
2019-10-17,31.3,31.4,30.86,31.14,31.139999,37010205
2019-10-18,31.06,31.33,30.29,30.97,30.969999,39711244
2019-10-21,31.5,32.26,31.41,32.03,32.029999,52648067
2019-10-22,32.06,32.15,31.5,31.51,31.51,36860307
2019-10-23,31.09,31.65,30.83,31.36,31.360001,26858110
2019-10-24,31.58,31.86,31.34,31.72,31.719999,28448977
2019-10-25,31.9,32.86,31.83,32.71,32.709999,45368837
2019-10-28,33.16,33.9103,33.15,33.69,33.689999,51223609
2019-10-29,33.73,33.9,32.7,33.03,33.029999,78700076
2019-10-30,32.93,33.34,32.035,33.13,33.130001,78228769
2019-10-31,32.98,34.34,32.82,33.93,33.93,67881623
2019-11-01,34.37,35.0,34.1,34.89,34.889999,64238609
2019-11-04,35.19,36.45,34.76,36.29,36.290001,83343783
2019-11-05,36.56,37.18,35.98,36.15,36.150002,84848638
2019-11-06,36.06,36.48,35.52,35.93,35.93,51675119
2019-11-07,36.52,36.99,36.03,36.28,36.279999,54350178
2019-11-08,36.06,36.58,36.0,36.29,36.290001,39396230
2019-11-11,35.96,36.6648,35.58,36.31,36.310001,43572264
2019-11-12,36.43,37.13,36.4,36.71,36.709999,58664523
2019-11-13,36.65,37.96,36.5779,37.52,37.52,69178093
2019-11-14,37.51,38.5,37.36,38.35,38.349998,65936947
2019-11-15,38.94,39.37,38.34,38.56,38.560001,63020866
2019-11-18,38.65,39.985,38.6,39.88,39.880001,66332767
2019-11-19,40.14,41.79,39.685,41.29,41.290001,94600235
2019-11-20,40.96,41.75,40.07,40.98,40.98,79968318
2019-11-21,40.42,40.7095,38.64,39.52,39.52,88069355
2019-11-22,39.36,39.89,38.19,39.15,39.150002,56931883
2019-11-25,39.5,40.17,39.495,39.79,39.790001,45879404
2019-11-26,39.3,39.48,38.81,38.99,38.990002,43764146
2019-11-27,39.46,39.76,39.07,39.41,39.41,33733792
2019-11-29,39.1,39.515,39.02,39.15,39.150002,17609932
2019-12-02,39.32,39.41,38.44,38.73,38.73,37942678
2019-12-03,37.34,38.93,37.15,38.9,38.900002,52991201
2019-12-04,39.38,39.82,39.13,39.69,39.689999,44348195
2019-12-05,39.95,40.22,39.55,39.62,39.619999,35710943
2019-12-06,40.1,40.19,39.56,39.63,39.630001,31150377
2019-12-09,39.46,39.84,38.91,38.93,38.93,28035391
2019-12-10,39.2,39.73,38.82,39.44,39.439999,33863025
2019-12-11,39.44,39.61,39.04,39.47,39.470001,31794689
2019-12-12,39.4,42.62,39.25,42.59,42.59,87398169
2019-12-13,42.35,42.95,41.06,41.15,41.150002,79985411
2019-12-16,41.73,42.98,41.73,42.35,42.349998,58890776
2019-12-17,42.51,43.105,42.15,42.77,42.77,44935574
2019-12-18,42.79,43.06,42.24,42.3,42.299999,39182983
2019-12-19,42.63,43.34,42.6,42.83,42.830002,45950709
2019-12-20,43.44,44.26,43.26,44.15,44.150002,68216726
2019-12-23,44.58,45.625,44.39,45.46,45.459999,56065288
2019-12-24,46.1,46.61,45.77,46.54,46.540001,44432192
2019-12-26,46.99,47.31,45.66,46.63,46.630001,57712693
2019-12-27,46.85,46.88,45.975,46.18,46.18,36624234
2019-12-30,46.14,46.17,44.66,45.52,45.52,41235735
2019-12-31,45.07,46.09,44.9223,45.86,45.860001,31791204
2020-01-02,46.86,49.25,46.63,49.1,49.099998,80524599
2020-01-03,48.03,49.39,47.54,48.6,48.599998,73362157
