Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,30.29,31.1,30.04,31.06,28.1,3796037
2019-05-10,31.0,31.39,30.24,31.22,28.25,4259273
2019-05-13,30.81,31.15,29.86,30.14,27.27,2916694
2019-05-14,30.16,31.3,30.16,31.01,28.06,2963988
2019-05-15,30.67,31.33,30.45,31.17,28.2,2934755
2019-05-16,31.43,31.65,31.04,31.23,28.25,3023930
2019-05-17,30.87,31.03,30.39,30.41,27.51,2706106
2019-05-20,30.46,30.55,29.72,29.93,27.08,3508331
2019-05-21,29.96,30.88,29.89,30.83,27.89,3024032
2019-05-22,30.59,30.59,29.34,29.49,26.68,3697464
2019-05-23,28.74,28.76,27.49,27.66,25.02,5128253
2019-05-24,27.99,28.44,27.19,27.33,24.73,4125729
2019-05-28,27.48,27.59,26.91,26.91,24.35,4909745
2019-05-29,26.46,26.69,25.75,26.66,24.12,6622453
2019-05-30,26.53,26.71,25.86,26.18,23.69,3831250
2019-05-31,25.68,26.41,25.54,26.07,23.59,4687495
2019-06-03,26.61,27.2,26.4,26.89,24.33,5466549
2019-06-04,27.3,28.46,27.14,28.34,25.64,6135878
2019-06-05,28.34,28.59,27.48,28.04,25.37,5178128
2019-06-06,28.06,28.88,28.06,28.84,26.09,4630752
2019-06-07,28.93,29.45,28.45,28.95,26.19,4068644
2019-06-10,28.89,29.2,28.69,28.88,26.13,3624454
2019-06-11,29.16,29.31,28.69,28.85,26.1,3965314
2019-06-12,28.44,28.54,27.82,28.01,25.34,10080094
2019-06-13,28.63,28.75,27.84,28.36,25.66,3409809
2019-06-14,28.41,28.53,27.35,27.49,24.87,3115075
2019-06-17,27.31,27.93,27.08,27.84,25.19,2166054
2019-06-18,28.05,28.97,28.05,28.64,25.91,4158768
2019-06-19,28.71,28.98,28.24,28.62,25.89,2542073
2019-06-20,29.21,29.7,29.11,29.51,26.7,3466481
2019-06-21,29.62,29.98,29.22,29.64,26.82,5130910
2019-06-24,29.62,29.9,28.99,29.07,26.3,2658069
2019-06-25,28.93,29.18,28.19,28.22,25.53,3739058
2019-06-26,28.96,29.58,28.44,29.03,26.26,3575982
2019-06-27,29.08,29.32,28.55,28.64,25.91,2559237
2019-06-28,28.65,29.13,28.62,28.97,26.21,3426374
2019-07-01,29.68,29.9,28.83,29.2,26.42,3668341
2019-07-02,29.13,29.13,27.34,27.4,24.79,4430758
2019-07-03,27.45,27.46,27.01,27.28,24.68,3235501
2019-07-05,27.11,27.46,26.42,27.18,24.59,8024082
2019-07-08,26.94,27.04,26.41,26.5,23.97,6944274
2019-07-09,26.4,27.0,25.93,26.95,24.38,5498185
