Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,78.31,79.58,78.06,79.43,78.83149,2438158
2019-05-08,79.42,80.84,79.22,79.72,79.119308,1831489
2019-05-09,77.95,78.52,76.14,77.91,77.322945,1869092
2019-05-10,77.3,78.0,75.75,77.23,76.648064,1218923
2019-05-13,75.34,75.4099,72.61,73.31,72.757599,2186730
2019-05-14,73.83,75.23,73.45,74.73,74.166908,1241082
2019-05-15,73.75,75.62,72.69,75.04,74.474571,1646179
2019-05-16,75.31,75.32,73.5,73.71,73.154587,1998590
2019-05-17,73.29,74.61,73.16,73.65,73.095047,1616561
2019-05-20,72.78,73.49,72.33,72.73,72.181969,1322397
2019-05-21,73.25,73.66,72.31,72.38,71.83461,1158963
2019-05-22,71.84,71.92,69.01,69.35,68.827446,2612111
2019-05-23,68.64,68.67,66.92,67.72,67.209724,2801388
2019-05-24,68.4,68.61,67.17,67.81,67.299042,2089858
2019-05-28,68.45,69.49,68.2,69.12,68.599182,2121755
2019-05-29,68.32,69.1,67.82,68.61,68.09301,1470065
2019-05-30,68.73,69.66,68.24,68.67,68.152565,1326680
2019-05-31,65.84,65.92,63.36,64.04,63.557457,3822105
2019-06-03,64.2,67.14,64.095,66.84,66.336349,2090979
2019-06-04,68.44,70.7,68.31,70.51,69.978706,3175484
2019-06-05,70.73,72.655,70.14,72.51,71.963638,2802516
2019-06-06,72.35,73.305,71.89,72.92,72.370537,2332035
2019-06-07,73.45,74.3,72.62,73.4,72.846931,1176643
2019-06-10,74.75,76.77,74.5,75.71,75.139511,1397675
2019-06-11,77.17,77.5468,75.98,76.14,75.566277,1062853
2019-06-12,76.13,76.21,74.78,74.89,74.325699,1015309
2019-06-13,74.64,76.13,74.27,76.09,75.516655,1270190
2019-06-14,75.93,75.93,74.24,75.33,74.762383,1109092
2019-06-17,75.14,76.15,74.55,75.84,75.268532,1077574
2019-06-18,76.48,78.41,76.43,76.8,76.221306,1013741
2019-06-19,77.32,77.71,76.515,76.85,76.27092,1181620
2019-06-20,78.27,78.7,77.285,78.47,77.878723,1286529
2019-06-21,78.48,78.75,77.95,78.42,77.829094,1442406
2019-06-24,78.17,79.07,77.115,78.31,77.719925,963720
2019-06-25,78.11,78.47,77.61,78.11,77.521431,1137891
2019-06-26,78.24,79.75,77.27,78.92,78.325325,1276174
2019-06-27,80.05,81.06,79.85,81.06,80.449196,1748437
2019-06-28,81.01,82.51,80.83,80.83,80.220932,5891435
2019-07-01,82.5,82.99,79.91,80.71,80.101837,1353704
2019-07-02,80.8,81.09,78.83,79.58,78.980354,1027202
2019-07-03,80.01,80.17,79.2431,79.32,78.722313,437595
2019-07-05,78.67,79.72,78.56,79.19,78.5933,931089
2019-07-08,78.72,79.16,76.51,76.77,76.191528,1185205
2019-07-09,76.23,76.45,74.91,76.07,75.496803,1731968
2019-07-10,76.36,77.68,75.91,77.52,76.935883,1350753
2019-07-11,77.36,77.8101,76.87,77.72,77.134377,657740
2019-07-12,78.14,80.5,78.04,80.2,79.595688,908323
2019-07-15,80.23,80.9,78.72,80.78,80.17131,1295140
2019-07-16,79.53,80.905,78.19,79.99,79.38726,1393846
2019-07-17,79.8,80.0,78.23,78.36,77.769554,1172903
2019-07-18,77.97,78.67,77.71,78.65,78.057373,918645
2019-07-19,79.02,81.99,78.69,80.09,79.486511,1191198
2019-07-22,80.39,81.44,79.92,80.09,79.486511,1281179
2019-07-23,81.71,82.92,80.15,82.2,81.580612,1640022
2019-07-24,81.93,83.68,81.93,83.68,83.049469,1090222
2019-07-25,83.22,83.41,81.27,81.91,81.292801,1690569
2019-07-26,82.06,82.54,81.07,82.4,81.779106,1492008
2019-07-29,82.32,82.75,81.61,82.18,81.560768,766890
2019-07-30,80.93,81.72,79.99,81.57,80.955368,1416010
2019-07-31,85.74,88.98,84.95,87.65,86.989548,3559583
2019-08-01,88.55,88.83,82.34,83.63,82.999832,2273103
2019-08-02,83.09,83.57,80.54,83.25,82.622704,1307368
2019-08-05,81.14,81.99,80.77,80.99,80.37973,1691881
2019-08-06,81.75,83.49,81.72,83.2,82.797981,1486192
2019-08-07,81.8,83.69,80.93,83.52,83.11644,1753773
2019-08-08,83.89,85.72,83.75,85.46,85.047073,1324783
2019-08-09,84.73,85.3,83.07,83.54,83.136353,868344
2019-08-12,82.83,83.66,82.14,82.56,82.161079,1056106
2019-08-13,82.18,84.83,81.47,83.56,83.15625,1080133
2019-08-14,81.5,81.52,79.36,79.52,79.135765,1267680
2019-08-15,79.93,80.52,78.56,79.19,78.807373,1233076
2019-08-16,80.09,82.12,79.87,81.85,81.454506,802496
2019-08-19,83.47,83.97,82.51,83.56,83.15625,940328
2019-08-20,82.87,83.22,81.02,82.19,81.79287,916270
2019-08-21,83.71,83.89,83.06,83.43,83.026878,815983
2019-08-22,84.08,84.55,83.06,83.52,83.11644,540638
2019-08-23,82.51,83.01,79.45,79.88,79.494034,1274374
2019-08-26,80.79,81.36,79.99,80.86,80.469299,685097
2019-08-27,81.76,82.37,80.97,81.02,80.628525,781442
2019-08-28,80.72,82.84,80.13,82.68,82.280502,750176
2019-08-29,83.51,84.31,82.665,83.3,82.897507,825189
2019-08-30,84.14,84.82,82.83,83.17,82.768127,1126602
2019-09-03,82.9,82.9,80.88,81.56,81.165909,1209676
2019-09-04,82.91,84.23,82.75,84.19,83.783211,945599
2019-09-05,85.82,88.28,85.47,88.17,87.74398,1101406
2019-09-06,88.26,89.08,87.03,88.75,88.321175,724484
2019-09-09,89.55,90.78,89.09,90.31,89.873634,1065794
2019-09-10,89.44,90.76,88.47,90.76,90.321457,1114350
2019-09-11,90.49,91.14,88.83,91.1,90.659821,814699
2019-09-12,90.8,91.45,88.9601,91.15,90.709579,1251954
2019-09-13,90.02,91.565,89.56,90.18,89.744263,1426167
2019-09-16,89.56,90.92,88.71,89.59,89.157104,1299561
2019-09-17,89.08,89.9,87.93,89.64,89.206871,1032387
2019-09-18,89.52,90.14,88.75,89.51,89.077499,797659
2019-09-19,89.6,90.24,89.05,89.47,89.037697,794217
2019-09-20,89.87,90.05,86.9497,87.07,86.649284,1908252
2019-09-23,88.06,89.3,87.77,87.99,87.564842,1162100
2019-09-24,88.5,89.12,86.32,86.69,86.271133,1247440
2019-09-25,86.66,88.31,85.88,88.07,87.644463,783568
2019-09-26,88.26,88.34,86.786,87.71,87.286194,522612
2019-09-27,87.96,88.59,86.45,86.88,86.460213,828316
2019-09-30,87.27,87.96,86.92,87.42,86.997597,918280
2019-10-01,87.59,88.35,85.01,85.11,84.698761,1156440
2019-10-02,83.75,84.693,80.57,82.22,81.822723,1866804
2019-10-03,81.78,83.51,81.46,82.6,82.200882,1170242
2019-10-04,82.98,84.15,82.96,83.43,83.026878,1434433
2019-10-07,83.16,84.82,82.595,84.0,83.594124,962270
2019-10-08,82.33,82.91,80.53,80.56,80.170738,977577
2019-10-09,81.84,82.3,81.05,81.85,81.454506,789387
2019-10-10,82.17,83.975,82.17,83.17,82.768127,840489
2019-10-11,84.85,87.22,84.85,86.26,85.843208,1064734
2019-10-14,85.91,86.82,85.85,86.59,86.171608,499628
2019-10-15,86.8,88.86,86.78,88.05,87.624557,852840
2019-10-16,88.59,89.75,88.26,89.11,88.679436,1194391
2019-10-17,89.57,89.58,88.5741,89.04,88.609772,819880
2019-10-18,88.68,89.72,88.64,88.96,88.530151,1044929
2019-10-21,89.83,89.83,88.745,89.36,88.92823,795852
2019-10-22,88.86,91.02,88.19,90.39,89.953247,663850
2019-10-23,90.1,90.27,88.73,89.37,88.938179,1046915
2019-10-24,89.72,90.19,88.85,89.02,88.589867,591319
2019-10-25,88.85,89.95,88.4,89.58,89.147163,1062906
2019-10-28,90.48,90.7,89.945,90.11,89.674599,781161
2019-10-29,89.62,90.43,89.14,90.38,89.943291,1488429
2019-10-30,89.01,92.76,85.885,92.42,91.973442,2904388
2019-10-31,92.2,92.42,89.08,89.55,89.11731,1747631
2019-11-01,90.72,92.49,90.27,92.35,91.903778,1542445
2019-11-04,93.49,95.63,93.14,95.62,95.157982,1948005
2019-11-05,95.59,96.35,94.915,95.23,94.988419,2568929
2019-11-06,95.34,95.82,94.51,95.58,95.337524,1085584
