Date,Open,High,Low,Close,AdjClose,Volume
2021-11-18,24.9,24.9,22.6,24.5,13.66,86962
2021-11-19,24.5,24.5,24.4,24.49,13.66,30755
2021-11-22,24.69,24.69,24.3,24.44,13.63,31377
2021-11-23,24.4,24.45,24.25,24.3,13.55,34868
2021-11-24,24.35,24.55,24.3,24.55,13.69,13431
2021-11-26,24.54,24.54,24.2,24.2,13.5,10532
2021-11-29,24.45,24.45,24.26,24.45,13.64,29259
2021-11-30,24.44,24.5,24.25,24.25,13.52,13471
2021-12-01,24.4,24.45,24.2,24.45,13.64,14312
2021-12-02,24.45,24.65,24.3,24.5,13.66,55553
2021-12-03,24.45,24.55,24.45,24.45,13.64,4595
2021-12-06,24.32,24.57,24.2,24.38,13.59,16563
2021-12-07,24.25,24.5,24.25,24.3,13.55,19241
2021-12-08,24.3,24.3,24.25,24.25,13.52,4469
2021-12-09,24.25,24.4,24.25,24.25,13.52,41438
2021-12-10,24.25,24.3,24.2,24.25,13.52,18471
2021-12-13,24.3,24.3,24.2,24.21,13.5,3812
2021-12-14,24.32,24.45,24.2,24.4,13.61,27253
2021-12-15,24.3,24.49,24.25,24.49,13.66,17168
2021-12-16,24.4,24.85,24.34,24.75,13.8,16197
2021-12-17,24.75,25.02,24.75,25.0,13.94,78679
2021-12-20,24.95,24.95,24.81,24.85,13.86,8852
2021-12-21,24.85,24.9,24.82,24.85,13.86,25061
2021-12-22,24.78,24.94,24.78,24.85,13.86,2055
2021-12-23,24.87,24.95,24.83,24.95,13.91,2834
2021-12-27,24.82,25.02,24.82,24.97,13.93,11796
2021-12-28,24.91,25.05,24.49,24.5,13.66,35475
2021-12-29,24.5,24.95,24.5,24.95,13.91,9371
2021-12-30,24.94,25.0,24.85,24.85,13.86,3070
2021-12-31,24.9,24.9,24.9,24.9,13.89,310
2022-01-03,25.0,25.05,24.89,24.89,13.88,11305
2022-01-04,24.9,24.9,24.9,24.9,13.89,270
2022-01-05,25.01,25.01,24.55,24.85,13.86,2725
2022-01-06,24.9,24.9,24.85,24.88,13.88,11631
2022-01-07,24.88,24.88,24.88,24.88,14.74,0
2022-01-10,24.5,24.5,24.2,24.4,13.61,3089
2022-01-11,24.65,24.65,24.37,24.38,13.6,3167
2022-01-12,24.4,24.75,24.4,24.75,13.8,15408
2022-01-13,24.75,24.75,24.75,24.75,13.8,201
2022-01-14,24.89,24.89,24.5,24.5,13.66,2350
2022-01-18,24.79,24.85,24.5,24.85,13.86,4408
2022-01-19,24.64,24.87,24.51,24.8,13.83,7903
2022-01-20,24.75,24.75,24.54,24.54,13.69,741
2022-01-21,24.79,24.79,23.03,23.03,12.85,18858
2022-01-24,23.0,23.0,20.0,22.25,12.41,29532
2022-01-25,23.0,23.0,21.93,22.0,12.27,17826
2022-01-26,22.12,22.12,21.69,21.95,12.24,12598
2022-01-27,22.18,22.18,22.18,22.18,12.37,321
2022-01-28,22.42,22.6,22.42,22.6,12.6,765
2022-01-31,22.72,22.89,22.7,22.89,12.77,1616
2022-02-01,22.9,22.97,22.9,22.93,12.79,2610
2022-02-02,23.0,23.0,22.97,22.97,12.81,340
2022-02-03,22.75,22.75,22.75,22.75,12.69,1500
2022-02-04,22.98,23.0,22.98,22.99,12.82,743
2022-02-07,23.0,23.0,22.84,22.99,12.82,1374
2022-02-08,23.0,23.99,22.9,23.5,13.1,8364
2022-02-09,23.81,23.99,23.77,23.99,13.38,2208
2022-02-10,23.99,23.99,23.0,23.51,13.11,6527
2022-02-11,23.71,23.9,23.26,23.3,12.99,1800
2022-02-14,23.63,23.9,23.0,23.0,12.83,6908
2022-02-15,23.45,23.83,23.0,23.69,13.21,3838
2022-02-16,23.84,23.84,23.35,23.35,13.02,1508
2022-02-17,23.42,23.72,23.05,23.5,13.11,1930
2022-02-18,23.5,23.5,23.5,23.5,13.92,0
2022-02-22,23.01,23.01,22.5,23.0,12.83,6743
2022-02-23,22.5,22.5,21.0,21.6,12.05,5277
2022-02-24,21.97,22.0,21.87,21.94,12.23,1851
2022-02-25,22.0,22.0,21.76,21.76,12.14,2963
2022-02-28,21.85,22.0,21.85,22.0,12.27,2495
2022-03-01,23.25,23.25,21.38,22.08,12.32,4222
2022-03-02,23.0,23.5,22.2,22.2,12.38,3088
2022-03-03,23.0,23.25,21.94,22.1,12.32,4187
2022-03-04,22.4,22.4,21.51,22.07,12.31,2222
2022-03-07,21.55,22.35,21.0,21.0,11.71,6693
2022-03-08,21.01,23.0,21.01,22.0,12.27,2354
2022-03-09,22.1,22.51,20.07,21.62,12.06,9909
2022-03-10,21.3,23.0,21.2,23.0,12.83,1129
2022-03-11,22.58,22.58,21.02,21.11,11.77,2317
2022-03-14,21.04,21.88,21.04,21.04,11.73,7388
2022-03-15,22.99,23.0,21.05,21.05,11.74,4427
2022-03-16,22.2,22.82,21.36,22.0,12.27,12587
2022-03-17,23.0,23.0,22.37,22.97,12.81,2725
2022-03-18,22.35,23.0,22.29,22.99,12.82,7127
2022-03-21,22.75,22.75,22.6,22.6,12.6,5652
2022-03-22,22.97,22.97,22.86,22.97,12.81,1339
2022-03-23,22.97,23.21,22.95,23.0,12.83,1958
2022-03-24,23.2,23.25,22.76,23.1,12.88,8055
2022-03-25,22.94,23.73,22.9,23.0,12.83,8715
2022-03-28,23.18,23.43,23.14,23.39,13.04,5365
2022-03-29,23.5,23.6,23.1,23.1,12.88,25765
2022-03-30,23.31,23.45,22.6,23.29,12.99,8619
2022-03-31,23.3,23.3,23.07,23.19,12.93,20089
2022-04-01,23.19,23.32,23.0,23.1,12.88,10023
2022-04-04,23.5,23.5,23.15,23.15,12.91,24078
2022-04-05,23.2,23.2,23.1,23.2,12.94,13370
2022-04-06,23.5,23.5,23.0,23.06,12.86,7252
2022-04-07,23.25,23.25,23.06,23.06,12.86,1827
2022-04-08,23.2,23.2,23.2,23.2,12.94,935
2022-04-11,23.68,23.68,23.1,23.1,12.88,5861
2022-04-12,23.25,23.73,23.15,23.25,12.97,10566
2022-04-13,23.09,23.58,22.56,22.56,12.88,3093
2022-04-14,22.98,23.4,22.18,22.2,12.68,8506
2022-04-18,22.88,23.01,22.86,23.01,13.14,2770
2022-04-19,22.98,23.37,22.8,23.22,13.26,4164
2022-04-20,23.16,23.25,23.03,23.25,13.28,2777
2022-04-21,23.0,23.04,23.0,23.0,13.14,3219
2022-04-22,23.0,23.0,23.0,23.0,13.95,0
2022-04-25,23.4,23.4,22.46,22.5,12.85,8613
2022-04-26,22.41,22.99,22.41,22.87,13.06,1578
2022-04-27,22.87,22.87,22.87,22.87,13.87,100
2022-04-28,23.07,23.16,21.99,22.45,12.82,32486
2022-04-29,22.3,22.55,22.3,22.45,12.82,5362
2022-05-02,22.4,22.51,22.4,22.5,12.85,3220
2022-05-03,22.33,22.8,22.33,22.8,13.02,9950
2022-05-04,22.8,22.8,22.63,22.63,12.92,764
2022-05-05,22.65,22.65,22.6,22.65,12.94,1371
2022-05-06,22.5,22.8,22.43,22.43,12.81,7449
2022-05-09,22.4,22.5,22.05,22.05,12.59,9245
2022-05-10,22.05,22.49,22.0,22.25,12.71,9798
2022-05-11,22.25,22.39,21.26,21.26,12.14,5721
2022-05-12,21.26,21.5,20.6,20.85,11.91,12186
2022-05-13,21.16,21.2,20.35,20.5,11.71,14409
2022-05-16,20.5,20.94,19.77,19.77,11.29,18423
