Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,4.55,4.55,4.39,4.43,3.573956,1193405
2019-05-08,4.41,4.52,4.41,4.44,3.582024,735685
2019-05-09,4.38,4.39,4.28,4.36,3.517482,411963
2019-05-10,4.33,4.395,4.3,4.36,3.517482,428568
2019-05-13,4.23,4.26,4.18,4.23,3.412603,362586
2019-05-14,4.23,4.27,4.215,4.23,3.412603,778714
2019-05-15,4.3,4.39,4.3,4.33,3.49328,374595
2019-05-16,4.33,4.38,4.29,4.3,3.469077,475458
2019-05-17,4.15,4.15,4.07,4.08,3.291589,524042
2019-05-20,4.01,4.06,4.01,4.02,3.243183,726463
2019-05-21,4.0,4.0,3.91,3.94,3.178642,355908
2019-05-22,3.93,3.9665,3.88,3.89,3.138304,430124
2019-05-23,3.67,3.68,3.59,3.62,2.920479,726086
2019-05-24,3.65,3.71,3.64,3.67,2.960817,551826
2019-05-28,3.7,3.73,3.63,3.72,3.001155,1064363
2019-05-29,3.67,3.68,3.63,3.65,2.944682,643044
2019-05-30,3.72,3.72,3.635,3.65,2.944682,504174
2019-05-31,3.72,3.74,3.66,3.68,2.968884,1036795
2019-06-03,3.73,3.78,3.71,3.75,3.025358,738188
2019-06-04,3.72,3.74,3.67,3.68,2.968884,605149
2019-06-05,3.75,3.77,3.7,3.73,3.009223,591461
2019-06-06,3.68,3.69,3.56,3.59,2.896276,593102
2019-06-07,3.64,3.67,3.61,3.65,2.944682,612159
2019-06-10,3.72,3.79,3.7,3.71,2.993087,1093930
2019-06-11,3.77,3.8,3.75,3.78,3.049561,1228518
2019-06-12,3.8,3.8,3.73,3.76,3.033426,629690
2019-06-13,3.75,3.78,3.665,3.75,3.025358,1002275
2019-06-14,3.69,3.725,3.67,3.69,2.976952,1421261
2019-06-17,3.63,3.65,3.585,3.6,2.904343,1296489
2019-06-18,3.62,3.72,3.62,3.7,2.98502,1507418
2019-06-19,3.9,3.98,3.84,3.86,3.114101,1712791
2019-06-20,3.99,4.03,3.95,3.98,3.210913,852902
2019-06-21,3.98,3.995,3.84,3.91,3.154439,1607435
2019-06-24,3.97,4.02,3.96,4.0,3.227048,854905
2019-06-25,3.95,3.98,3.82,3.83,3.089899,254486
2019-06-26,3.82,3.89,3.82,3.88,3.130237,302859
2019-06-27,3.98,4.04,3.97,4.01,3.235116,562134
2019-06-28,3.97,3.97,3.91,3.95,3.18671,501257
2019-07-01,4.27,4.27,4.205,4.23,3.412603,722518
2019-07-02,4.16,4.17,4.11,4.14,3.339995,1005748
2019-07-03,4.19,4.2,4.13,4.18,3.372265,468086
2019-07-05,4.22,4.23,4.15,4.19,3.380333,374570
2019-07-08,4.13,4.13,4.06,4.06,3.275454,350122
2019-07-09,4.04,4.08,4.03,4.06,3.275454,325984
2019-07-10,4.22,4.25,4.17,4.19,3.380333,1202856
2019-07-11,4.32,4.35,4.27,4.3,3.469077,2292065
2019-07-12,4.27,4.34,4.27,4.29,3.461009,429571
2019-07-15,4.36,4.41,4.35,4.36,3.517482,793492
2019-07-16,4.36,4.375,4.27,4.28,3.452942,799576
2019-07-17,4.22,4.27,4.22,4.25,3.428739,372831
2019-07-18,4.25,4.32,4.25,4.29,3.461009,401294
2019-07-19,4.44,4.47,4.38,4.4,3.549753,658993
2019-07-22,4.43,4.5,4.41,4.48,3.614294,409161
2019-07-23,4.52,4.535,4.49,4.53,3.654632,348348
2019-07-24,4.51,4.54,4.49,4.52,3.646564,150269
2019-07-25,4.53,4.53,4.43,4.44,3.582024,161445
2019-07-26,4.43,4.43,4.36,4.38,3.533618,201836
2019-07-29,4.42,4.45,4.38,4.45,3.590091,421103
2019-07-30,4.34,4.38,4.33,4.37,3.52555,360828
2019-07-31,4.42,4.44,4.35,4.38,3.533618,270570
2019-08-01,4.46,4.57,4.37,4.39,3.541685,410274
2019-08-02,4.3,4.3,4.24,4.28,3.452942,329909
2019-08-05,4.23,4.27,4.1844,4.25,3.428739,393545
2019-08-06,4.37,4.39,4.3,4.33,3.49328,187858
2019-08-07,4.36,4.39,4.29,4.36,3.517482,258846
2019-08-08,4.4,4.42,4.37,4.41,3.55782,265233
2019-08-09,4.42,4.42,4.3,4.3,3.469077,328182
2019-08-12,4.29,4.32,4.25,4.32,3.485212,319325
