Date,Open,High,Low,Close,AdjClose,Volume
2021-05-18,25.27,25.27,25.25,25.25,20.37,689
2021-05-19,25.6,26.0,25.6,26.0,20.97,4431
2021-05-20,25.75,26.12,25.75,26.11,21.06,14622
2021-05-21,26.0,26.0,26.0,26.0,20.97,195
2021-05-24,26.19,26.24,26.19,26.24,21.17,1556
2021-05-25,26.12,26.23,26.1,26.23,21.16,4462
2021-05-26,26.1,26.65,26.1,26.65,21.5,6708
2021-05-27,26.32,26.58,26.32,26.36,21.26,1592
2021-05-28,26.36,26.36,26.36,26.36,22.06,0
2021-06-01,26.5,26.55,26.41,26.41,21.3,1634
2021-06-02,26.41,26.55,26.41,26.5,21.38,3043
2021-06-03,26.51,26.51,26.25,26.5,21.38,935
2021-06-04,26.52,26.58,26.38,26.58,21.44,3351
2021-06-07,26.55,26.6,26.5,26.5,21.38,4470
2021-06-08,26.51,26.6,26.5,26.55,21.42,1068
2021-06-09,26.51,26.52,26.4,26.42,21.31,3578
2021-06-10,26.59,26.6,26.5,26.5,21.38,1273
2021-06-11,26.5,26.5,26.5,26.5,22.17,0
2021-06-14,26.52,26.6,26.21,26.4,21.29,17860
2021-06-15,26.4,26.59,26.27,26.58,21.44,5148
2021-06-16,26.5,26.6,26.5,26.6,21.46,2219
2021-06-17,26.6,26.6,26.6,26.6,21.46,883
2021-06-18,26.65,26.65,26.65,26.65,21.5,800
2021-06-21,26.61,26.65,26.5,26.65,21.5,479
2021-06-22,26.51,26.51,26.15,26.5,21.38,8525
2021-06-23,26.55,26.6,26.26,26.6,21.45,7206
2021-06-24,26.45,26.53,26.33,26.53,21.4,3843
2021-06-25,26.53,26.53,26.53,26.53,22.2,0
2021-06-28,26.5,26.54,26.5,26.53,21.4,925
2021-06-29,26.53,26.53,26.53,26.53,21.4,155
2021-06-30,26.64,26.64,26.64,26.64,21.49,251
2021-07-01,26.69,26.69,26.63,26.66,21.5,3221
2021-07-02,26.67,26.69,26.67,26.69,21.53,817
2021-07-06,26.55,26.63,26.5,26.63,21.48,825
2021-07-07,26.7,26.7,26.7,26.7,21.54,1010
2021-07-08,26.66,26.7,26.61,26.7,21.54,8556
2021-07-09,26.7,26.7,26.7,26.7,21.54,6700
2021-07-12,26.64,26.7,26.64,26.7,21.54,1735
2021-07-13,26.68,26.7,26.64,26.65,21.5,7903
2021-07-14,26.59,26.72,26.58,26.7,21.9,5487
2021-07-15,26.7,26.7,26.55,26.69,21.89,5494
2021-07-16,26.72,26.72,26.64,26.66,21.87,2445
2021-07-19,26.66,26.66,26.51,26.66,21.87,2188
2021-07-20,26.65,26.66,26.58,26.64,21.86,2623
2021-07-21,26.5,26.65,26.5,26.6,21.82,1898
2021-07-22,26.58,26.58,26.45,26.5,21.73,1100
2021-07-23,26.6,26.66,26.6,26.66,21.87,1511
2021-07-26,26.64,26.66,26.55,26.66,21.87,2692
2021-07-27,26.66,26.66,26.6,26.6,21.82,3635
2021-07-28,26.6,26.6,26.6,26.6,22.64,0
2021-07-29,26.65,26.66,26.57,26.64,21.85,810
2021-07-30,26.66,26.66,26.5,26.66,21.87,6872
2021-08-02,26.41,26.6,26.0,26.4,21.66,6757
2021-08-03,26.45,26.6,26.45,26.6,21.82,930
2021-08-04,26.6,26.6,26.15,26.58,21.8,1800
2021-08-05,26.58,26.58,26.58,26.58,22.62,0
2021-08-06,26.45,26.6,26.45,26.6,21.82,385
2021-08-09,26.57,26.6,26.33,26.5,21.74,1466
2021-08-10,26.45,26.45,26.42,26.45,21.7,5100
2021-08-11,26.45,26.45,26.26,26.26,21.54,2950
2021-08-12,26.26,26.26,26.26,26.26,22.35,0
2021-08-13,26.29,26.42,26.26,26.27,21.55,5522
2021-08-16,26.27,26.42,26.24,26.3,21.57,4355
2021-08-17,26.41,26.49,26.41,26.47,21.71,1900
2021-08-18,26.26,26.47,26.25,26.47,21.71,1300
2021-08-19,26.29,26.5,26.29,26.5,21.74,900
2021-08-20,26.3,26.3,26.28,26.28,21.56,4581
2021-08-23,26.43,26.51,26.43,26.51,21.75,6857
2021-08-24,26.51,26.65,26.34,26.5,21.74,9935
2021-08-25,26.55,26.6,26.37,26.37,21.63,3834
2021-08-26,26.38,26.45,26.3,26.45,21.69,2736
2021-08-27,26.32,26.4,26.31,26.4,21.66,890
2021-08-30,26.4,26.55,26.4,26.48,21.73,3615
2021-08-31,26.4,26.56,26.4,26.5,21.74,2675
2021-09-01,26.42,26.55,26.42,26.55,21.78,4186
2021-09-02,26.55,26.55,26.55,26.55,22.59,0
2021-09-03,26.41,26.54,26.4,26.44,21.69,7295
2021-09-07,26.44,26.44,26.44,26.44,22.5,0
2021-09-08,26.4,26.4,26.38,26.38,21.64,669
2021-09-09,26.49,26.5,26.37,26.37,21.63,7697
2021-09-10,26.49,26.5,26.34,26.45,21.7,7381
2021-09-13,26.65,26.65,26.65,26.65,21.86,1027
2021-09-14,26.65,26.65,26.65,26.65,22.68,0
2021-09-15,26.65,26.71,26.63,26.71,21.91,3644
2021-09-16,26.51,26.51,26.51,26.51,21.74,175
2021-09-17,26.62,26.7,26.62,26.7,21.9,1218
2021-09-20,26.72,26.72,26.64,26.64,21.86,440
2021-09-21,26.55,26.55,26.55,26.55,21.78,1500
