Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,300.0,305.85,296.85,304.06,258.81,2228224
2019-05-10,303.23,305.4,296.66,303.96,258.73,2102486
2019-05-13,293.82,295.68,288.2,293.38,249.72,3786434
2019-05-14,295.69,304.6,295.48,302.0,257.06,3427699
2019-05-15,300.27,307.77,298.61,304.37,259.08,1816785
2019-05-16,299.75,303.1,294.7,297.29,253.05,3423313
2019-05-17,292.78,293.57,288.41,289.89,246.75,3909439
2019-05-20,278.0,279.95,268.64,272.59,232.03,6516154
2019-05-21,277.09,279.78,274.65,275.33,234.36,2506008
2019-05-22,270.48,275.06,268.97,269.22,229.16,3180892
2019-05-23,264.58,265.49,258.17,260.09,221.39,4660703
2019-05-24,262.7,265.74,255.74,255.94,217.85,2796327
2019-05-28,256.57,257.73,250.09,254.48,216.61,6196527
2019-05-29,252.74,256.37,251.58,254.12,216.31,2813243
2019-05-30,254.66,257.34,254.12,256.62,218.43,1731287
2019-05-31,253.04,255.74,251.0,251.64,214.19,2219380
2019-06-03,252.55,258.33,251.2,253.18,215.51,2891066
2019-06-04,256.96,266.0,255.76,265.7,226.16,3680802
2019-06-05,269.01,271.51,262.4,265.72,226.18,2365444
2019-06-06,267.02,275.0,265.28,272.79,232.2,3268676
2019-06-07,274.78,277.87,273.28,274.87,233.97,2596690
2019-06-10,276.73,284.77,276.72,280.21,238.51,2327989
2019-06-11,290.49,291.75,279.41,283.48,241.3,3710648
2019-06-12,281.67,283.16,277.41,279.73,238.1,2705712
2019-06-13,281.52,282.89,277.41,281.61,239.7,3773457
2019-06-14,258.11,268.09,257.47,265.93,226.36,10079720
2019-06-17,264.84,268.7,261.34,265.97,226.39,3578549
2019-06-18,268.15,283.02,266.46,278.05,236.67,5492044
2019-06-19,278.78,279.07,273.71,277.49,236.2,2892032
2019-06-20,282.51,285.45,277.16,279.05,237.53,5729124
2019-06-21,276.61,281.0,273.96,273.99,235.45,4539947
2019-06-24,275.52,279.45,275.0,279.2,239.93,2050617
2019-06-25,279.16,282.88,276.02,276.51,237.62,2443597
2019-06-26,278.58,284.03,278.1,281.44,241.86,2477396
2019-06-27,282.93,288.45,282.23,285.71,245.53,2181273
2019-06-28,287.86,289.3,284.82,287.86,247.37,4926498
2019-07-01,301.68,305.75,296.33,300.35,258.11,4495568
2019-07-02,298.88,300.67,293.9,295.33,253.79,1901117
2019-07-03,283.7,288.78,283.02,284.89,244.82,4941080
2019-07-05,283.65,285.44,281.97,282.66,242.91,2456533
2019-07-08,280.0,281.19,274.39,274.96,236.29,3429056
2019-07-09,273.45,275.98,272.41,275.53,236.78,2613246
2019-07-10,277.86,278.8,274.0,274.5,235.89,3013447
2019-07-11,275.24,277.45,272.95,276.06,237.23,2071327
2019-07-12,276.38,285.93,276.38,285.39,245.25,2197117
2019-07-15,291.1,294.49,287.27,288.34,247.79,3033669
2019-07-16,286.99,287.79,282.39,284.13,244.17,1461752
2019-07-17,285.56,287.29,283.19,285.08,244.98,1545297
2019-07-18,286.18,290.3,283.8,289.78,249.02,1936983
2019-07-19,291.83,293.16,289.53,290.0,249.21,2204995
2019-07-22,293.0,299.99,292.24,296.15,254.5,3391297
2019-07-23,299.5,302.36,299.21,300.78,258.48,1969162
2019-07-24,301.2,304.88,300.5,303.77,261.05,1901044
2019-07-25,302.13,302.13,299.4,300.39,258.14,1574066
2019-07-26,301.59,303.02,300.53,300.92,258.6,1499559
2019-07-29,301.23,302.55,296.96,301.74,259.3,1206805
2019-07-30,299.09,300.93,297.1,299.56,257.43,1116439
2019-07-31,300.03,300.83,286.67,289.99,249.2,2081939
2019-08-01,289.13,297.82,282.32,285.34,245.21,2191069
2019-08-02,282.07,283.84,275.91,278.53,239.36,2007951
2019-08-05,271.95,272.24,264.08,267.66,230.01,2776482
2019-08-06,270.13,272.18,264.56,266.44,228.97,2219934
2019-08-07,264.03,272.72,263.0,270.05,232.07,2224408
2019-08-08,270.38,272.56,262.5,270.98,232.87,2916338
2019-08-09,269.58,280.55,269.58,275.73,236.95,3073462
2019-08-12,273.38,278.21,272.54,275.64,236.87,2003969
2019-08-13,275.3,285.5,272.03,283.7,243.8,2294124
2019-08-14,278.79,280.15,270.38,271.56,233.37,2710811
2019-08-15,272.0,272.78,264.85,268.64,230.86,2014233
2019-08-16,272.15,275.75,271.98,273.78,235.27,1820305
2019-08-19,279.5,280.07,275.61,278.78,239.57,1748910
2019-08-20,278.16,284.96,277.01,280.37,240.94,1792071
2019-08-21,284.64,288.26,284.05,287.5,247.06,1938488
2019-08-22,288.39,289.41,284.55,287.62,247.17,1229940
2019-08-23,283.99,285.48,271.05,272.13,233.86,2576280
2019-08-26,276.95,277.95,275.0,277.22,238.23,1425016
2019-08-27,279.15,280.22,274.91,275.57,236.81,1429887
2019-08-28,274.33,276.41,270.47,276.06,237.23,1720195
2019-08-29,281.49,285.49,281.05,283.37,243.52,1643001
2019-08-30,285.36,285.9,279.9,282.64,242.89,1672115
2019-09-03,280.0,280.85,270.93,274.05,235.51,2221028
2019-09-04,278.79,284.35,278.2,283.02,243.21,1986835
2019-09-05,288.36,293.68,288.36,291.02,250.09,2094058
2019-09-06,291.85,293.3,289.3,291.91,250.85,1374758
2019-09-09,295.0,297.2,290.4,292.61,251.46,2168905
2019-09-10,291.35,294.45,288.82,294.44,253.03,2085102
2019-09-11,296.32,298.78,294.55,298.01,256.1,1925989
2019-09-12,301.43,302.33,296.47,300.58,258.3,3310930
2019-09-13,297.65,297.99,283.89,290.32,249.49,6255696
2019-09-16,286.8,290.27,285.7,288.66,248.06,2217572
2019-09-17,288.02,289.3,283.75,288.83,248.21,2203473
2019-09-18,288.49,290.76,283.88,287.74,247.27,1737065
2019-09-19,288.5,291.95,287.23,290.64,249.76,1977918
2019-09-20,287.67,288.4,281.82,284.26,246.53,3689318
2019-09-23,283.62,287.16,282.08,285.46,247.57,1558379
2019-09-24,287.32,288.9,279.75,282.31,244.84,2104247
2019-09-25,271.75,277.21,270.0,275.77,239.16,5595904
2019-09-26,275.26,278.66,272.68,276.91,240.15,2765225
2019-09-27,276.63,281.28,272.96,274.14,237.75,2894245
2019-09-30,275.79,276.72,272.5,276.07,239.42,2020410
2019-10-01,278.27,279.65,273.38,274.85,238.37,1958915
2019-10-02,273.46,273.8,268.32,270.07,234.22,2000229
2019-10-03,270.0,274.5,267.22,274.43,238.0,1901869
