Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,20.57,20.77,20.57,20.63,15.12,184652
2019-05-08,20.59,20.67,20.25,20.26,14.85,125584
2019-05-09,20.26,20.45,20.08,20.45,14.99,250804
2019-05-10,20.46,21.08,20.46,20.7,15.17,1017733
2019-05-13,20.56,20.88,20.5,20.76,15.21,302092
2019-05-14,20.77,20.83,20.66,20.8,15.24,264329
2019-05-15,20.91,21.15,20.8,21.07,15.44,1671321
2019-05-16,21.14,21.27,20.92,21.0,15.39,210940
2019-05-17,21.04,21.16,20.98,21.07,15.44,209633
2019-05-20,21.11,21.58,21.04,21.53,15.78,441516
2019-05-21,21.6,21.96,21.57,21.8,15.98,430924
2019-05-22,21.75,21.9,21.73,21.9,16.05,269203
2019-05-23,21.91,21.91,21.62,21.72,15.92,144207
2019-05-24,21.75,21.93,21.65,21.76,15.95,296949
2019-05-28,21.86,21.92,21.54,21.61,15.84,242017
2019-05-29,21.61,21.71,21.37,21.5,15.76,288240
2019-05-30,21.47,21.61,21.45,21.58,15.82,244168
2019-05-31,21.25,21.53,21.09,21.45,16.01,231662
2019-06-03,21.46,21.69,21.44,21.65,16.16,311332
2019-06-04,21.68,21.82,21.61,21.7,16.2,446830
2019-06-05,21.69,21.98,21.51,21.97,16.4,498636
2019-06-06,21.91,22.21,21.87,22.19,16.56,479742
2019-06-07,22.23,22.41,22.1,22.2,16.57,776574
2019-06-10,22.09,22.13,21.79,21.93,16.37,372513
2019-06-11,21.9,21.97,21.8,21.9,16.35,180404
2019-06-12,21.94,22.04,21.84,21.95,16.38,502943
2019-06-13,21.95,22.33,21.95,22.21,16.58,276430
2019-06-14,22.25,22.56,22.25,22.49,16.79,461961
2019-06-17,22.38,22.8,22.38,22.64,16.9,345360
2019-06-18,22.77,22.82,22.54,22.62,16.88,312396
2019-06-19,22.64,22.99,22.64,22.9,17.09,472934
2019-06-20,22.93,23.27,22.86,23.25,17.35,466635
2019-06-21,23.25,23.5,23.14,23.47,17.52,485923
2019-06-24,23.54,23.58,23.3,23.38,17.45,399123
2019-06-25,23.38,23.48,23.28,23.3,17.39,286280
2019-06-26,23.23,23.29,22.61,22.64,16.9,261492
2019-06-27,22.59,22.77,22.37,22.48,16.78,582597
2019-06-28,22.53,22.97,22.51,22.67,16.92,425651
2019-07-01,22.71,22.73,22.51,22.56,16.84,452973
2019-07-02,22.65,22.99,22.54,22.92,17.11,377451
