Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,38.47,38.54,38.26,38.47,33.94,3578100
2019-05-10,38.06,38.15,37.39,37.65,33.22,8515700
2019-05-13,37.29,37.39,37.12,37.28,32.89,7657400
2019-05-14,37.78,38.0,37.64,37.82,33.37,7164800
2019-05-15,37.61,37.85,37.58,37.68,33.25,4570000
2019-05-16,37.74,38.06,37.66,37.8,33.35,2988700
2019-05-17,37.63,37.91,37.58,37.78,33.33,1716300
2019-05-20,37.34,37.65,37.33,37.54,33.12,3097000
2019-05-21,37.65,37.95,37.61,37.88,33.42,3438800
2019-05-22,37.64,38.65,37.64,38.61,34.07,2945100
2019-05-23,38.66,38.88,38.44,38.66,34.11,5530100
2019-05-24,39.01,39.32,38.9,39.02,34.43,3086600
2019-05-28,38.5,38.65,38.0,38.01,33.54,3807800
2019-05-29,37.66,37.76,37.44,37.53,33.11,3334200
2019-05-30,37.74,37.74,37.33,37.51,33.1,2912900
2019-05-31,37.13,37.44,37.12,37.38,32.98,2623000
2019-06-03,38.04,38.13,37.76,37.9,33.44,2409300
2019-06-04,38.43,38.66,38.19,38.59,34.05,3415300
2019-06-05,38.44,38.56,38.28,38.36,33.85,2097300
2019-06-06,38.81,39.14,38.73,38.83,34.26,2259500
2019-06-07,39.19,39.27,38.89,39.02,34.43,2070900
2019-06-10,39.16,39.72,39.08,39.59,34.93,2928900
2019-06-11,39.69,39.74,39.31,39.39,34.75,2378100
2019-06-12,39.52,39.99,39.52,39.93,35.23,2507300
2019-06-13,39.81,40.01,39.6,39.91,35.21,2020000
2019-06-14,39.68,39.96,39.62,39.67,35.0,1477800
2019-06-17,39.56,40.13,39.55,39.98,35.28,1864200
2019-06-18,40.59,41.03,40.51,40.95,36.13,3258500
2019-06-19,41.18,41.75,41.15,41.68,36.77,3027100
2019-06-20,41.92,42.08,41.53,41.61,36.71,3353200
2019-06-21,41.08,41.42,40.66,41.36,36.49,2701700
2019-06-24,41.53,41.64,41.31,41.49,36.61,1940000
2019-06-25,41.63,41.7,41.23,41.4,36.53,1382100
2019-06-26,41.23,41.24,40.76,40.97,36.15,1737900
2019-06-27,40.86,41.17,40.86,40.99,36.17,1683800
2019-06-28,41.49,41.49,41.1,41.28,36.42,2304800
2019-07-01,41.65,41.65,41.24,41.31,36.45,3032900
2019-07-02,41.35,41.76,41.31,41.71,36.8,2521200
2019-07-03,41.96,42.15,41.83,41.99,37.05,1819000
2019-07-05,41.62,41.67,40.9,40.94,36.12,2811700
2019-07-08,40.75,40.86,40.6,40.83,36.02,2090200
2019-07-09,40.75,40.87,40.66,40.74,35.95,1667900
2019-07-10,41.25,41.41,41.02,41.13,36.29,1623000
2019-07-11,40.92,40.93,40.2,40.45,35.69,2342500
2019-07-12,40.35,40.37,39.85,40.21,35.48,3229700
2019-07-15,40.26,40.41,40.06,40.22,35.49,2002700
2019-07-16,40.36,40.36,40.12,40.2,35.47,1619700
2019-07-17,40.33,40.59,40.3,40.34,35.59,1324400
2019-07-18,40.29,40.74,40.23,40.73,35.94,2728400
2019-07-19,40.52,40.59,40.06,40.12,35.4,3709600
2019-07-22,40.41,40.48,40.13,40.33,35.58,4338500
2019-07-23,40.66,40.89,40.46,40.58,35.8,4153100
2019-07-24,40.18,40.4,39.85,40.35,35.6,4281600
2019-07-25,42.8,43.53,42.49,42.66,37.64,10419700
2019-07-26,43.01,43.54,42.89,43.51,38.39,4226800
2019-07-29,44.56,44.74,44.34,44.39,39.17,6419700
2019-07-30,43.9,44.06,43.67,43.86,38.7,3475500
2019-07-31,43.08,43.79,42.97,43.41,38.3,2255600
2019-08-01,43.57,44.19,43.57,44.0,38.82,2686200
2019-08-02,44.4,44.44,44.0,44.28,39.07,4267500
2019-08-05,43.86,44.0,43.16,43.56,38.43,3823200
2019-08-06,43.72,43.97,43.26,43.62,38.49,3936500
2019-08-07,43.56,44.08,43.41,43.92,38.75,4018600
2019-08-08,43.95,44.36,43.78,44.14,39.35,2368900
2019-08-09,45.25,45.28,44.58,44.77,39.91,4127300
2019-08-12,44.79,44.84,44.15,44.36,39.54,2492800
2019-08-13,44.57,44.86,44.4,44.86,39.99,3457500
2019-08-14,44.42,44.68,43.8,43.81,39.05,2793400
2019-08-15,44.04,44.32,43.96,44.18,39.38,1919600
2019-08-16,44.36,44.55,43.96,44.34,39.53,1495500
2019-08-19,44.57,44.64,44.33,44.42,39.6,1521000
2019-08-20,44.89,44.94,44.48,44.62,39.78,5067900
2019-08-21,45.04,45.69,44.98,45.42,40.49,6007200
2019-08-22,45.52,45.59,45.17,45.41,40.48,4555100
2019-08-23,45.28,45.67,44.5,44.58,39.74,3752200
2019-08-26,44.98,44.98,44.47,44.83,39.96,2435000
2019-08-27,44.86,45.11,44.79,44.88,40.01,2333900
2019-08-28,44.8,44.92,44.59,44.8,39.94,2131700
2019-08-29,45.25,45.51,45.2,45.42,40.49,2692900
2019-08-30,45.13,45.32,44.82,45.03,40.14,2413600
2019-09-03,45.16,45.47,45.06,45.27,40.36,2263600
2019-09-04,45.42,45.53,45.24,45.34,40.42,1741800
2019-09-05,44.94,45.0,44.56,44.76,39.9,1610000
2019-09-06,44.86,45.07,44.73,44.74,39.88,1888700
2019-09-09,43.99,44.03,43.37,43.8,39.05,2821900
2019-09-10,42.45,43.29,42.19,43.27,38.57,4102700
2019-09-11,42.86,43.2,42.85,43.1,38.42,7843500
2019-09-12,42.85,43.09,42.73,42.9,38.24,6763500
2019-09-13,42.87,43.12,42.72,42.77,38.13,3658900
2019-09-16,43.03,43.05,42.44,42.51,37.9,2502200
2019-09-17,43.12,43.27,42.84,43.13,38.45,4918500
2019-09-18,43.38,43.72,43.35,43.57,38.84,2096200
2019-09-19,44.63,44.85,44.43,44.61,39.77,4153700
2019-09-20,45.21,45.33,44.96,45.18,40.28,4868200
2019-09-23,45.08,45.19,44.56,44.57,39.73,2457000
2019-09-24,45.34,45.57,45.02,45.17,40.27,2878400
2019-09-25,45.28,45.54,45.05,45.34,40.42,4193600
2019-09-26,45.88,46.22,45.37,45.47,40.53,4677500
2019-09-27,45.49,45.58,45.12,45.28,40.36,2299500
2019-09-30,44.78,45.16,44.53,44.57,39.73,3505100
