Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,45.48,45.99,45.26,45.88,32.03,1541202
2019-05-10,45.84,46.45,45.59,46.26,32.29,1482823
2019-05-13,45.38,45.5,44.77,45.17,31.53,2634826
2019-05-14,45.69,45.86,45.45,45.7,31.91,1525599
2019-05-15,45.12,45.92,45.06,45.86,32.01,1679238
2019-05-16,46.01,46.74,46.01,46.41,32.4,1769066
2019-05-17,46.39,46.68,46.3,46.44,32.42,2259878
2019-05-20,46.27,46.76,46.19,46.66,32.57,3508185
2019-05-21,46.56,46.72,46.26,46.68,32.59,5280875
2019-05-22,46.46,46.56,46.07,46.16,32.22,1373365
2019-05-23,45.6,45.87,45.29,45.73,31.93,2041134
2019-05-24,46.66,46.98,46.45,46.8,32.67,2507630
2019-05-28,47.57,47.8,47.39,47.4,33.09,1907063
2019-05-29,46.49,46.97,46.44,46.94,32.77,2448835
2019-05-30,46.98,47.07,46.74,46.82,32.68,2022629
2019-05-31,46.0,46.5,45.94,46.29,32.32,2317343
2019-06-03,46.19,46.82,46.15,46.71,32.61,3205602
2019-06-04,46.88,47.33,46.67,47.27,33.0,1467493
2019-06-05,47.19,47.35,46.62,46.71,32.61,2716954
2019-06-06,46.85,47.13,46.78,47.01,32.82,2798218
2019-06-07,47.26,47.92,47.18,47.35,33.06,2431288
2019-06-10,47.84,48.0,47.42,47.56,33.2,3143126
2019-06-11,48.96,49.2,48.83,49.09,34.27,4384488
2019-06-12,49.02,49.48,48.85,48.85,34.1,2017305
2019-06-13,49.4,49.57,49.24,49.47,34.53,2005972
2019-06-14,48.98,49.15,48.8,49.02,34.22,1334051
2019-06-17,49.08,49.17,48.91,48.91,34.15,912755
2019-06-18,49.75,50.36,49.65,50.27,35.09,1575882
2019-06-19,49.63,49.79,49.19,49.7,34.7,1885690
2019-06-20,50.86,51.02,50.4,50.91,35.54,2836084
2019-06-21,50.74,50.94,50.47,50.47,35.24,1382444
2019-06-24,50.82,51.17,50.73,51.13,35.7,1626690
2019-06-25,51.43,51.63,50.88,50.9,35.54,1815852
2019-06-26,51.33,51.77,51.17,51.61,36.03,1530736
2019-06-27,51.96,52.1,51.69,51.91,36.24,1956761
2019-06-28,52.06,52.16,51.74,51.82,36.18,1357890
2019-07-01,52.54,52.59,51.89,52.12,36.38,2287664
2019-07-02,52.4,52.63,52.17,52.59,36.71,1453351
2019-07-03,52.43,52.55,52.19,52.55,36.69,1170033
2019-07-05,50.08,50.56,49.78,50.48,35.24,2761171
2019-07-08,50.82,51.27,50.62,51.0,35.6,1908245
2019-07-09,50.52,50.76,50.42,50.72,35.41,2023375
2019-07-10,51.34,51.44,50.93,51.22,35.76,1513911
2019-07-11,50.84,51.06,50.59,51.02,35.62,936301
2019-07-12,51.14,51.25,50.9,51.05,35.64,1341318
2019-07-15,51.56,51.66,51.31,51.59,36.02,794707
2019-07-16,51.26,51.77,51.26,51.33,35.84,1623332
2019-07-17,51.73,52.08,51.71,51.73,36.12,1912314
2019-07-18,51.4,51.67,51.14,51.58,36.01,1955875
2019-07-19,52.07,52.34,51.96,51.99,36.3,1291572
2019-07-22,52.28,52.31,51.95,52.14,36.4,1382106
2019-07-23,52.42,52.51,51.83,52.06,36.35,1399861
2019-07-24,50.07,50.46,50.05,50.24,35.08,2058799
2019-07-25,50.2,50.32,49.72,50.04,34.93,1601062
2019-07-26,49.98,50.07,49.81,50.06,34.94,2091658
2019-07-29,50.23,50.36,49.99,50.32,35.13,1539607
2019-07-30,50.0,50.31,49.73,50.17,35.03,1659757
2019-07-31,49.73,49.96,48.44,48.99,34.2,3145389
2019-08-01,47.92,48.49,46.93,47.2,32.95,4262973
2019-08-02,46.64,46.8,46.16,46.42,32.4,2374791
2019-08-05,45.15,45.36,44.75,44.97,31.4,3742941
2019-08-06,45.24,45.36,44.44,44.79,31.27,1638094
2019-08-07,43.7,44.53,43.64,44.49,31.06,2425847
2019-08-08,44.97,45.69,44.82,45.48,31.75,1913231
2019-08-09,44.96,45.08,44.31,44.57,31.12,2397083
2019-08-12,44.54,44.72,44.11,44.18,30.84,1273941
2019-08-13,44.21,45.28,44.09,45.17,31.53,3642707
2019-08-14,44.05,44.32,43.83,43.85,30.61,2528642
2019-08-15,43.91,44.07,43.5,43.96,30.69,2145230
2019-08-16,43.63,43.77,43.35,43.53,30.39,2612087
