Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,42.28,42.32,41.76,42.22,32.11,7572200
2019-05-08,41.98,42.39,41.92,42.28,32.16,6381300
2019-05-09,41.19,41.68,41.18,41.65,32.15,6369800
2019-05-10,41.38,41.62,41.19,41.5,32.03,4858800
2019-05-13,41.53,41.82,41.02,41.23,31.82,6333100
2019-05-14,41.66,41.78,41.52,41.55,32.07,5317200
2019-05-15,41.28,41.94,41.22,41.77,32.24,5001000
2019-05-16,41.94,42.39,41.93,42.28,32.63,5039700
2019-05-17,42.47,42.61,42.27,42.34,32.68,4132700
2019-05-20,42.58,42.73,42.34,42.58,32.86,3859600
2019-05-21,42.86,43.0,42.75,42.75,32.99,3397200
2019-05-22,42.78,42.8,42.29,42.34,32.68,4134300
2019-05-23,41.49,41.54,41.08,41.34,31.91,6141000
2019-05-24,41.66,41.83,41.32,41.76,32.23,3510600
2019-05-28,41.64,41.76,41.42,41.48,32.01,3664700
2019-05-29,41.03,41.32,40.84,41.27,31.85,4202700
2019-05-30,41.21,41.25,40.9,41.03,31.67,3679500
2019-05-31,40.61,41.01,40.6,40.72,31.43,4920100
2019-06-03,41.24,41.32,40.94,41.04,31.67,5412100
2019-06-04,41.31,41.46,41.01,41.36,31.92,3972500
2019-06-05,41.66,41.67,40.88,41.04,31.67,5800000
2019-06-06,41.31,41.68,41.3,41.61,32.11,3985600
2019-06-07,41.98,42.36,41.88,42.14,32.52,5974900
2019-06-10,42.15,42.34,41.99,42.08,32.48,3685700
2019-06-11,42.58,42.61,42.34,42.34,32.68,3288800
2019-06-12,41.41,41.52,40.9,41.06,31.69,9479900
2019-06-13,41.25,41.35,41.01,41.22,31.81,4931300
2019-06-14,40.87,40.97,40.76,40.91,31.57,4560300
2019-06-17,40.45,40.68,40.32,40.44,31.21,5918400
2019-06-18,40.93,41.28,40.87,41.08,31.71,4092000
2019-06-19,41.3,41.37,40.96,41.09,31.71,3776700
2019-06-20,41.86,42.16,41.7,41.81,32.27,9004600
2019-06-21,42.23,42.7,42.21,42.45,32.76,6928100
2019-06-24,42.17,42.33,42.0,42.18,32.55,3189600
2019-06-25,42.25,42.25,41.83,41.86,32.31,2949500
2019-06-26,42.19,42.4,42.08,42.08,32.48,4805800
2019-06-27,42.08,42.14,41.6,41.62,32.12,4042800
2019-06-28,41.87,41.92,41.61,41.7,32.18,4400400
2019-07-01,42.62,42.63,42.02,42.08,32.48,5346700
2019-07-02,42.58,42.59,41.81,41.86,32.31,6131600
2019-07-03,41.65,41.71,41.08,41.36,31.92,6411300
2019-07-05,40.82,41.05,40.71,41.03,31.67,5493100
2019-07-08,40.98,41.19,40.88,41.08,31.71,4240600
2019-07-09,40.88,41.03,40.77,40.95,31.6,3918300
2019-07-10,41.01,41.27,40.92,41.22,31.81,5180300
2019-07-11,41.43,41.47,41.09,41.28,31.86,3295200
2019-07-12,41.12,41.4,41.1,41.21,31.81,4345100
2019-07-15,41.05,41.08,40.62,40.69,31.4,5938300
2019-07-16,40.48,40.61,40.15,40.21,31.03,7117400
2019-07-17,39.74,39.88,39.21,39.28,30.32,13332500
2019-07-18,39.0,39.17,38.66,38.84,29.98,13233100
2019-07-19,39.04,39.26,38.94,39.23,30.28,8615200
2019-07-22,39.34,39.47,39.15,39.35,30.37,6907400
2019-07-23,39.79,39.81,39.44,39.47,30.46,6733500
2019-07-24,39.32,39.54,39.07,39.14,30.21,8817700
2019-07-25,39.29,39.3,38.96,38.99,30.09,6613000
2019-07-26,39.06,39.11,38.86,38.98,30.08,9894800
2019-07-29,39.09,39.16,38.72,39.09,30.17,12644700
2019-07-30,39.73,40.22,39.63,39.99,30.86,8391900
2019-07-31,40.22,40.23,39.42,39.74,30.67,6701700
2019-08-01,39.05,39.46,38.77,39.0,30.1,10607500
2019-08-02,38.65,38.84,38.12,38.48,29.7,9597600
2019-08-05,37.48,37.78,37.35,37.66,29.07,11955100
2019-08-06,37.56,37.74,37.14,37.61,29.03,11451900
2019-08-07,37.06,37.62,36.88,37.55,28.98,9865100
2019-08-08,36.82,37.2,36.7,37.18,29.17,10513300
2019-08-09,36.93,37.11,36.75,36.81,28.88,7630600
2019-08-12,36.86,36.94,36.58,36.65,28.76,6256600
2019-08-13,36.6,37.34,36.52,37.2,29.19,9672400
2019-08-14,36.42,36.53,36.15,36.26,28.45,10802700
2019-08-15,35.92,36.09,35.73,36.05,28.29,8901300
2019-08-16,36.11,36.31,35.99,36.29,28.47,5367200
2019-08-19,36.73,36.95,36.62,36.85,28.91,6058700
2019-08-20,36.48,36.55,36.31,36.45,28.6,4826200
2019-08-21,36.82,36.92,36.56,36.75,28.84,5033800
2019-08-22,36.7,36.78,36.47,36.52,28.66,4551800
2019-08-23,36.37,36.66,36.13,36.21,28.41,7434900
2019-08-26,36.54,36.56,36.25,36.3,28.48,5171900
2019-08-27,36.65,36.68,36.22,36.6,28.72,6306700
2019-08-28,36.79,37.16,36.63,36.83,28.9,7612300
2019-08-29,37.15,37.17,36.88,36.95,28.99,7093500
2019-08-30,37.06,37.13,36.76,36.95,28.99,4757400
2019-09-03,36.69,37.0,36.57,36.95,28.99,3908100
2019-09-04,37.32,37.46,37.26,37.31,29.28,4314900
2019-09-05,37.63,37.73,37.32,37.37,29.32,5920600
2019-09-06,37.17,37.49,37.01,37.45,29.38,5984600
2019-09-09,37.56,37.67,37.42,37.5,29.42,5305600
2019-09-10,37.89,38.36,37.79,37.84,29.69,6787900
2019-09-11,38.24,38.4,37.68,37.8,29.66,12265000
2019-09-12,37.38,37.75,37.26,37.67,29.56,5299700
2019-09-13,37.82,37.96,37.72,37.87,29.71,4068700
