Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,13.69,13.89,13.69,13.82,13.12,498777
2019-05-08,13.82,13.89,13.69,13.8,13.1,321940
2019-05-09,13.67,13.72,13.52,13.63,12.94,239740
2019-05-10,13.54,13.65,13.42,13.6,12.91,499269
2019-05-13,13.34,13.34,12.34,12.41,11.78,825560
2019-05-14,12.43,12.69,12.41,12.45,11.82,864942
2019-05-15,12.41,12.42,12.06,12.19,11.57,830453
2019-05-16,12.16,12.41,12.08,12.3,11.67,1074216
2019-05-17,12.16,12.39,12.11,12.11,11.49,452884
2019-05-20,12.0,12.02,11.84,11.88,11.28,354460
2019-05-21,11.92,12.1,11.92,11.95,11.34,315834
2019-05-22,11.9,11.93,11.71,11.73,11.13,455865
2019-05-23,11.6,11.66,11.4,11.52,10.93,404778
2019-05-24,11.56,11.75,11.53,11.71,11.11,397583
2019-05-28,11.67,11.81,11.65,11.71,11.11,563086
2019-05-29,11.65,11.65,11.32,11.43,10.85,426441
2019-05-30,11.45,11.6,11.11,11.13,10.56,961360
2019-05-31,10.97,11.04,10.73,10.74,10.19,529576
2019-06-03,10.69,12.12,10.67,11.09,10.53,997642
2019-06-04,11.19,11.3,11.03,11.11,10.54,647354
2019-06-05,11.11,11.12,10.84,10.88,10.33,422792
2019-06-06,10.84,10.94,10.62,10.91,10.35,451750
2019-06-07,10.95,11.06,10.83,10.99,10.43,341823
2019-06-10,11.06,11.27,11.06,11.11,10.54,282004
2019-06-11,11.18,11.31,10.99,11.04,10.48,355119
2019-06-12,11.0,11.15,10.98,11.04,10.48,366770
2019-06-13,11.0,11.09,10.94,10.98,10.52,339942
2019-06-14,11.0,11.0,10.74,10.74,10.29,210720
2019-06-17,10.73,10.81,10.63,10.71,10.26,284968
2019-06-18,10.76,11.01,10.74,10.75,10.3,169520
2019-06-19,10.76,11.01,10.67,10.98,10.52,590929
2019-06-20,11.14,11.2,11.01,11.04,10.57,453646
2019-06-21,11.0,11.03,10.88,10.9,10.44,523543
2019-06-24,10.87,10.94,10.56,10.83,10.37,615837
2019-06-25,10.83,10.93,10.75,10.89,10.43,457189
2019-06-26,10.89,10.98,10.82,10.97,10.51,361712
2019-06-27,11.0,11.13,11.0,11.11,10.64,520824
2019-06-28,11.21,11.5,11.21,11.41,10.93,3203382
2019-07-01,11.59,11.82,11.59,11.69,11.2,399599
2019-07-02,11.65,11.72,11.55,11.68,11.19,268140
2019-07-03,11.7,11.86,11.58,11.84,11.34,168366
2019-07-05,11.84,11.98,11.76,11.96,11.46,278071
2019-07-08,11.88,12.06,11.82,11.93,11.43,567767
2019-07-09,11.86,11.97,11.66,11.95,11.45,500587
2019-07-10,11.91,11.98,11.59,11.62,11.13,388486
2019-07-11,11.62,11.62,11.4,11.49,11.01,344360
2019-07-12,11.45,11.59,11.42,11.54,11.05,272066
2019-07-15,11.51,11.6,11.34,11.57,11.08,352111
2019-07-16,11.65,11.89,11.47,11.85,11.35,400628
