Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,16.87,16.87,16.69,16.7,11.45,61000
2019-05-08,16.71,16.84,16.66,16.74,11.48,37800
2019-05-09,16.77,16.77,16.6,16.72,11.47,74900
2019-05-10,16.74,16.8,16.68,16.75,11.49,82300
2019-05-13,16.68,16.75,16.63,16.73,11.48,35900
2019-05-14,16.75,16.92,16.73,16.9,11.59,40500
2019-05-15,16.73,16.99,16.73,16.85,11.56,34300
2019-05-16,16.94,17.0,16.84,16.9,11.59,70100
2019-05-17,16.9,16.93,16.82,16.83,11.54,40300
2019-05-20,16.81,16.95,16.81,16.9,11.59,30800
2019-05-21,16.9,16.92,16.85,16.91,11.6,61400
2019-05-22,16.72,16.95,16.7,16.72,11.54,71900
2019-05-23,16.68,16.89,16.58,16.64,11.49,78400
2019-05-24,16.65,16.72,16.62,16.69,11.52,39900
2019-05-28,16.79,16.83,16.67,16.74,11.56,36300
2019-05-29,16.75,16.9,16.69,16.9,11.67,81900
2019-05-30,16.89,16.9,16.54,16.67,11.51,86300
2019-05-31,16.67,16.69,16.57,16.6,11.46,47300
2019-06-03,16.69,16.74,16.44,16.47,11.37,34100
2019-06-04,16.5,16.84,16.5,16.76,11.57,34400
2019-06-05,16.77,16.95,16.65,16.85,11.63,55600
2019-06-06,16.93,16.93,16.56,16.58,11.45,105100
2019-06-07,16.67,16.69,16.59,16.65,11.5,39500
2019-06-10,16.74,16.84,16.61,16.82,11.61,78200
2019-06-11,16.84,16.88,16.73,16.77,11.58,92200
2019-06-12,16.76,16.92,16.73,16.92,11.68,50000
2019-06-13,16.94,16.94,16.66,16.71,11.54,74900
2019-06-14,16.74,16.79,16.68,16.72,11.54,52100
2019-06-17,16.77,16.77,16.68,16.71,11.54,21700
2019-06-18,16.74,16.83,16.67,16.69,11.52,46300
2019-06-19,16.65,16.8,16.61,16.61,11.47,47200
2019-06-20,16.64,16.89,16.54,16.89,11.74,122300
2019-06-21,16.82,16.84,16.69,16.8,11.68,39500
2019-06-24,16.79,16.85,16.73,16.77,11.66,52500
2019-06-25,16.8,16.88,16.73,16.76,11.65,61900
2019-06-26,16.78,16.84,16.69,16.8,11.68,37000
2019-06-27,16.83,16.83,16.66,16.78,11.66,19200
2019-06-28,16.83,16.88,16.76,16.88,11.73,24500
2019-07-01,16.9,17.11,16.82,16.92,11.76,69600
2019-07-02,17.0,17.0,16.71,16.79,11.67,67100
2019-07-03,16.76,17.08,16.76,17.08,11.87,23900
2019-07-05,17.01,17.03,16.74,16.92,11.76,33800
2019-07-08,16.94,16.94,16.78,16.82,11.69,26400
2019-07-09,16.88,16.99,16.77,16.83,11.7,113100
2019-07-10,16.9,17.08,16.89,17.04,11.84,46700
2019-07-11,17.04,17.24,16.95,17.1,11.89,59000
2019-07-12,17.21,17.21,17.06,17.19,11.95,32100
2019-07-15,17.3,17.3,17.09,17.3,12.02,38300
2019-07-16,17.26,17.39,17.23,17.3,12.02,21500
2019-07-17,17.39,17.47,17.15,17.2,11.96,76400
2019-07-18,17.14,17.25,17.12,17.16,11.93,18300
