Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,37.5,37.71,37.31,37.48,25.56,1728073
2019-05-08,36.45,37.21,36.39,37.04,25.26,2166224
2019-05-09,37.65,37.98,37.42,37.89,25.84,1276817
2019-05-10,37.24,37.6,37.03,37.6,25.64,2399916
2019-05-13,37.16,37.35,37.11,37.21,25.38,1264072
2019-05-14,37.03,37.41,37.0,37.22,25.38,1424215
2019-05-15,36.98,37.61,36.95,37.56,25.62,1426869
2019-05-16,37.17,37.62,37.16,37.36,25.48,1328701
2019-05-17,37.49,37.79,37.43,37.59,25.64,989597
2019-05-20,37.43,37.91,37.4,37.75,25.75,809276
2019-05-21,38.26,38.27,37.85,37.95,25.88,961456
2019-05-22,37.64,37.95,37.57,37.81,25.79,1073146
2019-05-23,37.43,37.49,37.13,37.49,25.57,989328
2019-05-24,38.03,38.21,37.77,37.86,25.82,1332365
2019-05-28,36.76,36.76,36.08,36.32,24.77,4639025
2019-05-29,35.08,35.8,34.93,35.76,24.39,3537742
2019-05-30,35.76,35.84,35.47,35.61,24.29,2105438
2019-05-31,34.88,34.89,34.62,34.67,23.65,1412306
2019-06-03,35.1,35.27,34.83,35.21,24.01,1253456
2019-06-04,36.0,36.14,35.66,36.1,24.62,1335762
2019-06-05,36.32,36.32,35.81,35.95,24.52,866544
2019-06-06,36.88,37.15,36.74,36.87,25.15,1942360
2019-06-07,38.25,38.49,38.01,38.31,26.13,1962593
2019-06-10,38.53,38.54,38.07,38.32,26.14,1093437
2019-06-11,38.65,39.04,38.33,38.9,26.53,1133258
2019-06-12,37.23,37.48,36.91,36.96,25.21,1592204
2019-06-13,36.99,37.06,36.74,36.95,25.2,1341550
2019-06-14,36.33,36.53,36.27,36.3,24.76,1639908
2019-06-17,35.68,35.87,35.64,35.72,24.36,1360897
2019-06-18,35.97,36.15,35.76,35.8,24.42,1005050
2019-06-19,35.36,35.62,35.2,35.47,24.19,849547
2019-06-20,35.43,35.75,35.4,35.68,24.33,977544
2019-06-21,35.1,35.52,35.06,35.33,24.1,1704189
2019-06-24,35.24,35.54,35.2,35.2,24.01,1291380
2019-06-25,35.65,35.88,35.59,35.77,24.4,1019199
2019-06-26,35.5,35.76,35.38,35.53,24.23,1624614
2019-06-27,35.11,35.15,34.71,34.94,24.25,932275
2019-06-28,35.04,35.05,34.82,34.87,24.2,935169
2019-07-01,35.83,36.26,35.43,35.53,24.66,3480231
2019-07-02,36.49,36.65,36.26,36.62,25.41,3769963
2019-07-03,37.33,37.43,37.17,37.37,25.93,2777074
2019-07-05,37.76,37.79,37.13,37.52,26.04,1669238
2019-07-08,37.74,38.03,37.66,37.75,26.2,1963464
2019-07-09,37.11,37.16,36.7,36.78,25.52,1026161
2019-07-10,36.97,37.12,36.82,36.94,25.63,950665
2019-07-11,36.21,36.51,36.2,36.49,25.32,1173812
2019-07-12,36.38,36.56,36.16,36.29,25.18,1229270
2019-07-15,36.69,36.81,36.54,36.65,25.43,1436115
2019-07-16,36.68,36.72,36.38,36.56,25.37,1678333
2019-07-17,36.6,36.64,36.25,36.45,25.29,1187286
2019-07-18,37.78,39.24,37.72,38.96,27.04,3087572
2019-07-19,38.83,39.09,38.32,38.42,26.66,1640495
2019-07-22,38.12,38.27,37.94,38.0,26.37,1152584
2019-07-23,38.31,38.42,37.55,37.68,26.15,2399015
2019-07-24,37.51,37.82,37.2,37.29,25.88,2195892
2019-07-25,37.79,37.82,37.29,37.37,25.93,1825610
2019-07-26,37.65,37.7,37.14,37.28,25.87,2419329
2019-07-29,37.89,38.15,37.36,37.39,25.95,2941426
2019-07-30,36.5,36.59,35.83,36.01,24.99,2281249
2019-07-31,35.98,36.22,35.23,35.61,24.71,1944996
2019-08-01,37.49,38.32,37.39,37.7,26.16,2223034
2019-08-02,38.32,38.35,37.52,37.7,26.16,1512570
2019-08-05,36.62,36.7,35.78,36.05,25.02,1954273
2019-08-06,36.5,36.56,36.01,36.27,25.17,1240854
2019-08-07,36.03,36.94,36.0,36.82,25.55,1291378
2019-08-08,37.25,37.58,37.16,37.57,26.07,1171387
2019-08-09,36.94,37.14,36.81,37.03,25.7,919321
2019-08-12,36.96,37.07,36.83,36.95,25.64,1131596
2019-08-13,36.46,36.87,36.36,36.77,25.52,1422553
2019-08-14,36.16,36.45,36.11,36.22,25.13,1874975
2019-08-15,36.79,37.16,36.71,36.99,25.67,1472498
2019-08-16,36.72,36.86,36.65,36.73,25.49,1225019
2019-08-19,36.73,36.95,36.62,36.62,25.41,1036140
2019-08-20,36.48,36.59,35.98,36.17,25.1,1222468
2019-08-21,36.74,36.85,36.57,36.72,25.48,646321
2019-08-22,36.36,36.71,36.31,36.57,25.38,846610
2019-08-23,36.63,36.77,36.0,36.08,25.04,893385
2019-08-26,36.35,36.52,35.97,36.11,25.06,727295
2019-08-27,35.8,36.16,34.11,34.18,23.72,4982040
2019-08-28,34.18,34.96,34.09,34.78,24.14,3048655
2019-08-29,35.11,35.17,34.7,34.98,24.27,1568910
2019-08-30,35.28,35.37,34.89,35.1,24.36,1079448
