Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,27.54,27.8,27.46,27.75,27.75,591272
2019-05-10,27.75,27.7655,27.38,27.71,27.71,361944
2019-05-13,27.5,27.64,27.4,27.49,27.49,333254
2019-05-14,27.64,27.77,27.59,27.69,27.69,254585
2019-05-15,27.78,28.06,27.78,28.05,28.05,176911
2019-05-16,28.14,28.33,28.14,28.26,28.26,167094
2019-05-17,28.61,28.77,28.59,28.59,28.59,206409
2019-05-20,28.84,28.86,28.65,28.72,28.72,420744
2019-05-21,29.15,29.38,29.03,29.37,29.37,302902
2019-05-22,28.68,28.85,28.68,28.7,28.7,162909
2019-05-23,28.77,28.85,28.72,28.74,28.74,236749
2019-05-24,28.23,28.25,28.04,28.11,28.11,269329
2019-05-28,28.26,28.28,28.12,28.15,28.15,151540
2019-05-29,28.04,28.065,27.94,28.01,28.01,214147
2019-05-30,28.09,28.22,28.06,28.14,28.14,199559
2019-05-31,27.96,28.115,27.94,28.02,28.02,158674
2019-06-03,28.05,28.22,28.05,28.19,28.19,204794
2019-06-04,28.13,28.44,28.12,28.43,28.43,208991
2019-06-05,28.62,28.62,28.41,28.47,28.47,138477
2019-06-06,28.54,28.67,28.5,28.67,28.67,123010
2019-06-07,28.72,28.99,28.72,28.94,28.94,111030
2019-06-10,28.78,28.86,28.73,28.78,28.78,222261
2019-06-11,29.0,29.14,28.95,28.98,28.98,179877
2019-06-12,28.88,28.99,28.86,28.91,28.91,126807
2019-06-13,28.93,28.97,28.84,28.97,28.97,94003
2019-06-14,28.97,28.97,28.82,28.84,28.84,98247
2019-06-17,28.95,29.0,28.9,28.9,28.9,117150
2019-06-18,29.05,29.26,29.05,29.24,29.24,113709
2019-06-19,29.23,29.47,29.21,29.44,29.44,115659
2019-06-20,29.75,29.83,29.625,29.81,29.81,96316
2019-06-21,29.89,29.97,29.78,29.88,29.88,104062
2019-06-24,29.95,30.09,29.95,30.01,30.01,101935
2019-06-25,30.1,30.12,29.89,29.91,29.91,123062
2019-06-26,29.26,29.43,29.17,29.37,29.37,208976
2019-06-27,29.39,29.45,29.35,29.37,29.37,127566
2019-06-28,29.31,29.31,29.2,29.27,29.27,108714
2019-07-01,29.55,29.55,29.405,29.53,29.53,388882
2019-07-02,29.54,29.69,29.51,29.66,29.66,169036
2019-07-03,29.68,29.76,29.65,29.74,29.74,103594
2019-07-05,29.43,29.51,29.28,29.51,29.51,187308
2019-07-08,29.41,29.47,29.37,29.39,29.39,120443
2019-07-09,29.02,29.15,28.85,29.15,29.15,225187
2019-07-10,29.43,29.56,29.42,29.54,29.54,177505
2019-07-11,29.67,29.71,29.6,29.64,29.64,112084
2019-07-12,29.68,29.77,29.56,29.77,29.77,98830
2019-07-15,29.72,29.78,29.68,29.75,29.75,117756
2019-07-16,29.49,29.49,29.28,29.32,29.32,196138
2019-07-17,29.25,29.25,28.12,28.13,28.13,1392844
2019-07-18,28.1,28.45,28.08,28.4,28.4,471219
2019-07-19,28.63,28.7,28.53,28.54,28.54,189176
2019-07-22,28.28,28.45,28.28,28.4,28.4,172706
2019-07-23,28.63,28.915,28.63,28.83,28.83,250654
2019-07-24,28.45,28.51,28.24,28.48,28.48,312561
2019-07-25,28.03,28.03,27.7672,27.81,27.81,165372
2019-07-26,28.06,28.1409,28.045,28.08,28.08,203988
2019-07-29,27.93,27.97,27.8,27.83,27.83,177990
2019-07-30,27.61,27.6242,27.39,27.5,27.5,308359
2019-07-31,27.41,27.46,27.01,27.1,27.1,265988
2019-08-01,27.54,27.6,27.11,27.27,27.27,473697
2019-08-02,27.25,27.34,27.04,27.23,27.23,335296
2019-08-05,26.69,26.9,26.4,26.53,26.53,528008
2019-08-06,26.76,26.878,26.5,26.76,26.76,460782
2019-08-07,26.76,27.02,26.59,26.94,26.94,589146
2019-08-08,26.83,27.075,26.8,27.04,27.04,144702
2019-08-09,26.96,27.01,26.76,26.81,26.81,179546
2019-08-12,26.77,26.81,26.6,26.71,26.71,343683
2019-08-13,26.31,26.63,26.25,26.3,26.3,334320
2019-08-14,26.0,26.08,25.74,25.82,25.82,496522
2019-08-15,25.71,25.81,25.49,25.58,25.58,499565
2019-08-16,25.75,25.93,25.75,25.91,25.91,441756
2019-08-19,25.85,25.9504,25.825,25.86,25.86,298468
2019-08-20,25.94,25.94,25.66,25.7,25.7,685440
2019-08-21,25.73,25.79,25.7,25.73,25.73,326919
2019-08-22,25.88,25.88,25.71,25.71,25.71,326274
2019-08-23,25.65,25.87,25.49,25.52,25.52,407454
2019-08-26,25.61,25.67,25.515,25.6,25.6,274793
2019-08-27,26.03,26.03,25.84,25.84,25.84,333010
2019-08-28,25.73,25.95,25.71,25.81,25.81,505751
2019-08-29,25.87,25.92,25.82,25.87,25.87,210817
2019-08-30,26.05,26.05,25.82,25.9,25.9,168189
2019-09-03,25.91,25.91,25.83,25.88,25.88,238509
2019-09-04,25.86,25.9999,25.86,25.94,25.94,364505
2019-09-05,26.11,26.21,26.06,26.11,26.11,260346
2019-09-06,26.14,26.17,26.06,26.08,26.08,170467
2019-09-09,26.26,26.26,26.12,26.15,26.15,168033
2019-09-10,26.58,26.58,26.48,26.56,26.56,399514
2019-09-11,26.8,26.97,26.8,26.95,26.95,245835
2019-09-12,27.1,27.15,27.04,27.08,27.08,257305
2019-09-13,27.24,27.28,27.17,27.23,27.23,158745
2019-09-16,27.14,27.19,27.09,27.14,27.14,125646
2019-09-17,27.09,27.24,27.0405,27.22,27.22,193009
2019-09-18,27.38,27.41,26.925,27.11,27.11,287151
2019-09-19,27.18,27.22,27.09,27.12,27.12,142524
2019-09-20,27.14,27.23,26.78,26.83,26.83,829495
2019-09-23,26.7,26.79,26.61,26.79,26.79,331308
2019-09-24,26.43,26.66,26.27,26.34,26.34,350536
2019-09-25,26.5,26.76,26.5,26.66,26.66,426811
2019-09-26,26.82,26.85,26.68,26.74,26.74,150351
2019-09-27,27.01,27.19,26.97,26.99,26.99,333756
2019-09-30,26.71,26.75,26.62,26.7,26.7,184797
2019-10-01,27.06,27.06,26.79,26.81,26.81,195406
2019-10-02,26.92,27.03,26.805,26.99,26.99,533194
2019-10-03,26.61,26.75,26.51,26.71,26.71,260462
2019-10-04,26.72,26.92,26.71,26.87,26.87,232965
2019-10-07,26.35,26.6,26.35,26.47,26.47,208418
2019-10-08,26.48,26.48,26.21,26.21,26.21,193596
2019-10-09,26.23,26.42,26.23,26.34,26.34,162214
2019-10-10,26.2,26.395,26.2,26.3,26.3,350192
2019-10-11,26.53,26.815,26.53,26.76,26.76,177684
2019-10-14,26.56,26.72,26.5,26.64,26.64,140637
2019-10-15,26.83,26.94,26.8,26.87,26.87,381303
2019-10-16,26.82,26.89,26.71,26.84,26.84,298258
2019-10-17,26.73,26.865,26.73,26.83,26.83,169392
2019-10-18,26.41,26.51,26.36,26.45,26.45,249147
2019-10-21,26.94,27.23,26.83,27.1,27.1,518823
2019-10-22,27.18,27.245,27.11,27.13,27.13,317567
2019-10-23,27.28,27.34,27.21,27.33,27.33,316115
2019-10-24,27.5,27.5,27.32,27.4,27.4,211011
2019-10-25,27.14,27.38,27.07,27.27,27.27,528146
2019-10-28,26.29,26.57,25.71,25.94,25.94,1093768
2019-10-29,26.58,26.79,26.57,26.68,26.68,621170
2019-10-30,27.19,27.34,27.16,27.34,27.34,339161
2019-10-31,27.23,27.28,27.0,27.1,27.1,160700
2019-11-01,27.37,27.65,27.36,27.65,27.65,244096
2019-11-04,27.62,27.7,27.59,27.67,27.67,160545
2019-11-05,27.6,27.65,27.54,27.54,27.54,206029
2019-11-06,27.43,27.47,27.32,27.32,27.32,211728
2019-11-07,27.45,27.57,27.44,27.53,27.53,140546
2019-11-08,27.52,27.61,27.45,27.59,27.59,125276
2019-11-11,27.53,27.8,27.52,27.65,27.65,507189
2019-11-12,27.83,27.83,27.71,27.74,27.74,194850
2019-11-13,27.63,27.83,27.63,27.83,27.83,239043
2019-11-14,27.67,27.69,27.53,27.64,27.64,129120
2019-11-15,27.75,27.84,27.7,27.8,27.8,133016
2019-11-18,27.91,27.91,27.79,27.81,27.81,151407
2019-11-19,27.84,27.8568,27.73,27.74,27.74,157158
2019-11-20,27.55,27.55,27.31,27.35,27.35,275143
2019-11-21,27.5,27.51,27.41,27.47,27.47,149398
2019-11-22,27.47,27.52,27.36,27.46,27.46,176618
2019-11-25,27.5,27.68,27.5,27.68,27.68,122402
2019-11-26,27.68,27.69,27.615,27.67,27.67,193810
2019-11-27,27.74,27.84,27.7,27.82,27.82,368203
2019-11-29,27.76,27.76,27.61,27.64,27.64,103797
2019-12-02,27.71,27.71,27.42,27.54,27.54,209864
2019-12-03,27.57,27.75,27.53,27.69,27.69,236957
2019-12-04,27.98,28.28,27.96,28.22,28.22,498834
2019-12-05,28.0,28.1,28.0,28.05,28.05,202372
2019-12-06,28.35,28.39,28.3,28.3,28.3,250664
2019-12-09,28.2,28.22,28.14,28.14,28.14,163705
2019-12-10,28.12,28.2,28.06,28.11,28.11,133576
2019-12-11,28.12,28.37,28.11,28.31,28.31,255920
2019-12-12,28.05,28.39,28.05,28.36,28.36,252031
2019-12-13,28.08,28.29,28.0,28.13,28.13,216545
2019-12-16,28.18,28.34,28.16,28.25,28.25,185770
2019-12-17,28.13,28.295,28.13,28.19,28.19,152712
2019-12-18,28.27,28.41,28.27,28.4,28.4,128155
2019-12-19,28.25,28.36,28.25,28.27,28.27,134339
2019-12-20,28.17,28.245,28.1,28.12,28.12,248425
2019-12-23,28.01,28.12,28.0,28.1,28.1,183231
2019-12-24,28.08,28.08,27.99,28.0,28.0,84386
2019-12-26,28.03,28.11,28.007,28.11,28.11,241897
2019-12-27,27.58,27.58,27.37,27.4,27.4,255256
2019-12-30,27.39,27.43,27.25,27.3,27.3,193340
2019-12-31,27.23,27.35,27.2001,27.35,27.35,215363
2020-01-02,27.45,27.58,27.4127,27.56,27.56,134805
2020-01-03,27.87,27.87,27.38,27.57,27.57,243013
2020-01-06,27.67,27.88,27.67,27.85,27.85,187598
2020-01-07,28.05,28.05,27.915,27.98,27.98,138484
2020-01-08,28.01,28.18,28.0,28.1,28.1,115434
2020-01-09,28.1,28.14,28.04,28.13,28.13,150026
2020-01-10,27.98,28.02,27.87,27.9,27.9,186311
2020-01-13,27.99,28.09,27.89,28.05,28.05,203577
2020-01-14,27.98,28.0,27.92,27.95,27.95,297960
2020-01-15,27.99,28.05,27.89,27.93,27.93,209087
2020-01-16,27.97,27.97,27.85,27.94,27.94,122259
2020-01-17,27.93,28.0,27.89,28.0,28.0,71489
2020-01-21,28.02,28.08,27.97,28.03,28.03,109468
2020-01-22,27.99,27.99,27.84,27.91,27.91,207825
2020-01-23,27.97,28.03,27.86,28.03,28.03,95203
2020-01-24,28.03,28.03,27.75,27.8,27.8,230111
2020-01-27,27.51,27.66,27.51,27.58,27.58,190569
2020-01-28,27.68,27.94,27.6,27.93,27.93,227222
2020-01-29,27.61,27.62,26.905,27.17,27.17,506420
2020-01-30,26.49,26.525,26.2439,26.49,26.49,423047
2020-01-31,26.42,26.42,26.07,26.17,26.17,426589
2020-02-03,26.39,26.51,26.35,26.42,26.42,242202
2020-02-04,26.46,26.49,26.37,26.37,26.37,201091
2020-02-05,26.43,26.62,26.43,26.52,26.52,241366
2020-02-06,26.76,26.955,26.76,26.95,26.95,234717
2020-02-07,26.97,26.97,26.74,26.84,26.84,142756
2020-02-10,26.53,26.59,26.435,26.5,26.5,205126
2020-02-11,26.55,26.69,26.55,26.66,26.66,218360
2020-02-12,26.0,26.045,25.89,26.01,26.01,291016
2020-02-13,25.99,26.01,25.9,25.93,25.93,174965
2020-02-14,25.76,25.78,25.58,25.59,25.59,253160
2020-02-18,25.39,25.44,25.35,25.38,25.38,201291
2020-02-19,25.35,25.3661,25.21,25.22,25.22,236888
2020-02-20,25.07,25.11,24.92,25.0,25.0,368619
2020-02-21,24.85,24.85,24.62,24.67,24.67,234167
2020-02-24,24.0,24.16,23.975,24.03,24.03,450453
2020-02-25,25.25,25.39,24.59,24.77,24.77,1450646
2020-02-26,25.37,25.57,25.21,25.35,25.35,1435887
2020-02-27,25.11,25.37,24.94,25.02,25.02,1077709
2020-02-28,24.83,25.16,24.69,25.15,25.15,909388
2020-03-02,25.5,25.86,25.41,25.84,25.84,808555
2020-03-03,25.56,25.7,25.19,25.46,25.46,975104
2020-03-04,25.65,25.76,25.45,25.75,25.75,431443
2020-03-05,25.36,25.625,25.36,25.58,25.58,438639
2020-03-06,24.95,25.06,24.81,24.99,24.99,636757
2020-03-09,22.92,23.88,22.92,23.13,23.13,669755
2020-03-10,23.11,23.12,22.46,23.02,23.02,948499
2020-03-11,22.93,23.01,22.02,22.33,22.33,908523
2020-03-12,21.04,21.16,20.13,20.13,20.13,785394
2020-03-13,20.77,20.77,19.58,20.61,20.61,884729
2020-03-16,19.34,19.86,19.13,19.16,19.16,743430
2020-03-17,19.46,20.02,19.18,19.99,19.99,939399
2020-03-18,20.0,20.63,19.61,20.26,20.26,723541
2020-03-19,21.42,21.85,21.1325,21.4,21.4,813247
2020-03-20,21.7,21.98,21.0,21.12,21.12,683801
2020-03-23,20.56,20.61,19.83,20.22,20.22,550893
2020-03-24,21.74,21.95,21.28,21.69,21.69,732163
2020-03-25,21.6,21.95,21.13,21.85,21.85,1509738
2020-03-26,21.75,22.35,21.75,22.2,22.2,571406
2020-03-27,21.82,22.3,21.69,21.93,21.93,539052
2020-03-30,22.3,22.68,22.11,22.6,22.6,684745
2020-03-31,21.61,21.88,21.2,21.64,21.64,622335
2020-04-01,21.0,21.03,20.51,20.58,20.58,435453
2020-04-02,20.04,20.48,20.01,20.29,20.29,560436
2020-04-03,19.98,20.28,19.78,19.95,19.95,423226
2020-04-06,20.51,21.23,20.49,21.15,21.15,856221
2020-04-07,21.68,21.86,21.02,21.06,21.06,781390
2020-04-08,21.12,21.51,20.81,21.3,21.3,663230
2020-04-09,21.24,21.41,21.085,21.2,21.2,366171
2020-04-13,21.24,21.25,20.942,21.2,21.2,427092
2020-04-14,21.09,21.2,20.9,21.0,21.0,745171
2020-04-15,20.95,21.02,20.665,20.83,20.83,575945
2020-04-16,20.63,20.67,20.365,20.51,20.51,395681
2020-04-17,20.86,20.93,20.65,20.93,20.93,404612
2020-04-20,20.8,20.97,20.65,20.65,20.65,486892
2020-04-21,20.49,20.535,20.2162,20.22,20.22,571562
2020-04-22,20.14,20.14,19.64,20.06,20.06,1229768
2020-04-23,20.0,20.1,19.54,19.63,19.63,586327
2020-04-24,19.92,19.995,19.68,19.94,19.94,519830
2020-04-27,20.62,20.81,20.47,20.74,20.74,442735
2020-04-28,21.0,21.07,20.67,20.78,20.78,664146
2020-04-29,21.2,21.3,21.05,21.15,21.15,383367
2020-04-30,21.35,21.35,20.95,21.11,21.11,398399
2020-05-01,20.59,20.63,19.985,20.14,20.14,456152
2020-05-04,20.08,20.08,19.86,20.04,20.04,464249
2020-05-05,20.1,20.465,20.1,20.33,20.33,532239
2020-05-06,20.4,20.51,20.3,20.4,20.4,448894
2020-05-07,20.38,20.5099,20.25,20.39,20.39,326311
2020-05-08,20.52,20.69,20.49,20.67,20.67,350269
2020-05-11,21.0,21.0,20.69,20.85,20.85,889469
2020-05-12,20.7,20.795,20.39,20.41,20.41,570176
2020-05-13,20.38,20.39,19.89,20.01,20.01,510419
2020-05-14,19.74,20.01,19.44,19.96,19.96,685584
2020-05-15,19.9,20.13,19.88,20.01,20.01,283204
2020-05-18,20.14,20.475,20.14,20.44,20.44,486201
2020-05-19,20.37,20.53,20.29,20.37,20.37,392562
2020-05-20,20.5,20.8,20.5,20.6,20.6,393840
2020-05-21,20.32,20.35,20.04,20.07,20.07,602821
2020-05-22,19.95,19.95,19.78,19.87,19.87,369383
