Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,36.31,36.46,34.49,34.86,33.12,1789700
2019-05-08,34.59,35.3,34.25,34.27,32.56,899500
2019-05-09,33.96,34.71,33.33,34.65,32.92,764600
2019-05-10,34.26,34.3,33.07,33.98,32.28,737400
2019-05-13,33.01,33.25,32.51,33.08,31.43,832000
2019-05-14,33.26,33.7,33.09,33.23,31.57,660600
2019-05-15,32.69,33.19,32.2,32.95,31.31,568500
2019-05-16,33.02,33.43,32.71,32.82,31.18,838900
2019-05-17,32.53,33.08,31.53,31.56,29.99,1041700
2019-05-20,31.17,31.66,30.97,31.45,29.88,761300
2019-05-21,31.74,31.9,31.32,31.43,29.86,568900
2019-05-22,31.08,31.46,30.07,30.31,28.8,927800
2019-05-23,29.99,30.34,29.45,29.91,28.42,851300
2019-05-24,30.17,30.25,29.3,29.83,28.34,856100
2019-05-28,29.78,30.34,29.67,29.8,28.31,1142100
2019-05-29,29.56,30.04,29.27,29.92,28.43,1294900
2019-05-30,30.05,30.14,28.5,28.8,27.36,1135400
2019-05-31,28.38,29.16,28.25,28.36,26.95,1286700
2019-06-03,28.38,28.86,28.15,28.52,27.1,1293400
2019-06-04,28.96,30.35,28.96,30.26,28.75,1091700
2019-06-05,30.41,30.54,29.81,30.32,28.81,630800
2019-06-06,30.23,30.48,29.44,29.7,28.22,1041800
2019-06-07,29.85,30.26,29.66,29.8,28.31,968900
2019-06-10,30.11,30.9,29.89,30.4,28.88,743600
2019-06-11,30.88,31.31,30.55,30.61,29.08,560400
2019-06-12,30.4,30.87,30.27,30.68,29.15,778700
2019-06-13,30.33,33.11,30.33,32.66,31.03,2844800
2019-06-14,32.57,33.27,32.05,33.24,31.58,1453300
2019-06-17,33.07,33.64,32.8,33.42,31.75,971100
2019-06-18,33.61,34.81,33.53,34.42,32.7,1467500
2019-06-19,34.56,34.82,34.1,34.61,32.88,920300
2019-06-20,35.17,35.45,34.53,34.77,33.04,858100
2019-06-21,34.63,35.19,34.26,34.3,32.59,1015900
2019-06-24,34.52,34.86,34.15,34.82,33.08,831400
2019-06-25,34.87,35.61,34.63,35.28,33.52,827000
2019-06-26,35.51,35.78,34.57,34.6,32.87,888600
2019-06-27,34.78,35.25,34.51,34.84,33.1,738700
2019-06-28,35.09,35.41,34.94,35.16,33.41,1405800
2019-07-01,35.79,36.22,34.75,34.95,33.21,587000
2019-07-02,34.83,34.86,34.01,34.47,32.75,852200
2019-07-03,34.76,34.9,34.33,34.87,33.13,308600
2019-07-05,34.68,34.97,33.86,34.97,33.23,436500
2019-07-08,34.76,35.01,34.22,34.49,32.77,677800
2019-07-09,34.7,35.03,34.37,35.01,33.26,580100
2019-07-10,35.11,35.29,33.84,34.76,33.03,1106300
2019-07-11,34.96,36.06,34.28,35.51,33.74,2547000
2019-07-12,35.35,36.22,35.35,35.81,34.02,1330000
2019-07-15,36.22,36.42,35.58,36.36,34.55,1104400
2019-07-16,36.4,36.84,36.37,36.51,34.69,865700
2019-07-17,36.2,36.4,35.61,36.13,34.33,667500
2019-07-18,36.3,36.33,35.73,35.84,34.05,475500
2019-07-19,35.8,36.07,35.42,35.8,34.01,670800
2019-07-22,35.84,35.96,34.83,35.04,33.29,875200
2019-07-23,35.44,35.92,35.17,35.37,33.61,654900
2019-07-24,35.2,36.64,35.07,36.39,34.57,938200
2019-07-25,36.51,36.7,35.57,35.91,34.12,597700
2019-07-26,36.01,36.26,35.54,36.06,34.26,576900
2019-07-29,36.08,36.65,35.99,36.22,34.41,802700
2019-07-30,35.9,36.35,35.12,36.2,34.39,629200
2019-07-31,36.34,36.83,35.9,36.39,34.57,1146700
2019-08-01,36.29,36.5,35.16,35.27,33.51,1605000
2019-08-02,34.86,35.17,34.02,34.74,33.01,1377800
2019-08-05,34.21,34.28,33.06,33.9,32.21,1756600
2019-08-06,33.5,34.11,31.92,33.69,32.01,2981300
2019-08-07,33.07,33.48,31.03,31.21,29.65,2650600
2019-08-08,31.54,31.88,31.13,31.8,30.21,981800
2019-08-09,31.69,31.69,30.87,31.41,29.84,1012700
2019-08-12,31.2,31.2,29.2,29.42,27.95,1619500
2019-08-13,29.33,30.01,28.98,29.23,27.77,2175300
2019-08-14,28.67,28.83,27.16,27.21,25.85,1804000
2019-08-15,27.2,27.2,25.82,26.2,24.89,1709300
2019-08-16,26.34,26.75,26.17,26.47,25.15,1062800
2019-08-19,26.89,27.14,26.2,26.22,24.91,1125900
2019-08-20,26.09,26.37,26.04,26.23,24.92,1208600
2019-08-21,26.41,26.48,25.69,25.72,24.44,891200
2019-08-22,25.87,26.05,25.43,25.46,24.19,1038500
2019-08-23,25.15,25.53,24.6,24.69,23.46,1425600
2019-08-26,24.88,24.92,24.45,24.89,23.65,1298100
2019-08-27,24.9,25.23,24.07,24.1,22.9,1048300
2019-08-28,24.01,24.56,23.86,24.08,22.88,997100
2019-08-29,24.39,25.29,24.32,24.78,23.54,802000
2019-08-30,24.93,25.3,24.71,24.77,23.53,887600
2019-09-03,24.6,24.73,23.97,24.26,23.05,979000
2019-09-04,24.53,24.92,24.34,24.39,23.17,711800
2019-09-05,24.74,25.76,24.74,25.33,24.07,1215600
2019-09-06,25.49,25.65,25.01,25.06,23.81,603400
2019-09-09,25.29,27.37,25.2,27.35,25.99,1783300
2019-09-10,27.46,28.59,27.34,28.35,26.94,1145000
2019-09-11,28.55,29.17,27.94,29.13,27.68,900000
2019-09-12,29.01,29.43,28.74,29.24,27.78,792900
2019-09-13,29.49,30.19,28.87,28.88,27.44,691900
2019-09-16,28.71,29.83,28.5,29.5,28.03,1227500
2019-09-17,29.46,29.97,28.94,29.51,28.04,872700
2019-09-18,29.47,29.66,29.08,29.5,28.03,1030000
2019-09-19,29.5,29.76,29.38,29.51,28.04,674000
2019-09-20,29.5,29.8,29.07,29.34,27.88,2254500
2019-09-23,29.11,29.28,28.6,28.98,27.53,699100
2019-09-24,28.95,29.02,27.2,27.3,25.94,1437100
2019-09-25,27.26,28.3,27.23,27.99,26.59,1024300
2019-09-26,28.49,28.49,27.72,27.77,26.38,744100
2019-09-27,27.79,28.51,27.39,27.49,26.12,742600
2019-09-30,27.49,28.42,27.4,28.26,26.85,1056600
2019-10-01,28.38,29.25,27.2,27.25,25.89,868000
2019-10-02,27.0,27.04,25.11,25.89,24.6,1821700
2019-10-03,25.79,26.01,24.87,25.89,24.6,1213400
2019-10-04,26.03,26.37,25.68,26.34,25.03,788400
2019-10-07,26.3,26.73,25.85,26.38,25.06,1066800
2019-10-08,25.81,26.08,25.33,25.66,24.38,963800
2019-10-09,25.91,26.52,25.67,26.4,25.08,689900
2019-10-10,26.53,27.07,26.35,26.71,25.38,598400
2019-10-11,27.1,28.64,27.1,28.28,26.87,778300
2019-10-14,28.14,28.49,27.68,28.46,27.04,578600
2019-10-15,28.41,29.31,28.05,29.24,27.78,758600
2019-10-16,29.15,29.92,28.57,28.67,27.24,706600
2019-10-17,28.81,29.57,28.71,29.5,28.03,466300
2019-10-18,29.36,29.89,28.66,28.73,27.3,827700
2019-10-21,29.09,29.61,28.9,29.33,27.87,972700
2019-10-22,28.93,30.03,28.31,29.89,28.4,694300
2019-10-23,29.85,31.13,29.57,31.13,29.58,985600
2019-10-24,30.38,31.05,29.27,29.96,28.47,914000
2019-10-25,28.43,30.32,28.43,29.9,28.41,1256400
2019-10-28,30.09,31.05,30.07,30.66,29.13,1309700
2019-10-29,30.63,30.77,30.29,30.4,28.88,996100
2019-10-30,30.52,30.52,29.58,30.16,28.66,712100
2019-10-31,29.95,30.19,29.12,29.71,28.23,1527700
2019-11-01,27.24,28.9,26.51,27.75,26.37,4204200
2019-11-04,28.1,29.1,27.91,28.55,27.13,1806500
2019-11-05,28.62,29.85,28.55,29.82,28.33,1540200
2019-11-06,29.66,29.84,29.02,29.25,27.79,887300
2019-11-07,29.63,29.87,29.31,29.59,28.11,1029600
2019-11-08,29.58,30.82,29.33,30.74,29.21,878600
2019-11-11,30.55,31.05,30.35,30.95,29.41,725900
2019-11-12,30.84,31.18,30.53,31.0,29.45,928000
2019-11-13,30.66,30.75,29.18,29.8,28.31,1469500
2019-11-14,29.69,30.48,29.34,30.4,28.88,1387700
2019-11-15,30.67,31.62,30.46,31.59,30.01,1084500
2019-11-18,31.52,31.59,30.74,30.96,29.42,1146300
2019-11-19,31.26,31.26,29.84,29.84,28.35,922100
2019-11-20,29.57,29.64,28.46,28.58,27.15,1155800
2019-11-21,28.91,29.02,28.18,28.71,27.28,795900
2019-11-22,29.08,29.8,28.86,29.23,27.77,1110100
2019-11-25,29.38,30.51,29.35,30.47,28.95,1198300
2019-11-26,30.45,30.81,30.09,30.25,28.74,695900
2019-11-27,30.43,30.69,30.21,30.61,29.08,585200
2019-11-29,30.47,30.69,29.67,29.75,28.27,583300
2019-12-02,29.66,30.4,29.64,29.66,28.18,696100
2019-12-03,29.04,29.35,28.71,29.34,27.88,710400
2019-12-04,29.62,30.37,29.62,29.85,28.36,630400
2019-12-05,30.13,30.22,29.63,29.79,28.3,397700
2019-12-06,30.07,31.19,30.0,31.16,29.61,789000
2019-12-09,31.06,32.15,31.01,31.81,30.22,1463700
2019-12-10,31.89,32.18,31.46,32.14,30.54,802700
2019-12-11,32.34,32.84,32.03,32.52,30.9,732100
2019-12-12,32.54,33.33,30.69,31.1,29.55,2908600
2019-12-13,31.0,31.34,29.96,31.3,29.74,1464500
2019-12-16,31.76,33.34,31.76,32.08,30.48,1163300
2019-12-17,32.09,32.5,31.83,32.29,30.68,640500
2019-12-18,32.52,33.0,32.37,32.55,30.93,573400
2019-12-19,32.72,32.84,32.2,32.4,30.78,701400
2019-12-20,32.52,33.27,32.4,32.89,31.25,1345800
2019-12-23,33.0,33.22,32.66,32.94,31.3,1377500
2019-12-24,32.98,33.32,32.92,32.97,31.33,174100
2019-12-26,32.95,33.09,32.34,32.67,31.04,363100
2019-12-27,32.94,32.99,32.36,32.39,30.77,694100
2019-12-30,32.36,33.27,31.9,32.68,31.05,709200
2019-12-31,32.57,32.99,32.17,32.24,30.63,783300
2020-01-02,32.55,33.44,32.22,33.33,31.67,1315500
2020-01-03,32.75,33.14,32.44,32.67,31.04,1071600
2020-01-06,32.24,33.0,32.01,32.87,31.23,645700
2020-01-07,32.7,33.64,32.52,33.02,31.37,748900
2020-01-08,33.13,34.01,32.91,33.62,31.94,614100
2020-01-09,34.17,35.82,34.11,35.55,33.78,2158400
2020-01-10,35.48,35.72,34.29,34.5,32.78,1567200
2020-01-13,34.83,35.99,34.79,35.72,33.94,1451400
2020-01-14,35.38,36.94,35.28,36.48,34.66,1443800
2020-01-15,36.3,36.64,35.7,35.83,34.04,1274900
2020-01-16,36.17,36.68,35.73,35.88,34.09,1075200
2020-01-17,36.05,36.09,34.77,34.99,33.24,632300
2020-01-21,34.78,35.12,34.24,34.64,32.91,769100
2020-01-22,34.89,34.91,34.31,34.51,32.79,636500
2020-01-23,34.24,34.69,33.08,34.56,32.84,630600
2020-01-24,34.65,34.79,33.74,34.2,32.49,462800
2020-01-27,33.28,33.64,32.46,32.75,31.12,1671900
2020-01-28,33.19,33.97,33.0,33.76,32.08,1395600
2020-01-29,34.0,34.49,33.51,33.57,31.9,456200
2020-01-30,33.08,33.39,32.66,33.36,31.7,427100
2020-01-31,33.05,33.2,32.31,32.8,31.16,610700
2020-02-03,32.99,33.19,32.57,32.83,31.19,519400
2020-02-04,33.48,34.75,32.99,34.39,32.67,669000
2020-02-05,34.07,35.75,34.07,35.47,33.7,632200
2020-02-06,35.86,36.17,34.5,34.56,32.84,1243200
2020-02-07,34.25,34.97,33.9,34.87,33.13,417200
2020-02-10,35.2,37.55,34.99,37.34,35.48,1218100
2020-02-11,37.67,38.77,37.52,38.6,36.67,1543400
2020-02-12,39.31,41.52,39.0,40.88,38.84,1887500
2020-02-13,40.46,41.67,39.89,41.48,39.41,1356000
2020-02-14,41.38,41.88,40.61,41.3,39.24,629400
2020-02-18,41.25,41.81,40.96,41.32,39.26,634300
2020-02-19,41.56,43.4,41.01,43.18,41.03,1954800
2020-02-20,48.74,52.98,47.55,50.34,47.83,5763400
2020-02-21,49.57,49.71,47.27,47.94,45.55,3080200
2020-02-24,45.74,46.85,43.04,44.15,41.95,2203100
2020-02-25,44.39,45.89,39.98,40.22,38.21,2577100
2020-02-26,40.38,40.45,35.84,36.02,34.22,3273000
2020-02-27,34.3,34.77,30.06,32.02,30.42,4847200
2020-02-28,31.0,33.03,30.31,32.38,30.76,3363800
2020-03-02,32.74,32.87,30.88,32.28,30.67,2263000
2020-03-03,32.41,32.9,29.76,29.93,28.44,2168800
2020-03-04,30.42,30.55,28.35,28.91,27.47,2503200
2020-03-05,27.75,28.0,24.59,24.87,23.63,3721100
2020-03-06,23.06,25.37,21.54,24.13,22.93,5185300
2020-03-09,21.71,23.0,21.01,21.09,20.04,3366800
2020-03-10,22.32,22.43,20.2,22.12,21.02,2997800
2020-03-11,21.1,21.58,19.21,19.41,18.44,3694200
2020-03-12,16.75,17.5,14.17,15.53,14.76,6386900
2020-03-13,16.83,18.01,14.81,18.01,17.11,5032000
2020-03-16,14.63,15.84,13.35,14.3,13.59,4961200
2020-03-17,14.33,14.74,12.15,12.15,11.54,4292100
2020-03-18,11.25,11.4,6.35,7.78,7.39,12204000
2020-03-19,7.79,12.18,7.36,9.68,9.2,10362500
2020-03-20,10.46,12.96,10.17,10.98,10.43,9751300
2020-03-23,11.08,14.3,9.98,13.4,12.73,10660100
2020-03-24,15.0,18.55,15.0,17.91,17.02,7093500
2020-03-25,19.1,19.98,15.0,17.24,16.38,7926300
2020-03-26,17.46,18.18,16.01,16.42,15.6,4833100
2020-03-27,15.15,15.74,14.51,14.65,13.92,3238100
2020-03-30,14.31,14.35,12.75,13.46,12.79,5233400
2020-03-31,13.63,15.08,13.55,13.9,13.21,4353700
2020-04-01,12.74,13.58,12.51,12.85,12.21,3878500
2020-04-02,12.52,13.14,11.06,11.26,10.7,4734900
2020-04-03,11.35,11.9,9.85,10.58,10.05,8105900
2020-04-06,11.61,12.54,10.7,12.36,11.74,8419600
2020-04-07,14.22,15.49,13.27,13.87,13.18,8539100
2020-04-08,14.28,14.86,13.52,14.42,13.7,4243200
