Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,0.17,0.17,0.15,0.15,0.15,26500
2019-05-10,0.15,0.15,0.15,0.15,0.15,0
2019-05-13,0.15,0.15,0.15,0.15,0.15,0
2019-05-14,0.15,0.15,0.15,0.15,0.15,50000
2019-05-15,0.15,0.15,0.15,0.15,0.15,0
2019-05-16,0.175,0.175,0.17,0.17,0.17,30000
2019-05-17,0.17,0.2,0.17,0.2,0.2,14500
2019-05-21,0.19,0.19,0.165,0.165,0.165,80200
2019-05-22,0.185,0.185,0.145,0.145,0.145,39000
2019-05-23,0.16,0.19,0.16,0.19,0.19,20000
2019-05-24,0.19,0.19,0.165,0.18,0.18,48200
2019-05-28,0.155,0.155,0.155,0.155,0.155,5000
2019-05-29,0.155,0.155,0.155,0.155,0.155,0
2019-05-30,0.155,0.155,0.155,0.155,0.155,0
2019-05-31,0.18,0.2,0.18,0.2,0.2,60400
2019-06-03,0.19,0.19,0.16,0.165,0.165,68100
2019-06-04,0.165,0.165,0.165,0.165,0.165,0
2019-06-05,0.165,0.165,0.165,0.165,0.165,0
2019-06-06,0.165,0.17,0.165,0.17,0.17,15500
2019-06-07,0.15,0.15,0.15,0.15,0.15,900
2019-06-10,0.15,0.15,0.15,0.15,0.15,0
2019-06-11,0.165,0.165,0.165,0.165,0.165,20000
2019-06-12,0.165,0.165,0.165,0.165,0.165,0
2019-06-13,0.165,0.165,0.165,0.165,0.165,0
2019-06-14,0.165,0.165,0.165,0.165,0.165,0
2019-06-17,0.17,0.17,0.17,0.17,0.17,37500
2019-06-18,0.15,0.15,0.15,0.15,0.15,1200
2019-06-19,0.17,0.18,0.135,0.18,0.18,4000
2019-06-20,0.18,0.18,0.18,0.18,0.18,20700
2019-06-21,0.18,0.18,0.18,0.18,0.18,0
2019-06-24,0.185,0.195,0.185,0.195,0.195,22000
2019-06-25,0.195,0.195,0.195,0.195,0.195,0
2019-06-26,0.19,0.19,0.165,0.19,0.19,85000
2019-06-27,0.19,0.19,0.165,0.19,0.19,300
2019-06-28,0.185,0.185,0.185,0.185,0.185,7000
2019-07-02,0.165,0.165,0.15,0.165,0.165,20000
2019-07-03,0.16,0.16,0.15,0.15,0.15,25000
2019-07-05,0.16,0.16,0.15,0.15,0.15,25000
2019-07-08,0.16,0.16,0.15,0.15,0.15,25000
2019-07-09,0.16,0.16,0.155,0.155,0.155,19000
2019-07-10,0.15,0.15,0.15,0.15,0.15,3000
2019-07-11,0.145,0.145,0.13,0.14,0.14,23100
2019-07-12,0.14,0.14,0.13,0.13,0.13,101900
2019-07-15,0.135,0.135,0.135,0.135,0.135,1500
2019-07-16,0.135,0.135,0.135,0.135,0.135,1500
2019-07-17,0.135,0.135,0.135,0.135,0.135,1500
2019-07-18,0.135,0.135,0.135,0.135,0.135,1500
2019-07-19,0.135,0.135,0.135,0.135,0.135,1500
2019-07-22,0.15,0.15,0.125,0.125,0.125,19900
2019-07-23,0.125,0.135,0.12,0.125,0.125,36500
2019-07-24,0.125,0.135,0.12,0.125,0.125,36500
2019-07-25,0.125,0.135,0.12,0.125,0.125,36500
2019-07-26,0.135,0.14,0.135,0.14,0.14,32000
2019-07-29,0.135,0.14,0.135,0.14,0.14,32000
2019-07-30,0.14,0.14,0.135,0.14,0.14,100000
2019-07-31,0.145,0.19,0.145,0.19,0.19,47000
2019-08-01,0.135,0.15,0.135,0.145,0.145,12000
2019-08-02,0.14,0.155,0.14,0.145,0.145,20000
2019-08-06,0.14,0.155,0.14,0.145,0.145,20000
2019-08-07,0.14,0.155,0.14,0.145,0.145,20000
