Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,53.89,54.15,53.29,53.7,46.39,809600
2019-05-10,53.67,54.84,53.54,54.69,47.25,1065500
2019-05-13,54.18,54.88,53.96,54.71,47.26,625500
2019-05-14,54.98,55.59,54.96,55.13,47.63,1892000
2019-05-15,55.0,55.81,55.0,55.7,48.12,1051600
2019-05-16,55.71,56.4,55.71,56.22,48.57,1180900
2019-05-17,56.29,56.96,56.25,56.71,48.99,1069800
2019-05-20,55.74,56.8,55.54,56.77,49.04,874400
2019-05-21,56.82,57.14,56.22,56.31,48.65,824900
2019-05-22,56.24,57.02,56.21,56.92,49.17,842800
2019-05-23,56.23,56.52,55.79,55.85,48.84,995800
2019-05-24,55.85,56.42,55.85,56.15,49.1,919000
2019-05-28,56.21,56.36,55.3,55.56,48.59,4033300
2019-05-29,55.03,55.27,54.53,54.77,47.9,1534600
2019-05-30,54.9,55.62,54.83,55.54,48.57,939800
2019-05-31,55.04,55.82,54.89,55.4,48.45,1076700
2019-06-03,55.41,56.66,55.41,56.45,49.36,1090200
2019-06-04,56.66,57.07,56.07,56.52,49.43,1311400
2019-06-05,56.7,56.94,56.42,56.74,49.62,1276300
2019-06-06,56.73,57.93,56.73,57.35,50.15,1308000
2019-06-07,57.69,58.35,57.55,57.61,50.38,923000
2019-06-10,57.91,57.91,57.3,57.72,50.48,786600
2019-06-11,57.65,58.24,57.57,58.24,50.93,1141300
2019-06-12,57.22,58.32,57.06,57.87,50.61,1248400
2019-06-13,57.8,57.95,57.21,57.35,50.15,2147800
2019-06-14,56.82,57.05,56.35,56.74,49.62,2120600
2019-06-17,56.85,57.47,56.76,57.45,50.24,1364700
2019-06-18,57.7,57.7,56.58,56.58,49.48,1344800
2019-06-19,56.46,57.74,56.46,57.67,50.43,1054900
2019-06-20,57.75,57.97,57.26,57.41,50.2,1328000
2019-06-21,56.85,57.44,56.26,57.34,50.14,2275500
2019-06-24,57.32,57.59,57.07,57.19,50.01,896700
2019-06-25,57.25,57.52,56.88,56.9,49.76,1180100
2019-06-26,56.72,56.79,55.47,55.5,48.53,1113800
2019-06-27,55.37,55.7,55.09,55.5,48.53,1488800
2019-06-28,55.41,56.56,55.22,56.5,49.41,1803500
2019-07-01,56.47,56.65,56.04,56.63,49.52,903800
2019-07-02,56.69,57.31,56.59,57.12,49.95,881700
2019-07-03,57.21,58.19,57.17,57.89,50.62,571000
2019-07-05,57.3,58.11,57.14,57.9,50.63,865700
2019-07-08,57.82,58.12,57.64,57.85,50.59,1000700
2019-07-09,57.75,57.97,57.21,57.31,50.12,949900
2019-07-10,57.36,57.77,57.04,57.04,49.88,852000
2019-07-11,56.93,57.05,56.56,56.96,49.81,719500
2019-07-12,56.98,57.21,56.69,57.16,49.99,889000
2019-07-15,57.3,57.88,57.26,57.58,50.35,870700
2019-07-16,57.44,57.56,56.95,57.04,49.88,1574800
2019-07-17,57.22,57.33,56.33,56.35,49.28,1008700
2019-07-18,56.5,56.78,56.15,56.65,49.54,1492900
2019-07-19,56.75,57.24,56.46,56.61,49.5,639800
2019-07-22,56.68,57.36,56.49,57.16,49.99,674000
2019-07-23,57.51,57.72,57.18,57.56,50.34,852900
2019-07-24,57.25,57.54,56.48,56.55,49.45,951500
2019-07-25,56.42,56.99,56.21,56.41,49.33,946000
2019-07-26,56.52,57.49,56.52,57.33,50.13,1100000
2019-07-29,57.43,57.43,56.76,57.3,50.11,543300
2019-07-30,56.75,56.95,56.15,56.35,49.28,655400
2019-07-31,56.25,56.26,55.06,55.28,48.34,1333300
2019-08-01,55.6,56.68,55.38,55.54,48.57,1153800
2019-08-02,55.7,55.92,55.27,55.46,48.5,786200
2019-08-05,55.37,55.52,53.78,54.33,47.51,1245400
2019-08-06,54.61,55.03,54.3,54.82,47.94,972600
2019-08-07,54.84,55.68,54.32,55.43,48.47,973100
2019-08-08,55.95,55.95,54.44,55.84,48.83,1251400
2019-08-09,56.08,56.35,55.5,55.57,48.6,1035100
2019-08-12,55.32,55.51,54.99,55.17,48.25,1197500
2019-08-13,54.56,54.99,53.85,54.36,47.54,1931900
2019-08-14,54.13,54.61,53.59,53.67,46.93,1464600
2019-08-15,53.92,54.55,53.67,54.15,47.35,1759600
2019-08-16,54.34,55.19,54.16,55.1,48.18,1120000
2019-08-19,55.13,55.46,55.03,55.11,48.19,793400
2019-08-20,54.94,54.95,53.9,54.27,47.46,1874500
2019-08-21,54.52,55.98,54.33,55.06,48.15,1155100
2019-08-22,54.68,55.22,54.38,54.82,47.94,1228100
2019-08-23,54.38,55.08,54.06,54.19,47.39,1201100
2019-08-26,54.33,54.81,54.19,54.78,47.9,1634300
2019-08-27,54.75,55.68,54.44,55.49,48.53,1542200
2019-08-28,55.24,55.83,54.75,55.72,48.73,2181300
2019-08-29,55.82,56.72,55.82,56.04,49.01,1624700
2019-08-30,56.07,56.47,55.88,56.34,49.27,1049600
2019-09-03,56.08,56.42,55.6,55.73,48.73,1017000
2019-09-04,55.98,56.75,55.94,56.26,49.2,876700
2019-09-05,56.59,56.62,55.6,55.72,48.73,1093300
2019-09-06,55.87,56.06,55.62,55.66,48.67,782600
2019-09-09,55.53,55.53,54.65,55.03,48.12,1017700
2019-09-10,54.33,54.89,53.7,54.85,47.97,1459700
2019-09-11,54.64,55.63,54.52,55.58,48.6,991700
2019-09-12,55.87,56.59,55.59,56.08,49.04,1432700
2019-09-13,55.97,56.65,55.63,55.78,48.78,880300
2019-09-16,55.41,55.72,54.98,55.0,48.1,788600
2019-09-17,54.94,55.96,54.54,55.68,48.69,1083200
2019-09-18,55.73,55.82,55.12,55.7,48.71,1073300
2019-09-19,55.6,56.64,55.6,56.09,49.05,1697900
2019-09-20,56.32,56.69,56.1,56.1,49.06,1217800
2019-09-23,55.92,56.3,55.74,55.93,48.91,591100
2019-09-24,55.97,56.22,55.21,55.26,48.32,1029700
2019-09-25,55.24,55.54,54.86,55.26,48.32,1435600
2019-09-26,55.49,56.08,55.45,55.69,48.7,733300
2019-09-27,55.59,55.77,54.59,55.04,48.13,888400
2019-09-30,55.31,56.0,55.31,55.45,48.49,977900
2019-10-01,55.6,56.19,55.34,55.87,48.86,803900
2019-10-02,55.81,56.11,54.85,55.1,48.18,1094600
2019-10-03,55.39,55.64,55.0,55.45,48.49,858600
2019-10-04,55.69,56.34,55.66,56.3,49.23,727700
2019-10-07,56.18,56.45,55.99,56.25,49.19,1042000
2019-10-08,56.21,56.33,55.31,55.58,48.6,1346400
2019-10-09,55.59,56.11,55.42,55.91,48.89,674700
2019-10-10,55.81,56.49,55.6,56.18,49.13,602800
2019-10-11,56.35,56.77,56.1,56.51,49.42,634500
2019-10-14,56.7,57.18,56.57,56.82,49.69,1083400
2019-10-15,56.93,57.57,56.93,57.25,50.06,1163100
2019-10-16,57.49,57.99,57.19,57.74,50.49,863900
2019-10-17,57.93,58.42,57.9,58.24,50.93,964200
2019-10-18,58.33,58.91,57.84,58.77,51.39,980200
2019-10-21,58.62,58.9,58.35,58.57,51.22,634200
2019-10-22,58.59,58.94,58.11,58.18,50.88,691300
2019-10-23,58.06,58.5,57.95,58.35,51.03,892200
2019-10-24,55.8,57.67,54.47,54.89,48.0,1961100
2019-10-25,54.67,54.82,53.32,54.19,47.39,1625800
2019-10-28,53.95,54.34,53.28,53.44,46.73,1559600
2019-10-29,53.2,53.56,52.47,53.01,46.36,1018000
2019-10-30,53.36,53.92,52.97,53.68,46.94,906900
2019-10-31,53.65,53.82,53.28,53.51,46.79,1090500
2019-11-01,53.87,54.52,53.68,53.85,47.09,1025700
2019-11-04,53.72,53.79,51.3,51.43,44.97,1759300
2019-11-05,51.25,52.12,51.22,51.98,45.46,1305900
2019-11-06,52.12,52.28,51.48,51.55,45.08,1291400
2019-11-07,51.95,52.2,51.14,51.14,44.72,1526900
2019-11-08,51.24,51.67,51.2,51.29,44.85,1349300
2019-11-11,51.53,51.76,51.07,51.66,45.18,1097000
2019-11-12,51.64,51.95,51.15,51.38,44.93,707700
2019-11-13,51.35,52.22,51.31,51.88,45.37,930200
2019-11-14,51.86,52.37,51.82,52.09,45.55,591300
2019-11-15,52.09,52.2,51.69,51.77,45.27,574600
2019-11-18,51.2,51.98,51.17,51.31,45.48,632100
2019-11-19,51.33,51.47,50.78,50.99,45.19,1206200
2019-11-20,51.0,51.31,50.65,50.67,44.91,2186600
2019-11-21,51.09,51.19,50.62,50.75,44.98,1105300
2019-11-22,50.67,50.94,50.04,50.17,44.47,1102700
2019-11-25,50.38,50.57,49.87,50.17,44.47,1246900
2019-11-26,50.22,50.75,50.06,50.51,44.77,2332300
2019-11-27,50.26,50.99,50.2,50.7,44.94,772600
2019-11-29,50.81,51.06,50.4,50.46,44.72,524800
2019-12-02,50.45,50.84,50.28,50.7,44.94,1278200
2019-12-03,50.89,51.38,50.55,50.64,44.88,1280100
2019-12-04,50.68,51.01,50.56,50.79,45.01,972600
2019-12-05,50.41,50.58,49.99,50.14,44.44,974200
2019-12-06,50.3,50.42,49.74,49.82,44.16,781900
2019-12-09,49.84,49.94,49.57,49.57,43.93,921800
2019-12-10,49.67,49.75,49.25,49.59,43.95,1082600
2019-12-11,49.77,50.23,49.67,50.17,44.47,930800
2019-12-12,50.22,50.29,49.6,49.64,44.0,762900
2019-12-13,49.79,50.06,49.72,50.04,44.35,807400
2019-12-16,50.13,50.31,49.89,50.16,44.46,1052300
2019-12-17,50.32,50.32,49.54,49.81,44.15,930700
2019-12-18,50.09,50.18,49.83,50.0,44.31,802400
2019-12-19,50.05,50.15,49.77,50.01,44.32,679400
2019-12-20,50.04,50.74,49.66,50.58,44.83,1351900
2019-12-23,50.66,51.07,50.44,50.69,44.93,671500
2019-12-24,50.56,50.74,50.31,50.53,44.78,237500
2019-12-26,50.73,50.74,50.45,50.63,44.87,286700
2019-12-27,50.73,51.04,50.62,50.93,45.14,378000
2019-12-30,50.8,50.98,50.53,50.71,44.94,512000
2019-12-31,50.71,50.91,50.61,50.88,45.09,486500
2020-01-02,50.99,51.24,50.6,50.93,45.14,759900
2020-01-03,50.49,51.35,50.49,51.22,45.4,704800
2020-01-06,51.23,51.46,51.03,51.39,45.55,678700
2020-01-07,51.09,51.18,49.4,49.49,43.86,1367200
2020-01-08,50.01,51.6,50.01,51.1,45.29,1111000
2020-01-09,51.05,51.24,50.66,50.85,45.07,1112000
2020-01-10,51.04,51.26,50.96,51.06,45.25,684800
2020-01-13,50.88,51.33,50.61,51.17,45.35,827200
2020-01-14,51.37,51.64,51.02,51.33,45.49,928500
2020-01-15,52.57,53.12,52.35,52.75,46.75,1018900
2020-01-16,53.08,53.2,52.72,53.13,47.09,1086900
2020-01-17,53.65,53.75,53.34,53.54,47.45,819400
2020-01-21,53.24,53.52,52.72,52.9,46.89,1115300
2020-01-22,53.38,53.64,53.16,53.48,47.4,808900
2020-01-23,53.22,53.4,52.73,53.11,47.07,886200
2020-01-24,53.4,53.57,52.79,53.12,47.08,892100
2020-01-27,52.61,53.17,52.5,52.85,46.84,610300
2020-01-28,52.85,53.34,52.84,52.99,46.96,580800
2020-01-29,53.1,53.37,52.74,52.81,46.81,531500
2020-01-30,52.88,53.14,52.37,53.12,47.08,469200
2020-01-31,53.3,53.52,52.55,52.61,46.63,864400
2020-02-03,52.98,53.77,52.98,53.43,47.35,1114800
2020-02-04,53.33,54.25,53.28,53.52,47.43,957400
2020-02-05,54.06,54.13,53.4,53.41,47.34,788300
2020-02-06,53.33,53.91,53.19,53.73,47.62,896200
2020-02-07,53.79,54.04,53.65,53.7,47.59,603600
2020-02-10,53.65,54.12,53.58,53.68,47.58,890700
2020-02-11,53.57,53.9,53.37,53.73,47.62,1260800
2020-02-12,53.44,53.65,52.22,52.39,46.43,1144300
2020-02-13,53.26,56.16,53.25,54.65,48.44,1326600
2020-02-14,55.0,55.35,54.77,55.15,48.88,815100
2020-02-18,55.22,55.71,54.85,55.01,48.76,1247300
2020-02-19,55.31,55.57,54.95,54.97,48.72,765300
2020-02-20,55.09,56.01,54.71,55.91,49.55,1691500
2020-02-21,55.89,57.11,55.85,56.67,50.23,1306500
2020-02-24,55.5,56.19,55.46,55.78,49.44,1052600
2020-02-25,55.69,55.79,54.05,54.11,47.96,1043400
