Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,43.0,43.11,42.37,42.76,37.97,15505222
2019-05-08,42.73,42.96,42.36,42.55,37.79,13076905
2019-05-09,42.29,42.98,42.16,42.92,38.12,13624398
2019-05-10,42.7,43.22,42.22,43.15,38.32,12931626
2019-05-13,42.57,43.06,42.14,42.28,37.55,17108692
2019-05-14,42.27,43.39,42.27,42.91,38.11,16592818
2019-05-15,42.75,42.92,42.15,42.49,37.73,37268762
2019-05-16,42.57,43.3,42.41,43.19,38.36,17593659
2019-05-17,43.06,43.81,43.02,43.54,38.67,13916014
2019-05-20,43.38,43.38,42.41,42.78,37.99,14094091
2019-05-21,43.06,43.31,42.68,43.29,38.44,16482314
2019-05-22,43.26,43.5,43.08,43.3,38.45,11964366
2019-05-23,43.0,43.15,42.5,42.73,37.95,14754952
2019-05-24,42.81,43.06,42.63,42.67,37.89,9361850
2019-05-28,42.85,43.03,42.43,42.47,37.72,15224647
2019-05-29,42.24,42.37,41.75,41.92,37.23,16519981
2019-05-30,42.23,42.24,41.42,41.74,37.07,22663869
2019-05-31,41.39,41.48,40.77,41.0,36.41,22114352
2019-06-03,41.03,41.26,40.68,40.96,36.38,22205798
2019-06-04,41.45,41.87,41.25,41.4,36.77,21918479
2019-06-05,41.76,41.79,41.22,41.3,36.68,24325262
2019-06-06,41.27,41.34,40.81,41.15,36.54,23997720
2019-06-07,41.35,41.59,41.1,41.48,36.84,32287627
2019-06-10,41.48,41.63,41.12,41.29,36.67,16781719
2019-06-11,41.57,41.81,41.03,41.22,36.61,16895651
2019-06-12,41.29,41.79,41.25,41.45,36.81,24733880
2019-06-13,41.46,41.73,41.37,41.69,37.02,26154957
2019-06-14,41.97,42.5,41.7,42.31,37.57,20943662
2019-06-17,42.34,42.78,42.09,42.56,37.8,14561961
2019-06-18,42.98,43.61,42.95,43.25,38.41,21811328
2019-06-19,43.22,43.76,43.07,43.14,38.31,14863769
2019-06-20,43.64,43.77,43.31,43.68,38.79,18165962
2019-06-21,43.43,43.78,43.28,43.56,38.68,24679532
2019-06-24,43.55,43.86,43.43,43.6,38.72,12693352
2019-06-25,43.52,43.56,42.69,42.75,37.97,19622232
2019-06-26,42.66,42.85,41.94,42.11,37.4,17737561
2019-06-27,42.29,42.32,41.41,42.0,37.3,19009279
2019-06-28,42.17,42.31,41.86,42.28,37.55,49938208
2019-07-01,42.65,43.0,42.34,42.71,37.93,19570297
2019-07-02,42.57,42.89,42.46,42.89,38.28,14996299
2019-07-03,43.0,43.34,42.95,43.32,38.66,8404265
2019-07-05,43.15,43.35,42.87,43.28,38.63,11608799
2019-07-08,43.18,43.22,42.57,42.63,38.05,14804494
2019-07-09,42.56,43.14,42.36,42.98,38.36,15865272
2019-07-10,44.04,44.14,43.25,43.79,39.08,22178411
2019-07-11,43.81,44.13,43.75,44.08,39.34,15189403
2019-07-12,44.07,45.01,43.96,44.64,39.84,18076680
2019-07-15,44.87,44.87,44.48,44.72,39.91,15964940
2019-07-16,44.83,45.26,44.77,45.09,40.24,17468528
2019-07-17,45.03,45.05,44.35,44.43,39.65,16688186
2019-07-18,44.25,44.58,44.09,44.56,39.77,12461411
2019-07-19,44.75,44.76,44.02,44.06,39.32,18371998
2019-07-22,44.11,44.14,43.64,43.85,39.13,17162899
2019-07-23,44.01,44.42,43.95,44.32,39.55,16611048
2019-07-24,44.31,44.88,44.23,44.87,40.04,17642409
2019-07-25,44.31,45.3,43.81,44.61,39.81,25659247
2019-07-26,44.02,45.08,44.02,44.63,39.83,17000312
2019-07-29,44.7,44.71,44.12,44.23,39.47,9840746
2019-07-30,44.04,44.26,43.72,44.08,39.34,10335709
2019-07-31,43.8,43.9,42.7,43.17,38.53,18509208
2019-08-01,43.19,43.84,42.78,42.88,38.27,17420866
2019-08-02,42.75,42.92,42.2,42.65,38.06,20839541
2019-08-05,42.14,42.2,41.13,41.61,37.14,23618691
2019-08-06,41.69,42.19,41.3,42.07,37.55,18433740
2019-08-07,41.3,41.84,40.72,41.73,37.24,22674690
2019-08-08,41.97,42.88,41.9,42.66,38.07,14085346
2019-08-09,42.63,43.15,42.38,42.93,38.31,15782174
2019-08-12,42.73,42.77,42.2,42.46,37.89,15941584
2019-08-13,42.54,44.04,42.47,43.46,38.79,21967839
2019-08-14,43.49,43.49,42.19,42.37,37.81,18319613
2019-08-15,42.45,42.88,42.05,42.35,37.8,14471621
2019-08-16,42.78,43.32,42.51,43.18,38.54,14580415
2019-08-19,43.63,44.14,43.61,44.0,39.27,13908523
2019-08-20,43.88,44.46,43.69,43.94,39.21,15758088
2019-08-21,43.76,44.16,43.48,44.11,39.37,11329583
2019-08-22,44.23,44.41,43.62,43.77,39.06,9960534
2019-08-23,43.5,43.84,42.27,42.43,37.87,18196656
2019-08-26,42.74,43.51,42.55,43.35,38.69,13009631
2019-08-27,43.9,43.92,43.42,43.6,38.91,12508281
2019-08-28,43.4,43.9,43.21,43.77,39.06,11761053
2019-08-29,44.15,44.5,43.95,44.17,39.42,11339524
2019-08-30,44.49,44.65,44.03,44.26,39.5,15484753
2019-09-03,43.89,44.08,43.53,43.88,39.16,12712092
2019-09-04,44.32,45.71,44.22,45.52,40.62,26198579
2019-09-05,46.43,46.62,45.99,46.41,41.42,22076269
2019-09-06,46.43,46.61,46.2,46.35,41.37,13101832
2019-09-09,46.65,46.69,46.14,46.42,41.43,16383180
2019-09-10,46.19,46.57,46.01,46.45,41.45,17566693
2019-09-11,46.28,46.57,46.09,46.4,41.41,12874394
2019-09-12,46.79,47.27,46.5,46.97,41.92,18660032
2019-09-13,46.96,47.16,46.79,46.88,41.84,11732669
2019-09-16,46.23,46.62,45.79,46.27,41.29,13581676
2019-09-17,46.12,46.71,45.88,46.67,41.65,10085059
2019-09-18,46.98,47.05,46.46,46.94,41.89,13184084
2019-09-19,47.04,47.16,46.57,46.68,41.66,10570434
2019-09-20,46.67,46.82,46.18,46.36,41.37,28652428
2019-09-23,46.17,46.51,46.16,46.22,41.25,19455992
2019-09-24,46.62,46.65,45.45,45.71,40.79,21170984
2019-09-25,45.79,45.98,45.32,45.83,40.9,22330848
2019-09-26,45.62,45.8,44.25,44.9,40.07,22577893
2019-09-27,45.16,45.3,44.33,44.81,39.99,15005261
2019-09-30,45.0,45.22,44.77,45.08,40.23,14142772
2019-10-01,45.18,45.71,44.48,44.52,39.92,15230293
2019-10-02,44.39,44.63,43.97,44.05,39.5,17558025
2019-10-03,44.07,44.17,43.61,44.06,39.51,14036986
2019-10-04,44.33,45.02,44.29,44.71,40.09,14984986
2019-10-07,44.39,44.96,44.33,44.59,39.98,13492411
2019-10-08,44.75,44.75,43.64,44.11,39.55,14376526
2019-10-09,44.49,44.52,44.05,44.38,39.79,10640651
2019-10-10,44.4,44.84,44.3,44.5,39.9,9837381
2019-10-11,44.84,45.94,44.63,45.55,40.84,23089944
2019-10-14,45.37,45.54,45.06,45.23,40.55,10177755
2019-10-15,45.31,45.82,45.1,45.67,40.95,9376770
2019-10-16,45.56,45.81,45.31,45.6,40.89,15021246
2019-10-17,45.83,45.96,45.51,45.93,41.18,9393032
2019-10-18,46.06,46.1,45.42,45.57,40.86,13553877
2019-10-21,45.89,46.22,45.81,46.08,41.32,10898664
2019-10-22,45.89,46.05,45.7,45.77,41.04,12172167
2019-10-23,46.01,46.19,45.47,45.72,40.99,23521466
2019-10-24,47.21,47.24,44.5,44.84,40.21,19165918
2019-10-25,45.18,45.78,44.93,45.65,40.93,15256752
2019-10-28,45.39,46.05,44.55,45.44,40.74,14824043
2019-10-29,45.19,45.65,45.12,45.35,40.66,12664523
2019-10-30,45.35,45.43,44.46,44.69,40.07,14443119
2019-10-31,44.75,44.85,43.89,44.82,40.19,23563135
2019-11-01,45.19,45.21,44.51,44.75,40.12,16314076
2019-11-04,45.11,45.22,43.75,43.89,39.35,20926406
2019-11-05,43.96,44.48,43.67,44.28,39.7,15991268
2019-11-06,44.32,44.35,43.53,44.22,39.65,19927421
2019-11-07,44.48,45.01,44.27,44.7,40.08,15632907
2019-11-08,44.68,45.2,44.43,45.19,40.52,13741759
2019-11-11,44.88,45.6,44.88,45.25,40.57,11169496
2019-11-12,45.18,45.31,44.95,45.23,40.55,12175346
2019-11-13,45.05,45.56,44.97,45.2,40.53,11477580
2019-11-14,45.14,45.57,45.04,45.45,40.75,11364315
2019-11-15,45.66,45.67,44.43,44.56,39.95,23183714
2019-11-18,44.31,44.62,44.08,44.61,40.0,16261422
2019-11-19,44.76,44.91,44.59,44.81,40.18,16469515
2019-11-20,44.39,44.63,43.88,44.22,39.64,15244237
2019-11-21,44.29,44.45,43.78,44.36,39.77,16252824
2019-11-22,44.53,44.9,44.29,44.8,40.17,14107501
2019-11-25,44.83,44.9,43.28,43.35,38.87,26200507
2019-11-26,43.47,43.85,43.25,43.55,39.05,38656974
2019-11-27,43.85,44.58,43.66,44.42,39.83,20426875
2019-11-29,44.6,44.6,44.04,44.15,39.59,8479332
2019-12-02,44.4,44.4,43.56,43.63,39.12,16789383
2019-12-03,43.35,43.73,43.08,43.65,39.14,22523112
2019-12-04,43.7,43.74,43.35,43.51,39.01,16872594
2019-12-05,43.48,44.09,43.26,44.04,39.49,22570659
2019-12-06,44.36,44.42,44.01,44.24,39.67,14667743
2019-12-09,44.26,45.09,43.74,43.89,39.35,21650388
2019-12-10,43.73,43.8,42.71,42.77,38.35,30177394
2019-12-11,42.79,42.85,42.01,42.07,37.72,37611393
2019-12-12,42.19,43.2,42.17,43.01,38.56,35992801
2019-12-13,42.84,43.8,42.73,43.58,39.08,28975886
2019-12-16,43.89,44.08,43.32,43.53,39.03,23559576
2019-12-17,43.89,43.89,43.27,43.39,38.91,18743120
2019-12-18,43.45,43.88,43.14,43.19,38.73,27057383
2019-12-19,43.27,43.65,43.03,43.64,39.13,20723161
2019-12-20,43.74,44.19,43.23,44.09,39.53,41423052
2019-12-23,44.08,44.25,43.95,44.1,39.54,22609328
2019-12-24,44.1,44.7,44.1,44.53,39.93,6504699
2019-12-26,44.73,45.0,44.57,44.97,40.32,12019715
2019-12-27,45.1,45.22,44.86,45.1,40.44,12272547
2019-12-30,45.1,45.34,44.94,45.18,40.51,12896906
2019-12-31,45.12,45.18,44.77,44.97,40.32,13881706
2020-01-02,45.36,45.4,44.93,45.37,40.68,20171891
2020-01-03,44.83,45.22,44.57,45.01,40.36,20496469
2020-01-06,44.66,44.87,44.55,44.67,40.05,17628499
2020-01-07,44.25,45.01,44.22,44.93,40.48,24566232
2020-01-08,44.94,45.57,44.76,45.39,40.89,18097609
2020-01-09,45.39,45.61,45.18,45.51,41.0,14195400
2020-01-10,45.63,45.63,44.93,44.98,40.52,15896327
2020-01-13,44.92,45.87,44.9,45.8,41.26,21789594
2020-01-14,45.57,46.22,45.5,46.03,41.47,16712123
2020-01-15,46.06,46.55,46.01,46.28,41.69,15413473
2020-01-16,46.44,46.92,46.31,46.87,42.22,24424394
2020-01-17,47.68,47.74,47.11,47.5,42.79,27667130
2020-01-21,47.48,47.48,46.79,47.3,42.61,19141599
2020-01-22,47.5,47.7,47.27,47.44,42.74,18251633
2020-01-23,46.54,46.98,45.51,45.65,41.12,37753018
2020-01-24,44.9,45.06,44.21,44.59,40.17,39229343
2020-01-27,43.93,44.75,43.8,44.0,39.64,24048845
2020-01-28,44.07,44.42,43.81,44.04,39.67,15875902
2020-01-29,44.26,44.26,43.15,43.32,39.03,21915245
2020-01-30,42.87,44.19,42.7,44.14,39.76,25105456
2020-01-31,44.12,44.14,43.0,43.19,38.91,24008284
2020-02-03,43.56,43.65,42.62,42.66,38.43,26387890
2020-02-04,43.5,44.52,43.38,44.28,39.89,28143238
2020-02-05,44.65,45.14,44.48,44.59,40.17,20332218
2020-02-06,44.76,45.06,44.29,44.6,40.18,15222392
2020-02-07,44.52,44.85,44.27,44.74,40.31,14104150
2020-02-10,44.64,44.73,44.26,44.66,40.23,15016121
2020-02-11,44.82,44.85,44.36,44.79,40.35,11075716
2020-02-12,44.98,46.14,44.91,46.02,41.46,23638289
2020-02-13,45.9,46.35,45.69,46.07,41.5,17913182
2020-02-14,46.08,46.18,45.75,46.09,41.52,15930962
2020-02-18,46.14,46.39,45.81,46.15,41.58,13694482
2020-02-19,46.22,46.26,45.86,45.97,41.41,14814425
2020-02-20,45.8,46.15,45.5,46.02,41.46,12037779
2020-02-21,45.76,46.42,45.66,45.82,41.28,21235478
2020-02-24,45.12,46.01,44.47,44.6,40.18,21720814
2020-02-25,44.75,44.89,43.03,43.17,38.89,22440550
2020-02-26,44.18,44.18,42.19,42.22,38.03,30529334
2020-02-27,41.86,42.6,40.99,41.05,36.98,36098149
2020-02-28,40.0,40.98,38.97,40.43,36.42,62188719
2020-03-02,40.34,42.53,39.4,42.52,38.31,40006925
2020-03-03,42.07,43.45,41.1,41.44,37.33,43253398
2020-03-04,41.97,42.56,41.5,42.5,38.29,24997082
2020-03-05,41.42,41.78,40.42,40.77,36.73,25284615
2020-03-06,38.91,40.6,38.83,40.37,36.37,31302063
2020-03-09,38.17,38.89,37.15,37.88,34.13,46926245
2020-03-10,38.64,39.15,36.67,39.1,35.22,48724264
2020-03-11,37.8,38.49,37.38,37.91,34.15,38873075
2020-03-12,35.58,37.85,34.44,34.94,31.48,63254520
2020-03-13,36.23,39.72,34.48,39.33,35.43,66243376
2020-03-16,34.64,38.99,34.5,36.04,32.47,41485661
2020-03-17,36.58,38.35,36.21,38.22,34.43,38934897
2020-03-18,36.23,36.75,33.27,35.68,32.14,42533357
2020-03-19,35.64,39.31,34.6,35.94,32.38,36830354
2020-03-20,36.09,36.09,32.64,33.37,30.06,47308980
2020-03-23,33.17,34.67,31.71,34.17,30.78,38600869
2020-03-24,35.37,35.37,33.53,34.64,31.21,46492841
2020-03-25,33.78,34.56,31.78,33.57,30.24,57834084
2020-03-26,33.19,37.31,33.06,36.74,33.1,38332143
2020-03-27,35.59,35.79,34.41,34.57,31.14,27910405
2020-03-30,34.74,35.63,34.55,35.49,31.97,31400214
2020-03-31,34.83,35.78,34.25,34.38,31.17,27789378
2020-04-01,33.16,33.76,32.05,32.42,29.4,26097173
2020-04-02,32.1,34.47,32.06,34.37,31.17,24683924
2020-04-03,34.1,34.64,33.41,33.95,30.78,19312587
2020-04-06,35.37,36.4,35.09,36.23,32.85,31583191
2020-04-07,36.95,37.97,36.73,36.94,33.5,26379004
2020-04-08,37.23,37.91,36.76,37.68,34.17,26522495
2020-04-09,37.49,38.05,36.8,38.0,34.46,28618348
2020-04-13,37.45,37.89,36.58,37.19,33.72,20237605
2020-04-14,37.56,38.64,37.23,38.52,34.93,21803250
2020-04-15,37.78,38.05,36.75,37.16,33.69,19786332
2020-04-16,37.53,38.02,36.66,37.83,34.3,20973848
2020-04-17,38.55,38.71,37.68,38.08,34.53,28736620
2020-04-20,37.68,38.22,37.12,37.21,33.74,18444505
2020-04-21,36.75,36.79,35.53,35.71,32.38,23004473
2020-04-22,36.23,36.35,35.68,35.73,32.4,20118447
2020-04-23,35.83,36.52,35.8,36.09,32.72,21194188
2020-04-24,36.15,37.22,36.15,37.16,33.69,19188059
2020-04-27,37.57,38.35,37.4,38.21,34.65,21775743
2020-04-28,38.63,39.07,37.91,38.08,34.53,15958719
2020-04-29,38.82,39.12,38.35,39.0,35.36,19110211
2020-04-30,36.51,38.03,36.01,37.63,34.12,33212489
2020-05-01,37.14,37.51,36.78,36.98,33.53,19951601
2020-05-04,37.15,37.2,35.92,36.22,32.84,24905973
2020-05-05,36.39,36.49,35.99,36.05,32.69,18784050
2020-05-06,36.22,36.26,35.1,35.14,31.86,20151891
2020-05-07,35.58,35.88,35.37,35.58,32.26,17466640
2020-05-08,36.25,36.65,36.0,36.53,33.13,12979665
2020-05-11,36.26,36.3,35.54,36.16,32.79,21758149
2020-05-12,36.07,36.23,35.34,35.35,32.05,17133010
2020-05-13,35.17,35.3,34.42,34.97,31.71,30898648
2020-05-14,34.78,35.84,34.17,35.76,32.43,24334887
2020-05-15,35.31,35.98,34.85,35.92,32.57,31571618
