Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,10.46,10.49,10.035,10.09,9.544871,2443910
2019-05-08,9.97,10.01,9.89,9.89,9.355677,3920784
2019-05-09,9.65,9.785,9.59,9.75,9.223241,2172271
2019-05-10,9.65,9.82,9.58,9.78,9.251619,3343985
2019-05-13,9.48,9.56,9.315,9.42,8.91107,2565398
2019-05-14,9.33,9.44,9.315,9.39,8.88269,3139203
2019-05-15,9.16,9.32,9.12,9.17,8.674576,2899646
2019-05-16,9.15,9.26,9.135,9.19,8.693495,3828408
2019-05-17,9.04,9.13,8.935,8.96,8.475922,1880781
2019-05-20,8.87,8.94,8.82,8.86,8.381324,2812280
2019-05-21,8.87,8.95,8.865,8.93,8.447543,3612418
2019-05-22,8.85,8.945,8.81,8.81,8.334025,2349514
2019-05-23,8.61,8.66,8.53,8.55,8.088073,1393656
2019-05-24,8.97,8.99,8.84,8.85,8.371865,3881616
2019-05-28,8.85,8.97,8.76,8.76,8.286727,1091878
2019-05-29,8.65,8.8,8.65,8.78,8.305646,2329233
2019-05-30,8.74,8.875,8.73,8.8,8.324565,2572742
2019-05-31,8.57,8.72,8.57,8.67,8.201589,1939839
2019-06-03,8.74,8.845,8.72,8.75,8.277267,1810336
2019-06-04,8.97,9.08,8.93,9.08,8.589437,1645034
2019-06-05,9.1,9.13,9.003,9.06,8.570519,1365164
2019-06-06,9.09,9.1,8.995,9.07,8.579978,799339
2019-06-07,9.15,9.2,9.11,9.15,8.655656,1635355
2019-06-10,9.2,9.275,9.2,9.26,8.759714,993712
2019-06-11,9.53,9.555,9.41,9.42,8.91107,2136948
2019-06-12,9.51,9.53,9.42,9.45,8.939448,1442780
2019-06-13,9.53,9.585,9.5,9.57,9.052965,973542
2019-06-14,9.53,9.55,9.4,9.48,8.967827,797015
2019-06-17,9.51,9.535,9.45,9.46,8.948908,617514
2019-06-18,9.72,9.895,9.7,9.84,9.308378,1489811
2019-06-19,10.09,10.145,10.04,10.11,9.56379,1937225
2019-06-20,10.32,10.33,10.18,10.27,9.715147,730391
2019-06-21,10.09,10.15,10.08,10.1,9.554331,1513836
2019-06-24,10.16,10.215,10.08,10.09,9.544871,2082481
2019-06-25,10.21,10.2353,10.13,10.18,9.630009,2878836
2019-06-26,10.18,10.23,10.1336,10.21,9.658388,2051938
2019-06-27,10.25,10.28,10.225,10.28,9.724606,756542
