Date,Open,High,Low,Close,AdjClose,Volume
2021-05-28,20.25,24.83,20.0,21.75,21.75,3830375
2021-06-01,20.75,24.3,20.48,23.58,23.58,826130
2021-06-02,23.26,25.82,22.0,25.11,25.110001,501538
2021-06-03,24.14,24.75,20.68,22.06,22.059999,313642
2021-06-04,22.02,24.0,22.02,22.83,22.83,137283
2021-06-07,24.68,25.0,22.19,23.15,23.15,214895
2021-06-08,23.06,23.49,22.335,22.7,22.700001,48669
2021-06-09,22.71,23.245,21.5,21.83,21.83,355322
2021-06-10,21.89,22.96,21.31,21.86,21.860001,130309
2021-06-11,21.0,22.265,20.4,21.71,21.709999,305369
2021-06-14,22.03,26.09,22.0,25.0,25.0,320413
2021-06-15,24.8,25.892,23.45,24.03,24.030001,431609
2021-06-16,24.23,24.58,23.5,24.33,24.33,186066
2021-06-17,24.63,25.66,24.0,25.66,25.66,261891
2021-06-18,25.33,26.9,24.01,24.91,24.91,76792
2021-06-21,24.49,25.15,24.25,24.76,24.76,73551
2021-06-22,26.25,26.25,24.7001,25.27,25.27,297411
2021-06-23,25.2,25.4461,23.27,23.79,23.790001,354098
2021-06-24,24.05,24.61,21.55,23.92,23.92,326258
2021-06-25,24.33,25.05,23.2214,24.5,24.5,344301
2021-06-28,24.77,24.77,23.22,23.31,23.309999,141638
2021-06-29,22.96,23.95,22.26,22.28,22.280001,106529
2021-06-30,22.4,22.99,21.9032,22.21,22.209999,415066
2021-07-01,22.33,23.14,21.3675,22.55,22.549999,273784
2021-07-02,22.55,22.87,21.48,22.12,22.120001,104646
2021-07-06,22.31,22.83,21.68,21.81,21.809999,106545
2021-07-07,22.01,22.52,20.45,21.01,21.01,546063
2021-07-08,20.51,21.36,20.4,21.19,21.190001,108014
2021-07-09,21.2,22.31,20.85,21.93,21.93,66088
2021-07-12,21.915,22.49,21.21,21.86,21.860001,132931
2021-07-13,21.65,22.94,21.11,22.26,22.26,237577
2021-07-14,22.83,23.25,21.361,21.54,21.540001,101492
2021-07-15,21.98,22.8574,20.33,20.87,20.870001,181840
2021-07-16,21.32,21.8393,20.5,21.08,21.08,194423
2021-07-19,19.6053,21.8105,19.6053,21.32,21.32,441147
2021-07-20,21.13,22.77,20.7097,21.32,21.32,400971
2021-07-21,21.11,21.44,20.79,20.99,20.99,239584
2021-07-22,20.97,21.5,20.51,21.14,21.139999,56682
2021-07-23,21.28,21.89,20.5501,21.49,21.49,48801
2021-07-26,21.4,21.9185,20.87,21.04,21.040001,391033
2021-07-27,20.99,21.335,20.17,21.07,21.07,284009
2021-07-28,21.24,21.24,20.52,20.65,20.65,42978
2021-07-29,20.85,21.25,20.165,21.07,21.07,83026
2021-07-30,20.88,21.153,20.26,20.64,20.639999,90594
2021-08-02,20.9,20.9,19.91,19.98,19.98,222122
2021-08-03,19.82,20.465,18.13,20.1,20.1,925968
2021-08-04,20.3,20.89,19.15,19.32,19.32,51929
2021-08-05,20.0,20.22,19.24,20.05,20.049999,41360
2021-08-06,19.93,21.2139,19.4744,20.15,20.15,22248
2021-08-09,20.35,21.06,19.67,20.11,20.110001,43554
2021-08-10,20.06,20.9485,19.78,20.49,20.49,82372
2021-08-11,20.12,20.5,19.2729,20.06,20.059999,72185
2021-08-12,19.65,21.18,19.58,20.89,20.889999,203751
2021-08-13,21.12,21.12,19.39,20.38,20.379999,65101
2021-08-16,19.343,21.1147,19.07,20.73,20.73,167135
2021-08-17,20.89,21.055,19.965,20.73,20.73,97797
2021-08-18,20.75,21.53,20.3,21.295,21.295,57988
2021-08-19,21.05,21.51,19.93,21.0,21.0,31919
2021-08-20,21.3,21.48,20.4643,21.07,21.07,21317
2021-08-23,21.2,21.51,20.5,21.14,21.139999,51703
2021-08-24,21.01,21.24,20.5815,21.02,21.02,11577
2021-08-25,21.0,21.3945,20.61,20.66,20.66,50972
2021-08-26,20.67,20.98,20.255,20.75,20.75,198427
2021-08-27,20.65,21.24,20.36,20.88,20.879999,15080
2021-08-30,20.88,21.44,20.7457,21.44,21.440001,27124
2021-08-31,21.56,22.05,21.0169,22.05,22.049999,24607
2021-09-01,22.22,22.59,21.77,22.16,22.16,24648
2021-09-02,22.0,23.4113,20.74,23.06,23.059999,63531
2021-09-03,22.925,23.51,22.2701,23.11,23.110001,9722
2021-09-07,23.2527,23.94,22.49,22.79,22.790001,65687
2021-09-08,22.79,23.52,20.99,21.05,21.049999,56397
2021-09-09,24.25,25.98,21.24,22.26,22.26,559109
2021-09-10,22.64,22.64,21.17,22.36,22.360001,57836
2021-09-13,22.33,22.61,21.03,21.88,21.879999,157394
2021-09-14,21.2,22.03,20.97,20.98,20.98,98499
2021-09-15,22.438,22.438,20.51,20.81,20.809999,42678
2021-09-16,21.01,21.2,19.23,19.24,19.24,103910
2021-09-17,19.15,21.07,18.77,18.78,18.780001,33556
2021-09-20,18.67,18.67,17.93,18.2,18.200001,22829
2021-09-21,18.34,19.2,17.44,18.25,18.25,81641
2021-09-22,17.555,19.23,17.36,18.05,18.049999,563892
2021-09-23,18.4,20.0,17.44,18.79,18.790001,188332
2021-09-24,18.93,20.02,17.745,18.9,18.9,232783
2021-09-27,18.65,19.5,17.32,18.03,18.030001,326413
2021-09-28,17.95,18.65,17.1,18.23,18.23,58779
2021-09-29,17.84,18.4,17.4,17.74,17.74,26363
2021-09-30,17.9,18.4413,16.41,16.7,16.700001,285487
2021-10-01,16.88,17.72,15.9,16.52,16.52,100457
2021-10-04,17.0,17.47,15.02,15.98,15.98,298274
2021-10-05,15.93,16.86,14.1504,15.91,15.91,612241
2021-10-06,15.96,16.24,14.79,14.85,14.85,79728
2021-10-07,15.16,16.0,14.24,14.3,14.3,143202
2021-10-08,14.25,14.45,13.37,13.67,13.67,148854
2021-10-11,13.8,14.4,13.34,13.74,13.74,228534
2021-10-12,13.59,14.44,13.59,14.21,14.21,1015282
2021-10-13,14.22,16.36,13.61,16.11,16.110001,493475
2021-10-14,16.02,16.4199,15.25,16.18,16.18,440242
2021-10-15,16.03,17.14,15.81,16.8,16.799999,279785
2021-10-18,16.8,17.165,16.11,16.21,16.209999,96660
2021-10-19,16.33,16.77,16.03,16.76,16.76,34529
2021-10-20,16.63,16.66,16.26,16.38,16.379999,23253
2021-10-21,16.39,17.73,16.32,16.59,16.59,99997
2021-10-22,16.5,17.08,15.23,17.0,17.0,162244
2021-10-25,16.8,17.185,16.1,16.93,16.93,52048
2021-10-26,17.48,17.48,16.15,16.27,16.27,49913
2021-10-27,16.27,16.485,15.71,16.23,16.23,56805
2021-10-28,16.1,17.63,15.8,17.54,17.540001,210384
2021-10-29,17.2,17.46,16.61,17.2,17.200001,197827
2021-11-01,15.21,15.25,13.69,14.01,14.01,1177530
2021-11-02,14.01,14.34,12.86,13.06,13.06,228403
2021-11-03,12.99,13.47,12.64,13.07,13.07,166814
2021-11-04,13.31,13.415,12.7,13.12,13.12,66910
2021-11-05,13.05,13.47,12.63,13.03,13.03,406331
2021-11-08,13.05,13.38,12.6,12.9,12.9,106218
2021-11-09,12.75,12.93,12.4006,12.67,12.67,82164
2021-11-10,12.8,12.99,12.13,12.26,12.26,80154
2021-11-11,12.48,12.48,11.84,12.2,12.2,58787
2021-11-12,12.27,12.8,12.0392,12.23,12.23,83804
2021-11-15,12.32,12.49,11.06,11.92,11.92,337396
2021-11-16,12.1,12.59,11.95,12.54,12.54,144267
2021-11-17,12.52,13.54,11.81,13.0,13.0,203969
2021-11-18,13.19,13.5802,11.64,11.84,11.84,253154
2021-11-19,12.56,13.5,12.33,13.37,13.37,187095
2021-11-22,13.51,13.8699,11.55,11.62,11.62,203257
2021-11-23,11.78,11.78,11.0,11.43,11.43,109034
2021-11-24,11.36,12.365,10.71,11.38,11.38,500329
2021-11-26,11.4,11.75,11.08,11.6,11.6,60575
2021-11-29,12.12,12.25,10.5,11.56,11.56,386143
