Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,0.045,0.045,0.035,0.04,0.04,195000
2019-05-08,0.04,0.04,0.04,0.04,0.04,26900
2019-05-09,0.04,0.04,0.04,0.04,0.04,0
2019-05-10,0.04,0.04,0.04,0.04,0.04,0
2019-05-13,0.04,0.04,0.04,0.04,0.04,800
2019-05-14,0.04,0.04,0.04,0.04,0.04,500
2019-05-15,0.04,0.04,0.04,0.04,0.04,0
2019-05-16,0.04,0.04,0.04,0.04,0.04,1000
2019-05-17,0.04,0.04,0.04,0.04,0.04,0
2019-05-21,0.04,0.04,0.04,0.04,0.04,1500
2019-05-22,0.04,0.04,0.04,0.04,0.04,0
2019-05-23,0.04,0.04,0.04,0.04,0.04,35100
2019-05-24,0.045,0.045,0.045,0.045,0.045,38000
2019-05-28,0.04,0.04,0.04,0.04,0.04,15000
2019-05-29,0.04,0.04,0.04,0.04,0.04,0
2019-05-30,0.04,0.04,0.04,0.04,0.04,0
2019-05-31,0.035,0.035,0.035,0.035,0.035,113100
2019-06-03,0.035,0.035,0.03,0.03,0.03,112000
2019-06-04,0.035,0.035,0.03,0.03,0.03,71400
2019-06-05,0.03,0.03,0.03,0.03,0.03,0
2019-06-06,0.035,0.035,0.035,0.035,0.035,123000
2019-06-07,0.035,0.035,0.035,0.035,0.035,0
2019-06-10,0.035,0.04,0.035,0.04,0.04,149000
2019-06-11,0.04,0.04,0.04,0.04,0.04,13500
2019-06-12,0.04,0.04,0.04,0.04,0.04,0
2019-06-13,0.04,0.04,0.04,0.04,0.04,3000
2019-06-14,0.03,0.03,0.03,0.03,0.03,1000
2019-06-17,0.03,0.03,0.03,0.03,0.03,0
2019-06-18,0.03,0.03,0.03,0.03,0.03,0
2019-06-19,0.03,0.03,0.03,0.03,0.03,0
2019-06-20,0.03,0.03,0.03,0.03,0.03,0
2019-06-21,0.035,0.035,0.03,0.03,0.03,32100
2019-06-24,0.035,0.035,0.03,0.03,0.03,105000
2019-06-25,0.03,0.03,0.03,0.03,0.03,0
2019-06-26,0.03,0.03,0.03,0.03,0.03,15000
2019-06-27,0.035,0.035,0.035,0.035,0.035,75000
