Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,61.16,61.34,60.3,61.0,50.83,6452200
2019-05-08,61.04,62.14,60.96,61.43,51.18,4809000
2019-05-09,60.83,61.83,60.65,61.54,51.28,7799800
2019-05-10,61.27,62.28,60.47,61.92,51.85,6411500
2019-05-13,61.49,61.91,60.82,61.19,51.24,6280300
2019-05-14,61.49,62.89,61.44,62.32,52.18,5259000
2019-05-15,62.0,62.32,61.3,62.04,51.95,6316300
2019-05-16,62.6,63.13,62.5,62.57,52.39,5312500
2019-05-17,61.97,62.57,61.82,62.1,52.0,4906100
2019-05-20,62.03,62.56,61.88,62.45,52.29,4794800
2019-05-21,62.7,63.96,62.69,63.62,53.27,5855300
2019-05-22,63.07,63.71,62.74,63.05,52.8,5156300
2019-05-23,61.84,61.97,59.22,59.5,49.82,8896800
2019-05-24,60.02,60.41,58.93,59.88,50.14,6070700
2019-05-28,60.03,60.64,59.78,60.05,50.28,5685800
2019-05-29,59.29,60.35,58.94,60.14,50.36,6828300
2019-05-30,60.07,60.31,58.6,58.95,49.36,5817900
2019-05-31,58.05,59.4,57.82,58.96,49.37,6939500
2019-06-03,59.07,60.2,59.02,59.42,49.76,6541500
2019-06-04,59.87,60.0,58.96,59.1,49.49,7260500
2019-06-05,59.21,59.3,56.98,57.08,47.8,11839200
2019-06-06,57.38,58.53,57.29,58.2,48.73,7370600
2019-06-07,58.31,59.31,58.15,58.96,49.37,5893000
2019-06-10,59.33,59.69,58.79,59.26,49.62,5268400
2019-06-11,59.69,59.87,58.66,58.73,49.18,5280300
2019-06-12,58.17,58.61,57.88,58.55,49.03,5677400
2019-06-13,59.35,59.62,58.86,59.06,49.45,5174200
2019-06-14,59.06,59.39,58.69,58.82,49.25,3590500
2019-06-17,58.35,59.11,58.28,59.01,49.41,4575000
2019-06-18,59.43,60.22,59.21,59.83,50.1,4980000
2019-06-19,59.75,60.29,59.39,59.65,49.95,4469100
2019-06-20,60.73,61.2,60.4,60.7,50.83,9437900
2019-06-21,60.7,60.99,60.27,60.33,50.52,9147100
2019-06-24,60.32,60.78,60.27,60.52,50.68,3701800
2019-06-25,60.3,60.88,59.76,59.77,50.05,5024000
2019-06-26,60.83,63.3,60.82,62.75,52.54,9509900
2019-06-27,62.58,62.86,60.88,61.27,51.31,6004700
2019-06-28,61.27,61.69,60.68,61.0,51.08,6108800
2019-07-01,62.0,62.81,61.71,62.25,52.13,6272200
2019-07-02,62.23,62.33,59.91,60.1,50.33,8132300
