Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,241.72,242.74,238.22,240.18,219.78,1775187
2019-05-08,239.56,243.05,238.19,241.34,220.84,1611887
2019-05-09,240.66,244.06,240.16,243.47,223.39,1919368
2019-05-10,242.94,248.55,240.03,247.02,226.65,2036492
2019-05-13,244.12,244.93,240.67,241.92,221.97,1962786
2019-05-14,242.29,245.09,241.81,242.73,222.71,1635179
2019-05-15,242.11,245.4,241.23,244.67,224.49,1194788
2019-05-16,245.63,249.73,245.21,247.44,227.03,1801038
2019-05-17,245.88,250.05,245.59,248.35,227.87,1672148
2019-05-20,247.15,249.94,247.15,248.9,228.37,1600493
2019-05-21,249.11,250.83,248.1,249.93,229.32,1504191
2019-05-22,251.01,251.01,249.14,249.51,228.93,1242294
2019-05-23,248.63,249.92,247.18,248.53,228.03,1822807
2019-05-24,249.11,249.56,246.77,247.3,226.91,1340428
2019-05-28,248.58,250.2,246.14,246.31,226.0,3164140
2019-05-29,244.13,244.77,238.91,240.69,220.84,2594886
2019-05-30,242.15,243.58,240.75,241.54,221.62,2030255
2019-05-31,238.98,240.66,233.05,239.58,219.82,4058490
2019-06-03,239.78,241.54,238.08,241.07,221.19,2512452
2019-06-04,243.0,245.82,242.5,245.61,225.36,1761622
2019-06-05,246.1,248.76,245.02,247.96,227.51,1825514
2019-06-06,248.0,251.94,247.74,251.21,230.49,1487759
2019-06-07,251.16,256.6,251.02,256.01,234.9,2270617
2019-06-10,256.4,258.83,256.11,256.85,235.67,1839825
2019-06-11,258.91,259.62,256.21,257.11,235.91,1613472
2019-06-12,257.58,258.75,255.77,257.23,236.02,1071667
2019-06-13,257.71,259.87,257.55,259.71,238.29,1228541
2019-06-14,260.0,261.2,258.91,260.15,238.7,1288089
2019-06-17,261.13,262.25,260.43,261.43,239.87,1192307
2019-06-18,263.61,264.2,262.05,262.74,241.07,2763187
2019-06-19,262.31,264.1,260.94,263.66,241.92,1628489
2019-06-20,265.0,267.79,264.55,267.35,245.3,1745108
2019-06-21,266.77,268.94,265.99,266.13,244.18,2964243
2019-06-24,267.31,267.97,266.52,266.77,244.77,1586110
2019-06-25,266.71,267.08,265.36,266.36,244.39,1182443
2019-06-26,266.45,266.82,264.34,264.41,242.61,1334353
2019-06-27,264.9,266.48,262.99,265.58,243.68,1122854
2019-06-28,265.5,266.39,263.36,264.26,242.47,1952692
2019-07-01,266.43,267.0,261.84,263.55,241.82,1960377
2019-07-02,263.92,265.57,261.67,265.47,243.58,1201390
2019-07-03,265.14,269.16,265.14,269.14,246.95,986472
2019-07-05,268.2,268.61,266.27,268.25,246.13,1081451
2019-07-08,268.33,269.69,267.35,269.4,247.18,1236007
2019-07-09,269.36,270.78,268.49,269.97,247.71,1400472
2019-07-10,270.05,271.53,269.34,271.42,249.04,1256976
2019-07-11,272.33,276.77,271.81,276.54,253.73,1985628
2019-07-12,276.5,280.0,276.01,279.44,256.4,2046480
2019-07-15,279.94,280.7,278.9,280.58,257.44,1568031
2019-07-16,281.0,281.37,279.78,280.65,257.51,1379215
2019-07-17,281.05,282.85,280.22,281.56,258.34,1716730
2019-07-18,282.2,283.06,279.19,282.91,259.58,1696366
2019-07-19,283.07,284.31,281.35,281.51,258.3,1607618
2019-07-22,281.22,282.32,279.32,280.17,257.07,1461682
2019-07-23,281.85,282.08,279.02,280.1,257.0,1117826
2019-07-24,279.83,281.24,279.01,280.83,257.67,1257368
2019-07-25,281.2,281.94,279.34,279.8,256.73,1600168
2019-07-26,279.8,281.77,279.12,281.37,258.17,1447719
2019-07-29,281.01,281.3,279.54,280.13,257.03,1257360
2019-07-30,280.27,280.57,279.1,279.5,256.45,978168
2019-07-31,279.02,279.72,272.63,275.63,252.9,1886852
2019-08-01,275.75,280.93,274.31,274.57,251.93,2634609
2019-08-02,274.3,274.94,270.5,272.5,250.03,1969165
2019-08-05,270.09,270.55,262.71,265.1,243.24,3329760
2019-08-06,266.47,270.23,264.05,269.31,247.1,2383225
2019-08-07,268.18,274.86,263.59,274.3,251.68,3037469
2019-08-08,273.04,274.84,271.0,274.8,252.14,2046674
2019-08-09,274.58,275.47,271.91,273.94,251.35,1284267
2019-08-12,274.03,274.98,269.3,271.31,248.94,1638619
2019-08-13,271.18,278.16,270.01,276.26,253.48,1743336
2019-08-14,274.0,275.36,268.0,268.15,246.04,2122137
2019-08-15,270.53,272.97,268.77,271.52,249.13,1651115
2019-08-16,274.1,276.07,273.44,274.1,251.5,1278604
2019-08-19,276.41,277.38,274.55,275.61,252.88,1314844
2019-08-20,276.28,276.36,272.85,272.97,250.46,1390900
2019-08-21,275.41,276.54,274.7,275.68,252.95,1682347
2019-08-22,277.01,280.99,276.87,279.92,256.84,2345701
2019-08-23,278.21,280.13,272.7,274.01,251.41,1984929
2019-08-26,275.75,278.53,275.69,278.46,255.5,1426519
