Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,161.33,161.67,154.75,156.9,156.7,6541888
2019-05-08,157.11,157.93,155.04,156.86,156.66,4061339
2019-05-09,154.65,157.1,152.39,156.31,156.11,5809346
2019-05-10,156.28,160.61,154.38,159.94,159.73,4462213
2019-05-13,154.92,156.9,152.78,153.15,152.95,5694582
2019-05-14,155.05,158.59,152.92,158.07,157.86,4954034
2019-05-15,153.82,156.38,151.7,155.06,154.86,7783774
2019-05-16,156.76,159.45,155.9,158.48,158.27,5048088
2019-05-17,156.18,157.16,153.17,154.57,154.37,5314319
2019-05-20,152.47,156.09,151.7,155.98,155.78,5437590
2019-05-21,157.36,157.84,155.18,155.78,155.58,3803459
2019-05-22,155.87,158.19,155.84,157.64,157.43,3170058
2019-05-23,156.03,156.34,152.15,153.71,153.51,4508215
2019-05-24,154.89,156.93,154.16,154.51,154.31,3151662
2019-05-28,155.35,157.81,154.39,155.19,154.99,4934063
2019-05-29,153.76,154.06,151.2,152.89,152.69,4359454
2019-05-30,154.32,155.87,153.9,155.66,155.46,4418092
2019-05-31,152.66,154.48,151.26,151.41,151.21,5326907
2019-06-03,150.7,150.7,143.39,145.1,144.91,8835249
2019-06-04,146.05,150.92,142.51,150.81,150.61,12375090
2019-06-05,157.15,158.5,154.55,158.44,158.23,12072390
2019-06-06,158.5,160.0,157.33,159.31,159.1,5601246
2019-06-07,159.84,162.99,159.5,161.27,161.06,7175301
2019-06-10,153.48,157.45,150.83,152.79,152.59,29856328
2019-06-11,155.31,155.71,148.79,150.15,149.95,15214322
2019-06-12,151.11,152.32,150.15,151.28,151.08,7161291
2019-06-13,152.16,152.24,150.25,151.34,151.14,5173787
2019-06-14,151.04,151.98,149.48,150.01,149.81,6248150
2019-06-17,150.2,151.28,149.87,150.29,150.09,4491845
2019-06-18,151.88,152.95,150.5,150.59,150.39,7317839
2019-06-19,151.69,154.47,150.51,154.14,153.94,8095299
2019-06-20,156.29,158.29,155.42,157.2,156.99,10153607
2019-06-21,156.67,157.79,155.94,156.84,156.64,9706930
2019-06-24,157.39,157.73,152.51,152.56,152.36,6378206
2019-06-25,152.83,152.97,148.59,149.34,149.15,7362484
2019-06-26,151.28,151.38,148.92,149.04,148.85,5844938
2019-06-27,149.89,150.76,148.47,150.69,150.49,6832817
2019-06-28,150.42,151.77,149.6,151.73,151.53,6936576
2019-07-01,154.57,154.74,151.85,154.06,153.86,6483352
2019-07-02,154.29,154.36,152.58,154.12,153.92,4738611
2019-07-03,154.54,155.75,154.16,155.59,155.39,3885430
2019-07-05,153.95,154.81,152.57,154.58,154.38,3940940
2019-07-08,153.52,153.69,152.04,152.81,152.61,4717368
2019-07-09,152.08,154.19,151.68,153.95,153.75,4979273
2019-07-10,154.57,156.4,154.57,156.27,156.07,4966261
2019-07-11,156.82,159.3,156.62,158.9,158.69,7083235
2019-07-12,159.4,159.62,157.4,158.08,157.87,4348123
2019-07-15,158.76,159.84,157.48,159.65,159.44,3603693
2019-07-16,159.96,161.61,156.8,157.13,156.93,6913066
2019-07-17,157.68,159.92,157.66,158.24,158.03,4160523
2019-07-18,157.0,158.58,156.21,157.98,157.77,3726542
2019-07-19,159.73,160.74,156.29,156.75,156.55,5218844
2019-07-22,157.65,159.05,157.15,157.7,157.49,2910733
2019-07-23,157.98,158.45,155.28,156.25,156.05,4865763
2019-07-24,155.98,160.25,155.7,159.75,159.54,4110516
2019-07-25,160.12,161.13,158.67,159.35,159.14,6934549
2019-07-26,159.56,160.82,158.73,159.97,159.76,4979078
2019-07-29,160.4,161.2,155.52,156.21,156.01,8880457
2019-07-30,155.34,158.22,154.62,156.96,156.76,4241587
2019-07-31,157.39,157.89,152.3,154.5,154.3,7454174
2019-08-01,154.73,157.78,150.41,150.81,150.61,26124657
2019-08-02,149.8,149.9,145.31,145.7,145.51,13138900
2019-08-05,141.34,143.75,139.8,142.82,142.63,13070094
2019-08-06,143.79,144.96,141.96,142.8,142.61,6693998
2019-08-07,140.93,143.1,139.06,141.64,141.46,7635513
2019-08-08,143.52,144.96,142.32,143.82,143.63,8670253
2019-08-09,143.61,144.47,141.69,143.37,143.18,5286734
2019-08-12,141.55,141.97,140.05,140.72,140.54,4410950
2019-08-13,140.93,145.0,140.43,143.88,143.69,5242772
2019-08-14,141.29,142.36,137.87,139.72,139.54,8607780
2019-08-15,141.1,143.3,139.75,142.13,141.94,6647733
2019-08-16,143.06,145.34,142.52,143.89,143.7,5341106
2019-08-19,145.6,146.14,142.88,143.67,143.48,4635177
2019-08-20,144.16,146.5,143.06,145.54,145.35,6262572
2019-08-21,146.9,148.39,146.16,147.38,147.19,6153669
2019-08-22,149.49,149.9,145.47,148.24,148.05,11885312
2019-08-23,157.7,158.42,150.65,151.57,151.37,26540017
2019-08-26,153.51,155.21,151.52,155.14,154.94,8978657
2019-08-27,154.26,155.9,152.53,153.57,153.37,6520653
2019-08-28,152.5,152.78,150.87,151.83,151.63,5328744
2019-08-29,153.4,156.0,152.66,155.93,155.73,5981501
2019-08-30,156.42,158.22,153.7,156.07,155.87,7593232
2019-09-03,154.21,155.32,151.76,152.73,152.53,4954246
2019-09-04,154.09,154.92,152.32,152.46,152.26,3607077
2019-09-05,154.64,154.74,151.95,153.77,153.57,5067024
2019-09-06,153.97,154.05,150.77,151.07,150.87,4722273
2019-09-09,151.66,152.15,148.09,149.54,149.34,6265476
2019-09-10,148.77,151.66,147.74,149.65,149.45,6249683
2019-09-11,150.09,154.65,149.04,154.09,153.89,6242421
2019-09-12,155.04,156.8,154.41,154.75,154.55,4993526
2019-09-13,154.32,154.91,152.74,152.98,152.78,3763493
2019-09-16,151.65,154.1,151.36,153.01,152.81,2592259
2019-09-17,153.0,153.45,151.73,152.82,152.62,3060345
2019-09-18,152.35,152.91,150.57,152.77,152.57,2973703
2019-09-19,153.52,154.25,152.77,153.6,153.4,2985482
2019-09-20,154.69,156.88,153.62,155.2,155.0,11762947
2019-09-23,154.15,155.2,152.96,154.65,154.45,3827133
2019-09-24,154.28,156.27,151.09,152.05,151.85,4158839
2019-09-25,152.05,153.21,148.9,152.99,152.79,3459570
2019-09-26,152.42,153.4,151.84,152.34,152.14,3839378
2019-09-27,153.12,153.15,146.75,148.26,148.07,5909440
2019-09-30,147.95,148.97,147.41,148.44,148.25,3733867
2019-10-01,149.49,150.16,147.25,147.69,147.5,3213561
2019-10-02,146.06,146.5,143.2,144.22,144.03,4486555
2019-10-03,144.0,147.06,142.08,147.0,146.81,3768480
2019-10-04,148.28,148.92,146.21,148.03,147.84,3274199
