Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,135.41,136.14,134.42,135.52,127.43,336800
2019-05-10,135.27,136.93,134.15,136.35,128.21,230500
2019-05-13,134.09,135.35,133.49,134.59,126.56,392200
2019-05-14,134.91,136.01,134.13,135.1,127.42,227400
2019-05-15,134.51,136.99,133.5,136.36,128.61,560900
2019-05-16,136.8,138.05,136.21,137.43,129.61,382400
2019-05-17,136.67,138.64,136.67,136.91,129.12,180200
2019-05-20,135.84,137.4,135.36,136.27,128.52,191300
2019-05-21,136.87,138.04,136.44,137.73,129.9,249200
2019-05-22,137.32,137.65,135.39,135.41,127.71,287500
2019-05-23,134.45,135.54,133.27,134.06,126.44,234800
2019-05-24,134.86,135.85,134.41,135.26,127.57,221700
2019-05-28,135.38,136.77,135.06,135.13,127.45,240100
2019-05-29,134.38,136.06,133.36,135.58,127.87,252400
2019-05-30,135.78,137.36,135.57,136.96,129.17,242900
2019-05-31,135.79,135.83,132.99,133.31,125.73,430800
2019-06-03,133.24,134.62,133.0,133.26,125.68,506900
2019-06-04,133.26,135.51,132.8,135.27,127.58,532400
2019-06-05,135.52,136.74,134.72,136.27,128.52,277400
2019-06-06,136.43,136.69,135.63,136.43,128.67,278800
2019-06-07,136.99,138.49,136.58,137.84,130.0,239600
2019-06-10,138.63,139.24,138.32,138.82,130.93,208500
2019-06-11,138.2,139.87,137.31,137.92,130.08,164000
2019-06-12,137.88,138.35,137.58,137.99,130.14,233800
2019-06-13,138.13,138.79,136.95,137.79,129.95,214400
2019-06-14,137.74,137.74,136.77,137.13,129.33,211100
2019-06-17,137.23,138.08,135.18,135.53,127.82,312300
2019-06-18,136.55,137.69,136.17,136.68,128.91,321900
2019-06-19,136.57,138.33,136.08,138.28,130.42,460900
2019-06-20,139.45,141.28,139.35,141.12,133.09,546900
2019-06-21,140.52,140.61,139.13,139.23,131.31,417600
2019-06-24,139.02,142.3,138.41,141.15,133.12,461700
2019-06-25,141.47,141.6,138.42,138.43,130.56,321700
2019-06-26,138.35,139.03,136.41,137.1,129.3,262200
2019-06-27,137.62,139.14,137.22,138.97,131.07,355600
2019-06-28,138.75,140.67,138.49,140.41,132.42,1454900
2019-07-01,140.79,142.03,140.01,140.95,132.93,290500
2019-07-02,141.41,141.41,139.72,140.14,132.17,281400
2019-07-03,140.51,140.77,139.51,140.03,132.07,209900
2019-07-05,139.21,139.49,137.66,139.35,131.43,196400
2019-07-08,137.96,138.51,136.81,137.33,129.52,317800
2019-07-09,136.94,137.33,135.09,136.0,128.27,305500
2019-07-10,136.14,137.3,134.81,134.87,127.2,223900
2019-07-11,135.04,135.55,133.51,133.94,126.32,244700
2019-07-12,133.87,135.74,133.87,135.38,127.68,239400
2019-07-15,135.38,135.53,133.96,134.05,126.43,247900
2019-07-16,133.9,135.58,133.9,135.1,127.42,330000
2019-07-17,135.01,135.01,131.91,132.05,124.54,290200
2019-07-18,132.21,132.25,131.02,131.24,123.78,308500
2019-07-19,131.43,131.96,129.81,129.84,122.46,359500
2019-07-22,130.01,130.26,128.66,129.81,122.43,446000
2019-07-23,130.73,132.47,129.74,132.16,124.64,458000
2019-07-24,142.95,142.95,137.7,139.73,131.78,1003400
2019-07-25,140.19,141.11,138.26,140.86,132.85,622500
2019-07-26,140.97,143.01,140.13,142.01,133.93,342300
2019-07-29,142.31,143.67,140.48,143.5,135.34,536000
2019-07-30,143.03,144.81,141.78,143.85,135.67,367700
2019-07-31,144.09,146.16,142.94,144.21,136.01,696300
2019-08-01,143.89,145.12,139.78,139.96,132.0,462300
2019-08-02,139.78,140.8,138.53,140.04,132.08,434500
2019-08-05,137.69,138.58,136.58,137.09,129.29,449400
2019-08-06,137.51,139.49,137.44,139.06,131.15,318600
2019-08-07,138.21,139.23,135.55,138.69,130.8,471300
2019-08-08,139.77,141.71,139.57,140.89,132.88,500300
2019-08-09,140.99,141.88,139.93,140.91,132.9,221200
2019-08-12,140.12,141.4,139.38,139.61,131.67,211300
2019-08-13,140.12,144.44,139.94,143.21,135.07,433200
2019-08-14,141.19,141.61,139.37,139.58,131.64,422200
2019-08-15,139.55,139.78,136.04,136.81,129.03,481200
2019-08-16,137.58,141.87,137.43,140.99,132.97,862100
2019-08-19,141.81,142.21,140.82,141.38,133.81,170100
2019-08-20,141.13,142.28,139.61,141.08,133.53,270400
2019-08-21,142.46,143.08,140.66,141.12,133.57,284000
2019-08-22,141.82,142.42,140.69,140.87,133.33,217200
2019-08-23,139.82,140.62,136.72,137.16,129.82,442300
2019-08-26,138.35,138.7,136.06,136.6,129.29,315400
2019-08-27,137.7,138.01,136.0,137.3,129.95,380400
2019-08-28,137.14,139.25,135.77,139.11,131.67,253900
2019-08-29,140.14,142.39,140.11,141.61,134.03,342900
2019-08-30,142.55,145.08,142.33,144.96,137.2,302000
2019-09-03,143.98,144.06,140.4,141.82,134.23,261500
2019-09-04,142.83,144.99,142.83,143.63,135.94,277700
2019-09-05,145.1,145.48,143.68,144.76,137.01,387700
2019-09-06,144.82,145.53,143.54,143.67,135.98,316100
2019-09-09,144.53,145.33,143.31,144.3,136.58,368800
2019-09-10,143.94,143.94,139.32,141.12,133.57,466600
2019-09-11,142.3,147.83,140.74,147.76,139.85,473900
2019-09-12,147.5,147.86,145.65,147.4,139.51,419900
2019-09-13,148.4,149.45,147.82,149.29,141.3,460600
2019-09-16,147.77,148.4,142.69,143.34,135.67,574300
2019-09-17,142.93,145.64,142.06,145.29,137.51,418500
2019-09-18,144.39,145.58,142.69,145.13,137.36,350000
2019-09-19,145.05,147.01,144.39,145.4,137.62,353700
2019-09-20,146.08,146.97,144.93,145.23,137.46,729300
2019-09-23,144.19,145.18,143.46,144.05,136.34,197400
2019-09-24,144.38,145.75,143.73,144.81,137.06,359600
2019-09-25,144.31,145.69,142.79,145.25,137.48,309900
2019-09-26,145.19,145.85,144.32,145.16,137.39,174100
2019-09-27,145.86,146.08,142.7,143.01,135.36,244200
2019-09-30,143.59,145.94,143.59,145.54,137.75,357100
2019-10-01,146.23,147.07,141.88,142.04,134.44,293900
