Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,117.3,118.27,116.5,118.27,94.84,9165200
2019-05-08,118.37,118.48,117.4,117.5,94.22,6229000
2019-05-09,121.12,122.32,119.86,121.19,97.18,16496300
2019-05-10,121.17,122.27,119.83,121.99,97.82,8787900
2019-05-13,121.91,122.26,120.01,120.44,96.58,7701200
2019-05-14,120.67,122.25,120.51,121.64,97.54,6858500
2019-05-15,121.2,122.49,120.87,122.14,97.94,6945000
2019-05-16,120.99,121.55,120.53,120.8,97.82,8543300
2019-05-17,120.06,121.11,119.88,120.52,97.59,6870900
2019-05-20,120.71,121.21,120.54,120.84,97.85,4569700
2019-05-21,121.03,121.94,120.9,121.34,98.26,4859400
2019-05-22,120.9,121.44,120.34,120.57,97.63,5763300
2019-05-23,118.81,118.87,116.86,117.87,95.45,11000200
2019-05-24,118.3,118.93,117.38,118.71,96.13,4890800
2019-05-28,118.88,119.32,118.17,118.31,95.8,8145100
2019-05-29,117.04,117.36,115.82,116.77,94.56,7451300
2019-05-30,116.54,116.74,114.85,115.38,93.43,5807900
2019-05-31,114.22,115.2,113.72,113.85,92.19,6899800
2019-06-03,114.7,116.1,114.47,115.99,93.92,6100800
2019-06-04,116.6,117.68,116.29,117.3,94.99,5235600
2019-06-05,117.87,118.03,116.27,117.65,95.27,5105700
2019-06-06,118.21,121.16,118.11,120.68,97.72,7370100
2019-06-07,120.74,122.12,120.53,121.48,98.37,5343100
2019-06-10,122.2,122.76,121.71,122.29,99.03,5708800
2019-06-11,123.37,123.5,121.15,121.17,98.12,5625100
2019-06-12,120.38,120.58,119.56,120.19,97.33,4000100
2019-06-13,121.24,121.89,120.46,120.91,97.91,3993300
2019-06-14,121.0,121.16,120.37,120.81,97.83,3366800
2019-06-17,120.72,121.84,120.38,121.39,98.3,4219100
2019-06-18,121.95,123.87,121.86,122.93,99.54,4884300
2019-06-19,122.51,123.48,122.22,122.89,99.51,3847100
2019-06-20,124.31,124.7,123.6,124.28,100.64,7771700
2019-06-21,124.8,126.2,124.23,124.93,101.16,14287900
2019-06-24,124.54,125.38,124.42,124.91,101.15,5542600
2019-06-25,124.84,125.11,123.49,123.64,100.12,4713300
2019-06-26,124.57,124.88,123.88,123.93,100.35,5054800
2019-06-27,123.92,124.2,122.89,123.11,99.69,3551700
2019-06-28,123.41,124.48,123.12,124.44,100.77,7048300
2019-07-01,125.36,125.84,124.36,124.84,101.09,5526900
2019-07-02,124.55,124.72,122.39,122.93,99.54,5747700
2019-07-03,122.93,123.37,122.33,123.35,99.88,2725800
2019-07-05,123.14,123.74,122.64,123.54,100.04,3458900
2019-07-08,123.66,124.09,123.42,123.6,100.09,3505200
2019-07-09,123.9,124.14,123.07,123.35,99.88,3955600
2019-07-10,124.11,125.62,124.11,125.44,101.58,4743500
2019-07-11,125.68,125.68,124.6,125.43,101.57,3548000
2019-07-12,125.38,126.25,125.13,125.98,102.01,3974400
2019-07-15,126.06,126.4,125.27,125.72,101.8,3739200
2019-07-16,125.5,125.78,124.26,124.76,101.03,4697600
2019-07-17,124.66,125.28,124.06,124.14,100.52,3874200
2019-07-18,124.12,125.05,123.36,124.68,100.96,5770700
2019-07-19,124.68,125.41,124.6,125.04,101.25,4880900
2019-07-22,125.37,125.75,124.47,125.31,101.47,3275800
2019-07-23,125.24,126.22,124.78,125.82,101.88,4295300
2019-07-24,125.87,126.94,125.66,126.54,102.47,4796900
2019-07-25,127.0,127.0,125.33,125.63,101.73,4586800
2019-07-26,125.24,125.25,123.3,123.72,100.18,6971700
2019-07-29,123.48,124.64,123.38,124.23,100.6,4377500
2019-07-30,124.1,124.75,123.38,124.34,100.69,3871700
2019-07-31,123.71,124.69,122.48,123.11,99.69,7199500
2019-08-01,122.0,123.75,120.31,120.74,97.77,7928400
2019-08-02,121.78,122.54,117.83,120.73,97.76,9026200
2019-08-05,119.19,120.55,117.45,118.74,96.15,8620300
2019-08-06,118.72,119.53,117.65,119.38,96.67,6788000
2019-08-07,117.55,119.8,116.95,119.1,96.44,6853700
2019-08-08,119.49,123.33,119.42,123.23,99.79,8868100
2019-08-09,123.11,123.89,121.89,122.42,99.13,5051700
2019-08-12,123.01,123.14,120.91,121.55,98.43,3936500
2019-08-13,121.01,122.7,120.3,122.39,99.11,5806400
2019-08-14,120.02,120.59,117.68,117.74,95.34,7175600
2019-08-15,117.24,117.84,115.46,116.95,94.7,6272600
2019-08-16,116.4,116.65,115.36,115.81,94.74,6239100
2019-08-19,117.13,117.82,116.96,117.31,95.97,6443700
2019-08-20,117.13,117.19,115.66,116.13,95.0,5150900
2019-08-21,117.79,118.22,117.33,117.88,96.44,4578400
2019-08-22,118.66,118.74,117.45,117.73,96.31,4362100
2019-08-23,116.48,118.06,114.35,115.18,94.23,7653400
2019-08-26,115.92,116.22,115.19,115.74,94.69,3966400
2019-08-27,116.27,117.03,115.04,115.83,94.76,4237100
2019-08-28,116.41,117.2,115.88,116.83,95.58,4153500
2019-08-29,117.19,117.84,116.58,117.52,96.14,4467300
2019-08-30,117.98,118.98,117.23,117.72,96.31,4881100
2019-09-03,115.77,116.33,114.55,116.27,95.12,5672500
2019-09-04,117.48,118.54,117.17,117.25,95.92,4595600
2019-09-05,118.01,119.07,117.26,117.64,96.24,5394300
2019-09-06,117.5,118.44,117.39,118.26,96.75,4578200
2019-09-09,118.74,119.63,118.58,119.39,97.67,5048000
2019-09-10,120.23,123.29,119.91,121.85,99.68,8728800
2019-09-11,122.21,122.98,120.37,121.28,99.22,5509500
2019-09-12,120.04,122.18,119.56,121.42,99.33,5818300
2019-09-13,122.25,122.32,121.24,121.5,99.4,4885400
2019-09-16,124.86,125.27,122.97,124.12,101.54,10683900
2019-09-17,124.12,124.62,122.56,123.89,101.35,7246500
2019-09-18,123.55,124.21,123.02,124.18,101.59,4801500
2019-09-19,124.77,124.97,123.42,123.66,101.16,4034500
2019-09-20,124.0,124.82,123.67,124.32,101.7,10420700
2019-09-23,123.55,125.0,123.55,124.9,102.18,4705500
2019-09-24,124.67,124.72,123.22,123.74,101.23,6232100
2019-09-25,123.48,124.15,122.91,123.51,101.04,3762500
2019-09-26,123.26,123.5,120.05,120.16,98.3,7834400
2019-09-27,119.51,120.25,118.45,118.6,97.03,6850700
2019-09-30,118.54,119.42,118.41,118.6,97.03,6108300
2019-10-01,119.27,119.46,115.88,116.01,94.91,7116600
2019-10-02,115.06,115.11,111.62,112.29,91.86,9702400
2019-10-03,112.06,113.19,110.42,113.15,92.57,5315300
2019-10-04,113.6,114.0,112.55,113.85,93.14,4757300
2019-10-07,113.96,114.75,113.23,113.26,92.66,4694000
2019-10-08,112.11,112.75,111.61,111.71,91.39,5323900
2019-10-09,112.59,114.51,112.3,113.14,92.56,4601700
2019-10-10,113.53,114.79,113.3,114.59,93.74,3555500
2019-10-11,115.69,117.03,115.36,116.15,95.02,5134200
2019-10-14,115.58,116.39,115.45,116.18,95.05,2571300
2019-10-15,115.85,117.62,115.8,116.31,95.15,3742700
2019-10-16,116.23,116.66,115.08,115.11,94.17,3608900
2019-10-17,115.61,116.06,114.92,115.35,94.37,3722400
2019-10-18,115.14,115.58,114.74,114.74,93.87,5679900
2019-10-21,115.55,116.75,115.55,116.61,95.4,3926300
2019-10-22,116.63,118.56,116.49,117.8,96.37,4095000
2019-10-23,117.4,118.02,116.78,117.98,96.52,4148500
2019-10-24,118.47,118.81,117.31,117.58,96.19,3873900
2019-10-25,117.77,118.85,117.69,118.67,97.08,3369100
2019-10-28,119.08,119.51,117.64,118.48,96.93,5076300
2019-10-29,117.97,119.07,117.69,118.13,96.64,4548400
2019-10-30,118.18,118.18,115.52,116.36,95.19,4690900
2019-10-31,115.86,116.36,115.32,116.14,95.01,7177700
2019-11-01,115.49,116.62,114.02,116.21,95.07,7684700
2019-11-04,117.23,121.87,117.02,121.57,99.45,10348800
2019-11-05,121.23,122.45,120.72,121.94,99.76,6971200
2019-11-06,121.94,122.14,119.8,119.9,98.09,6104700
2019-11-07,121.13,122.0,120.32,121.89,99.72,5440700
2019-11-08,120.97,121.2,120.16,120.93,98.93,4249800
2019-11-11,120.2,121.39,120.01,120.81,98.83,3870800
2019-11-12,121.29,122.05,120.48,120.96,98.96,4503600
2019-11-13,120.46,122.41,120.37,122.28,100.04,5076400
2019-11-14,121.85,122.94,121.4,121.96,99.77,4882800
2019-11-15,121.22,121.39,120.11,120.64,99.67,5589600
2019-11-18,119.82,120.0,118.14,118.55,97.94,4885300
2019-11-19,118.5,118.8,116.08,116.45,96.2,8723000
2019-11-20,116.41,118.08,116.12,117.34,96.94,5903100
2019-11-21,117.61,118.95,117.2,118.77,98.12,5810900
2019-11-22,119.06,119.7,118.6,118.63,98.01,4786800
2019-11-25,118.43,119.22,117.98,118.38,97.8,7390000
2019-11-26,118.34,118.56,117.2,117.79,97.31,10053100
2019-11-27,117.99,118.61,117.62,118.07,97.54,4106100
2019-11-29,117.28,117.82,116.88,117.13,96.77,3271000
2019-12-02,117.98,118.07,116.72,116.8,96.49,5195200
2019-12-03,116.2,116.7,115.7,115.89,95.74,6135800
2019-12-04,116.64,117.3,116.43,116.94,96.61,5706700
2019-12-05,117.62,117.74,116.19,116.33,96.11,5517500
2019-12-06,117.09,119.29,116.98,118.01,97.49,6735300
2019-12-09,116.52,117.89,116.44,117.3,96.91,4736100
2019-12-10,118.03,118.09,117.05,117.89,97.39,4886800
2019-12-11,117.09,117.66,116.13,116.23,96.02,7039600
2019-12-12,116.59,118.89,116.59,118.81,98.15,6462000
2019-12-13,119.05,119.54,117.9,117.96,97.45,4863400
2019-12-16,118.86,119.47,118.61,119.36,98.61,5619300
2019-12-17,119.59,119.89,118.33,118.6,97.98,6755500
2019-12-18,118.68,119.64,118.52,118.55,97.94,7496700
2019-12-19,118.57,118.74,117.86,118.13,97.59,6220300
2019-12-20,119.4,119.94,118.09,119.68,98.87,12171100
2019-12-23,119.31,120.4,119.15,120.33,99.41,5875000
2019-12-24,120.43,120.78,120.09,120.34,99.42,1640100
2019-12-26,120.67,121.42,120.34,120.6,99.63,3648600
2019-12-27,120.89,121.29,120.24,120.3,99.39,4138300
2019-12-30,120.44,121.34,119.81,119.85,99.01,4580200
2019-12-31,119.5,120.63,119.25,120.51,99.56,4215700
2020-01-02,120.81,121.63,120.77,121.43,100.32,5205000
2020-01-03,121.78,122.72,120.74,121.01,99.97,6360900
2020-01-06,121.24,121.67,120.33,120.6,99.63,9953000
2020-01-07,119.02,119.73,117.77,119.06,98.36,7856900
2020-01-08,118.55,119.09,117.65,117.7,97.24,7295900
2020-01-09,117.59,117.92,116.18,117.51,97.08,7345300
2020-01-10,117.52,117.69,116.4,116.44,96.2,6393800
2020-01-13,116.47,116.91,116.08,116.66,96.38,6846700
2020-01-14,116.5,116.88,115.71,116.3,96.08,7189100
2020-01-15,116.3,116.41,115.65,116.13,95.94,5808800
2020-01-16,116.56,117.28,116.45,116.89,96.57,7022000
2020-01-17,117.01,117.29,115.52,115.58,95.49,7885900
2020-01-21,115.1,115.15,113.17,113.31,93.61,8470300
2020-01-22,113.1,113.53,112.46,112.9,93.27,5589900
2020-01-23,112.4,113.49,111.86,113.1,93.44,8007800
2020-01-24,112.79,112.98,111.34,111.85,92.4,6920000
2020-01-27,110.25,110.83,109.98,110.39,91.2,7609800
2020-01-28,110.98,111.62,110.77,111.12,91.8,5771900
2020-01-29,111.45,111.84,110.18,110.37,91.18,4772800
2020-01-30,109.81,111.58,109.06,111.4,92.03,8382700
2020-01-31,109.81,110.0,106.4,107.14,88.51,13699600
