Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,32.34,32.7,31.22,31.97,31.969999,148725
2019-05-08,31.97,32.54,31.73,32.42,32.419998,82659
2019-05-09,31.97,32.97,31.11,32.97,32.970001,32115
2019-05-10,32.91,33.19,32.34,33.07,33.07,18311
2019-05-13,32.38,32.56,31.945,32.46,32.459999,49901
2019-05-14,32.47,33.88,32.46,33.88,33.880001,30702
2019-05-15,33.55,35.5,33.5,33.79,33.790001,186953
2019-05-16,33.87,34.3507,32.7648,33.2,33.200001,102667
2019-05-17,32.86,33.45,32.3057,32.75,32.75,67731
2019-05-20,32.47,34.6044,32.25,32.9,32.900002,103383
2019-05-21,34.5,36.5,33.7887,36.21,36.209999,202333
2019-05-22,36.5,38.78,36.1,36.2,36.200001,402522
2019-05-23,36.0,38.02,35.56,36.58,36.580002,225059
2019-05-24,36.87,37.5,35.29,35.82,35.82,257967
2019-05-28,35.73,37.59,35.5,36.07,36.07,171673
2019-05-29,36.24,37.5,35.2353,36.82,36.82,41824
2019-05-30,36.96,37.46,36.13,37.08,37.080002,62512
2019-05-31,36.86,37.4899,36.4557,37.44,37.439999,36749
2019-06-03,37.5,39.49,37.19,37.88,37.880001,169683
2019-06-04,38.14,38.2321,35.77,36.42,36.419998,118998
2019-06-05,36.62,38.69,36.508,38.26,38.259998,69252
2019-06-06,38.55,40.01,37.24,37.74,37.740002,67700
2019-06-07,37.81,40.0,37.81,38.9,38.900002,206035
2019-06-10,39.76,40.93,38.13,38.7,38.700001,127444
2019-06-11,39.09,39.83,37.32,37.69,37.689999,58379
2019-06-12,37.53,38.115,36.8,37.35,37.349998,110134
2019-06-13,37.0343,38.69,36.58,37.1,37.099998,84032
2019-06-14,37.12,37.95,35.55,36.21,36.209999,146442
2019-06-17,36.15,37.4516,36.1,37.03,37.029999,57136
2019-06-18,37.35,37.6915,36.34,36.74,36.740002,27565
2019-06-19,36.79,37.95,36.3407,37.57,37.57,94708
2019-06-20,37.5,37.94,36.26,36.9,36.900002,105655
2019-06-21,37.7562,37.7562,36.29,37.04,37.040001,112499
2019-06-24,37.12,37.93,36.4312,37.6,37.599998,62213
2019-06-25,37.6,38.71,36.48,38.35,38.349998,65659
2019-06-26,38.0,38.71,37.4631,38.5,38.5,62534
2019-06-27,38.8,40.44,38.02,39.95,39.950001,152720
2019-06-28,40.33,40.5243,39.01,40.24,40.240002,51172
2019-07-01,41.0,43.93,41.0,42.0,42.0,192654
2019-07-02,42.37,43.4407,40.85,41.48,41.48,110250
2019-07-03,41.68,42.7001,40.48,40.53,40.529999,48133
2019-07-05,40.5,40.9925,39.77,40.25,40.25,52373
2019-07-08,40.11,40.98,39.541,40.13,40.130001,189558
2019-07-09,40.2,40.215,39.6144,40.2,40.200001,44006
2019-07-10,40.2,41.76,39.21,41.21,41.209999,48505
2019-07-11,41.3,41.3,40.07,40.68,40.68,36786
2019-07-12,40.61,41.44,39.98,41.14,41.139999,39100
2019-07-15,41.2,42.2245,40.2824,41.02,41.02,47137
2019-07-16,40.78,41.4692,40.0101,40.5,40.5,38275
2019-07-17,40.7,41.3441,38.115,38.82,38.82,146504
2019-07-18,38.62,40.67,38.4501,39.87,39.869999,150626
2019-07-19,39.87,40.6,38.715,38.99,38.990002,28510
2019-07-22,39.03,40.06,38.05,38.05,38.049999,51497
2019-07-23,38.3,39.2,36.17,38.16,38.16,92490
2019-07-24,38.14,38.95,37.5001,38.75,38.75,35956
2019-07-25,38.99,39.0,37.82,38.6,38.599998,72504
2019-07-26,38.6,38.86,37.6976,38.31,38.310001,71391
2019-07-29,38.08,38.985,36.74,38.61,38.610001,37220
2019-07-30,38.0,38.0,37.18,37.49,37.490002,81096
2019-07-31,37.0,38.675,36.4313,37.0,37.0,91814
2019-08-01,36.71,38.415,36.55,37.06,37.060001,80964
2019-08-02,37.04,37.91,36.5,36.74,36.740002,89315
2019-08-05,36.19,36.61,35.11,35.85,35.849998,83014
2019-08-06,35.99,36.46,35.52,36.29,36.290001,87297
2019-08-07,36.19,37.49,36.14,37.13,37.130001,76412
2019-08-08,37.273,40.0,37.273,39.39,39.389999,77350
2019-08-09,39.27,39.95,37.4352,37.79,37.790001,46221
2019-08-12,37.33,37.94,36.9,37.07,37.07,41524
2019-08-13,36.87,37.65,36.76,36.92,36.919998,18166
2019-08-14,36.83,36.84,34.4832,35.09,35.09,42715
2019-08-15,34.86,35.76,33.8138,34.86,34.860001,27108
2019-08-16,34.66,36.33,34.4431,35.79,35.790001,62679
2019-08-19,36.02,37.11,35.03,35.89,35.889999,54831
2019-08-20,35.6,36.37,35.0,35.66,35.66,22002
2019-08-21,35.41,37.02,35.41,36.6,36.599998,59876
2019-08-22,36.64,36.95,36.305,36.66,36.66,26984
2019-08-23,36.45,37.54,36.3201,36.67,36.669998,62280
2019-08-26,37.17,38.88,36.54,38.01,38.009998,74679
2019-08-27,38.01,38.6222,36.635,37.59,37.59,75247
2019-08-28,37.3,37.83,36.645,37.5,37.5,52583
2019-08-29,37.71,38.5629,37.12,37.84,37.84,37317
2019-08-30,37.74,38.25,36.785,37.59,37.59,22581
2019-09-03,37.06,37.49,36.22,36.34,36.34,50408
2019-09-04,36.44,37.38,35.96,37.15,37.150002,35686
2019-09-05,37.56,38.03,36.945,37.23,37.23,26723
2019-09-06,37.33,37.5,36.595,36.75,36.75,42773
2019-09-09,36.6,37.21,35.5,36.7,36.700001,95278
2019-09-10,36.92,37.72,36.06,36.8,36.799999,73998
2019-09-11,36.84,38.99,36.39,37.84,37.84,140777
2019-09-12,37.88,39.49,37.3331,38.77,38.77,89469
2019-09-13,38.7,39.71,38.62,39.04,39.040001,55373
2019-09-16,38.96,39.785,38.15,39.3,39.299999,56378
2019-09-17,39.0,40.72,39.0,40.45,40.450001,47440
2019-09-18,40.25,40.74,39.7,40.45,40.450001,67768
2019-09-19,40.45,41.4856,40.18,40.97,40.970001,72270
2019-09-20,40.91,41.7,40.1,41.31,41.310001,111495
2019-09-23,41.31,41.48,38.6526,39.21,39.209999,94281
2019-09-24,39.14,39.645,36.08,37.66,37.66,141552
2019-09-25,39.02,40.1,38.05,38.6,38.599998,159551
2019-09-26,39.0,39.9,38.1906,39.75,39.75,130565
2019-09-27,39.98,39.98,37.09,37.46,37.459999,165521
2019-09-30,37.56,38.45,36.56,37.85,37.849998,133851
2019-10-01,38.0,38.0,36.08,37.45,37.450001,143123
2019-10-02,37.0,37.205,35.01,36.65,36.650002,180367
2019-10-03,36.5,37.59,35.935,37.54,37.540001,87043
2019-10-04,37.74,38.04,37.32,37.83,37.830002,47064
2019-10-07,37.7,38.23,37.4866,37.76,37.759998,37139
2019-10-08,37.86,38.01,36.86,37.4,37.400002,48081
2019-10-09,37.4,37.87,36.75,37.36,37.360001,72173
2019-10-10,37.59,37.84,36.745,37.45,37.450001,69746
2019-10-11,37.46,38.54,37.1,38.18,38.18,110215
2019-10-14,37.75,38.74,37.75,38.02,38.02,82560
2019-10-15,38.37,39.88,38.27,39.36,39.360001,69686
2019-10-16,39.6,40.4794,38.9,39.56,39.560001,102443
2019-10-17,39.89,40.21,38.86,39.84,39.84,50456
2019-10-18,40.22,40.95,38.97,39.6,39.599998,107668
2019-10-21,39.71,42.48,38.85,41.42,41.419998,347641
2019-10-22,41.7,41.96,40.7508,41.11,41.110001,81388
2019-10-23,41.35,41.42,39.8,40.36,40.360001,244507
2019-10-24,40.36,42.27,40.0901,40.78,40.779999,51407
2019-10-25,40.94,41.49,40.645,40.87,40.869999,43621
2019-10-28,40.96,41.467,40.79,41.07,41.07,55537
2019-10-29,40.76,44.96,40.76,43.72,43.720001,221600
2019-10-30,43.5,44.99,42.485,43.87,43.869999,211512
2019-10-31,43.7,44.25,43.0,43.01,43.009998,70806
2019-11-01,42.41,42.41,34.61,41.06,41.060001,484096
2019-11-04,39.95,41.0,39.84,40.72,40.720001,139606
2019-11-05,40.0,40.56,38.8867,39.66,39.66,148217
2019-11-06,39.67,39.94,37.96,38.51,38.509998,116860
2019-11-07,38.76,39.61,38.51,39.5,39.5,58432
2019-11-08,39.44,40.57,39.44,39.98,39.98,56673
2019-11-11,39.73,40.59,39.11,40.35,40.349998,153939
2019-11-12,40.2,41.87,40.075,41.13,41.130001,120760
2019-11-13,41.07,43.62,40.96,42.98,42.98,133212
2019-11-14,42.93,44.47,42.29,43.95,43.950001,110296
2019-11-15,44.65,44.76,42.76,43.98,43.98,159101
2019-11-18,44.06,46.39,44.01,44.01,44.009998,261390
2019-11-19,44.47,45.3265,42.7201,43.96,43.959999,103189
2019-11-20,44.24,46.4852,43.91,45.84,45.84,136404
2019-11-21,44.73,46.7,44.73,45.41,45.41,193881
2019-11-22,45.41,46.43,44.148,45.97,45.970001,168698
2019-11-25,46.5,46.87,45.38,45.62,45.619999,89484
2019-11-26,45.55,46.3,45.17,45.85,45.849998,140547
2019-11-27,46.0,47.9999,45.8823,46.8,46.799999,173936
2019-11-29,47.03,48.0,46.39,47.62,47.619999,91687
2019-12-02,47.65,47.9,45.4001,45.88,45.880001,91754
2019-12-03,45.48,46.661,44.14,46.21,46.209999,121221
2019-12-04,46.8,47.51,45.2535,46.09,46.09,102108
2019-12-05,46.1,47.245,44.71,46.0,46.0,132830
2019-12-06,45.9,47.46,45.3723,46.94,46.939999,108671
2019-12-09,46.58,47.8389,45.77,46.62,46.619999,105644
2019-12-10,46.62,47.45,46.02,46.49,46.490002,63383
2019-12-11,46.61,46.9,45.0,46.63,46.630001,63237
2019-12-12,47.0,47.0,45.7188,46.5,46.5,54962
2019-12-13,46.5,46.97,46.0,46.58,46.580002,50551
2019-12-16,46.78,46.9652,46.0,46.39,46.389999,59576
2019-12-17,46.39,46.68,45.0401,46.15,46.150002,52143
2019-12-18,45.98,46.96,45.8,46.6,46.599998,57205
2019-12-19,46.74,47.97,45.9,46.91,46.91,98321
2019-12-20,47.56,48.7488,47.3,48.2,48.200001,100243
2019-12-23,48.24,48.99,47.9728,48.3,48.299999,69422
2019-12-24,48.51,48.8,48.01,48.67,48.669998,42250
2019-12-26,48.0,49.75,47.89,48.87,48.869999,139079
2019-12-27,48.87,49.4613,48.04,48.67,48.669998,57207
2019-12-30,48.29,48.29,46.17,47.0,47.0,95738
2019-12-31,47.07,47.4,46.1801,46.6,46.599998,65001
2020-01-02,46.8,48.0,46.5139,47.39,47.389999,116145
2020-01-03,46.96,47.81,46.5,47.41,47.41,76613
2020-01-06,47.34,47.98,46.71,47.27,47.27,88522
2020-01-07,47.27,47.27,46.0,46.39,46.389999,124771
2020-01-08,46.39,46.82,46.18,46.48,46.48,102943
2020-01-09,46.48,46.9,45.64,46.66,46.66,199231
2020-01-10,46.66,46.66,45.34,45.93,45.93,74055
2020-01-13,45.59,46.0,42.1057,45.25,45.25,230814
2020-01-14,45.2,45.75,44.26,44.8,44.799999,79861
2020-01-15,44.8,46.87,44.35,46.36,46.360001,159306
2020-01-16,46.57,46.75,45.61,46.12,46.119999,71478
2020-01-17,45.94,46.12,44.68,45.82,45.82,147262
2020-01-21,45.8,46.6644,45.2305,45.63,45.630001,95502
2020-01-22,46.09,46.45,45.02,46.05,46.049999,56498
2020-01-23,46.22,46.38,45.99,46.0,46.0,60541
2020-01-24,46.21,47.09,46.1061,47.02,47.02,76146
2020-01-27,46.49,47.8,46.11,46.63,46.630001,48701
2020-01-28,47.01,47.2,46.02,46.91,46.91,87865
2020-01-29,47.06,47.5859,45.65,46.43,46.43,60872
2020-01-30,46.43,47.07,45.2384,47.0,47.0,79651
2020-01-31,46.9,47.2,46.0,46.17,46.169998,82427
2020-02-03,46.13,46.7404,45.55,45.8,45.799999,100181
2020-02-04,46.59,47.9799,46.1566,47.07,47.07,108310
2020-02-05,47.37,49.245,47.1,47.71,47.709999,182924
2020-02-06,47.92,48.62,47.01,47.36,47.360001,59113
2020-02-07,47.11,48.3,46.8,47.76,47.759998,49735
2020-02-10,47.69,49.4799,47.2298,48.26,48.259998,139346
2020-02-11,48.73,48.7357,47.3237,47.8,47.799999,47184
2020-02-12,48.0,48.8165,46.27,48.31,48.310001,142484
2020-02-13,50.06,55.5,48.41,54.98,54.98,533423
2020-02-14,54.85,54.85,53.1401,53.32,53.32,256592
2020-02-18,53.29,53.71,52.02,53.39,53.389999,191956
2020-02-19,53.66,55.41,53.102,55.23,55.23,168815
2020-02-20,55.23,55.75,54.4079,55.43,55.43,147214
2020-02-21,55.23,55.71,54.49,55.5,55.5,245819
2020-02-24,54.0,54.0,50.3801,52.0,52.0,186633
2020-02-25,52.1,52.7542,49.9605,50.07,50.07,131336
2020-02-26,50.24,54.69,50.22,53.81,53.810001,211132
2020-02-27,53.85,56.76,53.09,55.12,55.119999,190256
2020-02-28,53.5,54.45,51.02,53.05,53.049999,272614
2020-03-02,53.79,53.79,52.07,53.03,53.029999,191745
2020-03-03,52.93,54.15,52.135,53.68,53.68,222695
2020-03-04,54.57,54.57,51.66,53.04,53.040001,239216
2020-03-05,52.5,53.56,52.08,52.97,52.970001,145100
2020-03-06,52.71,52.96,49.471,50.43,50.43,234868
2020-03-09,48.47,48.47,44.85,45.64,45.639999,701256
2020-03-10,45.99,46.5,43.77,44.11,44.110001,353919
2020-03-11,43.94,44.74,43.26,43.43,43.43,425191
2020-03-12,40.91,41.46,38.53,40.21,40.209999,298617
2020-03-13,41.29,42.0,38.02,40.25,40.25,337696
2020-03-16,35.0,36.99,27.81,32.96,32.959999,1067284
2020-03-17,32.94,35.24,32.0,35.0,35.0,391492
2020-03-18,33.5,34.0,29.0,30.23,30.23,144243
2020-03-19,30.28,31.11,30.03,30.77,30.77,368197
