Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,169.0,169.72,168.3,169.27,151.34,388972
2019-05-10,169.85,170.17,168.86,170.03,152.02,267158
2019-05-13,169.28,169.67,168.6,169.23,151.3,271132
2019-05-14,169.22,169.67,169.05,169.1,151.19,261965
2019-05-15,169.61,170.94,169.39,170.05,152.04,330288
2019-05-16,170.25,171.58,169.96,170.8,152.71,350760
2019-05-17,170.21,170.77,169.66,169.81,151.82,278834
2019-05-20,170.0,170.78,169.26,169.49,151.54,249410
2019-05-21,169.91,169.91,168.99,169.44,151.49,285749
2019-05-22,166.11,168.77,166.11,168.56,150.7,326002
2019-05-23,168.16,168.67,167.92,167.99,150.2,277751
2019-05-24,170.29,170.51,169.63,169.98,151.97,214228
2019-05-28,170.22,170.78,169.35,169.35,151.41,253360
2019-05-29,168.05,168.15,166.85,167.18,149.47,315549
2019-05-30,168.66,169.4,168.41,169.35,151.41,287899
2019-05-31,167.34,168.29,166.75,168.06,150.26,229852
2019-06-03,169.74,170.08,168.9,169.83,151.84,247692
2019-06-04,169.28,169.4,167.17,167.65,149.89,279269
2019-06-05,169.05,170.25,168.84,169.9,151.9,389835
2019-06-06,171.15,172.03,170.98,171.09,152.97,392121
2019-06-07,173.07,173.87,172.95,173.44,155.07,337462
2019-06-10,172.9,172.92,172.23,172.76,154.46,202012
2019-06-11,172.64,173.01,172.12,172.59,154.31,225517
2019-06-12,173.9,174.73,173.89,174.14,155.69,200997
2019-06-13,174.29,174.49,172.73,173.0,154.67,310916
2019-06-14,171.79,172.57,171.79,172.19,153.95,159907
2019-06-17,170.76,171.2,170.39,170.67,152.59,197129
2019-06-18,172.86,172.95,169.95,170.25,152.22,303569
2019-06-19,170.06,172.19,169.89,172.07,153.84,254478
2019-06-20,172.22,172.88,172.09,172.77,154.47,187098
2019-06-21,171.37,172.18,170.8,171.94,153.73,256171
2019-06-24,173.64,174.74,173.49,174.55,156.06,280806
2019-06-25,174.45,174.59,172.98,173.2,154.85,234517
2019-06-26,172.57,172.8,171.79,171.99,153.77,279564
2019-06-27,171.53,171.78,170.86,171.61,153.43,258539
2019-06-28,171.61,172.32,171.33,172.32,154.07,295024
2019-07-01,171.08,171.31,170.34,170.93,152.82,439172
2019-07-02,171.87,173.82,171.86,173.64,155.25,325293
2019-07-03,175.1,176.07,175.01,175.53,156.94,148031
2019-07-05,172.01,172.85,171.0,172.63,154.34,231984
2019-07-08,173.05,173.61,172.71,173.19,154.84,218155
2019-07-09,171.95,172.77,171.62,171.94,153.73,290233
2019-07-10,171.51,172.89,171.44,172.46,154.19,222784
2019-07-11,172.86,173.08,171.97,172.53,154.25,153438
2019-07-12,170.26,170.78,169.53,170.26,152.22,279053
2019-07-15,170.33,171.04,170.13,170.85,152.75,325936
2019-07-16,170.71,170.79,169.73,170.16,152.14,362419
2019-07-17,171.38,171.61,170.61,170.87,152.77,266583
2019-07-18,169.76,171.22,169.41,170.95,152.84,445281
2019-07-19,170.87,170.87,169.54,170.61,152.54,544404
2019-07-22,169.24,170.13,168.81,169.77,151.79,515766
2019-07-23,169.43,170.14,168.92,169.33,151.39,516284
2019-07-24,166.92,168.38,166.42,167.29,149.57,504156
2019-07-25,164.07,164.17,162.03,163.32,146.02,846967
2019-07-26,164.6,165.33,164.16,165.08,147.59,402245
2019-07-29,167.47,168.1,166.8,167.91,150.12,562208
2019-07-30,167.98,168.29,167.45,168.14,150.33,528096
2019-07-31,167.48,168.62,165.8,166.88,149.2,312690
2019-08-01,168.89,171.17,168.81,168.84,150.95,464740
2019-08-02,168.29,168.5,166.49,166.82,149.15,407821
2019-08-05,165.66,166.01,162.37,163.28,145.98,480882
2019-08-06,163.69,164.3,162.87,163.74,146.4,223086
2019-08-07,163.87,165.68,163.51,164.92,147.45,320818
2019-08-08,161.21,163.89,160.99,163.58,148.12,361977
2019-08-09,164.11,164.44,163.14,163.72,148.25,342293
2019-08-12,165.36,165.8,164.47,164.72,149.15,250111
2019-08-13,163.79,164.82,163.6,163.92,148.43,229192
2019-08-14,163.53,164.25,162.58,162.78,147.39,345774
2019-08-15,165.75,166.18,164.8,165.64,149.98,275689
2019-08-16,167.78,167.98,166.84,167.69,151.84,499030
2019-08-19,167.75,168.08,166.78,166.86,151.09,377335
2019-08-20,168.19,168.38,166.52,166.7,150.94,482616
2019-08-21,169.1,169.19,167.77,168.03,152.15,607142
2019-08-22,167.2,168.33,166.85,168.15,152.26,395175
2019-08-23,168.81,169.19,166.01,166.37,150.65,358380
2019-08-26,166.34,167.36,165.74,166.99,151.21,203051
2019-08-27,168.13,169.16,167.69,168.76,152.81,291625
2019-08-28,168.27,169.15,167.5,169.03,153.05,272348
2019-08-29,170.0,170.64,169.65,170.52,154.4,211631
2019-08-30,171.99,172.04,170.29,171.28,155.09,194717
2019-09-03,173.61,175.42,173.39,174.72,158.21,376840
2019-09-04,175.39,176.22,175.17,175.98,159.35,584284
2019-09-05,173.44,173.7,167.57,168.17,152.28,878448
2019-09-06,169.09,171.2,168.94,169.93,153.87,670363
2019-09-09,167.1,167.31,165.94,167.13,151.33,271794
2019-09-10,163.98,165.05,163.39,164.49,148.94,369712
2019-09-11,164.6,166.38,164.53,165.79,150.12,327482
2019-09-12,165.72,167.22,165.56,166.57,150.83,245471
2019-09-13,162.54,164.16,162.3,163.24,147.81,426658
2019-09-16,162.41,162.66,160.91,161.41,146.15,329741
2019-09-17,162.38,163.99,162.22,163.9,148.41,351231
2019-09-18,162.73,163.51,161.93,163.21,147.78,428704
2019-09-19,162.79,163.94,162.79,163.1,147.68,354955
2019-09-20,162.64,162.96,161.19,161.41,146.15,511395
2019-09-23,162.05,162.34,161.6,161.98,146.67,322743
2019-09-24,161.95,162.83,161.91,162.27,146.93,278867
2019-09-25,160.89,161.24,160.02,160.78,145.58,459067
2019-09-26,162.0,162.93,161.9,162.43,147.08,322021
2019-09-27,163.28,163.43,161.92,162.57,147.2,334584
2019-09-30,164.0,165.11,163.44,163.52,148.06,309835
2019-10-01,162.33,163.6,161.63,163.4,147.96,325258
2019-10-02,159.52,160.03,157.81,158.28,143.32,478775
2019-10-03,161.09,162.86,160.58,162.52,147.16,462000
2019-10-04,161.01,163.32,161.01,163.32,147.88,333244
2019-10-07,163.58,165.01,163.34,163.85,148.36,558763
2019-10-08,163.08,163.63,162.26,162.69,147.31,543303
2019-10-09,163.95,165.0,163.76,164.76,149.19,396504
2019-10-10,162.94,164.53,162.85,164.1,148.59,276372
2019-10-11,162.38,164.07,162.04,163.3,147.87,634337
2019-10-14,162.14,163.58,162.14,162.99,147.58,450608
2019-10-15,161.67,162.91,161.43,162.24,146.91,661273
2019-10-16,162.22,163.18,161.92,162.98,147.58,262662
2019-10-17,161.61,162.98,161.5,162.65,147.28,399402
2019-10-18,161.65,162.25,161.03,161.63,146.35,334477
2019-10-21,161.5,161.94,160.78,160.87,145.67,271462
2019-10-22,161.37,162.24,160.71,160.95,145.74,256607
2019-10-23,160.58,161.55,160.55,161.03,145.81,270032
2019-10-24,161.5,162.23,161.17,161.75,146.46,249472
2019-10-25,160.85,161.06,160.21,160.34,145.19,332807
2019-10-28,160.07,160.21,159.23,159.4,144.33,333047
2019-10-29,159.58,160.35,159.0,159.84,144.73,211181
2019-10-30,162.44,163.82,161.68,163.29,147.86,348529
2019-10-31,163.74,164.3,163.05,163.87,148.38,438541
2019-11-01,164.33,164.33,162.94,163.0,147.59,215761
2019-11-04,162.72,162.83,160.32,160.56,145.38,289487
2019-11-05,161.03,161.03,159.42,159.98,144.86,500944
2019-11-06,161.29,161.39,160.39,160.51,145.34,251764
2019-11-07,160.84,160.84,159.28,160.07,144.94,235683
2019-11-08,158.9,159.33,158.14,159.04,144.01,418426
2019-11-11,159.39,160.32,159.19,159.79,144.69,214274
2019-11-12,158.86,158.95,157.31,158.0,143.07,396257
2019-11-13,159.82,160.59,159.16,160.36,145.2,271650
2019-11-14,161.58,161.66,160.37,160.92,145.71,207769
2019-11-15,159.61,160.34,159.36,160.13,145.0,282589
2019-11-18,160.76,161.31,160.3,160.53,145.36,203113
2019-11-19,161.28,161.61,161.08,161.61,146.34,222495
2019-11-20,161.48,161.68,160.82,161.0,145.78,245954
2019-11-21,160.54,160.68,159.51,160.08,144.95,222577
2019-11-22,160.57,160.57,159.75,160.03,144.9,172310
2019-11-25,162.98,163.0,162.02,162.51,147.15,439594
2019-11-26,163.93,164.49,163.32,163.78,148.3,434655
2019-11-27,164.15,164.46,163.55,164.07,148.56,338524
2019-11-29,163.81,164.22,163.26,163.44,147.99,169171
2019-12-02,162.93,163.08,161.39,162.77,147.39,322398
2019-12-03,162.4,162.71,161.67,162.21,146.88,293395
2019-12-04,161.39,162.12,161.12,161.77,146.48,318762
2019-12-05,161.37,161.5,160.85,161.34,146.09,310900
2019-12-06,162.51,162.86,161.65,162.05,146.73,269719
2019-12-09,162.24,162.56,161.71,161.79,146.5,203911
2019-12-10,161.94,162.05,161.45,161.5,146.24,206979
2019-12-11,161.3,162.63,161.29,162.18,146.85,194507
2019-12-12,161.41,161.96,160.08,160.7,145.51,322062
2019-12-13,162.72,163.45,162.14,162.63,147.26,494271
2019-12-16,166.94,167.21,165.58,165.91,150.23,607215
2019-12-17,164.64,165.76,164.25,164.93,149.34,449792
