Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,115.52,116.5,115.08,116.42,114.1,2464934
2019-05-10,116.08,117.24,114.27,116.72,114.4,1791091
2019-05-13,114.74,115.48,113.73,114.75,112.47,2621471
2019-05-14,115.13,116.86,115.01,115.9,113.59,1984989
2019-05-15,114.98,116.6,114.33,116.16,113.85,1860640
2019-05-16,116.77,118.02,116.44,117.24,114.91,2598952
2019-05-17,115.99,117.79,115.99,116.21,113.89,3079260
2019-05-20,115.39,116.07,114.69,115.52,113.22,2875015
2019-05-21,116.38,117.09,115.41,115.42,113.12,3239388
2019-05-22,115.56,117.12,115.31,116.77,114.45,2170310
2019-05-23,115.9,116.76,115.43,116.68,114.35,1877887
2019-05-24,117.57,118.1,116.83,117.04,114.71,2018900
2019-05-28,117.57,118.88,115.13,115.35,113.05,4002886
2019-05-29,115.18,115.75,114.49,115.48,113.18,2034534
2019-05-30,115.46,117.52,115.34,117.39,115.06,2246684
2019-05-31,116.65,117.74,115.9,117.01,114.68,2247147
2019-06-03,117.18,118.62,116.3,116.93,114.61,2602339
2019-06-04,118.52,118.52,116.87,117.4,115.07,3768011
2019-06-05,118.5,119.5,117.65,118.96,116.59,3418008
2019-06-06,119.01,120.37,118.66,119.59,117.21,2416468
2019-06-07,120.36,122.19,119.87,121.9,119.47,2686702
2019-06-10,122.49,123.2,121.45,122.3,119.86,1980636
2019-06-11,122.96,123.63,120.73,122.24,119.81,1971162
2019-06-12,122.31,123.2,122.2,123.01,120.56,2059380
2019-06-13,123.3,123.62,122.65,123.58,121.12,1723252
2019-06-14,123.58,124.32,123.29,123.77,121.3,2591604
2019-06-17,124.09,124.3,122.9,123.52,121.06,2481704
2019-06-18,124.5,125.46,123.76,124.99,122.5,2064659
2019-06-19,124.76,126.91,124.76,126.35,123.83,2169609
2019-06-20,127.58,128.15,126.43,127.33,124.8,2316901
2019-06-21,127.02,127.71,126.37,127.4,124.87,3402674
2019-06-24,127.31,127.72,125.98,126.0,123.49,2448772
2019-06-25,126.25,127.28,125.7,126.05,123.54,2632913
2019-06-26,125.88,126.3,123.95,124.9,122.42,2614368
2019-06-27,125.66,125.96,124.64,125.85,123.49,1823181
2019-06-28,125.85,126.85,124.74,126.68,124.31,4261972
2019-07-01,127.68,128.42,127.07,127.64,125.25,1714150
2019-07-02,128.01,128.09,126.76,127.77,125.37,1997849
2019-07-03,128.12,128.83,127.81,128.8,126.39,1639634
2019-07-05,128.15,128.97,126.85,128.04,125.64,1268870
2019-07-08,127.62,127.64,126.45,127.3,124.92,2205541
2019-07-09,126.83,127.03,125.96,126.13,123.76,2822669
2019-07-10,126.52,127.3,126.37,126.4,124.03,2653804
2019-07-11,126.92,126.96,125.83,126.5,124.13,2617446
2019-07-12,126.22,126.44,123.66,124.12,121.8,4832822
2019-07-15,124.43,125.3,123.68,125.08,122.74,2746130
2019-07-16,125.38,125.63,123.83,123.95,121.62,2457780
2019-07-17,124.44,125.27,123.59,123.79,121.47,3108430
2019-07-18,125.38,127.64,124.87,126.76,124.38,5629601
2019-07-19,127.2,127.38,125.36,125.52,123.17,4312038
2019-07-22,125.87,126.15,125.01,125.53,123.18,2697616
2019-07-23,125.74,126.63,125.43,126.32,123.96,3721067
2019-07-24,126.26,126.65,125.03,126.48,124.11,3323908
2019-07-25,126.4,127.38,125.67,126.94,124.56,1486443
2019-07-26,127.68,127.77,125.83,126.12,123.76,1768713
2019-07-29,126.18,126.92,125.55,126.47,124.1,1656128
2019-07-30,125.85,126.83,125.39,126.49,124.12,2302474
2019-07-31,126.3,126.56,123.45,124.54,122.21,2240947
2019-08-01,124.84,126.19,123.33,124.29,121.96,2808868
2019-08-02,124.34,124.48,122.88,123.38,121.07,2280273
2019-08-05,121.59,122.29,118.88,120.28,118.03,3136627
2019-08-06,120.81,122.54,120.36,122.53,120.23,3366546
2019-08-07,120.81,122.92,119.22,122.5,120.21,2329160
2019-08-08,123.29,125.04,122.86,124.89,122.55,2109649
2019-08-09,124.76,125.43,123.37,124.37,122.04,1474240
2019-08-12,123.71,124.73,122.35,122.69,120.39,1702284
2019-08-13,122.08,125.37,122.08,124.57,122.24,1914600
2019-08-14,123.32,124.31,120.81,120.87,118.61,2697217
2019-08-15,122.09,123.56,120.98,121.61,119.33,2536403
2019-08-16,122.83,124.58,122.22,124.41,122.08,2243612
2019-08-19,125.71,125.99,124.3,125.61,123.26,1809821
2019-08-20,125.79,126.31,124.1,124.16,121.83,1750839
2019-08-21,125.34,125.5,123.38,124.38,122.05,1645442
2019-08-22,124.76,125.47,123.01,123.71,121.39,1404151
2019-08-23,123.67,124.27,119.26,120.02,117.77,2548309
2019-08-26,120.89,121.39,119.64,120.91,118.64,1649049
2019-08-27,122.31,123.03,121.45,122.54,120.25,3413888
2019-08-28,121.82,123.91,121.66,123.64,121.33,1845815
2019-08-29,124.66,126.12,124.14,125.59,123.23,2486734
2019-08-30,126.6,127.09,125.18,125.95,123.59,2211572
2019-09-03,124.58,124.98,123.18,123.98,121.66,2166842
2019-09-04,124.52,125.87,123.6,124.33,122.0,1765225
2019-09-05,125.76,127.15,124.97,126.71,124.34,2517483
2019-09-06,127.28,128.47,126.86,127.93,125.54,1931693
2019-09-09,127.73,127.88,123.28,123.53,121.22,2286083
2019-09-10,122.58,122.64,118.64,121.07,118.81,4357234
2019-09-11,121.04,123.88,120.09,123.65,121.34,3227470
2019-09-12,124.42,126.0,124.19,125.64,123.29,2460167
2019-09-13,125.33,126.53,124.11,125.0,122.66,2427488
2019-09-16,124.39,125.56,123.71,124.67,122.34,2609604
2019-09-17,124.67,126.5,124.56,126.16,123.8,2080906
2019-09-18,126.21,128.31,125.72,127.6,125.21,2962784
2019-09-19,127.64,130.24,127.55,129.19,126.77,2990195
2019-09-20,130.0,130.59,129.26,129.83,127.4,5779149
2019-09-23,128.79,129.72,127.83,128.17,125.77,2048170
2019-09-24,128.86,129.58,126.81,128.13,125.73,3494725
2019-09-25,127.78,128.26,126.46,127.6,125.21,2363512
2019-09-26,128.4,128.51,125.64,126.54,124.32,2074255
2019-09-27,126.97,127.3,124.76,125.48,123.27,1879727
2019-09-30,126.07,128.66,125.72,128.02,125.77,2476259
2019-10-01,127.86,128.85,125.66,125.8,123.59,1905889
