Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,135.03,136.48,132.84,133.59,131.55,15297100
2019-05-10,133.01,134.32,131.23,134.04,131.99,9858500
2019-05-13,131.5,132.66,130.55,131.34,129.33,11389900
2019-05-14,133.52,134.66,132.05,133.2,131.16,12001700
2019-05-15,132.55,135.21,132.04,134.68,132.62,9734100
2019-05-16,135.29,136.4,134.81,135.5,133.43,9689400
2019-05-17,134.26,135.98,134.03,135.04,132.98,8964200
2019-05-20,134.25,134.4,133.25,133.91,131.86,8009000
2019-05-21,134.57,134.57,133.11,134.09,132.04,7050300
2019-05-22,133.82,134.17,133.39,133.85,131.8,5093700
2019-05-23,132.71,133.55,131.95,132.73,130.7,6743300
2019-05-24,133.1,133.29,132.22,132.79,130.76,4570100
2019-05-28,133.21,134.04,132.59,132.62,130.59,8938400
2019-05-29,131.96,132.15,130.78,131.57,129.56,7749600
2019-05-30,131.88,132.68,131.34,132.2,130.18,5274000
2019-05-31,130.96,132.93,130.78,132.04,130.02,7420700
2019-06-03,132.02,132.95,131.49,132.47,130.45,7901400
2019-06-04,133.45,134.88,132.92,134.82,132.76,8247500
2019-06-05,135.41,136.0,134.94,135.94,133.86,6842800
2019-06-06,136.51,137.44,135.73,137.21,135.11,6027300
2019-06-07,137.6,138.76,137.33,138.04,135.93,7026300
2019-06-10,138.88,138.88,136.07,137.07,134.98,8479500
2019-06-11,137.59,137.75,134.94,135.08,133.02,6352200
2019-06-12,135.09,136.28,134.82,135.72,133.65,5537000
2019-06-13,137.95,141.85,137.61,141.74,139.57,17939500
2019-06-14,142.05,142.95,140.53,141.65,139.49,11125200
2019-06-17,140.81,141.48,139.11,140.97,138.82,8542700
2019-06-18,141.99,143.51,138.97,139.24,137.11,11231400
2019-06-19,139.51,141.07,138.58,140.92,138.77,6877100
2019-06-20,141.98,142.23,139.91,142.02,139.85,8485800
2019-06-21,141.95,142.0,140.0,140.23,138.09,14150000
2019-06-24,140.12,140.47,137.8,139.22,137.09,10497400
2019-06-25,139.02,140.41,138.67,139.94,137.8,14675400
2019-06-26,140.36,140.74,139.51,140.4,138.25,8842100
2019-06-27,141.0,141.74,138.92,139.3,137.17,6466300
2019-06-28,139.41,140.21,138.61,139.64,137.51,20078800
2019-07-01,140.45,141.95,139.22,141.65,139.49,8972400
2019-07-02,141.4,142.86,141.27,142.53,140.35,7554100
2019-07-03,142.7,143.0,142.0,142.98,140.79,4150900
2019-07-05,141.42,142.89,140.7,142.45,141.14,5596000
2019-07-08,142.18,142.23,140.97,141.02,139.72,4993900
2019-07-09,140.06,141.72,139.75,141.61,140.31,7396300
2019-07-10,142.4,144.25,142.01,143.54,142.22,9533700
2019-07-11,144.01,145.34,143.54,143.56,142.24,10471100
2019-07-12,144.15,145.43,144.0,144.88,143.55,8510000
2019-07-15,145.13,145.36,143.97,145.06,143.73,5289200
2019-07-16,144.75,144.99,143.81,144.3,142.97,5854700
2019-07-17,144.6,144.68,142.37,142.57,141.26,5296400
2019-07-18,142.46,142.46,140.17,141.63,140.33,8031700
2019-07-19,142.24,142.24,139.74,139.85,138.57,6109900
2019-07-22,141.25,141.44,140.01,140.84,139.55,7706400
2019-07-23,141.65,142.54,140.27,141.26,139.96,7514500
2019-07-24,141.4,141.59,140.4,141.29,139.99,5896600
2019-07-25,141.4,143.23,141.04,143.21,141.89,7294400
2019-07-26,143.74,145.19,143.05,144.65,143.32,8139400
2019-07-29,145.59,147.15,145.17,146.39,145.05,11674100
2019-07-30,145.76,146.8,144.61,144.93,143.6,6563100
2019-07-31,144.99,145.0,142.34,143.01,141.7,9710700
2019-08-01,143.34,144.53,141.26,141.85,140.55,8911700
2019-08-02,140.99,142.22,139.94,141.71,140.41,6539100
2019-08-05,139.14,140.23,137.03,138.3,137.03,10669700
2019-08-06,140.41,141.95,138.37,141.87,140.57,18818900
2019-08-07,134.93,135.87,132.26,134.86,133.62,29084500
2019-08-08,137.9,138.0,136.01,137.89,136.62,14054800
2019-08-09,137.1,139.24,136.76,138.52,137.25,8811900
2019-08-12,137.31,137.57,135.23,135.75,134.5,7918900
2019-08-13,135.0,137.92,135.0,137.01,135.75,8145400
2019-08-14,135.06,135.15,132.68,132.85,131.63,11797700
2019-08-15,133.5,134.28,132.47,133.41,132.18,7590100
2019-08-16,134.02,135.5,133.83,135.2,133.96,6353800
2019-08-19,136.79,137.62,134.28,135.29,134.05,11741800
2019-08-20,133.33,136.04,133.26,135.13,133.89,8628000
2019-08-21,134.61,136.06,134.05,135.76,134.51,6325000
