Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,70.7,70.7,70.7,70.7,63.08,0
2019-05-10,70.7,70.7,70.7,70.7,63.08,0
2019-05-13,70.7,70.7,70.7,70.7,63.08,0
2019-05-14,70.7,70.7,70.7,70.7,63.08,0
2019-05-15,70.54,70.54,70.54,70.54,62.43,100
2019-05-16,70.54,70.54,70.54,70.54,62.94,0
2019-05-17,69.95,69.95,69.0,69.0,61.06,1975
2019-05-20,69.0,69.0,69.0,69.0,61.56,0
2019-05-21,69.35,69.35,69.35,69.35,61.37,209
2019-05-22,69.35,69.35,69.35,69.35,61.87,0
2019-05-23,69.35,69.35,69.35,69.35,61.87,0
2019-05-24,69.35,69.35,69.35,69.35,61.87,0
2019-05-28,69.35,69.35,69.35,69.35,61.87,0
2019-05-29,69.35,69.35,69.35,69.35,61.87,0
2019-05-30,69.35,69.35,69.35,69.35,61.87,0
2019-05-31,69.35,69.35,69.35,69.35,61.87,0
2019-06-03,69.35,69.35,69.35,69.35,61.87,0
2019-06-04,65.05,65.05,65.05,65.05,57.57,450
2019-06-05,66.25,66.25,66.25,66.25,58.63,282
2019-06-06,66.25,66.25,66.25,66.25,59.11,0
2019-06-07,66.25,66.25,66.25,66.25,59.11,0
2019-06-10,63.89,63.89,63.85,63.85,56.5,500
2019-06-11,63.85,63.85,63.85,63.85,56.97,0
2019-06-12,63.85,63.85,63.85,63.85,56.97,0
2019-06-13,71.58,71.58,71.47,71.53,63.3,669
2019-06-14,71.53,71.53,71.53,71.53,63.82,0
2019-06-17,71.02,71.02,71.02,71.02,62.85,300
2019-06-18,71.02,71.02,71.02,71.02,63.36,0
2019-06-19,71.02,71.02,71.02,71.02,63.36,0
2019-06-20,71.02,71.02,71.02,71.02,63.36,0
2019-06-21,71.02,71.02,71.02,71.02,63.36,0
2019-06-24,71.02,71.02,71.02,71.02,63.36,0
2019-06-25,71.02,71.02,71.02,71.02,63.36,0
2019-06-26,71.02,71.02,71.02,71.02,63.36,0
2019-06-27,71.02,71.02,71.02,71.02,63.36,0
2019-06-28,71.02,71.02,71.02,71.02,63.36,0
2019-07-01,71.02,71.02,71.02,71.02,63.36,0
2019-07-02,73.11,73.11,73.11,73.11,64.7,245
2019-07-03,73.11,73.11,73.11,73.11,65.23,0
2019-07-05,72.1,72.16,72.1,72.16,63.86,305
2019-07-08,72.1,72.1,72.1,72.1,63.81,100
2019-07-09,72.1,72.1,72.1,72.1,64.33,0
2019-07-10,71.78,71.78,71.78,71.78,63.52,104
2019-07-11,71.78,71.78,71.78,71.78,64.04,0
2019-07-12,71.78,71.78,71.78,71.78,64.04,100
2019-07-15,71.78,71.78,71.78,71.78,64.04,0
2019-07-16,71.78,71.78,71.78,71.78,64.04,0
2019-07-17,71.78,71.78,71.78,71.78,64.04,0
2019-07-18,71.78,71.78,71.78,71.78,64.04,0
2019-07-19,71.78,71.78,71.78,71.78,64.04,0
2019-07-22,74.23,74.23,73.9,73.9,65.4,1072
2019-07-23,73.9,73.9,73.9,73.9,65.93,0
2019-07-24,73.9,73.9,73.9,73.9,65.93,0
2019-07-25,74.3,74.3,74.3,74.3,65.75,1195
2019-07-26,74.3,74.3,74.3,74.3,66.29,100
2019-07-29,77.45,77.5,77.45,77.5,68.58,1000
2019-07-30,76.1,76.1,76.1,76.1,67.35,1544
2019-07-31,75.7,75.7,74.83,74.83,66.22,1050
2019-08-01,74.83,74.83,74.83,74.83,66.76,1500
2019-08-02,74.83,74.83,74.83,74.83,66.76,100
2019-08-05,74.83,74.83,74.83,74.83,66.76,100
2019-08-06,74.83,74.83,74.83,74.83,66.76,100
2019-08-07,74.83,74.83,74.83,74.83,66.76,100
2019-08-08,74.83,74.83,74.83,74.83,66.76,0
2019-08-09,72.6,72.6,72.6,72.6,64.25,200
2019-08-12,72.6,72.6,72.6,72.6,64.77,200
2019-08-13,72.6,72.6,72.6,72.6,64.77,200
2019-08-14,72.32,72.32,72.32,72.32,64.0,1476
2019-08-15,72.32,72.32,72.32,72.32,64.52,1500
2019-08-16,72.32,72.32,72.32,72.32,64.52,0
2019-08-19,72.32,72.32,72.32,72.32,64.52,0
2019-08-20,72.32,72.32,72.32,72.32,64.52,0
2019-08-21,72.32,72.32,72.32,72.32,64.52,0
2019-08-22,72.32,72.32,72.32,72.32,64.52,0
2019-08-23,72.32,72.32,72.32,72.32,64.52,0
2019-08-26,73.0,73.0,73.0,73.0,64.6,827
2019-08-27,73.0,73.0,73.0,73.0,65.13,0
2019-08-28,70.97,70.97,70.97,70.97,62.81,5748
2019-08-29,70.97,70.97,70.97,70.97,63.32,0
2019-08-30,70.97,70.97,70.97,70.97,63.32,0
