Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,9.11,9.15,8.91,9.0,9.0,63856
2019-05-10,8.99,8.99,8.37,8.65,8.65,168806
2019-05-13,8.55,8.75,8.4,8.66,8.66,126088
2019-05-14,8.7,8.7,8.42,8.46,8.46,93361
2019-05-15,8.42,8.64,8.295,8.45,8.45,267241
2019-05-16,8.45,8.7,8.45,8.62,8.62,83865
2019-05-17,8.6,8.7,8.26,8.34,8.34,198400
2019-05-20,8.27,8.34,7.84,7.96,7.96,321478
2019-05-21,7.99,8.12,7.88,7.99,7.99,82328
2019-05-22,7.97,8.12,7.891,7.97,7.97,48475
2019-05-23,7.92,7.92,7.7,7.77,7.77,76849
2019-05-24,7.77,7.92,7.75,7.86,7.86,61910
2019-05-28,7.89,8.1,7.89,8.05,8.05,430794
2019-05-29,8.02,8.02,7.79,7.82,7.82,68962
2019-05-30,7.83,7.92,7.81,7.84,7.84,63408
2019-05-31,7.78,7.8,7.55,7.76,7.76,1167114
2019-06-03,7.77,8.08,7.7,7.8,7.8,86828
2019-06-04,7.87,7.87,7.61,7.74,7.74,80668
2019-06-05,7.72,7.72,7.48,7.67,7.67,74174
2019-06-06,7.64,7.77,7.48,7.66,7.66,36949
2019-06-07,7.7,7.775,7.65,7.67,7.67,60899
2019-06-10,7.73,7.89,7.69,7.79,7.79,115004
2019-06-11,7.82,7.84,7.52,7.56,7.56,88556
2019-06-12,7.52,7.56,7.26,7.27,7.27,107607
2019-06-13,7.29,7.29,7.01,7.03,7.03,86507
2019-06-14,6.99,7.16,6.924,7.07,7.07,84011
2019-06-17,7.13,7.26,7.04,7.05,7.05,48862
2019-06-18,7.08,7.14,7.04,7.07,7.07,71904
2019-06-19,7.06,7.06,6.88,7.0,7.0,66710
2019-06-20,7.05,7.09,6.99,7.0,7.0,40976
2019-06-21,7.0,7.03,6.9662,7.0,7.0,99039
2019-06-24,7.0,7.0303,6.95,6.96,6.96,101316
2019-06-25,7.01,7.04,6.95,7.0,7.0,162927
2019-06-26,6.99,7.0533,6.9,6.91,6.91,221872
2019-06-27,6.94,7.13,6.9,7.08,7.08,105635
2019-06-28,7.08,7.57,7.03,7.52,7.52,198974
2019-07-01,7.57,7.705,7.45,7.67,7.67,153039
2019-07-02,7.67,7.84,7.64,7.79,7.79,54547
2019-07-03,7.8,7.9,7.71,7.8,7.8,75659
2019-07-05,7.7,8.09,7.7,8.05,8.05,63070
2019-07-08,8.04,8.17,7.94,8.11,8.11,67398
2019-07-09,8.12,8.19,8.08,8.14,8.14,117173
2019-07-10,8.14,8.195,8.01,8.13,8.13,99728
2019-07-11,8.09,8.13,7.97,7.98,7.98,354347
2019-07-12,8.0,8.04,7.8,7.82,7.82,65594
2019-07-15,7.84,7.84,7.67,7.79,7.79,51016
2019-07-16,7.8,7.8514,7.67,7.67,7.67,41417
2019-07-17,7.68,7.68,7.37,7.38,7.38,82784
2019-07-18,7.37,7.395,7.25,7.38,7.38,59215
2019-07-19,7.37,7.53,7.32,7.47,7.47,34954
2019-07-22,7.53,7.59,7.47,7.54,7.54,69916
2019-07-23,7.56,7.66,7.32,7.35,7.35,425164
2019-07-24,7.38,7.41,7.21,7.38,7.38,101829
2019-07-25,7.38,7.44,7.27,7.39,7.39,48610
2019-07-26,7.4,7.6,7.4,7.53,7.53,40947
2019-07-29,7.57,7.58,7.47,7.51,7.51,46015
2019-07-30,7.47,7.59,7.45,7.59,7.59,46406
2019-07-31,7.59,7.89,7.55,7.81,7.81,84923
2019-08-01,7.6481,7.84,7.6481,7.7,7.7,45138
2019-08-02,7.69,7.73,7.32,7.33,7.33,157130
2019-08-05,7.3,7.3,6.67,6.89,6.89,299481
2019-08-06,6.89,7.02,6.71,6.76,6.76,39194
2019-08-07,6.65,6.8,6.45,6.69,6.69,239276
2019-08-08,6.76,7.01,6.66,6.92,6.92,46761
2019-08-09,6.72,7.08,6.65,6.83,6.83,64277
2019-08-12,6.78,6.83,6.67,6.77,6.77,62101
2019-08-13,6.75,6.94,6.69,6.83,6.83,97800
2019-08-14,6.84,6.95,6.44,6.57,6.57,314311
2019-08-15,6.6,6.77,6.57,6.69,6.69,45161
2019-08-16,6.67,6.88,6.67,6.86,6.86,357313
2019-08-19,6.96,6.99,6.84,6.92,6.92,128386
2019-08-20,6.89,7.36,6.89,7.33,7.33,743683
2019-08-21,7.34,7.42,7.14,7.41,7.41,105284
2019-08-22,7.44,7.66,7.28,7.28,7.28,108496
2019-08-23,7.25,7.26,6.98,7.02,7.02,92798
2019-08-26,7.01,7.05,6.85,6.99,6.99,71211
