Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,50.34,50.83,49.89,49.99,48.98,11950711
2019-05-10,49.89,50.68,48.64,50.43,49.42,12679887
2019-05-13,49.04,50.11,48.89,49.14,48.16,12078489
2019-05-14,49.49,51.53,49.34,51.38,50.35,14164241
2019-05-15,50.53,51.73,50.36,51.08,50.06,10789086
2019-05-16,50.88,51.23,50.09,50.43,49.42,10947586
2019-05-17,49.84,50.58,49.69,49.79,48.79,7444104
2019-05-20,49.34,50.09,48.69,49.19,48.2,10485949
2019-05-21,49.59,49.59,48.79,49.59,48.59,12134211
2019-05-22,49.54,50.39,49.19,49.29,48.3,10372858
2019-05-23,48.84,48.92,47.15,47.6,46.64,11416776
2019-05-24,47.9,48.17,46.97,47.05,46.11,9547149
2019-05-28,46.85,47.5,46.15,46.6,45.67,14503926
2019-05-29,46.35,46.75,45.56,46.65,45.72,8955616
2019-05-30,46.65,47.35,46.25,47.15,46.2,10149376
2019-05-31,46.5,47.15,46.3,47.0,46.06,9307091
2019-06-03,46.3,47.5,46.05,47.45,46.5,9495113
2019-06-04,47.85,49.79,47.72,49.79,48.79,12333309
2019-06-05,50.14,50.24,48.89,49.24,48.25,8267781
2019-06-06,49.24,49.79,48.64,49.39,48.4,7738457
2019-06-07,49.29,50.01,48.87,49.69,48.69,8251950
2019-06-10,50.04,51.53,49.79,50.04,49.03,10498001
2019-06-11,50.29,50.78,49.59,50.39,49.38,7824757
2019-06-12,50.19,51.73,49.89,51.18,50.16,11040894
2019-06-13,51.58,52.38,51.03,51.33,50.3,12476121
2019-06-14,51.18,51.48,50.68,50.93,49.91,6900308
2019-06-17,50.78,50.98,49.89,50.04,49.03,9249323
2019-06-18,50.34,51.93,50.24,51.88,50.84,14775449
2019-06-19,52.13,52.82,51.43,51.48,50.45,12175037
2019-06-20,52.13,53.27,52.1,52.92,51.86,13248550
2019-06-21,53.1,53.32,52.03,52.18,51.13,13171121
2019-06-24,52.08,52.43,51.13,51.18,50.16,7350968
2019-06-25,51.08,51.18,50.29,50.88,49.86,7129507
2019-06-26,50.88,51.73,50.78,51.13,50.11,6854700
2019-06-27,50.98,51.98,50.98,51.78,50.74,6685045
