Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,39.4,39.74,39.36,39.66,31.4,1680000
2019-05-10,39.42,39.57,39.13,39.53,31.3,2573500
2019-05-13,39.13,39.45,39.07,39.34,31.15,2329000
2019-05-14,39.39,39.56,39.16,39.21,31.04,2328900
2019-05-15,39.45,39.66,39.34,39.58,31.34,2248400
2019-05-16,39.41,39.64,39.3,39.34,31.54,2584400
2019-05-17,39.27,39.68,39.27,39.46,31.64,1924400
2019-05-20,39.28,39.53,39.26,39.39,31.58,1713400
2019-05-21,39.35,39.52,39.31,39.39,31.58,2231500
2019-05-22,39.3,40.21,39.28,40.2,32.23,2783400
2019-05-23,39.93,40.03,39.82,39.99,32.06,1858700
2019-05-24,40.15,40.32,40.08,40.18,32.21,1701900
2019-05-28,39.71,39.95,39.16,39.18,31.41,2790300
2019-05-29,38.88,39.02,38.76,38.88,31.17,2092300
2019-05-30,38.95,38.98,38.61,38.74,31.06,2171700
2019-05-31,38.58,38.76,38.43,38.64,30.98,2025300
2019-06-03,39.13,39.27,38.9,39.04,31.3,2122300
2019-06-04,39.0,39.02,38.7,38.89,31.18,2009400
2019-06-05,38.95,39.02,38.64,38.67,31.0,2087100
2019-06-06,39.09,39.32,38.96,38.98,31.25,2805900
2019-06-07,39.92,40.14,39.8,39.8,31.91,3377300
2019-06-10,40.07,40.14,39.88,40.12,32.17,2370600
2019-06-11,40.19,40.24,39.86,39.92,32.01,1529600
2019-06-12,40.28,40.43,40.24,40.3,32.31,2997900
2019-06-13,40.21,40.28,40.05,40.13,32.17,1705600
2019-06-14,39.95,40.15,39.92,40.12,32.17,1836600
2019-06-17,39.85,40.02,39.84,39.93,32.01,1367000
2019-06-18,40.36,40.36,40.05,40.22,32.25,1764500
2019-06-19,40.42,41.01,40.39,41.0,32.87,2525400
2019-06-20,41.0,41.09,40.41,40.41,32.4,3952700
2019-06-21,39.97,40.33,39.77,40.27,32.29,3336000
2019-06-24,40.38,40.69,40.36,40.59,32.54,1981800
2019-06-25,40.89,40.97,40.6,40.63,32.57,1406800
2019-06-26,40.41,40.44,40.13,40.13,32.17,1452200
2019-06-27,39.88,40.13,39.86,39.96,32.04,1600500
2019-06-28,40.09,40.19,39.98,40.02,32.09,1970300
2019-07-01,40.45,40.49,40.15,40.43,32.41,2331100
2019-07-02,40.45,40.93,40.43,40.92,32.81,1859700
2019-07-03,41.28,41.39,41.2,41.33,33.14,1500300
2019-07-05,41.02,41.03,40.7,40.85,32.75,2112700
2019-07-08,40.69,40.76,40.52,40.52,32.49,2503700
2019-07-09,40.71,40.95,40.67,40.75,32.67,3444500
2019-07-10,41.01,41.15,40.99,41.11,32.96,1458000
2019-07-11,41.4,41.43,40.64,40.93,32.82,4163100
2019-07-12,40.81,40.83,40.23,40.42,32.41,4314000
2019-07-15,41.01,41.17,40.77,40.9,32.79,2753800
2019-07-16,41.49,41.49,41.09,41.18,33.02,2887500
2019-07-17,41.26,41.31,41.08,41.14,32.98,1759000
2019-07-18,41.12,41.42,41.0,41.41,33.2,1734100
2019-07-19,41.09,41.14,40.94,40.96,32.84,1733000
2019-07-22,41.32,41.32,41.13,41.13,32.98,1909300
2019-07-23,41.42,41.49,41.26,41.32,33.13,2493900
2019-07-24,41.56,41.64,41.28,41.43,33.22,2794600
2019-07-25,41.8,41.83,41.52,41.54,33.3,3152600
2019-07-26,41.67,41.92,41.58,41.91,33.6,2748500
2019-07-29,42.4,42.47,42.16,42.18,33.82,2940400
2019-07-30,42.01,42.14,41.76,41.82,33.53,2378500
2019-07-31,41.19,41.69,41.06,41.28,33.1,2647700
2019-08-01,41.05,41.58,41.05,41.48,33.26,2282700
2019-08-02,41.34,41.45,40.88,41.05,32.91,2320000
2019-08-05,40.59,40.71,40.1,40.36,32.36,2421200
2019-08-06,40.29,40.58,40.09,40.31,32.32,2514400
2019-08-07,40.29,40.62,40.02,40.51,32.48,3136500
2019-08-08,40.2,40.65,40.1,40.5,32.85,1681600
2019-08-09,40.66,40.69,40.29,40.47,32.82,1539700
2019-08-12,40.39,40.5,40.11,40.24,32.64,1350200
2019-08-13,40.59,40.85,40.43,40.65,32.97,5184300
2019-08-14,40.06,40.21,39.68,39.68,32.18,2540500
2019-08-15,39.88,40.06,39.74,39.96,32.41,1987100
2019-08-16,40.21,40.39,40.15,40.19,32.6,1367100
2019-08-19,40.32,40.47,40.22,40.37,32.74,1718800
2019-08-20,40.46,40.54,40.25,40.26,32.65,1528600
2019-08-21,40.67,40.88,40.58,40.69,33.0,1932600
2019-08-22,40.82,41.09,40.8,40.98,33.24,2200000
2019-08-23,41.42,41.73,41.07,41.19,33.41,3375500
2019-08-26,41.25,41.36,41.04,41.29,33.49,1802600
2019-08-27,41.45,41.5,41.25,41.26,33.46,1583700
2019-08-28,41.26,41.44,41.15,41.31,33.5,1754100
2019-08-29,41.74,41.76,41.58,41.72,33.84,2629600
2019-08-30,41.81,41.89,41.42,41.58,33.72,2086900
2019-09-03,41.81,42.44,41.76,42.42,34.4,3468700
2019-09-04,42.42,42.49,42.27,42.38,34.37,1994400
2019-09-05,42.21,42.27,41.91,42.1,34.14,2200900
2019-09-06,42.07,42.2,42.04,42.09,34.14,1319000
2019-09-09,41.61,41.64,41.18,41.48,33.64,2189100
2019-09-10,40.27,40.91,40.21,40.89,33.16,2949100
2019-09-11,40.35,40.84,40.32,40.82,33.11,2793100
2019-09-12,40.79,41.18,40.77,41.03,33.28,1709300
2019-09-13,40.86,41.1,40.78,40.89,33.16,1899400
2019-09-16,40.71,40.8,40.44,40.6,32.93,1680500
2019-09-17,40.94,41.2,40.87,41.1,33.33,1322600
2019-09-18,41.02,41.22,40.91,41.06,33.3,1189400
2019-09-19,41.29,41.55,41.19,41.32,33.51,2023600
2019-09-20,41.73,41.85,41.38,41.63,33.76,2911800
2019-09-23,42.0,42.04,41.85,41.92,34.0,3346300
2019-09-24,42.13,42.44,42.0,42.07,34.12,2541800
2019-09-25,41.6,41.67,41.41,41.41,33.59,2071900
2019-09-26,42.23,42.64,42.03,42.04,34.1,2956800
2019-09-27,42.39,42.52,42.15,42.34,34.34,2372000
2019-09-30,42.96,43.22,42.67,42.68,34.62,3684400
2019-10-01,42.5,42.53,42.14,42.31,34.31,1818200
2019-10-02,41.38,41.56,40.83,41.19,33.41,2956200
2019-10-03,41.15,41.49,40.97,41.45,33.62,2015200
2019-10-04,41.66,42.04,41.58,41.99,34.06,1621600
2019-10-07,42.09,42.38,42.04,42.2,34.23,1447400
2019-10-08,42.06,42.14,41.8,41.88,33.97,1933200
2019-10-09,42.01,42.18,41.91,42.08,34.13,1581700
2019-10-10,42.1,42.34,42.05,42.25,34.27,2648400
2019-10-11,42.15,42.53,42.1,42.18,34.21,2981100
2019-10-14,42.4,42.58,42.16,42.17,34.2,1419500
2019-10-15,41.83,42.32,41.78,42.27,34.28,2319400
2019-10-16,42.45,42.51,41.87,42.28,34.29,2667600
2019-10-17,42.63,42.69,42.43,42.47,34.44,1624600
2019-10-18,42.52,42.64,42.37,42.53,34.49,1428100
2019-10-21,42.6,42.69,42.45,42.6,34.55,1931000
2019-10-22,42.85,43.09,42.5,42.52,34.49,2813600
2019-10-23,43.1,43.31,42.96,43.27,35.09,3328200
2019-10-24,43.84,44.1,43.81,44.02,35.7,3583900
2019-10-25,43.76,43.96,43.51,43.82,35.54,2956800
2019-10-28,44.35,44.71,44.34,44.4,36.01,3858200
2019-10-29,44.32,44.8,44.15,44.59,36.16,3174200
2019-10-30,45.27,45.84,44.9,45.64,37.02,6107700
2019-10-31,45.82,46.01,45.67,45.8,37.15,4147900
2019-11-01,45.63,45.66,45.25,45.27,36.72,2777200
2019-11-04,45.38,45.42,44.95,45.03,36.52,2794300
2019-11-05,44.61,44.71,44.2,44.27,35.9,3902900
2019-11-06,44.15,44.43,44.12,44.36,35.98,2311100
2019-11-07,44.35,44.36,44.11,44.21,35.86,1630900
2019-11-08,44.14,44.45,44.14,44.42,36.03,2020400
2019-11-11,44.03,44.28,43.99,44.26,35.9,1974200
2019-11-12,44.35,44.64,44.3,44.52,36.11,2159900
2019-11-13,44.65,44.7,44.47,44.66,36.22,1328300
2019-11-14,43.8,43.9,43.56,43.85,35.96,1808500
2019-11-15,43.43,44.12,43.41,44.09,36.15,2305400
2019-11-18,44.43,44.57,44.27,44.33,36.35,3209800
2019-11-19,44.63,44.7,44.29,44.5,36.49,2168800
2019-11-20,44.05,44.23,43.77,43.92,36.02,2537100
2019-11-21,43.99,44.1,43.74,44.03,36.11,2511500
2019-11-22,44.13,44.2,43.95,44.01,36.09,2151500
2019-11-25,44.49,44.59,44.37,44.48,36.47,2998800
