Date,Open,High,Low,Close,AdjClose,Volume
2022-07-18,7.8,8.5,7.4,7.5,7.31,781498
2022-07-19,7.53,7.53,7.18,7.25,7.07,2331035
2022-07-20,7.4,7.47,7.21,7.26,7.08,2226629
2022-07-21,7.28,7.51,7.28,7.45,7.26,2470746
2022-07-22,7.55,7.65,7.4,7.41,7.22,12094507
2022-07-25,7.41,7.45,7.16,7.3,7.12,19352694
2022-07-26,7.31,7.41,7.29,7.35,7.17,27235833
2022-07-27,7.51,7.56,7.23,7.32,7.14,15010489
2022-07-28,7.2,7.24,6.97,7.0,6.82,15277603
2022-07-29,6.92,7.08,6.89,7.03,6.85,9559840
2022-08-01,7.15,7.41,7.13,7.37,7.19,7488885
2022-08-02,7.45,7.56,7.35,7.4,7.21,6512520
2022-08-03,7.41,7.47,7.3,7.3,7.12,6799424
2022-08-04,7.4,7.4,7.29,7.31,7.13,8784827
2022-08-05,7.33,7.51,7.32,7.47,7.28,7947823
2022-08-08,7.38,7.5,7.32,7.49,7.3,8003790
2022-08-09,7.38,7.39,7.06,7.11,6.93,12207281
2022-08-10,6.93,6.97,6.33,6.51,6.35,23069036
2022-08-11,6.43,6.46,6.04,6.29,6.13,29487490
2022-08-12,6.58,6.75,6.45,6.67,6.5,14969169
2022-08-15,6.24,6.47,6.17,6.35,6.19,10362517
2022-08-16,6.39,6.52,6.24,6.35,6.19,10507833
2022-08-17,6.2,6.25,6.08,6.12,5.97,6626704
2022-08-18,6.12,6.14,6.05,6.11,5.96,5881738
2022-08-19,5.99,6.06,5.95,5.98,5.83,8083301
2022-08-22,6.17,6.24,6.1,6.22,6.06,8546243
2022-08-23,6.27,6.4,6.24,6.38,6.22,9944016
2022-08-24,6.24,6.36,6.19,6.31,6.15,6802820
2022-08-25,6.16,6.32,6.15,6.32,6.16,5270353
2022-08-26,6.3,6.35,6.2,6.23,6.07,7994019
2022-08-29,6.2,6.22,6.02,6.07,5.92,4989974
2022-08-30,6.04,6.09,5.98,6.08,5.93,4960939
2022-08-31,5.94,6.05,5.91,5.98,5.83,5995008
2022-09-01,5.76,5.83,5.73,5.8,5.65,7837923
2022-09-02,5.73,5.76,5.59,5.63,5.49,6436192
2022-09-06,5.72,5.9,5.72,5.8,5.65,5103323
2022-09-07,5.78,5.88,5.77,5.85,5.7,5676911
2022-09-08,5.82,6.05,5.78,6.03,5.88,9195851
2022-09-09,6.07,6.07,5.97,6.0,5.85,5147619
2022-09-12,6.06,6.18,6.06,6.18,6.03,5408537
2022-09-13,6.1,6.15,5.99,6.01,5.86,7940625
2022-09-14,6.14,6.27,6.11,6.13,5.98,11566935
2022-09-15,6.07,6.11,5.96,6.0,5.85,8116644
2022-09-16,5.89,5.97,5.84,5.88,5.73,9863389
2022-09-19,5.83,6.02,5.79,5.91,5.76,4349878
2022-09-20,6.01,6.03,5.91,5.99,5.84,5947783
2022-09-21,6.05,6.07,5.9,5.9,5.75,6832160
2022-09-22,5.93,6.12,5.9,6.07,5.92,8055280
2022-09-23,6.04,6.06,5.88,5.93,5.78,4819488
2022-09-26,6.01,6.2,5.98,6.07,5.92,10885570
2022-09-27,6.04,6.06,5.81,5.85,5.7,6757069
2022-09-28,5.86,6.02,5.84,5.98,5.83,5555761
2022-09-29,6.08,6.19,6.06,6.11,5.96,6375221
2022-09-30,6.06,6.23,6.03,6.09,5.94,4544479
2022-10-03,6.06,6.16,6.02,6.14,5.99,5740174
2022-10-04,6.15,6.38,6.13,6.24,6.08,8170184
2022-10-05,6.23,6.42,6.17,6.33,6.17,10408972
2022-10-06,6.28,6.4,6.26,6.28,6.12,12526548
2022-10-07,6.26,6.27,6.05,6.09,5.94,8493417
2022-10-10,6.04,6.05,5.92,5.96,5.81,4596973
2022-10-11,6.07,6.14,6.01,6.04,5.89,7810013
2022-10-12,5.96,6.02,5.94,5.97,5.82,3815789
2022-10-13,5.98,6.14,5.96,6.09,5.94,5022765
2022-10-14,6.12,6.16,6.01,6.04,5.89,7271398
2022-10-17,6.03,6.12,6.0,6.06,5.91,7243018
2022-10-18,6.05,6.12,6.01,6.09,5.94,5747234
2022-10-19,6.0,6.04,5.92,5.98,5.83,4413836
2022-10-20,6.01,6.1,5.99,6.02,5.87,6495654
2022-10-21,6.04,6.16,6.03,6.1,5.95,8425436
2022-10-24,6.14,6.22,6.1,6.18,6.03,5570051
2022-10-25,6.2,6.29,6.16,6.18,6.03,10167372
2022-10-26,6.18,6.22,6.13,6.17,6.02,9462790
2022-10-27,6.13,6.22,6.09,6.13,5.98,4493582
2022-10-28,6.16,6.26,6.15,6.25,6.09,4954983
2022-10-31,6.17,6.2,6.05,6.12,5.97,6554128
2022-11-01,6.13,6.24,6.08,6.14,5.99,7972939
2022-11-02,6.06,6.17,6.0,6.04,5.89,8109886
2022-11-03,6.07,6.19,6.07,6.11,5.96,7966981
2022-11-04,6.15,6.27,6.12,6.26,6.1,8104511
2022-11-07,6.33,6.45,6.3,6.42,6.26,6465485
2022-11-08,6.32,6.39,6.28,6.33,6.17,8479371
2022-11-09,6.42,6.49,6.36,6.42,6.26,9927646
2022-11-10,6.36,6.53,6.2,6.52,6.36,7175657
2022-11-11,6.38,6.52,6.34,6.5,6.34,3956847
2022-11-14,6.55,6.69,6.54,6.61,6.44,5408371
2022-11-15,6.64,6.7,6.56,6.69,6.52,8104506
2022-11-16,6.79,6.83,6.75,6.8,6.63,4144308
2022-11-17,6.73,6.88,6.73,6.85,6.68,3423916
2022-11-18,6.78,6.84,6.74,6.82,6.65,3936650
2022-11-21,6.76,6.89,6.74,6.84,6.67,4006727
2022-11-22,6.84,6.92,6.8,6.89,6.72,4144918
2022-11-23,6.83,6.96,6.81,6.94,6.77,3267758
2022-11-25,6.88,6.99,6.88,6.98,6.81,1701910
2022-11-28,6.9,6.95,6.89,6.91,6.74,8273290
2022-11-29,6.83,6.85,6.76,6.76,6.59,7338684
2022-11-30,6.73,6.95,6.67,6.89,6.72,9002893
2022-12-01,7.0,7.19,6.96,7.08,6.9,7383605
2022-12-02,7.01,7.16,7.01,7.15,6.97,3290457
2022-12-05,7.07,7.19,7.07,7.15,6.97,8655143
2022-12-06,7.15,7.93,7.08,7.7,7.51,36347482
2022-12-07,7.43,7.46,7.19,7.31,7.13,25406794
2022-12-08,7.56,7.84,7.56,7.67,7.48,23546039
2022-12-09,7.76,7.8,7.62,7.72,7.53,9025387
2022-12-12,7.75,7.87,7.73,7.78,7.59,13376181
2022-12-13,7.87,7.93,7.79,7.87,7.67,7005052
2022-12-14,7.85,7.93,7.79,7.85,7.65,3782995
2022-12-15,7.85,7.89,7.71,7.74,7.55,4314642
2022-12-16,7.65,7.69,7.51,7.58,7.39,6788951
2022-12-19,7.64,7.66,7.55,7.63,7.44,4641448
2022-12-20,7.6,7.76,7.57,7.68,7.49,6998574
2022-12-21,7.68,7.82,7.68,7.78,7.59,8462840
2022-12-22,7.81,7.9,7.8,7.9,7.7,5443144
2022-12-23,7.91,8.1,7.88,8.0,7.8,4456627
2022-12-27,7.97,8.03,7.88,7.95,7.75,3655185
2022-12-28,7.91,7.96,7.89,7.91,7.71,5601969
2022-12-29,7.91,8.08,7.89,8.06,7.86,6945512
2022-12-30,7.99,8.12,7.95,8.0,7.8,3951088
2023-01-03,7.81,7.94,7.81,7.93,7.73,6695284
2023-01-04,7.85,7.92,7.81,7.84,7.64,5771508
2023-01-05,7.7,7.72,7.52,7.57,7.38,3514123
2023-01-06,7.64,7.79,7.61,7.79,7.59,3919374
2023-01-09,7.85,7.94,7.83,7.84,7.64,2097555
2023-01-10,7.74,7.77,7.68,7.75,7.56,1784443
2023-01-11,7.73,7.75,7.65,7.72,7.53,2385103
2023-01-12,7.69,7.87,7.65,7.85,7.65,3845151
2023-01-13,7.85,8.09,7.85,7.99,7.79,4727142
2023-01-17,8.1,8.18,8.09,8.15,7.95,2993955
2023-01-18,8.05,8.07,7.89,7.91,7.71,3119312
2023-01-19,7.84,7.92,7.8,7.88,7.68,1750494
2023-01-20,7.9,8.02,7.87,8.02,7.82,1808655
2023-01-23,7.91,7.92,7.83,7.88,7.68,3645329
2023-01-24,7.77,7.87,7.76,7.86,7.66,6520737
2023-01-25,7.84,7.94,7.84,7.91,7.71,3948659
2023-01-26,7.99,8.01,7.9,7.98,7.78,4428860
2023-01-27,8.02,8.07,7.91,8.03,7.83,5443030
2023-01-30,8.03,8.11,7.97,8.0,7.8,2131207
2023-01-31,8.02,8.12,7.99,8.1,7.9,5730305
2023-02-01,7.98,8.01,7.88,7.96,7.76,5629636
2023-02-02,7.89,7.95,7.84,7.95,7.75,6747022
2023-02-03,7.91,8.12,7.9,8.08,7.88,6858435
2023-02-06,8.18,8.19,8.07,8.12,7.92,4842996
2023-02-07,8.09,8.18,8.07,8.18,7.98,4162577
2023-02-08,8.09,8.15,8.02,8.12,7.92,9410970
2023-02-09,8.12,8.13,7.97,8.09,7.89,8565833
2023-02-10,8.05,8.07,8.0,8.02,7.82,2198098
2023-02-13,8.07,8.19,8.07,8.17,7.97,2112471
2023-02-14,8.12,8.19,8.08,8.11,7.91,4159083
2023-02-15,7.99,8.1,7.96,8.1,7.9,2960433
2023-02-16,8.01,8.08,8.01,8.05,7.85,2536802
2023-02-17,8.15,8.27,8.13,8.27,8.06,2028725
2023-02-21,8.27,8.28,8.2,8.22,8.01,1939010
2023-02-22,8.17,8.2,8.1,8.14,7.94,1999948
2023-02-23,8.08,8.14,8.02,8.08,7.88,2365490
2023-02-24,7.94,8.01,7.91,7.95,7.75,2847167
2023-02-27,7.92,7.94,7.86,7.92,7.72,2888239
2023-02-28,7.87,7.92,7.87,7.88,7.68,3958340
2023-03-01,7.94,7.99,7.92,7.92,7.72,2775845
2023-03-02,7.64,7.65,7.49,7.63,7.44,17378587
2023-03-03,7.69,7.78,7.64,7.77,7.58,6519177
2023-03-06,7.7,7.88,7.69,7.85,7.65,8171012
2023-03-07,7.83,7.85,7.66,7.78,7.59,7887858
2023-03-08,7.81,7.82,7.75,7.79,7.59,3415046
2023-03-09,7.77,7.82,7.74,7.74,7.55,2227014
2023-03-10,7.79,7.84,7.66,7.68,7.49,3545874
2023-03-13,7.71,7.79,7.58,7.6,7.41,4212306
2023-03-14,7.73,7.9,7.7,7.85,7.65,3324119
2023-03-15,7.81,7.87,7.75,7.84,7.64,3508319
2023-03-16,7.87,8.02,7.85,8.0,7.86,7264662
2023-03-17,7.89,7.95,7.8,7.88,7.74,7661326
2023-03-20,7.91,7.96,7.86,7.93,7.79,6196109
2023-03-21,7.96,8.18,7.96,8.18,8.04,6962570
2023-03-22,8.18,8.32,8.17,8.19,8.05,13395354
2023-03-23,8.21,8.4,8.2,8.37,8.22,7742261
2023-03-24,8.24,8.27,8.12,8.17,8.03,9771761
2023-03-27,8.14,8.24,8.14,8.22,8.08,5904333
2023-03-28,8.06,8.12,8.03,8.11,7.97,3285373
2023-03-29,8.14,8.18,8.08,8.09,7.95,5342867
2023-03-30,8.1,8.14,8.03,8.08,7.94,5704937
2023-03-31,8.14,8.21,8.12,8.14,8.0,9368810
2023-04-03,8.19,8.2,8.1,8.17,8.03,8562979
2023-04-04,8.34,8.5,8.34,8.49,8.34,6268613
2023-04-05,8.64,8.68,8.6,8.63,8.48,5880502
2023-04-06,8.81,9.05,8.78,8.97,8.81,8512586
2023-04-10,8.95,8.95,8.78,8.85,8.69,3989258
2023-04-11,8.76,8.81,8.75,8.77,8.62,2458600
2023-04-12,8.77,8.89,8.77,8.83,8.67,2409787
2023-04-13,8.79,8.82,8.74,8.75,8.6,3514565
2023-04-14,8.76,8.83,8.73,8.82,8.67,3974757
2023-04-17,8.75,8.77,8.65,8.68,8.53,2922479
2023-04-18,8.62,8.77,8.62,8.75,8.6,3505800
2023-04-19,8.72,8.77,8.67,8.73,8.58,2366178
2023-04-20,9.0,9.05,8.95,9.0,8.84,4742711
2023-04-21,8.95,8.99,8.86,8.94,8.78,3695164
2023-04-24,8.92,8.96,8.9,8.94,8.78,2021818
2023-04-25,8.84,8.86,8.74,8.77,8.62,2804943
2023-04-26,8.94,8.98,8.85,8.89,8.73,9136100
2023-04-27,8.84,8.99,8.83,8.94,8.78,3047307
2023-04-28,8.9,8.96,8.83,8.87,8.71,4337475
2023-05-01,8.84,8.91,8.81,8.84,8.68,1275761
2023-05-02,8.86,8.92,8.81,8.87,8.71,3132217
2023-05-03,8.7,8.74,8.57,8.67,8.52,2462834
2023-05-04,8.74,8.76,8.6,8.63,8.48,3633332
2023-05-05,8.7,8.81,8.68,8.79,8.64,2225252
2023-05-08,8.73,8.93,8.72,8.89,8.73,2450039
2023-05-09,8.67,8.71,8.55,8.66,8.51,4219553
2023-05-10,8.66,8.8,8.66,8.77,8.62,5437161
2023-05-11,8.77,8.98,8.29,8.75,8.6,12862655
2023-05-12,8.7,8.79,8.64,8.73,8.58,7600234
2023-05-15,8.73,8.88,8.71,8.87,8.71,3665963
2023-05-16,8.81,8.85,8.71,8.73,8.58,4722377
2023-05-17,8.7,8.7,8.6,8.66,8.51,4274807
2023-05-18,8.52,8.56,8.42,8.48,8.33,2617689
2023-05-19,8.59,8.66,8.58,8.65,8.5,1861960
2023-05-22,8.58,8.65,8.52,8.55,8.4,1304753
2023-05-23,8.53,8.55,8.41,8.42,8.27,1562706
2023-05-24,8.35,8.35,8.3,8.32,8.17,2286693
2023-05-25,8.24,8.25,8.14,8.2,8.06,1802978
2023-05-26,8.23,8.32,8.22,8.26,8.11,2073948
2023-05-30,8.2,8.2,8.06,8.07,7.93,2521875
2023-05-31,8.07,8.09,7.98,8.04,7.9,2185556
2023-06-01,8.09,8.19,8.09,8.15,8.01,3156966
2023-06-02,8.26,8.31,8.22,8.3,8.15,1568000
2023-06-05,8.28,8.37,8.22,8.25,8.11,3214138
2023-06-06,8.21,8.26,8.18,8.25,8.11,1550143
2023-06-07,8.3,8.33,8.13,8.13,7.99,4010997
2023-06-08,8.22,8.28,8.21,8.25,8.11,1376871
2023-06-09,8.17,8.2,8.14,8.15,8.01,2252150
2023-06-12,8.15,8.18,8.09,8.13,7.99,2148783
2023-06-13,8.09,8.16,8.09,8.13,7.99,2073721
2023-06-14,8.15,8.24,8.15,8.21,8.07,2122311
2023-06-15,8.26,8.35,8.22,8.34,8.19,2985816
2023-06-16,8.4,8.46,8.4,8.42,8.27,2096431
2023-06-20,8.29,8.31,8.24,8.26,8.11,2014733
2023-06-21,8.32,8.41,8.28,8.34,8.19,4186549
2023-06-22,8.35,8.41,8.33,8.4,8.25,2200642
2023-06-23,8.37,8.44,8.34,8.42,8.27,1738381
2023-06-26,8.27,8.34,8.22,8.27,8.12,3130848
2023-06-27,8.21,8.28,8.2,8.26,8.11,3146913
2023-06-28,8.18,8.23,8.15,8.17,8.03,3082386
2023-06-29,8.13,8.23,8.12,8.22,8.08,1570976
2023-06-30,8.22,8.38,8.22,8.38,8.23,2807992
2023-07-03,8.27,8.33,8.18,8.19,8.05,3115210
2023-07-05,8.27,8.28,8.2,8.22,8.08,3827031
2023-07-06,8.09,8.09,8.0,8.01,7.87,2586094
