Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,25.93,26.1,25.73,26.02,22.42,1931564
2019-05-10,25.87,26.12,25.64,26.09,22.48,697668
2019-05-13,25.58,25.62,25.39,25.42,21.9,682648
2019-05-14,25.7,25.73,25.48,25.62,22.07,433664
2019-05-15,25.42,25.88,25.32,25.83,22.25,721432
2019-05-16,25.61,25.82,25.53,25.77,22.2,698800
2019-05-17,25.69,25.84,25.63,25.63,22.08,644096
2019-05-20,25.6,25.6,25.45,25.53,22.0,502955
2019-05-21,25.64,25.76,25.59,25.71,22.15,433064
2019-05-22,25.68,25.71,25.53,25.54,22.0,335971
2019-05-23,25.42,25.45,25.15,25.28,21.78,490214
2019-05-24,25.5,25.61,25.37,25.44,21.92,407576
2019-05-28,25.32,25.35,25.1,25.1,21.62,703701
2019-05-29,25.14,25.19,25.0,25.15,21.67,889465
2019-05-30,25.25,25.3,25.15,25.19,21.7,467491
2019-05-31,24.44,24.82,24.43,24.61,21.2,1986513
2019-06-03,24.64,24.89,24.64,24.83,21.39,707943
2019-06-04,25.17,25.53,25.17,25.48,21.95,516389
2019-06-05,25.82,26.0,25.46,25.63,22.08,507182
2019-06-06,25.47,25.53,25.34,25.45,21.93,568631
2019-06-07,25.48,25.63,25.46,25.58,22.04,396074
2019-06-10,25.6,25.84,25.6,25.71,22.15,585487
2019-06-11,25.82,26.09,25.81,25.96,22.37,1090140
2019-06-12,25.81,25.81,25.62,25.64,22.09,943200
2019-06-13,25.54,25.75,25.49,25.74,22.18,1039906
2019-06-14,25.45,25.47,25.14,25.34,21.83,1144274
2019-06-17,25.58,25.66,25.5,25.56,22.02,395577
2019-06-18,25.75,26.04,25.7,25.88,22.3,463669
2019-06-19,25.82,25.95,25.71,25.81,22.24,372901
2019-06-20,26.01,26.01,25.85,25.96,22.37,392541
2019-06-21,25.88,25.95,25.84,25.84,22.26,302882
2019-06-24,25.97,25.97,25.83,25.84,22.26,466419
2019-06-25,25.77,25.87,25.66,25.75,22.18,532751
2019-06-26,25.61,25.66,25.51,25.51,22.17,371112
2019-06-27,25.83,25.85,25.7,25.84,22.45,310698
2019-06-28,25.88,25.98,25.81,25.84,22.45,374757
2019-07-01,26.29,26.34,26.05,26.12,22.7,455693
2019-07-02,26.16,26.23,26.06,26.1,22.68,359212
2019-07-03,26.09,26.12,26.0,26.06,22.64,189455
2019-07-05,26.09,26.19,25.97,26.16,22.73,286631
2019-07-08,26.15,26.28,26.15,26.19,22.76,317182
