Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,2.78,2.8,2.5,2.53,2.53,18853073
2019-05-08,2.54,2.56,2.37,2.38,2.38,8670130
2019-05-09,2.39,2.5,2.325,2.47,2.47,7623319
2019-05-10,2.47,2.5,2.37,2.38,2.38,4571546
2019-05-13,2.43,2.47,2.35,2.46,2.46,5053601
2019-05-14,2.46,2.46,2.34,2.36,2.36,3201242
2019-05-15,2.38,2.44,2.35,2.39,2.39,7270314
2019-05-16,2.39,2.75,2.36,2.6,2.6,20099736
2019-05-17,2.62,2.63,2.46,2.59,2.59,9238011
2019-05-20,2.57,2.62,2.5,2.56,2.56,3576202
2019-05-21,2.54,2.58,2.49,2.55,2.55,4527557
2019-05-22,2.55,2.59,2.42,2.44,2.44,3258972
2019-05-23,2.45,2.61,2.45,2.48,2.48,9915300
2019-05-24,2.49,2.51,2.36,2.42,2.42,4477468
2019-05-28,2.41,2.47,2.3599,2.38,2.38,3388485
2019-05-29,2.41,2.42,2.29,2.3,2.3,4336705
2019-05-30,2.31,2.41,2.28,2.39,2.39,4372465
2019-05-31,2.43,2.53,2.41,2.51,2.51,5113094
2019-06-03,2.57,2.74,2.56,2.74,2.74,10194407
2019-06-04,2.68,2.745,2.61,2.73,2.73,5322741
2019-06-05,2.78,2.865,2.74,2.77,2.77,7960605
2019-06-06,2.81,2.81,2.65,2.79,2.79,6554803
2019-06-07,2.8,2.825,2.72,2.72,2.72,3556677
2019-06-10,2.66,2.69,2.6,2.67,2.67,3436481
2019-06-11,2.65,2.75,2.63,2.74,2.74,3879694
2019-06-12,2.75,2.78,2.74,2.77,2.77,2831600
2019-06-13,2.78,2.91,2.72,2.88,2.88,5770678
2019-06-14,2.93,2.965,2.85,2.87,2.87,7653745
2019-06-17,2.87,2.95,2.83,2.94,2.94,3813920
2019-06-18,2.98,3.03,2.845,2.96,2.96,6616862
2019-06-19,2.95,3.01,2.89,3.01,3.01,4946204
2019-06-20,3.27,3.435,3.2038,3.24,3.24,13846475
2019-06-21,3.27,3.29,3.14,3.27,3.27,7863858
2019-06-24,3.32,3.45,3.245,3.44,3.44,10061794
2019-06-25,3.5,3.5283,3.26,3.34,3.34,12301407
2019-06-26,3.26,3.45,3.22,3.36,3.36,7359732
2019-06-27,3.34,3.345,3.26,3.34,3.34,7313936
2019-06-28,3.37,3.38,3.3,3.38,3.38,3622096
2019-07-01,3.26,3.27,3.17,3.18,3.18,4209334
2019-07-02,3.21,3.38,3.21,3.35,3.35,4949469
2019-07-03,3.4,3.43,3.32,3.43,3.43,2083430
2019-07-05,3.29,3.4,3.2,3.35,3.35,5337279
2019-07-08,3.36,3.38,3.275,3.3,3.3,2948200
2019-07-09,3.28,3.41,3.27,3.4,3.4,3284824
2019-07-10,3.46,3.48,3.4,3.48,3.48,5445987
2019-07-11,3.48,3.54,3.43,3.51,3.51,4944637
2019-07-12,3.52,3.565,3.48,3.55,3.55,2685368
2019-07-15,3.55,3.61,3.49,3.5,3.5,2134344
2019-07-16,3.48,3.57,3.4301,3.54,3.54,4798794
2019-07-17,3.56,3.71,3.51,3.71,3.71,4546244
2019-07-18,3.66,3.89,3.63,3.87,3.87,7380147
2019-07-19,3.84,3.92,3.745,3.78,3.78,6494680
2019-07-22,3.76,3.87,3.705,3.76,3.76,5401628
2019-07-23,3.77,3.82,3.63,3.74,3.74,5981080
2019-07-24,3.76,3.84,3.725,3.82,3.82,4339981
2019-07-25,3.8,3.8,3.65,3.68,3.68,4343681
2019-07-26,3.71,3.76,3.65,3.68,3.68,4575301
2019-07-29,3.71,3.72,3.61,3.71,3.71,4198039
2019-07-30,3.72,3.78,3.67,3.77,3.77,5285567
2019-07-31,3.74,3.84,3.61,3.63,3.63,8686277
2019-08-01,3.51,3.89,3.47,3.86,3.86,9506206
2019-08-02,3.82,3.83,3.695,3.73,3.73,7666183
2019-08-05,3.87,4.04,3.82,3.93,3.93,9189047
2019-08-06,3.88,4.0,3.86,3.9,3.9,6814912
2019-08-07,4.05,4.165,3.98,4.02,4.02,8647851
2019-08-08,3.59,3.61,3.31,3.47,3.47,15049628
2019-08-09,3.46,3.6,3.43,3.47,3.47,5150120
2019-08-12,3.39,3.525,3.37,3.39,3.39,5857325
2019-08-13,3.47,3.5,3.175,3.33,3.33,10642589
2019-08-14,3.39,3.4316,3.28,3.33,3.33,8759434
2019-08-15,3.32,3.44,3.3,3.4,3.4,4224844
2019-08-16,3.37,3.41,3.28,3.31,3.31,5739230
2019-08-19,3.22,3.34,3.185,3.28,3.28,3840823
2019-08-20,3.34,3.53,3.295,3.5,3.5,4383999
2019-08-21,3.44,3.5398,3.41,3.43,3.43,3104876
2019-08-22,3.41,3.485,3.33,3.35,3.35,2104403
2019-08-23,3.38,3.66,3.37,3.66,3.66,6692251
2019-08-26,3.68,3.765,3.57,3.64,3.64,6336731
2019-08-27,3.65,3.95,3.65,3.92,3.92,7633175
2019-08-28,3.95,3.99,3.83,3.93,3.93,3616919
2019-08-29,3.91,3.93,3.72,3.8,3.8,4368580
2019-08-30,3.77,3.83,3.68,3.72,3.72,4695728
2019-09-03,3.8,3.96,3.77,3.81,3.81,5330118
2019-09-04,3.82,3.92,3.76,3.92,3.92,2541197
2019-09-05,3.8,3.84,3.64,3.69,3.69,6630328
2019-09-06,3.69,3.77,3.53,3.53,3.53,4498526
2019-09-09,3.54,3.595,3.4,3.41,3.41,5392288
2019-09-10,3.38,3.55,3.37,3.4,3.4,5752148
2019-09-11,3.44,3.53,3.4,3.41,3.41,4328787
2019-09-12,3.5,3.57,3.33,3.33,3.33,6895902
2019-09-13,3.33,3.42,3.25,3.25,3.25,5807769
2019-09-16,3.34,3.39,3.24,3.37,3.37,7061279
2019-09-17,3.37,3.5,3.36,3.48,3.48,4896610
2019-09-18,3.49,3.5,3.33,3.44,3.44,6583395
2019-09-19,3.57,3.62,3.48,3.59,3.59,5583591
2019-09-20,3.62,3.79,3.59,3.76,3.76,7623047
2019-09-23,3.8,3.98,3.77,3.96,3.96,8669564
2019-09-24,3.88,4.08,3.84,4.07,4.07,7592484
2019-09-25,4.06,4.06,3.82,3.86,3.86,5219874
2019-09-26,3.9,3.93,3.72,3.73,3.73,3396028
2019-09-27,3.64,3.74,3.6,3.65,3.65,4721264
2019-09-30,3.53,3.59,3.39,3.41,3.41,7012621
2019-10-01,3.37,3.595,3.37,3.5,3.5,6047987
2019-10-02,3.57,3.67,3.55,3.57,3.57,3464343
2019-10-03,3.51,3.61,3.42,3.53,3.53,6142113
2019-10-04,3.51,3.68,3.51,3.66,3.66,2406750
2019-10-07,3.6,3.6901,3.56,3.59,3.59,1807040
2019-10-08,3.66,3.76,3.61,3.75,3.75,3416740
2019-10-09,3.73,3.75,3.605,3.63,3.63,6226769
2019-10-10,3.64,3.6591,3.525,3.6,3.6,4069519
2019-10-11,3.57,3.605,3.5,3.51,3.51,3893264
2019-10-14,3.51,3.57,3.5,3.52,3.52,1061929
2019-10-15,3.51,3.52,3.39,3.39,3.39,2524862
2019-10-16,3.44,3.46,3.37,3.46,3.46,2594773
2019-10-17,3.45,3.565,3.43,3.53,3.53,2088976
2019-10-18,3.53,3.58,3.475,3.54,3.54,2405150
2019-10-21,3.58,3.595,3.36,3.4,3.4,3901113
2019-10-22,3.44,3.44,3.31,3.4,3.4,3988611
2019-10-23,3.43,3.48,3.36,3.37,3.37,4213224
2019-10-24,3.4,3.5,3.39,3.5,3.5,6593807
2019-10-25,3.6,3.625,3.47,3.53,3.53,3996451
2019-10-28,3.47,3.58,3.46,3.51,3.51,2991636
2019-10-29,3.46,3.645,3.46,3.6,3.6,3081523
2019-10-30,3.59,3.63,3.45,3.58,3.58,5939008
2019-10-31,3.63,3.76,3.6,3.74,3.74,5346030
2019-11-01,3.71,3.83,3.67,3.82,3.82,3559269
2019-11-04,3.83,3.83,3.67,3.71,3.71,3304078
2019-11-05,3.62,3.72,3.58,3.72,3.72,5499639
2019-11-06,3.72,3.76,3.63,3.67,3.67,3861036
2019-11-07,3.57,3.59,3.37,3.4,3.4,5905943
2019-11-08,3.37,3.45,3.34,3.35,3.35,6822192
2019-11-11,3.35,3.41,3.32,3.35,3.35,5478794
2019-11-12,3.36,3.5,3.32,3.49,3.49,4719025
2019-11-13,3.54,3.61,3.51,3.54,3.54,5450146
2019-11-14,3.57,3.655,3.53,3.62,3.62,4730186
2019-11-15,3.56,3.615,3.53,3.54,3.54,1856835
2019-11-18,3.53,3.64,3.51,3.63,3.63,1779736
2019-11-19,3.61,3.69,3.58,3.61,3.61,2940849
2019-11-20,3.61,3.7,3.59,3.69,3.69,2392845
2019-11-21,3.68,3.72,3.59,3.6,3.6,2700487
2019-11-22,3.61,3.65,3.5,3.51,3.51,2962527
2019-11-25,3.5,3.57,3.44,3.44,3.44,2530285
2019-11-26,3.43,3.565,3.41,3.55,3.55,2917780
2019-11-27,3.49,3.57,3.46,3.56,3.56,3866940
2019-11-29,3.56,3.63,3.56,3.62,3.62,2388495
2019-12-02,3.58,3.622,3.56,3.58,3.58,3390080
2019-12-03,3.64,3.71,3.63,3.68,3.68,4501751
2019-12-04,3.67,3.695,3.59,3.6,3.6,3197643
2019-12-05,3.57,3.64,3.53,3.57,3.57,2951881
2019-12-06,3.52,3.565,3.48,3.48,3.48,4262244
2019-12-09,3.51,3.52,3.43,3.44,3.44,3160911
2019-12-10,3.48,3.49,3.36,3.41,3.41,3503753
2019-12-11,3.43,3.49,3.385,3.48,3.48,4162239
2019-12-12,3.52,3.56,3.39,3.41,3.41,6329970
2019-12-13,3.41,3.45,3.28,3.41,3.41,10467719
2019-12-16,3.42,3.47,3.36,3.39,3.39,3713906
2019-12-17,3.38,3.41,3.36,3.36,3.36,4431763
2019-12-18,3.33,3.375,3.3,3.33,3.33,4513372
2019-12-19,3.32,3.37,3.31,3.34,3.34,4421033
2019-12-20,3.35,3.37,3.26,3.26,3.26,7021196
2019-12-23,3.28,3.46,3.26,3.44,3.44,6616858
2019-12-24,3.45,3.61,3.45,3.59,3.59,3862508
2019-12-26,3.64,3.72,3.63,3.69,3.69,4339317
2019-12-27,3.65,3.71,3.62,3.63,3.63,3161091
2019-12-30,3.63,3.74,3.63,3.73,3.73,4375423
2019-12-31,3.77,3.8,3.725,3.73,3.73,3434569
2020-01-02,3.78,3.81,3.7,3.73,3.73,4647825
2020-01-03,3.82,3.82,3.64,3.64,3.64,4206662
2020-01-06,3.76,3.77,3.64,3.65,3.65,5050709
2020-01-07,3.65,3.69,3.57,3.68,3.68,5600042
2020-01-08,3.68,3.69,3.45,3.47,3.47,8083326
2020-01-09,3.43,3.5,3.36,3.37,3.37,5225541
2020-01-10,3.37,3.49,3.37,3.43,3.43,4233875
2020-01-13,3.41,3.42,3.29,3.29,3.29,4296211
2020-01-14,3.3,3.36,3.25,3.35,3.35,5742287
2020-01-15,3.38,3.41,3.31,3.37,3.37,8523266
2020-01-16,3.24,3.24,3.15,3.15,3.15,11862212
2020-01-17,3.15,3.15,3.01,3.01,3.01,8906101
2020-01-21,2.99,3.09,2.95,3.07,3.07,7235154
2020-01-22,3.07,3.11,2.99,3.01,3.01,4772962
2020-01-23,3.01,3.05,2.95,2.95,2.95,3968057
2020-01-24,2.96,3.03,2.94,3.01,3.01,3655199
2020-01-27,3.07,3.1,2.92,2.96,2.96,7457846
2020-01-28,2.93,2.96,2.785,2.85,2.85,5889523
2020-01-29,2.83,3.0,2.82,3.0,3.0,6860193
2020-01-30,3.0,3.03,2.92,2.99,2.99,6494143
2020-01-31,2.97,3.04,2.95,2.96,2.96,4511740
2020-02-03,2.93,2.96,2.88,2.88,2.88,3588833
2020-02-04,2.81,2.84,2.71,2.82,2.82,4677461
2020-02-05,2.81,2.86,2.78,2.81,2.81,4645249
2020-02-06,2.82,2.955,2.82,2.92,2.92,4078128
2020-02-07,2.95,2.99,2.87,2.89,2.89,3538786
2020-02-10,2.91,3.05,2.89,3.03,3.03,3905001
2020-02-11,3.02,3.09,3.01,3.08,3.08,3986455
2020-02-12,3.09,3.09,3.01,3.04,3.04,5073073
2020-02-13,3.07,3.09,2.97,2.99,2.99,3676030
2020-02-14,2.99,3.05,2.97,2.97,2.97,2437040
2020-02-18,3.04,3.11,2.99,3.09,3.09,3766206
2020-02-19,3.1,3.15,3.05,3.15,3.15,5257381
2020-02-20,3.04,3.05,2.85,2.92,2.92,11157065
2020-02-21,2.99,3.16,2.98,3.13,3.13,8374009
2020-02-24,3.29,3.71,3.22,3.64,3.64,33846820
2020-02-25,3.5,3.6,3.42,3.46,3.46,12300514
2020-02-26,3.44,3.48,3.28,3.31,3.31,9338190
2020-02-27,3.39,3.39,2.96,2.99,2.99,14498589
2020-02-28,2.87,2.9,2.59,2.84,2.84,10827440
2020-03-02,2.91,2.93,2.79,2.8,2.8,6673186
2020-03-03,2.86,3.08,2.76,2.92,2.92,15159956
2020-03-04,2.93,2.99,2.81,2.91,2.91,5707634
2020-03-05,2.98,3.11,2.905,3.09,3.09,10324999
2020-03-06,3.16,3.16,2.91,3.0,3.0,12481728
2020-03-09,2.94,3.005,2.775,2.8,2.8,6643943
2020-03-10,2.83,2.87,2.65,2.75,2.75,8406154
2020-03-11,2.72,2.79,2.47,2.52,2.52,8285735
2020-03-12,2.15,2.46,2.01,2.04,2.04,8176401
2020-03-13,2.17,2.17,1.88,1.88,1.88,10488839
2020-03-16,1.55,2.25,1.44,2.13,2.13,11144727
2020-03-17,2.06,2.6484,2.05,2.58,2.58,13968518
2020-03-18,2.45,2.84,2.1,2.12,2.12,10570432
2020-03-19,2.19,2.46,1.85,2.17,2.17,15061659
2020-03-20,2.34,2.37,1.95,2.0,2.0,11231983
2020-03-23,2.2,2.34,2.0,2.22,2.22,7449606
2020-03-24,2.64,2.66,2.23,2.33,2.33,12717720
2020-03-25,2.35,2.495,2.21,2.42,2.42,11393959
2020-03-26,2.54,2.6,2.36,2.56,2.56,9890568
2020-03-27,2.45,2.545,2.3,2.38,2.38,7649068
