Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,66.63,66.63,65.22,65.56,61.92,80321
2019-05-08,65.54,65.56,65.04,65.29,61.66,89727
2019-05-09,64.12,65.14,64.06,64.91,61.3,89017
2019-05-10,64.7,64.78,63.94,64.63,61.04,121638
2019-05-13,64.07,64.16,63.17,63.27,59.75,76485
2019-05-14,63.81,64.32,63.8,63.96,60.4,98677
2019-05-15,64.46,65.12,64.36,65.03,61.41,92028
2019-05-16,64.66,65.41,64.66,65.06,61.44,88207
2019-05-17,64.98,65.33,64.98,65.06,61.44,50045
2019-05-20,64.1,64.44,63.93,64.19,60.62,50814
2019-05-21,65.05,65.39,64.67,65.27,61.64,162397
2019-05-22,65.79,66.2,65.64,65.82,62.16,176325
2019-05-23,65.65,66.04,65.16,65.31,61.68,130346
2019-05-24,65.79,65.97,65.53,65.63,61.98,77884
2019-05-28,65.94,66.27,65.4,65.4,61.76,43650
2019-05-29,64.91,65.0,64.39,64.64,61.05,64145
2019-05-30,64.98,65.48,64.94,65.18,61.56,54774
2019-05-31,64.7,65.32,64.61,65.16,61.54,117908
2019-06-03,64.44,64.49,63.94,64.13,60.56,91673
2019-06-04,64.07,64.58,63.82,64.56,60.97,100892
2019-06-05,64.68,64.83,64.41,64.65,61.06,37264
2019-06-06,65.02,65.29,64.83,65.07,61.45,35135
2019-06-07,66.44,67.53,66.29,67.31,63.57,66497
2019-06-10,66.97,67.29,66.83,67.04,63.31,70049
2019-06-11,67.3,67.37,66.92,67.15,63.42,63366
2019-06-12,67.44,67.47,66.97,67.13,63.4,57162
2019-06-13,67.06,67.38,66.93,67.2,63.46,38158
2019-06-14,66.52,67.16,66.52,67.11,63.38,33837
2019-06-17,67.21,67.49,67.11,67.34,63.6,54648
2019-06-18,67.18,67.36,66.91,67.09,63.36,83780
2019-06-19,66.86,67.53,66.82,67.51,63.76,61480
2019-06-20,66.97,67.45,66.81,67.32,63.58,91371
2019-06-21,66.64,66.88,66.16,66.28,62.6,699671
2019-06-24,66.78,67.54,66.72,67.25,63.51,127881
2019-06-25,67.24,67.55,66.54,66.54,62.84,101264
