Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,245.0,247.03,241.61,244.41,236.46,1439471
2019-05-08,243.42,245.95,241.92,244.12,236.18,2088914
2019-05-09,241.79,243.12,237.72,241.3,233.45,1646342
2019-05-10,240.56,245.6,237.66,244.63,236.67,1407865
2019-05-13,237.94,241.11,236.03,236.93,229.22,1256416
2019-05-14,238.41,243.35,238.1,240.99,233.15,1704767
2019-05-15,239.56,244.39,239.04,243.14,235.23,985618
2019-05-16,244.0,249.41,244.0,247.55,239.5,1044505
2019-05-17,245.6,249.76,245.13,245.45,237.47,1294008
2019-05-20,242.67,245.32,240.63,243.69,235.76,957407
2019-05-21,245.76,247.14,244.05,246.08,238.08,979635
2019-05-22,244.82,248.1,244.82,247.53,239.48,865698
2019-05-23,245.08,246.64,240.14,241.31,233.46,1552149
2019-05-24,251.24,258.4,248.65,257.48,249.11,2702983
2019-05-28,256.4,259.26,254.17,255.7,247.38,3059705
2019-05-29,253.96,255.57,248.58,249.62,241.5,1675209
2019-05-30,250.0,251.49,245.86,248.08,240.01,1154681
2019-05-31,245.2,246.66,243.59,244.85,236.89,1361988
2019-06-03,245.2,248.56,236.75,238.07,230.33,1638609
2019-06-04,241.05,247.31,237.78,247.1,239.06,1664347
2019-06-05,249.41,252.48,248.31,252.12,243.92,1130208
2019-06-06,252.84,254.38,250.11,253.2,244.96,1055600
2019-06-07,254.03,260.6,253.81,257.47,249.1,1222003
2019-06-10,259.86,263.97,259.23,260.52,252.05,1157411
2019-06-11,262.8,264.0,254.95,256.73,248.38,1209395
2019-06-12,256.72,258.8,255.64,257.39,249.02,825863
2019-06-13,258.81,259.4,255.98,257.19,248.82,1756323
2019-06-14,256.37,257.34,253.95,254.13,245.86,1234221
2019-06-17,254.03,256.24,253.35,254.74,246.45,1282387
2019-06-18,257.31,259.35,256.15,258.22,249.82,1216295
2019-06-19,259.29,263.39,258.05,262.65,254.11,1032761
2019-06-20,265.8,268.43,263.99,266.66,257.99,1750592
2019-06-21,267.84,268.07,261.47,261.51,253.0,1856866
2019-06-24,263.07,264.12,261.37,262.34,253.81,1188560
2019-06-25,262.7,262.7,256.65,257.49,249.12,1015403
2019-06-26,259.29,260.49,256.38,256.5,248.16,1293461
2019-06-27,257.66,259.2,256.11,257.99,249.6,1459590
2019-06-28,258.1,262.01,257.75,261.33,252.83,1479175
2019-07-01,266.03,266.98,263.37,264.2,255.61,978036
2019-07-02,265.16,266.36,262.7,266.33,257.67,720167
2019-07-03,267.9,270.77,265.77,270.17,261.38,774657
2019-07-05,269.0,270.83,265.2,270.54,261.74,895216
2019-07-08,269.46,271.31,267.79,271.13,262.31,863841
2019-07-09,269.92,270.87,268.86,270.68,262.33,1135629
2019-07-10,273.06,275.92,272.7,274.81,266.33,1132190
2019-07-11,275.95,278.8,274.17,278.22,269.64,1867353
2019-07-12,278.41,281.84,278.23,281.65,272.96,1199733
2019-07-15,282.0,282.76,280.0,282.55,273.83,990786
2019-07-16,281.5,282.95,280.65,280.88,272.22,1155959
2019-07-17,280.9,282.37,280.11,280.63,271.97,797079
2019-07-18,279.98,283.03,279.03,282.88,274.15,1224029
2019-07-19,284.55,284.55,278.64,279.32,270.7,1599081
2019-07-22,280.41,282.49,279.17,281.15,272.48,723524
2019-07-23,282.3,283.08,278.28,281.9,273.2,1245838
2019-07-24,281.17,282.64,279.71,281.36,272.68,1414323
2019-07-25,279.98,282.43,279.16,281.6,272.91,868394
2019-07-26,282.16,284.97,281.45,283.77,275.02,788656
2019-07-29,284.29,284.88,279.52,281.35,272.67,1267414
2019-07-30,279.48,281.84,278.37,279.62,271.0,767097
2019-07-31,278.77,281.34,275.15,277.31,268.76,1147577
2019-08-01,278.61,283.51,277.07,277.96,269.39,1272594
2019-08-02,278.05,278.65,273.18,274.64,266.17,1494511
2019-08-05,268.98,269.74,261.94,263.53,255.4,1774454
2019-08-06,266.74,270.64,264.87,270.09,261.76,1201863
2019-08-07,265.87,269.49,263.8,268.57,260.29,1221782
2019-08-08,270.86,276.83,270.63,276.7,268.17,1106996
2019-08-09,276.08,278.82,274.51,276.57,268.04,1279161
2019-08-12,274.73,276.22,271.49,272.65,264.24,968164
2019-08-13,272.38,279.54,271.87,279.15,270.54,1256891
2019-08-14,274.91,276.33,267.32,267.89,259.63,1239300
2019-08-15,269.6,270.69,265.88,268.44,260.16,1246408
2019-08-16,271.27,274.44,269.16,270.96,262.6,1062619
2019-08-19,274.98,275.96,271.65,274.23,265.77,1221994
2019-08-20,273.22,274.61,271.22,272.84,264.42,1062237
2019-08-21,275.37,277.83,274.54,276.24,267.72,925413
2019-08-22,277.0,278.0,271.6,275.71,267.21,1561150
2019-08-23,290.37,295.77,277.99,278.74,270.14,3381997
2019-08-26,280.0,282.9,275.61,282.77,274.05,2004561
2019-08-27,283.1,284.99,281.36,283.21,274.47,1778042
2019-08-28,281.08,282.98,273.8,281.94,273.24,1482216
2019-08-29,284.77,288.6,283.35,286.94,278.09,1209685
2019-08-30,287.25,288.99,283.97,288.36,279.47,1080051
2019-09-03,285.31,289.0,282.14,284.2,275.43,1399733
2019-09-04,285.62,286.4,281.62,286.31,277.48,945627
2019-09-05,289.35,292.93,287.16,292.31,283.29,1092510
2019-09-06,293.39,293.46,287.23,287.8,278.92,1298923
2019-09-09,288.78,288.78,273.58,275.9,267.39,2141567
2019-09-10,273.8,274.51,263.88,267.56,259.31,2095335
2019-09-11,267.7,269.82,265.02,266.13,257.92,1306683
2019-09-12,268.5,271.2,267.33,268.25,259.98,1329497
2019-09-13,267.31,270.01,264.7,265.22,257.04,1031044
2019-09-16,262.81,267.23,261.69,265.82,257.62,803001
2019-09-17,265.83,268.7,265.52,268.54,260.26,941791
2019-09-18,269.39,269.39,263.82,268.27,260.0,853065
2019-09-19,268.76,272.42,268.61,270.02,261.69,907219
2019-09-20,269.98,272.91,267.46,269.18,260.88,1657967
2019-09-23,268.39,270.99,268.21,269.0,260.7,829943
2019-09-24,270.76,271.67,264.01,264.85,256.68,1238185
2019-09-25,264.33,267.1,260.35,266.43,258.21,988916
2019-09-26,267.08,270.63,266.42,269.72,261.4,1186175
2019-09-27,271.32,271.32,259.26,263.19,255.07,1020108
2019-09-30,263.5,267.27,262.41,265.94,257.74,1150963
