Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,22.08,22.43,21.84,22.28,16.76,2298600
2019-05-08,22.3,22.77,22.22,22.5,16.92,1611500
2019-05-09,22.25,22.54,22.01,22.5,16.92,1452500
2019-05-10,22.12,22.25,21.9,22.13,16.91,1115500
2019-05-13,21.65,21.82,21.18,21.18,16.19,2498000
2019-05-14,21.26,21.42,21.13,21.15,16.16,1249600
2019-05-15,20.99,21.61,20.93,21.51,16.44,997300
2019-05-16,21.5,21.75,21.36,21.53,16.45,709900
2019-05-17,21.31,21.55,21.25,21.28,16.26,816400
2019-05-20,21.17,21.36,21.02,21.22,16.22,1163700
2019-05-21,21.31,21.65,21.31,21.61,16.52,920200
2019-05-22,21.43,21.81,21.43,21.72,16.6,640000
2019-05-23,21.46,21.62,21.33,21.48,16.42,827700
2019-05-24,21.61,21.72,21.48,21.68,16.57,559300
2019-05-28,21.56,21.57,21.35,21.36,16.32,1487200
2019-05-29,21.27,21.42,21.09,21.34,16.31,1211500
2019-05-30,21.32,21.48,21.03,21.09,16.12,783100
2019-05-31,20.79,20.81,20.3,20.32,15.53,2255600
2019-06-03,20.25,20.59,20.1,20.23,15.46,1249800
2019-06-04,20.55,20.92,20.4,20.89,15.97,948700
2019-06-05,20.86,20.97,20.5,20.59,15.74,806200
2019-06-06,20.6,21.13,20.58,21.12,16.14,1061200
2019-06-07,21.2,21.76,21.15,21.71,16.59,1236500
2019-06-10,21.94,22.12,21.87,21.87,16.71,1281700
2019-06-11,22.02,22.03,21.07,21.34,16.31,1380900
2019-06-12,21.42,21.57,21.24,21.43,16.38,1070900
2019-06-13,21.45,21.63,21.31,21.47,16.41,1202400
2019-06-14,21.48,21.48,21.19,21.35,16.32,850500
2019-06-17,21.28,21.3,20.83,20.85,15.93,1066500
2019-06-18,20.97,21.43,20.7,21.4,16.36,1780200
2019-06-19,21.55,21.65,21.29,21.5,16.43,1011900
2019-06-20,21.7,21.85,21.52,21.75,16.62,1299700
2019-06-21,21.4,21.5,21.13,21.3,16.28,2322400
2019-06-24,21.45,21.75,21.36,21.58,16.49,1108200
2019-06-25,21.53,21.56,20.86,20.9,15.97,1392000
2019-06-26,21.0,21.28,20.95,21.01,16.06,1958400
2019-06-27,21.03,21.31,21.03,21.29,16.27,1448900
2019-06-28,21.38,21.74,21.32,21.4,16.36,10015000
2019-07-01,21.79,21.99,21.32,21.62,16.52,1411200
2019-07-02,21.6,21.6,21.23,21.46,16.4,1068600
2019-07-03,21.61,21.83,21.54,21.74,16.62,961100
2019-07-05,21.78,22.03,21.5,22.01,16.82,724600
2019-07-08,21.88,22.03,21.82,22.0,16.81,911000
2019-07-09,21.74,22.27,21.71,22.27,17.02,1150700
2019-07-10,22.42,22.62,22.33,22.52,17.21,1162600
2019-07-11,22.66,22.98,22.62,22.96,17.55,1232300
2019-07-12,22.96,23.23,22.89,23.03,17.6,1359700
2019-07-15,23.1,23.17,22.78,22.84,17.46,1044900
2019-07-16,22.7,22.86,22.6,22.65,17.31,1148500
2019-07-17,22.61,22.65,22.26,22.34,17.07,962600
2019-07-18,22.36,22.61,22.16,22.6,17.27,1029100
2019-07-19,22.62,22.96,22.59,22.69,17.34,734300
2019-07-22,22.61,22.7,22.22,22.56,17.24,1840300
2019-07-23,22.7,23.14,22.6,22.99,17.57,992600
2019-07-24,22.86,23.2,22.83,23.03,17.6,1061100
2019-07-25,23.1,23.19,22.79,22.94,17.53,564100
2019-07-26,22.93,23.14,22.84,22.96,17.55,705700
2019-07-29,22.92,22.97,22.35,22.43,17.14,1202200
2019-07-30,22.18,22.34,21.96,22.18,16.95,1574600
2019-07-31,21.35,21.69,20.02,20.07,15.34,2979700
2019-08-01,19.27,19.65,19.0,19.2,14.67,3104100
2019-08-02,19.05,19.46,19.0,19.38,14.81,1753600
2019-08-05,19.05,19.38,18.89,19.28,14.74,1357600
2019-08-06,19.42,19.55,19.17,19.46,14.87,1245600
2019-08-07,19.14,19.55,18.96,19.45,14.86,1368300
2019-08-08,19.74,20.01,19.6,19.99,15.28,1981000
2019-08-09,19.44,19.48,18.71,18.84,14.66,1179500
2019-08-12,18.62,18.79,18.44,18.45,14.36,633100
2019-08-13,18.3,18.78,18.23,18.48,14.38,1272500
2019-08-14,18.06,18.12,17.73,17.8,13.85,1278000
2019-08-15,17.87,18.11,17.68,17.78,13.84,794100
2019-08-16,17.95,18.28,17.91,18.16,14.13,798800
2019-08-19,18.49,18.57,18.36,18.49,14.39,902700
2019-08-20,18.4,18.54,18.18,18.19,14.16,782800
2019-08-21,18.37,18.57,18.27,18.45,14.36,1012000
2019-08-22,18.4,18.62,18.34,18.55,14.44,934300
2019-08-23,18.43,18.76,18.15,18.3,14.24,2125000
2019-08-26,18.49,18.53,18.23,18.53,14.42,1468300
2019-08-27,18.55,18.82,18.36,18.42,14.34,1653600
2019-08-28,18.35,18.76,18.17,18.6,14.48,1241500
2019-08-29,18.82,18.96,18.67,18.84,14.66,563100
2019-08-30,19.0,19.38,18.91,19.11,14.87,959100
2019-09-03,18.88,18.95,18.67,18.88,14.69,721700
2019-09-04,19.0,19.29,19.0,19.21,14.95,940100
2019-09-05,19.68,20.2,19.39,20.0,15.57,882400
2019-09-06,20.1,20.26,20.03,20.13,15.67,1316000
2019-09-09,20.25,20.85,20.23,20.81,16.2,1459000
2019-09-10,20.92,21.28,20.71,21.2,16.5,1438000
2019-09-11,21.27,21.92,20.9,21.82,16.98,1416100
2019-09-12,21.69,21.91,21.44,21.69,16.88,951600
2019-09-13,22.05,22.2,21.8,21.81,16.97,1433300
2019-09-16,21.69,22.14,21.62,21.95,17.08,1074700
2019-09-17,21.94,22.01,21.58,21.95,17.08,1424200
2019-09-18,21.8,21.91,21.41,21.61,16.82,1188300
2019-09-19,21.82,22.76,21.61,21.81,16.97,982100
2019-09-20,21.76,21.82,21.37,21.63,16.83,5003500
2019-09-23,21.4,21.96,21.4,21.87,17.02,935700
2019-09-24,21.92,22.1,21.69,21.73,16.91,1302700
2019-09-25,21.68,22.1,21.59,21.98,17.11,1284000
2019-09-26,21.93,22.31,21.85,22.2,17.28,1391500
2019-09-27,22.46,22.47,22.07,22.12,17.22,1042700
2019-09-30,22.22,22.58,22.08,22.46,17.48,1248800
2019-10-01,22.38,22.38,21.64,21.98,17.11,1429000
2019-10-02,21.66,21.83,21.41,21.58,16.8,2648100
2019-10-03,21.5,21.57,20.96,21.18,16.48,1392800
2019-10-04,20.93,21.19,20.66,21.17,16.48,1453100
2019-10-07,20.93,21.01,20.57,20.59,16.02,1108200
2019-10-08,20.38,20.38,19.99,20.06,15.61,988200
2019-10-09,20.24,20.45,20.19,20.33,15.82,1087600
2019-10-10,20.38,20.76,20.34,20.6,16.03,770200
2019-10-11,21.07,21.56,21.02,21.41,16.66,890400
2019-10-14,21.44,21.55,21.29,21.5,16.73,684500
2019-10-15,21.68,22.05,21.45,21.92,17.06,1151300
2019-10-16,21.91,22.1,21.8,22.05,17.16,726300
2019-10-17,22.24,22.6,22.15,22.55,17.55,1638700
2019-10-18,22.52,22.72,22.49,22.62,17.6,805100
2019-10-21,22.84,23.03,22.63,22.69,17.66,992000
2019-10-22,22.63,22.86,22.44,22.52,17.53,1451100
2019-10-23,22.55,23.24,22.43,23.16,18.03,1791200
2019-10-24,23.28,23.35,22.62,22.94,17.85,1354700
2019-10-25,22.89,22.99,22.62,22.85,17.78,1271600
2019-10-28,23.0,23.81,22.9,23.58,18.35,1403500
2019-10-29,23.49,23.88,23.42,23.76,18.49,1142100
2019-10-30,24.37,24.79,23.13,23.35,18.17,2528200
2019-10-31,23.41,23.54,22.83,23.13,18.0,1587600
2019-11-01,23.39,23.71,23.34,23.66,18.41,1007900
2019-11-04,23.86,24.24,23.78,24.21,18.84,1621900
2019-11-05,24.38,25.27,24.3,25.08,19.52,1511000
2019-11-06,25.12,25.24,24.66,24.67,19.2,1305800
2019-11-07,24.62,24.75,24.18,24.35,19.23,888800
2019-11-08,24.29,24.82,24.28,24.8,19.59,843000
2019-11-11,24.55,25.03,24.37,24.88,19.65,993200
2019-11-12,25.04,25.24,24.81,25.21,19.91,1137800
2019-11-13,24.9,24.99,24.72,24.79,19.58,861600
2019-11-14,24.75,24.82,24.6,24.72,19.52,667400
2019-11-15,24.91,25.05,24.75,24.82,19.6,805700
2019-11-18,24.8,24.98,24.61,24.9,19.67,575100
2019-11-19,25.01,25.23,24.89,25.18,19.89,546900
2019-11-20,24.96,25.16,24.5,25.04,19.78,810100
2019-11-21,25.2,25.2,24.68,24.71,19.52,806400
