Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,111.14,112.74,110.58,112.52,97.05,12205866
2019-05-10,111.75,112.84,110.54,112.51,97.04,13189381
2019-05-13,110.08,110.45,108.98,109.45,94.4,13783652
2019-05-14,109.55,111.72,109.5,110.32,95.15,10503672
2019-05-15,109.21,110.9,108.61,109.9,94.79,10142048
2019-05-16,110.62,112.17,110.59,111.31,96.01,9672729
2019-05-17,110.0,111.75,109.83,110.77,95.54,9570477
2019-05-20,110.58,111.81,110.37,111.35,96.04,8518244
2019-05-21,111.44,111.92,111.22,111.73,96.37,7967976
2019-05-22,111.4,111.79,110.75,110.82,95.58,7918898
2019-05-23,109.64,109.79,107.5,108.64,93.7,14557969
2019-05-24,109.52,109.96,109.19,109.71,94.63,8537252
2019-05-28,109.2,109.83,108.44,108.52,93.6,11665579
2019-05-29,107.45,108.4,107.06,108.22,93.34,9966365
2019-05-30,108.65,109.18,106.54,107.06,92.34,10367822
2019-05-31,105.56,106.59,104.84,105.96,91.39,10952857
2019-06-03,105.8,106.86,105.3,106.46,91.82,11680745
2019-06-04,107.85,109.9,107.13,109.74,94.65,12858587
2019-06-05,109.86,110.38,108.64,110.13,94.99,8340484
2019-06-06,110.15,110.87,108.93,110.37,95.19,8726664
2019-06-07,109.7,110.02,108.96,109.16,94.15,10618932
2019-06-10,110.75,111.21,110.22,110.34,95.17,11380602
2019-06-11,110.82,111.57,110.37,110.68,95.46,9847999
2019-06-12,110.7,110.9,108.89,109.27,94.25,9670511
2019-06-13,109.46,110.16,109.05,109.54,94.48,8406903
2019-06-14,109.57,110.3,108.63,109.82,94.72,9077685
2019-06-17,109.7,110.37,109.06,109.22,94.2,8128583
2019-06-18,109.01,111.41,108.98,110.71,95.49,11057340
2019-06-19,110.82,111.59,109.7,109.91,94.8,13126542
2019-06-20,110.88,111.09,109.03,110.19,95.04,13638199
2019-06-21,110.19,111.67,109.09,109.44,94.39,27089546
2019-06-24,109.28,109.77,108.54,108.66,93.72,13039577
2019-06-25,108.68,108.98,107.67,107.76,92.94,18660111
2019-06-26,108.3,109.31,108.16,108.48,93.56,10324609
2019-06-27,108.84,109.55,108.44,108.84,93.87,10906607
2019-06-28,111.04,112.43,110.9,111.8,96.43,21634683
2019-07-01,113.23,114.52,113.08,113.68,98.05,12762478
2019-07-02,113.51,114.2,113.22,113.8,98.15,10182625
2019-07-03,113.34,113.87,112.26,112.82,98.0,6849443
2019-07-05,113.51,114.27,112.92,113.49,98.58,7929536
2019-07-08,112.96,113.48,112.5,112.87,98.04,6917209
2019-07-09,112.28,113.49,112.15,113.35,98.46,8947322
2019-07-10,113.37,113.83,112.74,113.02,98.17,9242253
2019-07-11,113.37,114.36,113.12,114.1,99.11,11595170
2019-07-12,114.13,115.35,113.93,115.3,100.15,10783395
2019-07-15,115.54,115.57,113.53,113.9,98.93,12946597
2019-07-16,113.48,115.5,112.92,115.12,99.99,16944998
2019-07-17,114.43,114.94,113.73,113.99,99.01,13120924
2019-07-18,113.93,115.07,113.55,114.67,99.6,9400654
2019-07-19,114.89,115.12,113.4,113.54,98.62,10402772
2019-07-22,112.91,114.45,112.77,114.27,99.26,9061487
2019-07-23,114.88,116.45,114.82,116.36,101.07,12752167
2019-07-24,115.58,116.88,115.52,116.83,101.48,10011034
2019-07-25,116.89,117.24,115.32,115.71,100.51,10138368
2019-07-26,115.77,116.51,115.53,116.22,100.95,12800364
2019-07-29,116.46,117.18,115.79,115.85,100.63,8500370
2019-07-30,115.19,116.08,114.76,115.59,100.4,7121146
2019-07-31,116.1,116.18,114.86,116.0,100.76,13647968
2019-08-01,115.33,116.8,112.6,112.94,98.1,15664530
2019-08-02,112.4,113.43,111.4,112.93,98.09,11025527
2019-08-05,110.79,110.98,108.27,109.57,95.17,15855328
2019-08-06,110.05,110.5,108.34,110.43,95.92,10203487
2019-08-07,108.0,108.28,105.94,108.03,93.84,17320865
2019-08-08,109.05,110.08,108.72,109.86,95.43,10903331
2019-08-09,109.35,110.45,108.29,109.74,95.32,9980834
2019-08-12,108.44,108.51,107.21,107.68,93.53,9880737
2019-08-13,107.95,110.33,107.03,109.34,94.97,12236560
2019-08-14,106.3,106.91,104.45,104.8,91.03,19491849
2019-08-15,104.82,106.38,104.34,105.2,91.38,13365567
2019-08-16,106.37,107.98,105.87,107.72,93.57,11830550
2019-08-19,109.63,109.75,108.42,108.69,94.41,8265570
2019-08-20,107.85,108.44,107.24,107.31,93.21,8376105
2019-08-21,108.21,108.43,107.45,107.61,93.47,8189648
2019-08-22,108.37,109.27,107.93,108.72,94.44,9343395
2019-08-23,108.0,108.78,105.11,106.02,92.09,14764096
2019-08-26,106.62,106.99,106.01,106.87,92.83,8211955
2019-08-27,107.35,107.56,104.84,105.74,91.85,14335951
2019-08-28,105.08,107.21,105.04,106.8,92.77,10593762
2019-08-29,108.14,109.89,108.02,109.22,94.87,10002439
2019-08-30,109.84,110.56,109.47,109.86,95.43,10170346
2019-09-03,108.98,108.99,107.32,108.56,94.3,9869174
2019-09-04,109.45,110.22,108.56,109.87,95.43,6944055
2019-09-05,111.25,113.72,111.2,112.37,97.61,13226615
2019-09-06,112.66,112.98,111.96,112.61,97.81,7836735
2019-09-09,113.71,116.06,113.6,115.4,100.24,13985144
2019-09-10,116.3,117.27,115.73,116.87,101.51,14333096
2019-09-11,116.89,117.2,115.38,117.19,101.79,9919217
2019-09-12,116.55,118.47,115.92,117.91,102.42,12283450
2019-09-13,119.0,120.4,118.75,120.23,104.43,16257246
2019-09-16,118.9,119.87,118.38,119.16,103.5,11993932
2019-09-17,118.42,118.61,117.24,118.57,102.99,10819727
2019-09-18,118.32,120.08,117.75,119.76,104.02,10716320
2019-09-19,119.7,120.34,119.09,119.38,103.69,9460470
2019-09-20,119.74,120.34,118.87,118.9,103.28,22076823
2019-09-23,117.78,119.12,117.68,118.88,103.26,9184038
2019-09-24,118.75,119.26,117.04,117.33,101.91,11851899
2019-09-25,117.27,118.36,117.12,118.0,102.5,10269021
2019-09-26,117.88,118.05,116.95,117.03,101.65,9920613
2019-09-27,117.96,118.64,117.28,117.72,102.25,10207958
2019-09-30,118.36,118.77,117.22,117.69,102.23,9800755
2019-10-01,118.4,119.0,115.41,115.55,100.37,11328624
2019-10-02,114.81,114.9,112.93,113.25,98.37,12630337
2019-10-03,112.27,112.91,110.52,112.19,98.23,13102112
2019-10-04,112.34,114.94,112.27,114.62,100.36,9622741
2019-10-07,114.19,115.5,114.07,114.37,100.14,6816951
2019-10-08,113.06,113.06,111.66,111.82,97.91,11588324
2019-10-09,112.67,113.16,112.07,112.63,98.62,7342622
2019-10-10,113.14,115.4,113.0,114.21,100.0,11388900
2019-10-11,116.03,117.99,115.87,116.14,101.69,15193768
2019-10-14,115.85,116.87,115.66,116.45,101.96,8878537
2019-10-15,118.85,121.59,117.87,119.96,105.03,30522338
2019-10-16,119.96,120.62,119.38,119.68,104.79,11632039
2019-10-17,120.75,121.57,119.88,120.35,105.37,11064912
2019-10-18,120.0,121.02,119.86,120.56,105.56,10418383
2019-10-21,122.05,123.77,121.99,123.55,108.18,13272678
2019-10-22,123.45,125.1,123.12,124.79,109.26,12657085
2019-10-23,124.2,125.15,124.17,125.12,109.55,9397328
2019-10-24,125.29,125.66,124.07,125.03,109.47,8057164
2019-10-25,125.0,126.65,124.75,126.03,110.35,9055690
2019-10-28,126.57,127.21,126.4,126.51,110.77,9522184
2019-10-29,126.06,127.42,125.94,126.43,110.7,9797283
2019-10-30,126.05,126.26,124.92,125.73,110.08,8513704
2019-10-31,125.49,125.73,123.86,124.92,109.38,11589074
2019-11-01,126.2,127.99,126.02,127.8,111.9,11682642
2019-11-04,129.08,129.42,128.56,128.82,112.79,9159871
2019-11-05,129.39,130.3,128.84,129.1,113.04,13747635
2019-11-06,128.69,129.84,128.58,129.3,113.21,11231123
2019-11-07,130.43,131.29,129.92,130.0,113.82,13528925
2019-11-08,129.88,130.4,129.25,130.38,114.16,9294223
2019-11-11,129.6,130.1,129.35,129.92,113.75,8680490
2019-11-12,129.63,130.62,129.01,129.16,113.09,9101912
2019-11-13,128.13,128.82,127.42,128.48,112.49,8098146
2019-11-14,127.72,128.84,127.59,128.6,112.6,8483725
2019-11-15,129.23,129.53,128.4,129.53,113.41,10163667
2019-11-18,129.56,130.65,128.99,130.62,114.37,8752503
