Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,47.8,47.98,47.07,47.4,40.58,11450532
2019-05-10,47.41,48.3,47.4,48.19,41.26,9653803
2019-05-13,47.91,48.13,47.73,48.05,41.14,11911503
2019-05-14,48.53,49.32,48.35,48.69,41.68,16844203
2019-05-15,48.67,49.38,48.6,49.18,42.1,11422539
2019-05-16,49.27,49.66,49.21,49.58,42.45,17771456
2019-05-17,49.27,49.55,49.17,49.2,42.12,11257015
2019-05-20,49.04,49.14,48.76,48.85,41.82,13850532
2019-05-21,49.0,49.03,48.45,48.6,41.61,10587371
2019-05-22,48.78,49.71,48.72,49.65,42.51,16050700
2019-05-23,49.5,49.9,49.46,49.85,42.68,12199513
2019-05-24,49.82,49.89,49.53,49.61,42.47,6887900
2019-05-28,49.6,49.67,49.03,49.1,42.03,18614225
2019-05-29,48.74,49.03,48.41,48.61,41.61,12534850
2019-05-30,48.72,49.31,48.67,49.25,42.16,9087412
2019-05-31,49.0,49.31,48.78,49.13,42.06,11368639
2019-06-03,49.16,49.98,49.02,49.98,42.79,14167447
2019-06-04,50.0,50.28,49.62,50.0,42.8,12010729
2019-06-05,50.01,51.14,49.69,50.78,43.47,15837552
2019-06-06,50.91,51.54,50.59,51.4,44.0,15190441
2019-06-07,51.47,52.19,51.45,51.49,44.08,15293561
2019-06-10,51.54,51.54,51.09,51.38,43.99,9737469
2019-06-11,51.45,51.59,51.18,51.33,43.94,9915822
2019-06-12,51.5,52.14,51.47,51.64,44.21,11088124
2019-06-13,51.46,51.7,50.78,51.13,44.11,10353646
2019-06-14,51.05,51.53,51.05,51.31,44.27,8694261
2019-06-17,51.25,51.48,50.61,50.87,43.89,12322605
2019-06-18,51.25,51.3,50.53,50.64,43.69,9221096
2019-06-19,50.54,51.24,50.47,51.12,44.11,9414126
2019-06-20,51.5,51.79,51.35,51.66,44.57,10656580
2019-06-21,51.53,51.89,51.41,51.55,44.48,21264422
2019-06-24,51.74,52.2,51.7,51.92,44.8,10780166
2019-06-25,52.0,52.1,51.64,51.76,44.66,11519910
2019-06-26,51.52,51.64,51.09,51.12,44.11,12405074
2019-06-27,51.29,51.4,50.97,51.08,44.07,12374915
2019-06-28,51.27,51.4,50.52,50.92,43.93,16339869
2019-07-01,51.07,51.63,50.78,51.6,44.52,14983242
2019-07-02,51.78,52.05,51.55,51.98,44.85,8570397
2019-07-03,52.0,52.33,52.0,52.1,44.95,7253702
2019-07-05,51.89,52.12,51.48,52.11,44.96,8916270
2019-07-08,52.2,52.33,51.89,52.0,44.86,9495084
2019-07-09,51.72,51.97,51.43,51.59,44.51,10584925
2019-07-10,51.8,51.97,51.66,51.82,44.71,7620933
2019-07-11,51.99,52.06,51.66,52.04,44.9,10376532
2019-07-12,52.25,52.29,51.91,52.12,44.97,7347728
2019-07-15,52.28,52.29,51.87,52.13,44.98,5876139
2019-07-16,51.96,52.47,51.81,52.14,44.99,7132540
2019-07-17,52.22,52.26,52.01,52.18,45.02,8264361
2019-07-18,52.04,52.17,51.67,52.03,44.89,11912294
2019-07-19,52.14,52.15,51.37,51.39,44.34,10355791
2019-07-22,51.52,51.52,51.13,51.22,44.19,12095776
2019-07-23,53.25,54.64,52.76,54.33,46.87,33417948
2019-07-24,54.12,54.82,53.62,53.78,46.4,15633378
2019-07-25,53.63,53.8,52.72,53.07,45.79,19134962
2019-07-26,53.34,54.31,53.19,54.17,46.74,11452089
2019-07-29,54.17,54.3,53.9,53.99,46.58,12283929
2019-07-30,53.96,54.3,53.57,53.72,46.35,8127139
2019-07-31,53.51,53.51,52.04,52.63,45.41,16865525
2019-08-01,52.78,53.2,52.01,52.03,44.89,19527452
2019-08-02,51.91,52.73,51.91,52.33,45.15,13102306
2019-08-05,52.39,52.66,51.4,51.65,44.56,19986478
2019-08-06,51.87,52.76,51.61,52.27,45.1,19903076
2019-08-07,52.27,53.39,51.77,53.18,45.88,17937044
2019-08-08,53.21,53.78,52.85,53.69,46.32,10799081
2019-08-09,53.79,53.9,53.08,53.42,46.09,9260870
2019-08-12,53.28,53.44,52.99,53.2,45.9,7088745
2019-08-13,52.9,53.61,52.87,53.5,46.16,8657591
2019-08-14,53.34,53.97,52.97,52.99,45.72,17088932
2019-08-15,53.43,54.0,53.23,53.87,46.48,12393223
2019-08-16,53.98,54.49,53.95,54.41,46.94,14288686
2019-08-19,54.44,54.78,54.31,54.69,47.19,10936540
2019-08-20,54.62,54.68,53.84,53.88,46.49,8176977
2019-08-21,54.25,54.41,53.85,54.1,46.68,10886650
2019-08-22,54.12,54.64,54.1,54.49,47.01,7467949
2019-08-23,54.42,54.71,53.39,53.74,46.37,14160658
2019-08-26,54.0,54.54,53.73,54.54,47.06,9227331
2019-08-27,54.7,54.95,54.41,54.72,47.21,13538722
2019-08-28,54.66,55.15,54.42,55.11,47.55,10052411
2019-08-29,55.26,55.34,54.6,55.05,47.5,9262980
2019-08-30,55.16,55.22,54.81,55.04,47.49,8746708
2019-09-03,54.98,55.33,54.87,55.3,47.71,12991495
2019-09-04,55.35,55.92,55.3,55.77,48.12,10733807
2019-09-05,55.75,55.77,55.03,55.12,47.56,13677162
2019-09-06,55.44,55.44,54.76,55.23,47.65,9093514
2019-09-09,55.03,55.08,54.36,54.52,47.04,10814948
2019-09-10,54.23,54.44,53.85,54.4,46.94,12038561
2019-09-11,54.29,54.8,53.97,54.77,47.25,9740376
2019-09-12,55.1,55.31,54.98,55.11,47.55,12357891
2019-09-13,54.48,54.79,54.07,54.26,47.16,11486110
2019-09-16,54.1,54.34,53.63,53.96,46.9,11172001
2019-09-17,54.1,54.7,53.96,54.24,47.14,11402943
2019-09-18,54.2,54.29,53.82,54.23,47.13,9786556
2019-09-19,54.23,54.6,54.13,54.52,47.38,8088639
2019-09-20,54.69,54.69,53.9,53.91,46.85,19349483
2019-09-23,53.91,54.36,53.88,54.14,47.05,6837554
2019-09-24,54.25,54.61,54.04,54.3,47.19,10336537
2019-09-25,54.44,54.48,54.0,54.17,47.08,10289534
2019-09-26,54.47,54.58,54.13,54.39,47.27,11252681
2019-09-27,54.56,54.64,54.0,54.31,47.2,7941142
2019-09-30,54.15,54.68,54.15,54.44,47.31,9822826
2019-10-01,54.53,54.78,54.01,54.65,47.5,14650924
2019-10-02,54.21,54.44,52.9,53.08,46.13,15384000
2019-10-03,53.5,53.98,52.82,53.84,46.79,14206690
2019-10-04,54.0,54.54,53.89,54.54,47.4,9926618
