Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,25.76,26.345,25.53,26.29,26.290001,1912490
2019-05-10,26.21,26.47,25.61,26.31,26.309999,1506427
2019-05-13,25.86,25.91,24.77,24.81,24.809999,2316484
2019-05-14,24.81,25.24,24.72,24.91,24.91,1155624
2019-05-15,24.65,25.385,24.6,25.29,25.290001,1754569
2019-05-16,25.3,25.83,25.13,25.62,25.620001,1141044
2019-05-17,25.45,25.75,25.22,25.23,25.23,1591978
2019-05-20,25.0,25.16,24.82,25.1,25.1,991010
2019-05-21,25.32,25.91,25.25,25.87,25.870001,1211355
2019-05-22,25.7,25.92,25.26,25.41,25.41,1054278
2019-05-23,25.19,25.5,24.99,25.15,25.15,1083688
2019-05-24,25.24,25.44,24.84,24.91,24.91,1595639
2019-05-28,25.07,25.76,24.885,25.02,25.02,2399725
2019-05-29,24.9,25.265,24.75,24.91,24.91,3243305
2019-05-30,24.93,25.09,24.305,24.37,24.370001,2403954
2019-05-31,24.07,24.7,24.04,24.6,24.6,1974526
2019-06-03,24.46,25.09,24.35,24.42,24.42,2114463
2019-06-04,24.62,25.6,24.62,25.55,25.549999,2185312
2019-06-05,25.78,25.78,25.055,25.34,25.34,1198135
2019-06-06,25.32,25.91,25.31,25.76,25.76,965085
2019-06-07,25.91,26.32,25.84,26.24,26.24,1592403
2019-06-10,26.33,26.835,26.18,26.76,26.76,2272640
2019-06-11,26.94,26.94,26.22,26.46,26.459999,1516389
2019-06-12,26.44,26.78,26.23,26.27,26.27,682199
2019-06-13,26.41,26.57,26.17,26.38,26.379999,1376391
2019-06-14,26.38,26.91,26.18,26.71,26.709999,1359863
2019-06-17,26.7,26.945,26.49,26.66,26.66,1865127
2019-06-18,27.0,27.78,26.95,27.26,27.26,2224684
2019-06-19,27.27,27.72,27.2684,27.64,27.639999,1198026
2019-06-20,27.97,27.99,27.38,27.61,27.610001,1234483
2019-06-21,27.61,27.83,27.22,27.5,27.5,1822845
2019-06-24,27.56,27.57,26.73,26.9,26.9,1358969
2019-06-25,26.94,26.94,26.15,26.25,26.25,1741027
2019-06-26,26.49,26.59,25.92,26.41,26.41,3062827
2019-06-27,26.44,26.96,26.33,26.75,26.75,1296351
2019-06-28,26.76,27.16,26.66,26.99,26.99,1666929
2019-07-01,27.43,27.67,27.04,27.43,27.43,1368510
2019-07-02,27.34,27.68,27.27,27.68,27.68,1001988
