Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,25.09,25.67,24.89,25.62,25.620001,2974340
2019-05-10,25.5,25.77,24.98,25.57,25.57,2378583
2019-05-13,25.16,25.22,24.05,24.06,24.059999,4613816
2019-05-14,24.1,24.545,24.01,24.28,24.280001,2754943
2019-05-15,24.1,24.81,23.94,24.75,24.75,3930450
2019-05-16,24.74,25.24,24.57,25.03,25.030001,3292159
2019-05-17,24.95,25.17,24.62,24.66,24.66,7243923
2019-05-20,24.35,24.62,24.28,24.57,24.57,2367801
2019-05-21,24.71,25.31,24.67,25.28,25.280001,2315240
2019-05-22,25.17,25.37,24.7,24.9,24.9,2247234
2019-05-23,24.64,24.96,24.41,24.61,24.610001,2835751
2019-05-24,24.75,24.89,24.31,24.41,24.41,2593233
2019-05-28,24.55,25.215,24.39,24.54,24.540001,4124455
2019-05-29,24.41,24.78,24.27,24.46,24.459999,3527473
2019-05-30,24.4,24.6,23.86,23.99,23.99,4120483
2019-05-31,23.79,24.33,23.63,24.24,24.24,3510400
2019-06-03,24.17,24.69,23.96,24.06,24.059999,3240856
2019-06-04,24.47,25.096,24.22,25.05,25.049999,3543463
2019-06-05,25.17,25.26,24.545,24.79,24.790001,2532324
2019-06-06,24.83,25.32,24.78,25.19,25.190001,1815322
2019-06-07,25.3,25.7,25.25,25.61,25.610001,2382828
2019-06-10,25.69,26.13,25.54,26.02,26.02,2747143
2019-06-11,26.2,26.2,25.575,25.73,25.73,2305561
2019-06-12,25.76,26.095,25.5,25.5,25.5,1692509
2019-06-13,25.54,25.83,25.47,25.63,25.629999,1501584
2019-06-14,25.62,26.14,25.46,25.92,25.92,1590930
2019-06-17,25.92,26.16,25.73,25.86,25.860001,3195066
2019-06-18,26.22,26.97,26.07,26.54,26.540001,3554170
2019-06-19,26.46,26.975,26.46,26.92,26.92,1776698
2019-06-20,27.15,27.2,26.65,26.88,26.879999,1668111
2019-06-21,26.83,27.09,26.53,26.84,26.84,2766476
2019-06-24,26.84,26.92,26.135,26.31,26.309999,1809079
2019-06-25,26.25,26.25,25.57,25.67,25.67,2695968
2019-06-26,25.75,26.075,25.39,25.88,25.879999,2936901
2019-06-27,25.86,26.37,25.76,26.21,26.209999,2283346
2019-06-28,26.2,26.62,26.07,26.53,26.530001,2503700
2019-07-01,26.92,27.1,26.44,26.85,26.85,2336347
2019-07-02,26.79,27.01,26.66,26.94,26.940001,1937775
2019-07-03,27.0,27.04,26.73,26.88,26.879999,1109711
2019-07-05,26.68,27.02,26.63,26.92,26.92,1074058
2019-07-08,26.76,26.76,26.22,26.27,26.27,2030585
2019-07-09,26.06,26.34,25.835,26.01,26.01,2671230
2019-07-10,26.08,26.23,25.82,26.06,26.059999,3450077
2019-07-11,26.08,26.59,26.08,26.58,26.58,1904339
2019-07-12,26.62,26.83,26.525,26.54,26.540001,1304067
2019-07-15,26.56,26.67,25.6401,25.88,25.879999,2645420
2019-07-16,25.94,26.0,25.48,25.5,25.5,1743696
2019-07-17,25.43,25.585,25.135,25.5,25.5,1963825
2019-07-18,25.5,27.84,25.5,27.42,27.42,6431882
2019-07-19,27.42,27.72,26.74,27.05,27.049999,4028810
2019-07-22,27.03,27.16,26.675,26.91,26.91,1463586
2019-07-23,27.12,27.5,26.98,27.13,27.129999,3100468
2019-07-24,27.12,27.355,26.78,27.31,27.309999,4357935
2019-07-25,27.28,27.36,26.91,27.21,27.209999,1406398
2019-07-26,27.16,27.3,27.06,27.25,27.25,1430223
2019-07-29,27.25,27.25,26.56,26.59,26.59,2149825
2019-07-30,26.38,26.655,26.19,26.54,26.540001,1314308
2019-07-31,26.5,26.625,25.85,26.04,26.040001,3559963
2019-08-01,25.85,26.355,25.67,25.83,25.83,2190543
2019-08-02,25.71,26.05,25.07,25.95,25.950001,1711766
2019-08-05,25.46,25.46,24.75,24.97,24.969999,3868314
2019-08-06,25.0,25.25,24.73,25.02,25.02,2088006
2019-08-07,24.6,25.27,24.2027,25.19,25.190001,2570638
2019-08-08,26.01,26.5,25.26,25.57,25.57,7129449
2019-08-09,25.49,25.91,25.37,25.85,25.85,4253280
2019-08-12,25.77,26.94,25.61,26.33,26.33,4832730
2019-08-13,26.23,26.91,26.22,26.36,26.360001,4681514
2019-08-14,25.99,26.21,25.74,25.75,25.75,3485392
2019-08-15,25.75,25.96,25.53,25.73,25.73,3618063
2019-08-16,25.97,26.1,25.64,25.66,25.66,4322111
2019-08-19,25.93,26.12,25.675,25.99,25.99,5307538
2019-08-20,25.96,26.09,25.84,25.86,25.860001,3915085
2019-08-21,25.99,26.12,25.66,25.93,25.93,5519050
2019-08-22,25.93,26.09,25.64,25.67,25.66,6630028
2019-08-23,25.58,25.685,25.04,25.12,25.120001,6172470
2019-08-26,25.29,25.62,25.265,25.3,25.299999,5022362
2019-08-27,25.5,25.5,25.05,25.14,25.139999,6581497
2019-08-28,25.06,25.46,24.92,25.32,25.32,6125948
2019-08-29,25.57,25.89,25.47,25.75,25.75,9078609
2019-08-30,25.81,26.22,25.785,26.12,26.120001,5733494
2019-09-03,25.84,26.03,25.72,25.94,25.940001,7455002
2019-09-04,26.09,26.77,26.03,26.69,26.690001,11864703
2019-09-05,26.84,27.23,26.02,26.07,26.07,14130830
2019-09-06,26.12,26.811,26.12,26.53,26.530001,13023849
2019-09-09,26.66,26.795,26.4,26.75,26.75,10230362
2019-09-10,26.82,27.335,26.67,27.14,27.139999,13198146
2019-09-11,27.17,27.26,26.69,26.95,26.950001,5953801
2019-09-12,26.92,27.66,26.77,27.42,27.42,11269748
2019-09-13,27.65,27.67,27.19,27.51,27.51,6213111
2019-09-16,27.37,27.58,26.97,27.08,27.08,4018073
2019-09-17,26.92,26.98,26.34,26.6,26.6,5063380
2019-09-18,26.56,26.68,26.27,26.66,26.66,4064535
2019-09-19,26.63,26.72,26.28,26.3,26.299999,4354605
2019-09-20,26.23,26.23,24.84,25.09,25.09,14059873
2019-09-23,24.94,25.235,24.54,24.56,24.559999,3683580
2019-09-24,24.62,24.755,23.84,23.94,23.940001,4669825
2019-09-25,23.74,24.54,23.74,24.435,24.440001,4914251
2019-09-26,24.51,24.63,23.74,23.79,23.790001,2963817
2019-09-27,23.78,23.96,23.51,23.84,23.84,2813010
2019-09-30,23.91,24.0,23.71,23.79,23.790001,3374175
2019-10-01,23.82,24.12,23.34,23.41,23.41,2916212
2019-10-02,23.33,23.465,23.21,23.41,23.41,2392365
2019-10-03,23.33,23.77,23.27,23.765,23.77,3041881
2019-10-04,23.79,24.19,23.75,24.12,24.120001,2593616
2019-10-07,24.12,24.315,23.95,24.11,24.110001,5482195
2019-10-08,24.0,24.11,23.57,23.73,23.73,2763026
2019-10-09,23.86,23.975,23.62,23.915,23.92,1331522
2019-10-10,23.89,23.89,22.9,22.905,22.91,4197325
2019-10-11,23.32,23.69,23.14,23.49,23.49,3516768
2019-10-14,23.52,23.72,23.31,23.66,23.66,2203808
2019-10-15,23.66,24.63,23.65,24.6,24.6,2689010
2019-10-16,24.63,25.07,24.6,24.85,24.85,4943042
2019-10-17,24.67,24.85,24.1,24.24,24.24,5500948
2019-10-18,24.33,24.51,24.11,24.35,24.35,4191265
2019-10-21,24.36,24.7,24.24,24.32,24.32,2914101
2019-10-22,23.73,23.73,22.4367,22.94,22.940001,7900408
2019-10-23,22.63,23.28,22.63,23.27,23.27,2691194
2019-10-24,23.27,23.365,22.99,23.27,23.27,1930225
2019-10-25,23.35,23.6,23.175,23.21,23.209999,1825609
2019-10-28,23.26,23.73,23.25,23.48,23.48,3634180
2019-10-29,23.34,23.71,23.131,23.62,23.620001,3504920
2019-10-30,23.59,23.76,23.12,23.61,23.610001,1611616
2019-10-31,23.6,23.88,23.3101,23.87,23.870001,1810293
2019-11-01,24.07,24.26,23.88,24.19,24.190001,1447981
2019-11-04,24.19,24.41,23.98,24.08,24.08,2270775
2019-11-05,24.06,24.26,23.89,24.065,24.07,2150170
2019-11-06,24.18,24.31,23.66,23.68,23.68,2215279
2019-11-07,23.5,23.74,23.005,23.47,23.469999,3857844
2019-11-08,23.38,23.545,23.14,23.45,23.450001,1643968
2019-11-11,23.33,23.61,23.125,23.47,23.469999,1725615
2019-11-12,23.25,23.28,22.59,22.68,22.68,4026483
2019-11-13,22.54,22.85,21.975,21.99,21.99,5098790
2019-11-14,21.87,22.26,21.75,21.82,21.82,5588582
2019-11-15,21.89,21.95,21.59,21.66,21.66,4204518
2019-11-18,21.2,21.76,21.2,21.74,21.74,6816327
2019-11-19,21.87,21.91,21.55,21.82,21.82,3294973
2019-11-20,21.75,22.01,21.515,21.66,21.66,4057693
2019-11-21,21.63,21.805,21.535,21.73,21.73,3242202
2019-11-22,21.84,21.87,21.4,21.41,21.41,4006783
