Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,176.58,176.87,172.91,174.57,161.62,2049600
2019-05-08,174.43,177.53,174.24,176.54,163.44,1264600
2019-05-09,173.2,174.71,171.6,173.35,160.49,1999500
2019-05-10,174.63,182.22,174.27,181.59,168.12,2511800
2019-05-13,179.74,181.01,177.82,180.68,167.27,2328500
2019-05-14,180.31,182.36,179.78,180.92,167.49,2029300
2019-05-15,178.57,182.37,178.32,180.86,167.44,1184200
2019-05-16,185.09,188.97,184.5,187.65,173.73,1866600
2019-05-17,188.19,189.45,186.89,189.0,174.98,1737900
2019-05-20,186.0,187.17,184.65,185.26,171.51,1383700
2019-05-21,186.76,187.44,186.15,187.27,173.37,1051500
2019-05-22,187.87,189.72,187.18,188.24,174.27,1334800
2019-05-23,185.89,187.04,184.47,185.08,171.35,1318500
2019-05-24,187.37,188.15,185.85,187.86,173.92,1025300
2019-05-28,186.94,187.78,183.73,184.31,170.63,1483100
2019-05-29,181.46,183.13,181.21,183.01,169.43,1405400
2019-05-30,182.92,184.21,182.77,183.41,169.8,1042000
2019-05-31,180.3,181.41,179.87,180.55,167.95,1757200
2019-06-03,181.47,187.41,181.2,187.28,174.21,2882600
2019-06-04,187.81,191.35,185.68,191.35,178.0,3115200
2019-06-05,191.35,192.8,190.49,192.75,179.3,3708800
2019-06-06,194.31,198.06,193.69,197.35,183.58,3468200
2019-06-07,200.15,201.11,197.63,200.05,186.09,3613300
2019-06-10,200.12,202.0,198.23,200.42,186.44,1197400
2019-06-11,201.2,201.82,199.72,200.79,186.78,1720000
2019-06-12,201.58,202.28,200.97,201.69,187.62,1956300
2019-06-13,203.48,203.89,201.64,202.74,188.6,2855100
2019-06-14,202.66,203.23,201.43,202.71,188.57,1524000
2019-06-17,202.93,203.61,201.04,201.26,187.22,1757200
2019-06-18,204.18,204.76,202.71,204.02,189.79,2006900
2019-06-19,202.24,202.47,199.14,200.59,186.6,1944700
2019-06-20,203.65,203.71,201.5,202.34,188.22,1703300
2019-06-21,202.64,202.99,202.03,202.13,188.03,3770300
2019-06-24,202.49,203.87,202.03,203.38,189.19,1092500
2019-06-25,204.32,204.32,202.71,202.8,188.65,1118800
2019-06-26,202.05,202.31,200.56,200.6,186.6,1369900
2019-06-27,198.7,199.95,198.46,199.53,185.61,1532100
2019-06-28,199.6,201.72,199.12,200.8,186.79,6440600
2019-07-01,203.02,203.19,201.51,203.0,188.84,1113300
2019-07-02,202.01,203.97,201.53,203.54,189.34,1722400
2019-07-03,202.0,203.61,201.71,203.61,189.4,939500
2019-07-05,201.1,203.17,200.1,202.43,188.31,1741300
2019-07-08,201.05,203.64,200.88,201.67,187.6,1277100
2019-07-09,202.42,202.61,200.71,200.97,186.95,1160700
2019-07-10,202.08,202.65,201.46,201.77,187.69,1062000
2019-07-11,201.44,203.06,201.03,202.81,188.66,1225200
2019-07-12,203.76,204.72,202.98,203.98,189.75,1027600
2019-07-15,204.19,205.1,203.71,204.07,189.83,869000
2019-07-16,204.13,205.55,202.45,202.59,188.46,1073700
2019-07-17,203.54,203.85,201.76,201.82,187.74,986700
2019-07-18,202.8,203.68,201.82,203.64,189.43,1013800
