Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,73.97,74.92,71.53,72.09,72.089996,600638
2019-05-08,71.93,72.5156,70.26,71.87,71.870003,672439
2019-05-09,71.34,71.61,69.765,70.9,70.900002,434368
2019-05-10,70.88,71.76,69.61,71.59,71.589996,440961
2019-05-13,70.15,70.47,69.48,70.12,70.120003,557577
2019-05-14,70.29,72.2,69.84,71.7,71.699997,502702
2019-05-15,71.04,72.73,70.645,72.41,72.410004,402005
2019-05-16,72.48,74.07,72.24,73.07,73.07,369375
2019-05-17,72.37,73.14,71.49,71.88,71.879997,307061
2019-05-20,71.17,72.19,70.36,72.09,72.089996,360076
2019-05-21,72.52,73.345,71.955,72.54,72.540001,349298
2019-05-22,72.33,73.22,71.54,72.11,72.110001,308793
2019-05-23,71.65,72.15,70.74,71.36,71.360001,256574
2019-05-24,71.51,72.48,71.51,72.27,72.269997,306735
2019-05-28,72.44,72.98,71.45,71.5,71.5,273210
2019-05-29,71.25,72.35,70.52,71.88,71.879997,398317
2019-05-30,72.04,72.855,71.12,71.58,71.580002,390112
2019-05-31,70.86,72.05,70.45,71.9,71.900002,572897
2019-06-03,71.95,72.12,71.22,71.76,71.760002,655343
2019-06-04,72.55,73.81,71.77,73.41,73.410004,389020
2019-06-05,73.58,74.7,73.42,74.1,74.099998,279108
2019-06-06,74.09,74.94,73.87,74.68,74.68,368187
2019-06-07,75.07,75.78,74.01,74.05,74.050003,256403
2019-06-10,74.25,74.92,73.934,74.85,74.849998,351490
2019-06-11,75.26,75.64,72.64,73.05,73.050003,336284
2019-06-12,72.91,73.47,72.16,72.63,72.629997,282996
2019-06-13,72.75,72.84,72.04,72.39,72.389999,292391
2019-06-14,72.35,72.57,71.67,71.93,71.93,245929
2019-06-17,71.91,72.62,71.7,72.51,72.510002,221112
2019-06-18,72.63,74.27,72.17,73.26,73.260002,411462
2019-06-19,73.62,74.78,72.99,74.71,74.709999,280320
2019-06-20,75.0,76.55,74.99,75.93,75.93,351654
2019-06-21,75.36,75.785,73.78,74.04,74.040001,500875
2019-06-24,74.24,74.36,73.59,73.75,73.75,231096
2019-06-25,73.68,73.94,72.52,72.76,72.760002,359872
2019-06-26,73.12,73.475,71.9,71.94,71.940002,351779
2019-06-27,72.25,72.52,71.75,71.99,71.989998,367921
2019-06-28,72.31,72.58,71.2,71.96,71.959999,941696
2019-07-01,72.6,73.6,71.45,72.26,72.260002,358694
2019-07-02,72.13,72.68,71.81,72.26,72.260002,345329
2019-07-03,72.67,72.97,71.97,72.34,72.339996,136211
2019-07-05,71.78,72.81,71.61,72.71,72.709999,300736
2019-07-08,72.48,72.95,71.87,72.61,72.610001,214128
2019-07-09,72.12,72.84,71.41,71.75,71.75,357720
2019-07-10,72.32,73.12,71.55,72.17,72.169998,337157
2019-07-11,72.58,73.43,72.03,73.09,73.089996,352644
2019-07-12,72.97,73.565,72.14,72.7,72.699997,284530
2019-07-15,73.17,74.61,72.47,73.08,73.080002,407320
2019-07-16,73.03,73.57,72.21,72.24,72.239998,246383
2019-07-17,72.43,73.4,72.21,72.47,72.470001,376088
2019-07-18,72.34,73.23,72.26,72.71,72.709999,232688
2019-07-19,72.61,73.37,71.71,71.82,71.82,340798
2019-07-22,72.14,72.58,71.09,71.74,71.739998,300507
2019-07-23,71.92,73.16,70.92,73.09,73.089996,431839
2019-07-24,73.22,74.37,72.85,74.32,74.32,301798
2019-07-25,74.31,75.0,73.85,74.14,74.139999,580460
2019-07-26,74.44,74.77,72.9,73.0,73.0,379994
2019-07-29,73.14,74.21,72.52,74.17,74.169998,445510
2019-07-30,73.68,75.75,73.13,75.73,75.730003,413494
2019-07-31,73.52,78.77,73.52,77.05,77.050003,1151065
2019-08-01,77.53,80.52,76.645,80.11,80.110001,659668
2019-08-02,79.98,80.5,77.98,78.99,78.989998,480535
2019-08-05,77.73,78.84,76.12,77.0,77.0,657131
2019-08-06,77.2,78.75,75.4812,78.68,78.68,446146
2019-08-07,77.95,79.22,76.74,79.12,79.120003,523619
2019-08-08,79.68,81.57,77.4375,81.52,81.519997,453785
2019-08-09,81.44,82.52,81.34,82.22,82.220001,426955
2019-08-12,81.49,82.62,79.47,80.03,80.029999,384976
2019-08-13,79.91,80.93,79.48,80.7,80.699997,293317
2019-08-14,79.61,79.6475,77.05,77.86,77.860001,405199
2019-08-15,78.11,78.68,76.25,77.52,77.519997,326946
2019-08-16,78.09,79.61,78.05,79.46,79.459999,336955
2019-08-19,80.25,81.68,80.23,81.48,81.480003,349065
2019-08-20,81.35,82.25,80.65,80.85,80.849998,328417
2019-08-21,81.52,81.95,81.05,81.26,81.260002,302189
2019-08-22,81.74,81.97,79.04,79.11,79.050003,203087
2019-08-23,78.74,79.27,75.395,75.47,75.470001,406040
2019-08-26,75.08,76.44,74.8,76.14,76.139999,315028
2019-08-27,76.75,77.35,75.15,75.22,75.220001,272746
2019-08-28,75.02,75.845,74.4128,75.2,75.199997,505538
2019-08-29,75.96,77.19,75.65,76.96,76.959999,288124
2019-08-30,77.37,77.885,76.54,77.63,77.629997,261401
2019-09-03,77.0,77.31,76.25,76.69,76.690002,352659
2019-09-04,77.39,77.53,76.225,76.6,76.599998,188551
2019-09-05,76.73,77.96,76.55,76.92,76.919998,226380
2019-09-06,78.0,81.24,77.695,80.53,80.529999,294004
2019-09-09,80.68,81.29,80.03,80.39,80.389999,462912
2019-09-10,80.17,83.3,79.125,83.25,83.25,336699
2019-09-11,83.86,86.59,83.11,86.35,86.349998,423322
2019-09-12,86.96,87.45,85.31,86.12,86.120003,333009
2019-09-13,86.49,86.49,84.66,85.19,85.190002,240973
2019-09-16,84.57,86.015,82.94,83.0,83.0,398808
2019-09-17,83.08,83.08,81.28,81.56,81.559998,301755
2019-09-18,81.12,82.87,78.275,79.23,79.230003,354580
2019-09-19,79.41,80.32,78.0725,78.93,78.93,214143
2019-09-20,78.35,78.73,77.5,78.53,78.529999,679227
2019-09-23,78.19,78.45,77.0,77.64,77.639999,448387
2019-09-24,78.03,78.4,75.87,76.79,76.790001,458306
2019-09-25,76.73,78.38,76.34,77.99,77.989998,427351
2019-09-26,78.23,78.39,76.55,76.71,76.709999,300486
2019-09-27,76.85,76.85,73.88,73.9,73.900002,437755
2019-09-30,74.19,75.12,73.75,73.79,73.790001,262609
2019-10-01,73.82,74.97,71.51,71.94,71.940002,624445
2019-10-02,71.3,71.57,66.97,69.29,69.290001,881919
2019-10-03,69.27,70.76,67.91,70.67,70.669998,451122
2019-10-04,70.94,72.12,69.64,71.35,71.349998,298472
2019-10-07,70.87,71.96,70.6175,71.09,71.089996,332256
2019-10-08,70.49,70.49,68.82,68.92,68.919998,344602
2019-10-09,69.7,70.58,68.88,69.56,69.559998,223230
2019-10-10,69.5,69.96,68.68,69.52,69.519997,220982
2019-10-11,70.39,72.11,69.4,70.9,70.900002,226663
2019-10-14,71.14,71.565,70.7,71.18,71.18,187028
2019-10-15,71.8,74.0,70.98,73.12,73.120003,273830
2019-10-16,72.86,73.95,72.5,73.53,73.529999,185079
2019-10-17,73.63,74.34,73.345,73.99,73.989998,256131
2019-10-18,73.54,74.77,72.84,74.66,74.660004,218716
2019-10-21,75.28,76.3,74.74,75.33,75.330002,278397
2019-10-22,75.26,75.26,72.34,72.46,72.459999,355536
2019-10-23,72.71,75.1,70.925,74.55,74.550003,278118
2019-10-24,75.07,75.45,73.5,74.48,74.480003,135776
2019-10-25,74.32,74.86,73.69,74.27,74.269997,228595
2019-10-28,74.22,76.02,74.15,75.65,75.650002,264102
2019-10-29,75.17,76.6,74.98,75.87,75.870003,401550
2019-10-30,77.98,77.98,70.4,72.22,72.220001,852058
2019-10-31,71.14,72.24,69.31,70.73,70.730003,802618
2019-11-01,71.4,72.77,69.72,69.91,69.910004,480922
2019-11-04,70.48,71.68,69.395,71.05,71.050003,636422
2019-11-05,71.21,73.74,71.21,73.7,73.699997,304260
2019-11-06,73.59,74.83,73.23,73.93,73.93,397434
2019-11-07,74.7,75.135,73.03,73.36,73.360001,377645
2019-11-08,73.16,74.01,72.07,73.33,73.330002,233518
2019-11-11,72.74,74.54,72.74,74.32,74.32,320551
2019-11-12,74.3,76.32,73.6,76.16,76.160004,407493
2019-11-13,75.64,76.94,74.74,76.62,76.620003,404721
2019-11-14,76.3,78.175,76.19,77.02,77.019997,274368
2019-11-15,77.34,78.31,77.34,78.26,78.260002,186160
2019-11-18,78.1,79.31,78.1,78.31,78.309998,219472
2019-11-19,78.34,79.91,78.34,79.21,79.209999,199199
2019-11-20,78.72,79.105,77.48,78.92,78.919998,638402
2019-11-21,78.95,79.66,78.47,79.58,79.580002,335730
2019-11-22,79.93,81.12,79.58,80.75,80.75,375191
2019-11-25,81.58,84.25,80.335,84.12,84.120003,266004
2019-11-26,84.05,84.93,83.7625,84.3,84.300003,305552
2019-11-27,84.43,85.3,83.51,85.27,85.269997,218591
2019-11-29,84.91,85.27,83.25,83.76,83.760002,167694
2019-12-02,83.71,83.71,81.42,82.56,82.559998,279194
2019-12-03,81.53,82.37,81.26,81.97,81.970001,248481
2019-12-04,82.57,83.37,81.97,83.03,83.029999,233968
2019-12-05,83.31,83.675,81.72,81.82,81.82,203661
2019-12-06,82.54,83.42,82.51,83.33,83.330002,212539
2019-12-09,83.09,83.4,80.45,80.47,80.470001,290822
2019-12-10,80.41,81.615,79.745,79.99,79.989998,479844
2019-12-11,80.54,80.73,78.59,78.8,78.800003,334414
2019-12-12,78.85,79.535,75.66,76.7,76.699997,613844
2019-12-13,76.23,77.53,75.58,76.29,76.290001,677709
2019-12-16,77.03,77.03,75.92,76.23,76.230003,364514
2019-12-17,76.49,76.69,75.475,76.09,76.089996,272485
2019-12-18,76.07,76.305,75.5,75.76,75.760002,559059
2019-12-19,76.13,76.29,75.24,75.33,75.330002,409338
2019-12-20,76.21,76.35,74.19,75.06,75.059998,937194
2019-12-23,75.39,76.3,74.63,75.59,75.589996,781213
2019-12-24,75.76,75.76,75.16,75.36,75.360001,78648
2019-12-26,75.46,76.06,74.89,75.15,75.150002,209318
2019-12-27,75.05,75.92,74.99,75.4,75.400002,215773
2019-12-30,75.46,75.83,74.87,75.11,75.110001,270624
2019-12-31,74.99,75.555,74.86,75.43,75.43,199962
2020-01-02,75.68,76.07,73.18,73.92,73.919998,250627
2020-01-03,72.9,73.7,72.51,72.52,72.519997,219429
2020-01-06,72.14,73.53,71.4,73.23,73.230003,178321
2020-01-07,72.83,80.75,72.31,72.4,72.400002,296959
2020-01-08,72.52,72.72,70.52,71.91,71.910004,307556
2020-01-09,72.58,73.115,71.51,72.01,72.010002,254315
2020-01-10,72.18,73.87,72.14,72.745,72.745003,639851
2020-01-13,72.65,73.155,72.255,73.02,73.019997,320648
2020-01-14,72.68,74.81,72.45,74.37,74.370003,290570
2020-01-15,74.19,74.7153,73.45,74.08,74.080002,435232
2020-01-16,74.79,75.45,74.41,75.16,75.160004,265096
2020-01-17,75.56,75.74,73.28,73.28,73.279999,332168
2020-01-21,73.24,73.8533,72.98,73.66,73.660004,348316
2020-01-22,73.91,74.485,72.83,72.945,72.949997,167778
2020-01-23,72.63,72.93,71.57,71.66,71.660004,237575
2020-01-24,71.95,72.36,70.91,71.05,71.050003,252349
2020-01-27,69.72,70.675,69.48,69.69,69.690002,406635
2020-01-28,69.88,70.425,68.85,68.88,68.879997,207110
2020-01-29,68.9,69.02,67.26,67.29,67.290001,297959
2020-01-30,66.67,68.44,66.53,68.34,68.339996,312805
2020-01-31,68.1,68.34,67.42,67.97,67.970001,392015
2020-02-03,68.0,68.53,67.78,68.29,68.290001,318078
2020-02-04,69.14,69.96,68.51,68.57,68.57,210120
2020-02-05,69.08,70.8,69.01,70.61,70.610001,278718
2020-02-06,70.93,72.56,70.45,72.5,72.5,362867
2020-02-07,72.46,74.035,72.375,73.215,73.214996,486790
2020-02-10,73.03,73.255,70.65,71.205,71.205002,283586
2020-02-11,71.63,72.84,71.06,72.5,72.5,208962
2020-02-12,72.87,73.675,72.46,72.8,72.800003,277833
