Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,115.86,116.15,114.78,115.8,107.22,5818900
2019-05-10,115.63,116.32,114.22,116.22,107.61,3660500
2019-05-13,114.86,115.19,113.87,114.37,105.9,4284600
2019-05-14,114.73,115.53,114.53,114.94,106.43,3668400
2019-05-15,115.25,115.84,114.32,115.62,107.06,3724400
2019-05-16,114.57,117.68,114.57,116.73,108.69,3914100
2019-05-17,115.7,116.65,115.22,116.01,108.02,3109800
2019-05-20,115.87,116.3,115.0,116.23,108.22,3042800
2019-05-21,117.04,117.79,116.53,116.58,108.55,2611100
2019-05-22,116.12,118.39,116.12,117.98,109.85,3934200
2019-05-23,117.76,117.96,116.48,116.81,108.76,3653500
2019-05-24,117.53,117.55,116.45,116.79,108.75,2086400
2019-05-28,117.09,118.41,115.7,115.76,107.79,5007200
2019-05-29,115.61,115.8,114.43,115.49,107.54,5915800
2019-05-30,115.49,116.3,114.96,115.9,107.92,2392800
2019-05-31,115.34,117.58,114.99,115.94,107.95,6098400
2019-06-03,116.53,117.72,116.04,116.77,108.73,4722000
2019-06-04,118.08,118.93,117.41,117.56,109.46,3122700
2019-06-05,118.03,118.38,116.53,117.02,108.96,4175800
2019-06-06,117.52,118.94,117.27,117.5,109.41,3882800
2019-06-07,118.19,118.94,117.89,118.35,110.2,2726300
2019-06-10,116.0,116.0,113.88,113.93,106.08,8172400
2019-06-11,114.78,115.59,111.85,112.21,104.48,5681200
2019-06-12,112.5,115.5,112.5,115.24,107.3,3793800
2019-06-13,115.4,115.4,110.61,111.82,104.12,8477300
2019-06-14,112.13,112.25,111.01,111.74,104.04,3188100
2019-06-17,111.64,113.42,111.34,113.4,105.59,3032300
2019-06-18,113.65,114.83,113.22,114.65,106.75,2868700
2019-06-19,115.02,115.99,114.34,115.23,107.29,3320600
2019-06-20,116.35,117.07,115.26,115.56,107.6,2840100
2019-06-21,115.74,115.93,114.81,115.49,107.54,4024600
