Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,3.2,3.21,3.18,3.2,2.66,4008871
2019-05-08,3.18,3.2,3.16,3.19,2.65,3309254
2019-05-09,3.15,3.18,3.13,3.16,2.63,3516113
2019-05-10,3.16,3.19,3.14,3.18,2.64,3635110
2019-05-13,3.11,3.12,3.06,3.08,2.56,5455511
2019-05-14,3.1,3.13,3.09,3.11,2.59,4688242
2019-05-15,3.08,3.12,3.07,3.11,2.59,3021227
2019-05-16,3.11,3.13,3.1,3.1,2.58,2849812
2019-05-17,3.06,3.08,3.04,3.05,2.54,3670371
2019-05-20,3.01,3.02,2.99,3.0,2.49,3814855
2019-05-21,3.05,3.08,3.04,3.04,2.53,5346537
2019-05-22,2.99,3.01,2.97,2.97,2.47,4260880
2019-05-23,2.9,2.93,2.89,2.91,2.42,5125701
2019-05-24,2.95,2.97,2.93,2.96,2.46,4127938
2019-05-28,2.91,2.92,2.88,2.88,2.39,4287740
2019-05-29,2.88,2.9,2.86,2.9,2.41,4633147
2019-05-30,2.9,2.91,2.82,2.84,2.36,13554245
2019-05-31,2.85,2.87,2.83,2.84,2.36,7918919
2019-06-03,2.82,2.86,2.82,2.84,2.36,5638847
2019-06-04,2.9,2.91,2.88,2.91,2.42,3683904
2019-06-05,2.87,2.91,2.86,2.9,2.41,3990778
2019-06-06,2.89,2.9,2.85,2.89,2.4,5077724
2019-06-07,2.9,2.92,2.88,2.9,2.41,3718202
2019-06-10,2.91,2.93,2.9,2.9,2.41,3952520
2019-06-11,2.92,2.93,2.91,2.91,2.42,3176716
2019-06-12,2.92,2.93,2.87,2.88,2.39,5871503
2019-06-13,2.89,2.91,2.89,2.89,2.4,4579760
2019-06-14,2.88,2.88,2.84,2.86,2.38,4249750
2019-06-17,2.86,2.88,2.85,2.85,2.37,2640922
2019-06-18,2.85,2.89,2.85,2.87,2.39,4473404
2019-06-19,2.92,2.95,2.92,2.93,2.44,3169209
2019-06-20,2.93,2.94,2.91,2.93,2.44,2844723
2019-06-21,2.91,2.96,2.89,2.92,2.43,6975100
2019-06-24,2.88,2.9,2.86,2.87,2.39,4563285
2019-06-25,2.86,2.86,2.83,2.83,2.35,4975595
2019-06-26,2.84,2.85,2.84,2.84,2.36,7233868
2019-06-27,2.85,2.89,2.84,2.88,2.39,5821504
2019-06-28,2.85,2.87,2.84,2.84,2.36,5785220
2019-07-01,2.87,2.88,2.86,2.88,2.39,5439465
2019-07-02,2.88,2.88,2.87,2.88,2.39,2301846
2019-07-03,2.9,2.91,2.89,2.89,2.4,2108181
2019-07-05,2.9,2.91,2.86,2.89,2.4,2752079
2019-07-08,2.86,2.89,2.84,2.86,2.38,4566125
2019-07-09,2.85,2.87,2.84,2.85,2.37,3989109
2019-07-10,2.9,2.91,2.86,2.87,2.39,2796824
2019-07-11,2.89,2.89,2.86,2.88,2.39,2817889
