Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,19.07,19.07,18.71,18.79,18.13493,107619
2019-05-08,18.69,18.92,18.62,18.74,18.086674,29257
2019-05-09,18.74,19.0,18.56,18.82,18.163881,35901
2019-05-10,18.75,19.14,18.75,18.94,18.279703,48419
2019-05-13,18.75,19.0,18.46,18.88,18.221792,59204
2019-05-14,19.0,19.18,18.86,18.98,18.318306,76077
2019-05-15,18.86,18.92,18.41,18.48,17.835735,55762
2019-05-16,18.48,19.09,18.22,19.0,18.337608,53664
2019-05-17,18.94,19.13,18.66,19.04,18.376217,142614
2019-05-20,18.96,19.13,18.39,18.55,17.903294,40704
2019-05-21,18.55,18.84,18.46,18.59,17.9419,55849
2019-05-22,18.51,18.95,18.51,18.79,18.13493,193835
2019-05-23,18.74,18.776,18.43,18.43,17.787479,37362
2019-05-24,18.6,18.6,18.36,18.39,17.748875,34275
2019-05-28,18.41,18.53,18.085,18.14,17.507589,20319
2019-05-29,18.11,18.11,17.75,18.02,17.391775,40078
2019-05-30,18.01,18.5,18.01,18.5,17.85504,33234
2019-05-31,18.39,18.65,18.22,18.26,17.623405,43865
2019-06-03,18.36,18.4,18.0,18.09,17.459333,17335
2019-06-04,18.1,18.25,17.95,18.24,17.604103,30305
2019-06-05,18.18,18.37,18.18,18.29,17.652363,15785
2019-06-06,18.29,18.39,18.01,18.2,17.565498,30364
2019-06-07,18.31,18.34,18.01,18.02,17.391775,16856
2019-06-10,18.0,18.0,17.795,17.89,17.266304,27520
2019-06-11,17.99,17.99,17.77,17.9,17.275953,40496
2019-06-12,17.8,18.18,17.8,17.92,17.295259,13724
2019-06-13,18.1,18.11,17.98,18.04,17.411077,13194
2019-06-14,18.15,18.15,17.58,17.87,17.247007,17745
2019-06-17,17.9,18.05,17.87,17.91,17.285606,12885
2019-06-18,17.96,18.1,17.62,17.82,17.198746,22427
2019-06-19,17.72,18.06,17.72,17.98,17.35317,26972
2019-06-20,18.04,18.19,17.83,17.9,17.275953,14265
2019-06-21,17.94,17.94,17.67,17.75,17.131187,32877
2019-06-24,17.75,17.94,17.56,17.64,17.025019,36428
2019-06-25,17.67,17.67,17.35,17.42,16.812689,19759
2019-06-26,17.47,18.14,17.46,18.12,17.488287,106244
2019-06-27,18.11,18.25,18.0217,18.16,17.526894,15863
2019-06-28,18.14,18.21,18.01,18.08,17.449682,13263
2019-07-01,18.25,18.45,18.1,18.21,17.575148,14157
2019-07-02,18.24,18.24,17.8502,17.99,17.36282,16686
2019-07-03,18.05,18.35,18.03,18.11,17.478636,10411
2019-07-05,18.16,18.45,18.13,18.26,17.623405,146497
2019-07-08,18.19,18.55,18.19,18.35,17.710272,456757
2019-07-09,18.34,18.6127,18.32,18.55,17.903294,19695
2019-07-10,18.49,18.745,18.46,18.69,18.038418,19561
2019-07-11,18.7073,18.73,18.54,18.55,17.903294,20114
2019-07-12,18.52,18.69,18.2,18.35,17.710272,51252
2019-07-15,18.31,18.59,18.12,18.23,17.59445,25695
2019-07-16,18.18,18.302,18.0,18.05,17.420727,36123
2019-07-17,18.18,18.352,17.97,18.01,17.38212,16643
2019-07-18,18.07,18.15,17.95,18.02,17.391775,26415
2019-07-19,18.0,18.0934,17.95,18.0,17.372471,17914
2019-07-22,17.97,18.12,17.76,17.9,17.275953,30219
2019-07-23,17.83,18.13,17.6352,18.12,17.488287,29916
2019-07-24,18.07,18.17,17.91,17.95,17.324215,15240
2019-07-25,17.87,18.06,17.81,18.01,17.38212,75629
2019-07-26,18.0,18.13,18.0,18.03,17.401424,16509
2019-07-29,18.01,18.03,17.865,17.88,17.256653,43539
2019-07-30,17.81,18.19,17.81,17.98,17.35317,77876
2019-07-31,18.0,18.135,17.58,17.96,17.333864,162881
2019-08-01,18.0,18.18,17.83,18.01,17.38212,93166
