Date,Open,High,Low,Close,AdjClose,Volume
2019-05-07,247.27,247.73,242.6,245.06,238.39,4257546
2019-05-08,244.54,247.55,243.75,245.33,238.66,3050728
2019-05-09,241.89,245.53,239.96,245.31,238.64,3891243
2019-05-10,243.87,248.72,241.33,247.43,240.7,2816229
2019-05-13,241.51,243.91,240.36,241.38,234.81,4137245
2019-05-14,242.12,247.44,241.9,245.94,239.25,3862061
2019-05-15,244.33,251.04,244.21,249.15,242.37,4186938
2019-05-16,250.44,255.15,250.33,253.42,246.53,4911936
2019-05-17,251.11,254.29,250.84,252.55,245.68,3129869
2019-05-20,250.49,254.39,249.33,253.49,246.59,2951885
2019-05-21,255.0,255.95,253.79,255.36,248.41,2881574
2019-05-22,254.75,258.86,254.5,256.9,249.91,2936132
2019-05-23,254.75,255.7,248.33,249.73,242.94,5072825
2019-05-24,253.14,253.37,250.33,251.48,244.64,2710979
2019-05-28,252.66,257.76,252.65,253.43,246.54,6252091
2019-05-29,252.25,254.25,251.27,253.56,246.66,4014738
2019-05-30,254.27,256.06,252.79,254.19,247.28,2817431
2019-05-31,251.98,253.66,250.84,251.49,244.65,5041674
2019-06-03,251.8,252.98,240.25,242.26,235.67,5452117
2019-06-04,245.13,249.37,241.72,249.18,242.4,4862214
2019-06-05,251.47,256.97,250.15,256.26,249.29,4742351
2019-06-06,256.36,258.7,254.86,257.83,250.82,3443503
2019-06-07,260.0,266.87,259.62,265.8,258.57,3691876
2019-06-10,269.0,269.85,265.28,266.1,258.86,4469011
2019-06-11,267.47,267.89,259.18,263.66,256.49,3119822
2019-06-12,262.45,264.21,261.36,263.85,256.67,2295582
2019-06-13,265.0,265.23,260.25,261.2,254.09,4331030
2019-06-14,259.99,261.98,259.42,260.1,253.02,3158167
2019-06-17,261.0,261.71,258.05,259.2,252.15,3332201
2019-06-18,261.7,262.25,255.07,258.81,251.77,3921313
2019-06-19,258.83,260.62,258.3,259.87,252.8,4326451
2019-06-20,263.49,267.7,262.5,266.79,259.53,4667305
2019-06-21,265.82,268.15,264.42,264.47,257.28,4285826
2019-06-24,265.85,267.1,265.13,265.3,258.08,2538233
2019-06-25,266.04,266.31,259.12,259.73,252.66,3137962
2019-06-26,260.88,262.65,259.99,261.3,254.19,3869362
2019-06-27,262.44,263.58,260.4,261.1,254.0,2186857
2019-06-28,263.09,264.84,261.33,264.53,257.33,4400979
2019-07-01,269.99,269.99,264.87,266.77,259.51,2649210
2019-07-02,266.88,270.6,266.43,270.57,263.21,2649648
2019-07-03,271.0,273.08,270.78,273.08,265.65,1896816
2019-07-05,271.5,272.77,269.09,272.14,264.74,2561004
2019-07-08,270.1,272.07,269.46,271.23,264.17,2291791
2019-07-09,269.82,273.65,269.5,273.34,266.23,2477597
2019-07-10,274.17,277.1,274.15,275.38,268.21,2322970
2019-07-11,277.6,278.65,276.08,278.32,271.08,2583945
2019-07-12,279.24,279.74,276.26,279.54,272.27,2299980
2019-07-15,280.46,280.59,278.55,279.37,272.1,3349518
2019-07-16,279.0,280.63,275.31,276.62,269.42,2976028
2019-07-17,277.39,278.47,275.27,275.28,268.12,2319268
2019-07-18,275.0,277.25,274.74,276.78,269.58,3242092
2019-07-19,279.43,279.48,275.42,275.6,268.43,3048222
2019-07-22,276.91,279.36,276.07,278.61,271.36,2093004
2019-07-23,280.0,280.42,276.9,278.97,271.71,2275405
2019-07-24,278.17,280.3,276.38,280.25,272.96,2805211
2019-07-25,280.0,280.9,277.55,279.35,272.08,2312275
2019-07-26,280.6,282.29,280.08,282.07,274.73,2942391
2019-07-29,283.12,283.33,280.43,281.44,274.12,3677650
2019-07-30,279.34,282.37,275.45,278.16,270.92,3961013
2019-07-31,278.67,278.98,265.69,272.27,265.18,5513056
2019-08-01,273.93,279.31,271.64,274.16,267.03,4988113
2019-08-02,272.0,272.5,265.68,269.45,262.44,4438017
2019-08-05,260.0,262.65,253.9,256.84,250.16,6861319
2019-08-06,261.8,265.15,260.18,264.68,257.79,4918499
2019-08-07,263.4,270.0,260.25,269.31,262.3,4475969
2019-08-08,272.0,278.08,271.6,278.04,270.8,4135475
2019-08-09,275.51,276.9,273.08,274.95,267.8,3410530
2019-08-12,272.85,274.98,268.89,270.0,262.97,3937941
2019-08-13,269.83,275.37,268.0,274.53,267.39,3926426
2019-08-14,269.82,272.47,265.85,267.15,260.2,3750345
2019-08-15,269.28,273.15,268.09,271.89,264.81,3364264
2019-08-16,274.98,275.96,273.79,274.36,267.22,2718148
2019-08-19,277.0,278.57,275.21,278.07,270.83,2502640
2019-08-20,278.4,279.56,275.85,277.04,269.83,2583697
2019-08-21,279.64,282.1,279.29,282.01,274.67,2492795
2019-08-22,282.11,282.89,276.76,280.77,273.46,2975974
2019-08-23,280.0,282.09,270.21,271.89,264.81,4417798
2019-08-26,274.88,276.43,272.98,276.43,269.24,2185018
2019-08-27,276.74,279.09,274.91,276.64,269.44,2170169
2019-08-28,275.23,278.65,273.37,278.24,271.0,2306981
2019-08-29,281.0,281.98,278.88,281.38,274.06,2297871
2019-08-30,282.59,282.96,278.73,281.37,274.05,2601312
2019-09-03,279.99,282.84,278.5,280.11,272.82,2351054
2019-09-04,282.77,286.21,282.15,286.1,278.65,2631560
2019-09-05,290.29,293.46,289.6,292.08,284.48,3808790
2019-09-06,291.94,293.07,290.05,291.38,283.8,2783349
2019-09-09,293.49,293.69,280.1,283.36,275.99,4795917
2019-09-10,281.34,281.5,270.34,272.33,265.24,8683760
2019-09-11,274.92,276.0,269.2,269.95,262.93,6342251
2019-09-12,273.39,278.77,273.19,276.4,269.21,5497941
2019-09-13,277.99,278.15,273.04,276.32,269.13,4631135
2019-09-16,273.47,275.76,272.71,274.08,266.95,2755136
2019-09-17,274.55,278.63,273.95,276.25,269.06,2951770
2019-09-18,276.77,276.85,270.44,275.1,267.94,2983842
2019-09-19,275.96,278.15,274.85,275.91,268.73,2625815
2019-09-20,277.79,278.59,270.91,271.17,264.11,5578997
2019-09-23,270.3,273.74,270.0,273.15,266.04,3107386
2019-09-24,275.63,277.44,269.06,271.12,264.06,4124310
2019-09-25,270.25,272.99,266.61,272.75,265.65,4102721
2019-09-26,273.23,275.44,272.63,273.89,266.76,2934854
2019-09-27,275.39,275.63,267.69,269.13,262.13,3238079
2019-09-30,270.99,272.07,269.32,271.57,264.5,3262064
2019-10-01,271.49,273.65,270.04,270.94,263.89,3071049
2019-10-02,268.16,268.94,262.52,264.48,257.6,4639092
2019-10-03,264.25,268.54,260.41,268.29,261.31,3975714
2019-10-04,269.51,274.48,269.16,274.06,266.93,2689619
2019-10-07,271.31,273.5,270.41,272.19,265.11,2873784
2019-10-08,269.82,271.08,266.59,267.07,260.44,2828627
2019-10-09,269.96,273.14,269.5,272.24,265.48,2179263
2019-10-10,271.56,274.71,271.26,273.83,267.03,2227859
2019-10-11,276.2,280.0,275.12,275.91,269.06,3507559
2019-10-14,277.56,278.56,275.56,276.38,269.51,2046273
2019-10-15,277.21,279.96,275.96,278.56,271.64,3007130
2019-10-16,277.1,279.03,274.8,278.27,271.36,2730428
2019-10-17,279.35,280.44,275.93,276.51,269.64,2441017
2019-10-18,275.24,276.68,269.9,270.63,263.91,4053460
2019-10-21,271.93,274.36,269.5,274.3,267.49,3101525
2019-10-22,274.9,275.35,261.01,261.26,254.77,5646521
2019-10-23,262.68,264.19,258.51,260.85,254.37,5388707
2019-10-24,263.56,269.33,263.56,268.75,262.07,3824074
2019-10-25,266.26,272.18,265.56,270.19,263.48,2760188
2019-10-28,273.26,275.93,271.37,275.93,269.08,3796580
2019-10-29,277.6,278.29,273.08,274.29,267.48,4706662
2019-10-30,274.64,277.47,273.0,277.15,270.27,3485477
2019-10-31,276.38,279.09,275.06,276.81,269.93,5355954
2019-11-01,279.0,280.39,276.12,279.05,272.12,2880016
2019-11-04,280.64,282.24,275.81,276.33,269.47,3726638
2019-11-05,276.5,276.95,268.42,269.0,262.32,4717488
2019-11-06,270.3,271.67,268.88,269.86,263.16,3742902
2019-11-07,270.02,275.08,269.86,272.79,266.01,4278195
2019-11-08,271.7,274.95,271.7,274.89,268.06,2242442
2019-11-11,273.08,277.13,273.06,277.0,270.12,2133817
2019-11-12,277.6,279.5,275.77,277.14,270.26,2217315
2019-11-13,276.51,280.46,275.0,278.07,271.16,3332189
2019-11-14,277.45,279.63,276.7,279.63,272.68,2367842
2019-11-15,280.64,280.9,278.13,280.78,273.81,2544631
2019-11-18,280.0,281.77,278.4,280.86,273.88,2715979
2019-11-19,281.52,286.58,280.94,285.31,278.22,3013976
2019-11-20,285.0,287.73,282.86,285.38,278.29,2904240
2019-11-21,284.6,286.52,283.59,284.45,277.38,2777172
2019-11-22,284.83,285.36,281.21,282.57,275.55,2968538
2019-11-25,284.0,288.99,283.7,287.61,280.47,3760574
2019-11-26,288.5,290.65,287.82,289.38,282.19,5713033
2019-11-27,289.03,292.0,288.91,291.7,284.45,2164246
2019-11-29,290.23,293.0,290.23,292.23,284.97,1754443
2019-12-02,290.59,290.75,283.89,286.47,279.35,3067258
2019-12-03,282.2,287.6,281.5,287.09,279.96,3055880
2019-12-04,288.5,289.62,286.12,286.84,279.71,2743504
2019-12-05,287.95,290.95,286.4,289.85,282.65,2580420
2019-12-06,292.31,292.5,289.68,290.4,283.19,2425664
2019-12-09,289.19,290.96,288.26,289.06,281.88,1923545
2019-12-10,289.0,290.17,287.71,288.61,281.44,2515656
2019-12-11,289.76,290.32,288.11,290.05,282.85,2298157
2019-12-12,289.9,292.75,288.27,292.21,284.95,2747594
2019-12-13,290.79,296.53,289.8,296.09,288.74,3565551
2019-12-16,298.11,299.48,296.86,296.96,289.58,4211227
2019-12-17,298.5,298.5,293.77,296.0,288.65,3354727
2019-12-18,295.2,297.3,294.74,294.74,287.42,2903086
2019-12-19,294.49,298.18,294.11,297.53,290.14,2538119
2019-12-20,300.55,300.55,296.81,298.57,291.15,5099990
2019-12-23,298.74,299.83,297.1,297.27,289.89,3590598
2019-12-24,297.96,298.31,296.6,297.48,290.09,641086
2019-12-26,298.11,299.37,297.8,299.2,291.77,1373743
2019-12-27,300.0,301.53,298.18,300.74,293.27,2042591
2019-12-30,300.83,301.05,295.28,297.72,290.32,2717712
2019-12-31,296.1,298.93,295.77,298.59,291.17,2478645
2020-01-02,300.46,303.53,299.5,303.39,295.85,3273605
2020-01-03,299.46,302.42,298.6,300.43,292.97,2501801
2020-01-06,297.36,301.33,296.02,301.23,293.75,3308762
2020-01-07,301.74,303.38,299.88,300.21,292.75,3195519
2020-01-08,300.78,306.95,300.51,305.1,297.92,3224478
2020-01-09,308.28,310.94,308.02,309.1,301.82,3293426
2020-01-10,311.58,311.95,308.74,311.17,303.85,2948514
2020-01-13,313.26,315.64,312.9,315.21,307.79,3237191
2020-01-14,316.18,316.42,309.86,310.64,303.33,4953712
2020-01-15,312.19,315.73,311.04,314.25,306.85,4664199
2020-01-16,317.5,320.33,314.99,320.3,312.76,3323275
2020-01-17,321.43,324.03,319.24,323.66,316.04,4821044
2020-01-21,322.41,325.66,321.49,321.93,314.35,5998640
2020-01-22,324.95,326.79,324.12,324.31,316.68,3518457
2020-01-23,325.0,325.25,322.32,324.98,317.33,4188747
2020-01-24,326.57,327.09,321.66,323.67,316.05,3634672
2020-01-27,315.1,319.36,312.5,315.77,308.34,4367451
2020-01-28,315.8,321.52,315.46,320.27,312.73,3486190
2020-01-29,323.0,324.44,316.77,320.32,312.78,4390644
2020-01-30,319.0,324.7,318.01,324.46,316.82,3512068
2020-01-31,323.14,324.46,314.5,315.94,308.5,5586751
2020-02-03,318.8,325.48,318.43,324.52,316.88,4242177
2020-02-04,328.24,331.74,326.29,329.12,321.37,4158198
2020-02-05,335.0,335.0,324.17,328.32,320.59,3867960
2020-02-06,329.32,331.23,327.68,329.3,321.55,3422096
2020-02-07,328.0,329.85,325.87,327.0,319.3,2584196
2020-02-10,325.62,330.28,325.51,330.28,322.51,3848113
2020-02-11,335.0,335.52,329.66,330.92,323.13,3449498
2020-02-12,330.82,334.45,329.22,334.16,326.29,2451026
2020-02-13,332.31,337.83,332.13,335.84,327.93,3001377
2020-02-14,337.46,341.04,337.03,340.95,332.92,2716290
2020-02-18,341.62,343.1,340.39,341.24,333.21,3600200
2020-02-19,343.99,347.24,342.63,344.56,336.45,3040690
2020-02-20,345.74,347.25,338.17,344.45,336.34,4315961
2020-02-21,342.55,343.89,335.61,339.7,331.7,4998133
2020-02-24,317.51,329.34,313.84,324.67,317.03,7816032
2020-02-25,321.34,323.23,300.76,302.89,295.76,12715657
2020-02-26,302.0,307.89,297.89,298.04,291.02,9409023
2020-02-27,285.03,297.45,280.94,285.82,279.09,13814615
2020-02-28,274.89,290.39,273.55,290.25,283.42,12855517
2020-03-02,298.89,306.96,289.44,306.74,299.52,9688088
2020-03-03,314.59,314.59,290.83,292.0,285.13,8051078
2020-03-04,299.11,302.8,292.75,302.36,295.24,6463780
2020-03-05,295.71,298.71,288.24,290.73,283.89,6621335
2020-03-06,282.69,288.85,278.62,287.01,280.25,7061544
2020-03-09,265.0,279.24,261.18,262.01,255.84,8498279
2020-03-10,276.42,280.87,262.86,280.57,273.97,8131391
2020-03-11,272.95,274.04,263.31,269.76,263.41,8371628
2020-03-12,244.53,262.49,240.93,241.5,235.82,15031536
2020-03-13,258.78,270.03,245.5,270.01,263.65,9934870
2020-03-16,234.49,257.73,229.26,235.65,230.1,12111525
2020-03-17,240.48,250.5,231.96,237.88,232.28,12665205
2020-03-18,222.34,229.1,213.22,227.93,222.56,11352812
2020-03-19,224.01,238.5,211.55,227.15,221.8,9126427
2020-03-20,236.02,236.02,210.0,211.42,206.44,10518596
2020-03-23,203.28,215.68,199.99,203.3,198.51,11588737
2020-03-24,215.92,238.44,215.0,237.07,231.49,11654806
2020-03-25,247.9,266.3,240.36,256.48,250.44,12642719
2020-03-26,257.9,265.81,252.62,263.18,256.98,9961319
2020-03-27,250.24,256.07,244.7,247.65,241.82,7819276
2020-03-30,245.85,254.25,244.65,253.25,247.29,5765771
2020-03-31,252.46,253.42,241.08,241.56,235.87,10379495
2020-04-01,230.94,237.1,227.1,228.61,223.23,6646200
2020-04-02,228.39,239.37,227.35,238.88,233.26,6446637
2020-04-03,236.98,239.88,230.31,237.03,231.45,4162952
2020-04-06,252.0,267.11,250.01,265.94,259.68,8636717
2020-04-07,281.61,282.87,258.48,259.08,252.98,8635902
2020-04-08,262.51,271.88,258.91,270.95,264.98,5690080
2020-04-09,275.13,276.0,267.72,269.4,263.47,6662932
2020-04-13,268.2,268.7,255.75,263.34,257.54,7114446
2020-04-14,269.88,275.64,269.2,270.72,264.76,6354413
2020-04-15,260.51,262.95,255.62,257.14,251.48,10240696
2020-04-16,258.39,258.39,244.71,246.76,241.32,11455445
2020-04-17,258.25,260.7,251.51,259.97,254.24,10412053
2020-04-20,254.51,256.63,249.67,251.73,246.18,6042740
2020-04-21,246.65,249.39,244.1,245.35,239.95,5964645
2020-04-22,251.46,258.6,251.0,256.91,251.25,5085293
2020-04-23,259.39,262.42,255.27,255.86,250.22,4270555
2020-04-24,258.43,259.83,252.83,258.76,253.06,3824653
2020-04-27,260.22,265.72,259.51,265.12,259.28,4099856
2020-04-28,270.4,272.65,262.96,264.6,258.77,4343984
2020-04-29,278.45,285.0,276.26,283.69,277.44,8505034
2020-04-30,278.43,281.63,273.41,274.97,268.91,5898945
2020-05-01,268.7,273.99,267.21,268.74,262.82,5067781
2020-05-04,265.5,270.07,263.01,269.26,263.33,3747543
2020-05-05,276.84,277.85,273.3,273.98,267.94,3926219
2020-05-06,276.96,276.96,271.55,272.44,266.44,3261886
2020-05-07,277.81,282.45,277.24,278.47,272.34,4372140
2020-05-08,283.4,283.42,279.5,282.44,276.22,3217825
2020-05-11,279.5,282.81,277.63,281.23,275.03,4056915
2020-05-12,280.45,282.33,272.11,272.11,266.12,4031360
2020-05-13,272.3,276.07,264.19,269.16,263.23,4802058
2020-05-14,270.2,277.56,263.96,277.31,271.2,6294224
2020-05-15,276.04,279.14,273.29,278.94,272.8,3813349
2020-05-18,285.46,292.09,285.0,289.9,283.51,6042025
2020-05-19,289.17,297.82,287.49,290.73,284.33,5211843
2020-05-20,295.75,301.15,295.39,298.8,292.22,4592216
2020-05-21,299.37,299.93,292.75,294.26,287.78,3944062
2020-05-22,295.06,296.8,293.01,294.91,288.41,2896997
2020-05-26,304.62,305.0,301.94,303.33,296.65,5246877
2020-05-27,304.0,304.73,292.12,299.77,293.17,5148255
2020-05-28,300.98,310.0,298.84,302.3,295.64,4523502
2020-05-29,302.0,304.43,298.87,300.89,294.26,4932889
2020-06-01,300.8,303.06,297.9,301.4,294.76,2845182
2020-06-02,304.99,306.11,301.69,303.59,296.9,4131348
2020-06-03,305.48,308.11,302.21,307.07,300.31,3429657
2020-06-04,305.44,306.62,299.34,301.37,294.73,4147708
2020-06-05,306.81,312.18,305.65,311.88,305.01,5058183
2020-06-08,311.06,313.58,307.05,310.41,303.57,3724300
2020-06-09,309.78,313.47,308.2,311.49,304.63,3314761
2020-06-10,312.39,316.06,310.29,313.15,306.25,4088971
2020-06-11,305.01,306.49,291.06,291.25,284.83,6505272
2020-06-12,298.79,299.99,290.89,297.79,291.23,4512221
2020-06-15,290.0,298.92,288.75,297.17,290.62,5935314
2020-06-16,305.91,309.09,300.11,304.48,297.77,4018536
2020-06-17,305.0,307.48,303.08,303.76,297.07,2566402
2020-06-18,301.83,305.1,300.5,304.85,298.13,2776578
