Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,197.12,198.31,196.41,197.73,176.25,1923655
2019-05-10,197.06,200.36,197.02,199.99,178.27,2668932
2019-05-13,198.0,199.91,197.28,199.03,177.41,2809429
2019-05-14,198.83,199.61,197.64,198.01,176.5,2787732
2019-05-15,197.66,199.73,197.5,199.07,177.45,1898987
2019-05-16,199.36,200.63,198.89,199.99,178.27,2520899
2019-05-17,198.86,200.37,198.8,199.22,177.58,2239574
2019-05-20,199.22,200.68,198.28,198.99,177.37,2217366
2019-05-21,200.89,201.15,199.07,199.84,178.13,2264591
2019-05-22,199.52,200.17,198.5,199.96,178.24,1760440
2019-05-23,198.81,199.43,198.1,198.97,177.36,3560545
2019-05-24,199.87,199.9,197.33,197.77,176.29,2105755
2019-05-28,198.28,199.38,196.38,196.67,175.31,3675164
2019-05-29,195.85,196.7,194.85,196.02,174.73,2925087
2019-05-30,196.01,199.42,195.78,199.24,177.6,2685006
2019-05-31,197.41,200.03,197.25,198.27,177.77,3669172
2019-06-03,198.36,199.1,197.32,198.78,178.22,3211789
2019-06-04,199.0,200.3,198.79,199.63,178.99,3829903
2019-06-05,200.08,200.56,199.25,200.13,179.44,4294736
2019-06-06,200.12,203.38,200.03,203.05,182.05,4657847
2019-06-07,203.5,206.39,203.5,205.48,184.23,4345037
2019-06-10,206.1,206.1,199.74,201.3,180.48,4647536
2019-06-11,202.3,203.65,201.39,203.26,182.24,2991501
2019-06-12,204.49,205.49,203.7,204.93,183.74,2874338
2019-06-13,205.2,205.4,203.66,204.49,183.34,2277781
2019-06-14,204.0,205.81,203.78,205.29,184.06,2715937
2019-06-17,205.75,205.75,203.09,203.81,182.73,2694576
2019-06-18,205.0,205.4,203.92,204.51,183.36,2470933
2019-06-19,204.62,205.0,202.61,204.55,183.4,2328409
2019-06-20,205.0,205.39,204.1,205.12,183.91,2162164
2019-06-21,205.58,205.94,203.98,204.26,183.14,4267398
2019-06-24,204.75,205.25,203.63,203.92,182.83,2486835
2019-06-25,204.8,206.39,204.72,205.71,184.44,3020965
2019-06-26,205.49,205.67,204.01,204.55,183.4,2576000
2019-06-27,204.67,206.35,204.2,206.27,184.94,2253671
2019-06-28,206.9,207.99,206.32,207.66,186.19,3658196
2019-07-01,208.86,209.43,206.19,206.3,184.97,2692857
2019-07-02,206.75,209.58,206.32,209.58,187.91,3120250
2019-07-03,209.82,212.87,209.7,212.81,190.8,2306040
2019-07-05,212.3,213.01,210.25,211.24,189.4,1876180
2019-07-08,211.24,212.53,211.23,212.16,190.22,1818123
2019-07-09,211.99,212.69,211.47,212.09,190.16,1619149
2019-07-10,212.25,213.46,211.95,213.0,190.97,1842288
2019-07-11,214.47,214.8,211.61,212.69,190.7,1922802
2019-07-12,212.69,213.4,211.27,212.99,190.97,1960149
2019-07-15,213.63,214.7,212.69,214.21,192.06,2408827
2019-07-16,213.53,214.9,212.15,213.72,191.62,2380836
2019-07-17,213.98,214.9,213.36,213.71,191.61,1698600
2019-07-18,214.08,215.95,213.33,215.91,193.58,2261628
2019-07-19,215.58,216.26,213.8,213.87,191.75,2860462
2019-07-22,213.79,215.33,212.52,215.0,192.77,2580634
2019-07-23,215.74,216.25,212.64,214.31,192.15,2503582
2019-07-24,213.84,214.95,212.27,212.78,190.78,2971648
