Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,187.2,189.77,186.26,188.65,188.45,12967000
2019-05-10,188.25,190.0,184.59,188.34,188.14,12578500
2019-05-13,183.5,185.43,180.84,181.54,181.35,16833300
2019-05-14,182.52,183.49,178.1,180.73,180.54,17628100
2019-05-15,180.42,187.28,180.02,186.27,186.07,16746900
2019-05-16,185.05,188.58,185.05,186.99,186.79,12953100
2019-05-17,184.84,187.58,184.28,185.3,185.1,10485400
2019-05-20,181.88,184.23,181.37,182.72,182.53,10352000
2019-05-21,184.57,185.7,183.89,184.82,184.62,7502800
2019-05-22,184.73,186.74,183.61,185.32,185.12,9213800
2019-05-23,182.42,183.9,179.67,180.87,180.68,12768800
2019-05-24,182.33,183.63,180.83,181.06,180.87,8807700
2019-05-28,181.54,184.71,181.45,184.31,184.11,14843300
2019-05-29,183.5,184.56,181.35,182.19,182.0,12797700
2019-05-30,183.08,183.48,180.89,183.01,182.82,8581500
2019-05-31,180.28,180.54,177.16,177.47,177.28,15226500
2019-06-03,175.0,175.05,161.01,164.15,163.98,56059600
2019-06-04,163.71,168.28,160.84,167.5,167.32,46044300
2019-06-05,167.48,168.72,164.63,168.17,167.99,19758300
2019-06-06,168.3,169.7,167.23,168.33,168.15,12446400
2019-06-07,170.17,173.87,168.84,173.35,173.17,16917300
2019-06-10,174.75,177.86,173.8,174.82,174.63,14767900
2019-06-11,178.48,179.98,176.79,178.1,177.91,15266600
2019-06-12,178.38,179.27,172.88,175.04,174.85,17699800
2019-06-13,175.53,178.03,174.61,177.47,177.28,12253600
2019-06-14,180.51,181.84,180.0,181.33,181.14,16773700
2019-06-17,185.01,189.5,184.41,189.01,188.81,29459900
2019-06-18,194.0,194.53,187.28,188.47,188.27,37571400
2019-06-19,187.0,188.1,184.55,187.48,187.28,21417100
2019-06-20,190.95,191.16,187.64,189.53,189.33,14635700
2019-06-21,188.75,192.0,188.75,191.14,190.94,22751200
2019-06-24,192.42,193.98,191.57,192.6,192.4,15509000
2019-06-25,192.88,193.14,188.13,188.84,188.64,16750300
2019-06-26,189.54,190.76,187.31,187.66,187.46,12808600
2019-06-27,189.88,198.88,188.27,189.5,189.3,11159000
2019-06-28,190.55,193.2,189.94,193.0,192.8,16378900
