Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,3.75,3.77,3.75,3.77,2.46,232300
2019-05-10,3.76,3.77,3.76,3.76,2.45,209600
2019-05-13,3.76,3.77,3.76,3.77,2.46,461600
2019-05-14,3.74,3.75,3.73,3.75,2.46,166000
2019-05-15,3.74,3.76,3.74,3.75,2.46,226400
2019-05-16,3.75,3.77,3.75,3.77,2.47,214600
2019-05-17,3.76,3.77,3.76,3.76,2.47,361600
2019-05-20,3.76,3.78,3.76,3.78,2.48,604800
2019-05-21,3.78,3.78,3.75,3.77,2.47,273300
2019-05-22,3.77,3.77,3.75,3.75,2.46,215100
2019-05-23,3.74,3.76,3.74,3.76,2.47,142900
2019-05-24,3.75,3.78,3.75,3.77,2.47,166100
2019-05-28,3.76,3.77,3.75,3.75,2.46,196500
2019-05-29,3.75,3.79,3.75,3.76,2.47,547300
2019-05-30,3.76,3.78,3.76,3.76,2.47,272600
2019-05-31,3.78,3.79,3.76,3.76,2.47,260400
2019-06-03,3.76,3.78,3.76,3.77,2.47,244400
2019-06-04,3.77,3.78,3.75,3.77,2.47,463300
2019-06-05,3.77,3.79,3.77,3.78,2.48,165300
2019-06-06,3.77,3.79,3.77,3.79,2.49,191900
2019-06-07,3.79,3.8,3.77,3.8,2.49,93100
2019-06-10,3.8,3.83,3.79,3.83,2.51,178500
2019-06-11,3.83,3.83,3.8,3.81,2.5,258600
2019-06-12,3.81,3.82,3.8,3.8,2.49,137900
2019-06-13,3.8,3.83,3.79,3.79,2.49,112200
2019-06-14,3.8,3.82,3.8,3.82,2.51,71800
2019-06-17,3.82,3.83,3.81,3.82,2.51,133000
2019-06-18,3.8,3.81,3.78,3.79,2.51,146700
2019-06-19,3.79,3.82,3.77,3.81,2.52,202300
2019-06-20,3.83,3.83,3.8,3.83,2.53,132400
2019-06-21,3.83,3.83,3.79,3.8,2.51,91400
2019-06-24,3.8,3.85,3.8,3.84,2.54,213900
2019-06-25,3.82,3.86,3.82,3.82,2.53,247100
2019-06-26,3.83,3.85,3.8,3.83,2.53,193000
2019-06-27,3.83,3.83,3.79,3.82,2.53,319100
2019-06-28,3.84,3.87,3.81,3.86,2.55,263500
2019-07-01,3.85,3.88,3.85,3.87,2.56,244000
2019-07-02,3.87,3.87,3.83,3.84,2.54,153800
2019-07-03,3.85,3.85,3.83,3.85,2.55,116500
2019-07-05,3.85,3.85,3.78,3.8,2.51,220400
2019-07-08,3.78,3.82,3.78,3.79,2.51,203500
2019-07-09,3.79,3.8,3.79,3.8,2.51,132700
2019-07-10,3.8,3.83,3.8,3.8,2.51,204300
2019-07-11,3.8,3.82,3.8,3.81,2.52,185500
2019-07-12,3.82,3.83,3.81,3.82,2.53,165900
2019-07-15,3.82,3.84,3.82,3.83,2.53,179600
2019-07-16,3.81,3.82,3.77,3.81,2.54,392500
2019-07-17,3.8,3.83,3.8,3.81,2.54,274300
2019-07-18,3.81,3.84,3.81,3.82,2.55,134800
2019-07-19,3.83,3.85,3.83,3.85,2.57,191400
2019-07-22,3.85,3.86,3.84,3.86,2.57,598800
2019-07-23,3.85,3.87,3.83,3.84,2.56,163900
2019-07-24,3.84,3.87,3.83,3.84,2.56,146600
2019-07-25,3.85,3.86,3.8,3.82,2.55,297300
2019-07-26,3.81,3.82,3.78,3.79,2.53,283700
2019-07-29,3.8,3.8,3.78,3.79,2.53,314300
2019-07-30,3.79,3.8,3.78,3.79,2.53,328300
2019-07-31,3.81,3.83,3.81,3.83,2.55,339300
2019-08-01,3.83,3.83,3.8,3.81,2.54,238300
2019-08-02,3.8,3.84,3.8,3.83,2.55,209000
2019-08-05,3.83,3.85,3.8,3.84,2.56,461900
2019-08-06,3.82,3.87,3.81,3.87,2.58,248700
2019-08-07,3.86,3.87,3.79,3.83,2.55,529200
2019-08-08,3.84,3.85,3.8,3.82,2.55,331100
2019-08-09,3.82,3.83,3.81,3.83,2.55,153500
2019-08-12,3.84,3.89,3.82,3.87,2.58,394700
2019-08-13,3.85,3.85,3.8,3.82,2.57,198300
2019-08-14,3.81,3.87,3.79,3.79,2.54,262500
2019-08-15,3.81,3.83,3.79,3.8,2.55,195300
2019-08-16,3.79,3.81,3.79,3.79,2.54,361700
2019-08-19,3.8,3.84,3.8,3.8,2.55,133700
2019-08-20,3.8,3.83,3.8,3.83,2.57,236600
2019-08-21,3.83,3.86,3.83,3.84,2.58,226400
2019-08-22,3.85,3.85,3.8,3.81,2.56,161800
2019-08-23,3.82,3.82,3.79,3.8,2.55,193600
2019-08-26,3.82,3.82,3.78,3.81,2.56,340800
2019-08-27,3.82,3.83,3.81,3.82,2.57,185600
2019-08-28,3.82,3.82,3.8,3.81,2.56,198000
2019-08-29,3.81,3.81,3.8,3.8,2.55,169400
2019-08-30,3.8,3.82,3.79,3.81,2.56,187600
2019-09-03,3.82,3.83,3.81,3.83,2.57,214200
2019-09-04,3.83,3.83,3.81,3.82,2.57,237500
2019-09-05,3.82,3.82,3.79,3.8,2.55,344900
2019-09-06,3.81,3.81,3.79,3.8,2.55,131900
2019-09-09,3.8,3.82,3.78,3.8,2.55,331300
2019-09-10,3.8,3.82,3.79,3.82,2.57,217300
2019-09-11,3.82,3.83,3.82,3.83,2.57,136900
2019-09-12,3.83,3.83,3.82,3.82,2.57,95500
2019-09-13,3.81,3.83,3.8,3.8,2.55,179300
2019-09-16,3.81,3.81,3.8,3.81,2.56,209100
2019-09-17,3.79,3.8,3.78,3.79,2.56,356600
2019-09-18,3.79,3.79,3.77,3.77,2.55,226200
2019-09-19,3.78,3.79,3.77,3.79,2.56,250200
2019-09-20,3.8,3.86,3.78,3.81,2.58,208300
2019-09-23,3.8,3.83,3.8,3.82,2.58,169300
2019-09-24,3.82,3.84,3.8,3.81,2.58,224200
2019-09-25,3.83,3.83,3.81,3.83,2.59,193800
2019-09-26,3.83,3.84,3.82,3.82,2.58,114500
2019-09-27,3.81,3.84,3.81,3.84,2.6,157800
2019-09-30,3.84,3.84,3.82,3.82,2.58,178300
2019-10-01,3.81,3.83,3.81,3.81,2.58,220500
2019-10-02,3.81,3.82,3.79,3.81,2.58,198600
2019-10-03,3.81,3.83,3.8,3.8,2.57,296300
2019-10-04,3.8,3.81,3.8,3.81,2.58,240900
2019-10-07,3.81,3.83,3.79,3.79,2.56,377500
2019-10-08,3.8,3.84,3.79,3.82,2.58,476200
2019-10-09,3.82,3.83,3.8,3.8,2.57,312900
2019-10-10,3.81,3.81,3.79,3.79,2.56,288700
2019-10-11,3.79,3.8,3.77,3.78,2.56,590700
2019-10-14,3.79,3.79,3.75,3.78,2.56,604800
2019-10-15,3.75,3.77,3.73,3.74,2.55,413600
2019-10-16,3.74,3.76,3.72,3.74,2.55,414200
2019-10-17,3.74,3.75,3.73,3.75,2.56,576000
2019-10-18,3.75,3.76,3.75,3.75,2.56,382400
2019-10-21,3.76,3.76,3.74,3.74,2.55,387400
2019-10-22,3.75,3.77,3.75,3.77,2.57,258000
2019-10-23,3.77,3.77,3.75,3.77,2.57,561800
2019-10-24,3.76,3.77,3.75,3.76,2.56,185000
2019-10-25,3.76,3.76,3.74,3.76,2.56,426100
2019-10-28,3.75,3.75,3.74,3.75,2.56,213800
2019-10-29,3.75,3.76,3.74,3.74,2.55,743300
2019-10-30,3.75,3.76,3.73,3.76,2.56,488700
2019-10-31,3.77,3.78,3.75,3.77,2.57,362300
2019-11-01,3.76,3.77,3.75,3.76,2.56,366000
2019-11-04,3.76,3.77,3.74,3.76,2.56,1001100
