Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,74.07,74.86,73.65,74.69,64.12,8111623
2019-05-10,74.45,74.68,73.24,74.56,64.0,9033500
2019-05-13,73.25,73.93,73.25,73.58,63.17,9648568
2019-05-14,74.01,74.45,73.76,73.82,63.37,8119533
2019-05-15,73.3,74.26,73.23,73.95,63.48,7289724
2019-05-16,74.16,76.18,74.12,75.45,64.77,9918135
2019-05-17,74.77,75.39,74.23,75.06,64.44,8265573
2019-05-20,74.72,75.59,74.61,75.21,64.57,8287091
2019-05-21,75.4,76.02,74.88,75.81,65.08,10881529
2019-05-22,75.66,77.38,75.62,77.22,66.29,13501343
2019-05-23,76.85,77.42,76.67,77.25,66.32,9838399
2019-05-24,77.52,78.13,77.34,77.4,66.44,6075960
2019-05-28,77.6,78.13,76.5,76.53,65.7,13789464
2019-05-29,76.4,76.63,75.09,75.67,64.96,11286826
2019-05-30,75.86,76.11,75.51,75.98,65.22,7489026
2019-05-31,75.64,76.21,75.14,75.53,64.84,7147813
2019-06-03,75.95,77.15,75.82,76.53,65.7,9224566
2019-06-04,77.0,77.55,76.39,77.31,66.37,9375681
2019-06-05,77.6,78.45,77.31,77.89,66.87,9829256
2019-06-06,78.34,78.61,77.65,77.66,66.66,11402039
2019-06-07,78.02,79.03,78.02,78.63,67.5,8803645
2019-06-10,78.84,78.84,77.86,78.65,67.52,7541626
2019-06-11,79.04,79.53,78.61,79.12,67.93,7795229
2019-06-12,79.28,80.35,79.28,79.82,68.52,11065625
2019-06-13,80.15,80.27,78.69,79.05,67.86,10201250
2019-06-14,78.87,79.5,78.63,78.93,68.21,7995594
2019-06-17,78.86,79.46,78.69,79.43,68.64,6431910
2019-06-18,79.36,80.73,79.36,80.56,69.62,11433190
2019-06-19,80.33,81.58,80.3,81.39,70.34,9832438
2019-06-20,81.98,82.48,80.4,80.67,69.71,12499299
2019-06-21,80.52,80.83,79.75,80.64,69.69,15044871
2019-06-24,81.02,82.03,80.8,81.54,70.46,7897036
2019-06-25,81.57,82.25,80.87,81.28,70.24,9355492
2019-06-26,81.22,81.24,79.23,79.66,68.84,12613331
2019-06-27,79.78,80.75,79.52,79.93,69.08,11729987
2019-06-28,80.07,80.53,79.12,79.95,69.1,46718208
2019-07-01,80.41,80.98,79.99,80.81,69.84,10290920
2019-07-02,80.53,81.54,80.19,81.54,70.46,10388982
2019-07-03,82.06,83.02,81.99,82.86,71.61,6537896
2019-07-05,82.65,82.77,81.52,81.62,70.54,8773669
2019-07-08,81.06,81.53,79.62,80.13,69.25,13702896
2019-07-09,80.32,81.25,80.18,80.92,69.93,8497134
2019-07-10,80.86,81.15,80.43,80.88,69.9,6000385
2019-07-11,79.62,79.78,76.07,77.24,66.75,22161787
2019-07-12,77.09,77.14,74.98,76.02,65.7,18924350
2019-07-15,76.85,77.49,76.4,77.2,66.71,10930270
2019-07-16,77.54,77.98,77.13,77.8,67.23,8454604
2019-07-17,78.15,78.51,77.78,78.11,67.51,9856234
2019-07-18,78.58,79.1,77.81,78.85,68.14,8478783
2019-07-19,78.86,78.97,77.38,77.61,67.07,12062288
2019-07-22,77.88,78.02,77.28,77.44,66.92,7266779
2019-07-23,77.69,78.6,77.13,78.22,67.6,7425658
2019-07-24,78.19,78.48,77.35,77.95,67.37,7725686
2019-07-25,77.66,79.2,77.28,77.95,67.37,9677227
2019-07-26,77.78,77.84,77.15,77.65,67.1,7644349
2019-07-29,78.28,78.95,77.82,78.66,67.98,11131548
2019-07-30,80.09,81.21,78.97,79.4,68.62,14297060
2019-07-31,79.05,80.72,78.99,79.13,68.39,12452259
2019-08-01,79.2,80.57,78.8,79.8,68.96,10557410
2019-08-02,79.98,80.83,79.67,80.54,69.61,10921524
2019-08-05,79.95,80.42,78.34,79.26,68.49,11894002
2019-08-06,79.26,80.55,79.24,80.43,69.51,11033111
2019-08-07,80.3,80.75,78.95,80.33,69.43,11517753
2019-08-08,80.81,81.1,80.4,80.79,69.82,8706017
2019-08-09,81.14,82.1,80.77,81.55,70.47,8974547
2019-08-12,81.27,81.94,80.59,81.75,70.65,11431366
2019-08-13,81.49,82.76,81.49,82.08,70.93,8455333
2019-08-14,81.4,81.85,79.48,79.52,68.73,11419387
2019-08-15,79.64,79.95,79.04,79.58,68.77,9550376
2019-08-16,80.53,81.39,80.24,81.11,70.09,9162698
2019-08-19,81.61,82.51,81.48,82.18,71.02,7660687
2019-08-20,82.01,82.69,81.6,81.67,70.58,6180968
2019-08-21,82.28,83.2,82.13,82.87,71.62,6490633
2019-08-22,82.72,83.15,82.24,82.69,71.46,6593648
2019-08-23,82.21,82.9,80.55,80.99,69.99,10616249
2019-08-26,81.41,81.91,81.13,81.89,70.77,6046194
2019-08-27,82.4,82.88,81.48,81.55,70.47,6531738
2019-08-28,81.3,82.55,81.09,82.46,71.26,6170725
2019-08-29,83.02,83.29,82.17,82.69,71.46,6325530
2019-08-30,83.07,83.17,82.17,82.45,71.25,6799948
2019-09-03,82.23,82.97,82.04,82.62,71.4,6701154
2019-09-04,83.09,83.12,81.45,82.05,70.91,7888437
2019-09-05,82.61,82.63,81.53,82.1,70.95,7530277
2019-09-06,82.52,82.89,82.3,82.55,71.34,7052736
2019-09-09,82.48,82.5,79.07,79.59,68.78,12049280
2019-09-10,78.56,78.56,75.19,77.89,67.32,18100193
2019-09-11,78.06,79.25,77.83,79.07,68.33,10609673
2019-09-12,79.6,80.17,78.94,79.44,68.65,8422689
2019-09-13,79.11,79.69,78.3,78.77,68.53,7526761
2019-09-16,78.62,78.62,77.89,78.22,68.05,6195673
2019-09-17,78.31,79.62,78.31,78.68,68.44,7411435
2019-09-18,78.83,79.4,78.55,79.16,68.87,6981138
2019-09-19,79.16,80.38,79.03,80.07,69.65,6988517
2019-09-20,80.8,81.88,80.4,81.2,70.64,23820306
2019-09-23,80.96,81.26,80.42,80.44,69.98,9612519
2019-09-24,80.62,80.94,79.51,79.71,69.35,9426241
2019-09-25,79.59,80.12,79.09,79.24,68.93,7383473
2019-09-26,79.73,80.18,79.18,79.98,69.58,8140500
2019-09-27,79.98,80.09,78.74,79.06,68.78,7832784
2019-09-30,79.35,81.14,79.35,80.27,69.83,10011707
2019-10-01,80.27,80.67,79.66,79.72,69.36,7080549
2019-10-02,79.21,79.34,76.8,77.83,67.71,8969832
2019-10-03,78.12,79.03,77.84,78.89,68.63,5967175
2019-10-04,79.54,81.16,79.3,81.05,70.51,7595626
2019-10-07,81.08,81.15,80.05,80.47,70.0,5153369
2019-10-08,79.9,80.49,79.22,79.42,69.09,6464257
2019-10-09,80.26,80.56,79.65,80.27,69.83,4741403
2019-10-10,80.23,80.9,79.7,79.87,69.48,8837243
2019-10-11,80.38,81.47,80.34,80.42,69.96,6258318
2019-10-14,80.45,81.15,80.37,80.75,70.25,5815527
2019-10-15,80.95,81.14,80.66,81.09,70.54,5221983
2019-10-16,81.11,81.14,80.5,80.53,70.05,5727738
2019-10-17,80.5,80.72,79.84,79.91,69.51,7218888
2019-10-18,79.82,80.96,79.77,80.74,70.24,7888851
2019-10-21,81.02,81.11,80.17,80.59,70.11,5376720
2019-10-22,78.19,78.84,76.52,77.52,67.44,19111639
2019-10-23,77.51,79.02,77.39,79.02,68.74,8579588
2019-10-24,79.25,79.75,78.23,78.74,68.5,5252932
2019-10-25,78.45,79.0,78.22,78.44,68.24,7873991
2019-10-28,78.89,79.59,76.61,78.38,68.19,15568693
2019-10-29,80.14,81.78,78.86,81.14,70.59,17383277
2019-10-30,81.05,82.47,80.4,82.21,71.52,10033905
2019-10-31,82.1,82.95,81.54,82.63,71.89,12428174
2019-11-01,83.02,83.19,80.85,80.99,70.46,9287826
2019-11-04,81.61,81.72,79.98,80.0,69.6,8953512
2019-11-05,79.78,79.86,78.89,79.07,68.78,9944967
2019-11-06,79.68,80.05,79.27,79.38,69.06,9742524
2019-11-07,79.36,80.09,78.83,79.03,68.75,9257857
