Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,124.29,125.79,123.57,125.5,119.46,27235800
2019-05-10,124.91,127.93,123.82,127.13,121.01,30915100
2019-05-13,124.11,125.55,123.04,123.35,117.42,33944900
2019-05-14,123.87,125.88,123.7,124.73,118.73,25266300
2019-05-15,124.26,126.71,123.7,126.02,120.4,24722700
2019-05-16,126.75,129.38,126.46,128.93,123.18,30112200
2019-05-17,128.31,130.46,127.92,128.07,122.36,25770500
2019-05-20,126.52,127.59,125.76,126.22,120.59,23706900
2019-05-21,127.43,127.53,126.58,126.9,121.24,15293300
2019-05-22,126.62,128.24,126.52,127.67,121.98,15396500
2019-05-23,126.2,126.29,124.74,126.18,120.55,23603800
2019-05-24,126.91,127.42,125.97,126.24,120.61,14123400
2019-05-28,126.98,128.0,126.05,126.16,120.54,23128400
2019-05-29,125.38,125.39,124.04,124.94,119.37,22763100
2019-05-30,125.26,125.76,124.78,125.73,120.12,16829600
2019-05-31,124.23,124.62,123.32,123.68,118.17,26646800
2019-06-03,123.85,124.37,119.01,119.84,114.5,37983600
2019-06-04,121.28,123.28,120.65,123.16,117.67,29382600
2019-06-05,124.95,125.87,124.21,125.83,120.22,24926100
2019-06-06,126.44,127.97,125.6,127.82,122.12,21459000
2019-06-07,129.19,132.25,128.26,131.4,125.54,33885600
2019-06-10,132.4,134.08,132.0,132.6,126.69,26477100
2019-06-11,133.88,134.24,131.28,132.1,126.21,23913700
2019-06-12,131.4,131.97,130.71,131.49,125.63,17092500
2019-06-13,131.98,133.0,131.56,132.32,126.42,17200800
2019-06-14,132.26,133.79,131.64,132.45,126.54,17821700
2019-06-17,132.63,133.73,132.53,132.85,126.93,14517800
2019-06-18,134.19,135.24,133.57,135.16,129.13,25934500
2019-06-19,135.0,135.93,133.81,135.69,129.64,23744400
2019-06-20,137.45,137.66,135.72,136.95,130.84,33042600
2019-06-21,136.58,137.73,136.46,136.97,130.86,36727900
2019-06-24,137.0,138.4,137.0,137.78,131.64,20628800
2019-06-25,137.25,137.59,132.73,133.43,127.48,33327400
2019-06-26,134.35,135.74,133.6,133.93,127.96,23657700
2019-06-27,134.14,134.71,133.51,134.15,128.17,16557500
2019-06-28,134.57,134.6,133.16,133.96,127.99,30043000
2019-07-01,136.63,136.7,134.97,135.68,129.63,22613500
2019-07-02,136.12,136.59,135.34,136.58,130.49,15237800
2019-07-03,136.8,137.74,136.29,137.46,131.33,13629300
2019-07-05,135.94,137.33,135.72,137.06,130.95,18141100
2019-07-08,136.4,137.1,135.37,136.96,130.85,16779700
2019-07-09,136.0,136.97,135.8,136.46,130.38,19953100
2019-07-10,137.13,138.58,137.02,137.85,131.7,24204400
2019-07-11,138.2,139.22,137.87,138.4,132.23,22327900
2019-07-12,138.85,139.13,138.01,138.9,132.71,18936800
2019-07-15,139.44,139.54,138.46,138.9,132.71,16651500
2019-07-16,138.96,139.05,136.52,137.08,130.97,22726100
2019-07-17,137.7,137.93,136.22,136.27,130.19,20211000
2019-07-18,135.55,136.62,134.67,136.42,130.34,30381800
2019-07-19,140.22,140.67,136.45,136.62,130.53,48992400
2019-07-22,137.41,139.19,137.33,138.43,132.26,25074900
2019-07-23,139.76,139.99,138.03,139.29,133.08,18034600
2019-07-24,138.9,140.74,138.85,140.72,134.45,20738300
2019-07-25,140.43,140.61,139.32,140.19,133.94,18356900
2019-07-26,140.37,141.68,140.3,141.34,135.04,19037600
2019-07-29,141.5,141.51,139.37,141.03,134.74,16605900
2019-07-30,140.14,141.22,139.8,140.35,134.09,16846500
2019-07-31,140.33,140.49,135.08,136.27,130.19,38598800
2019-08-01,137.0,140.94,136.93,138.06,131.9,40557500
2019-08-02,138.09,138.32,135.26,136.9,130.8,30791600
