Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,4.77,4.81,4.73,4.79,4.04,1311975
2019-05-10,4.73,4.75,4.67,4.74,4.0,9426683
2019-05-13,4.66,4.67,4.59,4.62,3.9,2443438
2019-05-14,4.65,4.73,4.65,4.69,3.96,1977592
2019-05-15,4.54,4.68,4.54,4.63,3.91,1912915
2019-05-16,4.5,4.59,4.49,4.56,3.85,5011199
2019-05-17,4.57,4.64,4.57,4.57,3.85,1369070
2019-05-20,4.57,4.61,4.57,4.57,3.85,1868702
2019-05-21,4.64,4.64,4.59,4.63,3.91,1624949
2019-05-22,4.62,4.65,4.6,4.62,3.9,1663762
2019-05-23,4.59,4.6,4.55,4.56,3.85,1524725
2019-05-24,4.59,4.67,4.59,4.65,3.92,2279969
2019-05-28,4.7,4.7,4.63,4.63,3.91,2330553
2019-05-29,4.62,4.65,4.57,4.61,3.89,2407342
2019-05-30,4.6,4.64,4.56,4.58,3.86,3049323
2019-05-31,4.54,4.62,4.53,4.59,3.87,1815579
2019-06-03,4.58,4.64,4.57,4.59,3.87,1961578
2019-06-04,4.62,4.67,4.62,4.67,3.94,1015413
2019-06-05,4.69,4.7,4.63,4.65,3.92,1149848
2019-06-06,4.64,4.68,4.63,4.66,3.93,1098927
2019-06-07,4.65,4.68,4.65,4.68,3.95,701781
2019-06-10,4.68,4.7,4.64,4.7,3.96,1253111
2019-06-11,4.7,4.76,4.7,4.75,4.01,1808319
2019-06-12,4.73,4.75,4.67,4.68,3.95,1481428
2019-06-13,4.51,4.69,4.51,4.66,3.93,1799030
2019-06-14,4.68,4.68,4.58,4.61,3.89,1767185
2019-06-17,4.63,4.63,4.59,4.63,3.91,1059276
2019-06-18,4.64,4.7,4.64,4.68,3.95,2272854
2019-06-19,4.63,4.69,4.62,4.64,3.91,1021341
2019-06-20,4.67,4.7,4.64,4.69,3.96,1503212
2019-06-21,4.67,4.7,4.65,4.65,3.92,786001
2019-06-24,4.64,4.66,4.62,4.65,3.92,1081209
2019-06-25,4.65,4.7,4.64,4.66,3.93,1154974
2019-06-26,4.66,4.72,4.66,4.71,3.97,622451
2019-06-27,4.72,4.76,4.69,4.71,3.97,968809
2019-06-28,4.71,4.76,4.71,4.75,4.01,753824
2019-07-01,4.8,4.81,4.76,4.79,4.04,1236179
2019-07-02,4.79,4.81,4.77,4.78,4.03,1112478
2019-07-03,4.79,4.81,4.77,4.78,4.03,487306
2019-07-05,4.79,4.84,4.78,4.84,4.08,928767
2019-07-08,4.84,4.88,4.82,4.85,4.09,902907
2019-07-09,4.84,4.84,4.81,4.82,4.07,887971
2019-07-10,4.82,4.87,4.82,4.84,4.08,1410015
2019-07-11,4.85,4.89,4.84,4.88,4.12,1395114
2019-07-12,4.86,4.88,4.83,4.84,4.08,790177
2019-07-15,4.83,4.89,4.81,4.87,4.11,1674535
2019-07-16,4.83,4.84,4.77,4.78,4.03,1089851
2019-07-17,4.81,4.84,4.79,4.8,4.05,800650
2019-07-18,4.77,4.82,4.77,4.8,4.05,692278
2019-07-19,4.79,4.83,4.79,4.79,4.04,795949
2019-07-22,4.82,4.85,4.81,4.83,4.07,614807
2019-07-23,4.84,4.9,4.84,4.9,4.13,585601
2019-07-24,4.86,4.9,4.86,4.89,4.12,609388
2019-07-25,4.84,4.87,4.82,4.82,4.07,441836
2019-07-26,4.86,4.87,4.84,4.85,4.09,690774
2019-07-29,4.85,4.86,4.83,4.83,4.07,590154
2019-07-30,4.8,4.81,4.78,4.78,4.03,681436
2019-07-31,4.82,5.0,4.81,4.97,4.19,2629175
2019-08-01,4.93,4.98,4.88,4.92,4.15,2182477
2019-08-02,4.87,4.9,4.8,4.83,4.07,857521
2019-08-05,4.78,4.83,4.71,4.75,4.01,1603539
2019-08-06,4.83,4.84,4.72,4.83,4.07,1762902
2019-08-07,4.79,4.82,4.74,4.82,4.07,1409005
2019-08-08,4.79,4.86,4.79,4.86,4.1,1047058
2019-08-09,4.81,4.83,4.78,4.82,4.07,1184891
2019-08-12,4.79,4.81,4.75,4.77,4.02,840075
2019-08-13,4.75,4.83,4.75,4.79,4.04,1098715
2019-08-14,4.7,4.71,4.63,4.65,3.92,1163125
2019-08-15,4.66,4.71,4.66,4.69,3.96,1456201
