Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,53.82,54.04,53.61,53.93,41.62,327526
2019-05-10,54.39,54.99,54.28,54.98,42.43,421293
2019-05-13,54.77,55.28,54.76,55.27,42.66,443032
2019-05-14,55.07,55.16,54.38,54.47,42.04,667558
2019-05-15,54.25,54.5,54.07,54.14,41.79,535605
2019-05-16,52.28,52.44,51.61,51.84,40.01,828343
2019-05-17,51.9,52.33,51.9,52.22,40.3,648266
2019-05-20,52.09,52.3,51.79,51.86,40.03,333843
2019-05-21,51.76,52.23,51.66,52.16,40.26,687145
2019-05-22,51.05,51.72,51.02,51.5,39.75,564531
2019-05-23,51.0,51.32,50.88,51.26,39.56,897496
2019-05-24,51.6,51.94,51.52,51.79,39.97,472534
2019-05-28,51.58,51.77,51.24,51.3,39.59,495789
2019-05-29,51.79,51.82,51.03,51.09,39.43,637806
2019-05-30,49.24,49.3,48.84,48.95,39.32,681117
2019-05-31,49.59,50.3,49.59,50.28,40.39,779696
2019-06-03,50.43,50.64,50.19,50.6,40.65,517218
2019-06-04,50.19,50.22,49.65,50.1,40.25,585979
2019-06-05,50.4,50.97,50.33,50.76,40.78,492058
2019-06-06,51.45,51.83,51.41,51.52,41.39,1279306
2019-06-07,52.77,52.99,51.81,51.83,41.64,740862
2019-06-10,51.64,51.82,51.48,51.65,41.49,602932
2019-06-11,51.69,51.91,51.66,51.76,41.58,420466
2019-06-12,52.17,52.44,52.08,52.13,41.88,396201
2019-06-13,51.96,52.12,51.77,51.96,41.74,378203
2019-06-14,52.36,52.83,52.32,52.56,42.22,410143
2019-06-17,52.27,52.38,52.09,52.18,41.92,373133
2019-06-18,53.17,53.24,52.65,52.99,42.57,656843
2019-06-19,52.52,53.12,52.5,53.0,42.58,395202
2019-06-20,53.37,53.76,53.33,53.72,43.16,377413
2019-06-21,53.8,54.06,53.58,54.04,43.41,399897
2019-06-24,54.06,54.19,53.81,53.87,43.28,988625
2019-06-25,53.58,53.62,53.16,53.21,42.75,572464
2019-06-26,53.06,53.09,52.56,52.6,42.26,502601
2019-06-27,52.73,52.89,52.57,52.75,42.38,385277
2019-06-28,53.03,53.25,52.95,53.18,42.72,339194
2019-07-01,52.88,53.15,52.62,53.12,42.67,447009
2019-07-02,54.0,54.46,53.93,54.38,43.69,616240
2019-07-03,54.75,54.8,54.29,54.33,43.65,283815
2019-07-05,53.43,53.93,53.01,53.88,43.28,471681
2019-07-08,53.2,53.48,53.13,53.45,42.94,461009
2019-07-09,53.2,53.51,53.2,53.49,42.97,445811
2019-07-10,53.18,53.64,53.03,53.53,43.0,489738
2019-07-11,53.28,53.33,52.18,52.85,42.46,706241
2019-07-12,52.37,52.77,52.24,52.65,42.3,393301
2019-07-15,52.46,52.83,52.42,52.54,42.21,369217
2019-07-16,51.78,51.8,51.5,51.66,41.5,517231
2019-07-17,51.69,51.86,51.52,51.53,41.4,378011
2019-07-18,51.89,52.37,51.68,52.32,42.03,484045
2019-07-19,52.28,52.31,51.85,51.88,41.68,377036
