Date,Open,High,Low,Close,AdjClose,Volume
2019-05-09,82.21,83.01,81.54,82.98,78.77,6336567
2019-05-10,82.78,84.27,82.19,83.95,79.69,5450504
2019-05-13,81.65,82.63,81.32,82.53,78.35,6445267
2019-05-14,82.78,84.0,82.06,83.67,79.43,7529248
2019-05-15,83.17,84.49,82.94,84.01,79.75,4862202
2019-05-16,84.51,85.4,84.2,84.28,80.01,6745317
2019-05-17,83.51,85.52,83.5,84.57,80.28,5068366
2019-05-20,83.8,83.8,82.74,82.85,78.65,7182345
2019-05-21,83.36,83.8,82.51,83.64,79.4,5762586
2019-05-22,82.99,83.34,82.76,83.2,78.98,5237761
2019-05-23,82.5,83.06,81.99,82.64,78.45,9704192
2019-05-24,82.2,83.17,82.09,82.16,77.99,5998980
2019-05-28,82.85,83.19,81.13,81.2,77.08,7927485
2019-05-29,80.71,80.86,77.7,78.87,74.87,10116913
2019-05-30,78.92,79.73,78.61,79.26,75.24,6177832
2019-05-31,78.0,78.26,77.07,77.14,73.43,8891080
2019-06-03,77.24,78.58,77.08,77.96,74.21,11665482
2019-06-04,79.3,81.65,78.78,81.62,77.7,7526860
2019-06-05,82.29,82.9,81.93,82.72,78.74,8173198
2019-06-06,82.72,83.06,82.08,82.45,78.49,4952974
2019-06-07,83.09,83.68,82.81,83.41,79.4,3891114
2019-06-10,83.75,84.2,82.45,82.58,78.61,4419758
2019-06-11,83.65,84.34,83.13,83.26,79.26,3939370
2019-06-12,83.48,84.02,82.52,82.63,78.66,4026188
2019-06-13,83.15,83.92,83.05,83.61,79.59,3383394
2019-06-14,83.51,83.86,83.04,83.44,79.43,4355606
2019-06-17,83.34,83.46,82.01,82.11,78.16,5101891
2019-06-18,82.7,84.65,82.5,84.3,80.25,6456476
2019-06-19,83.73,83.9,83.14,83.55,79.53,6217785
2019-06-20,84.9,85.67,84.42,85.24,81.14,6163840
2019-06-21,85.16,85.75,84.6,85.75,81.63,9289833
2019-06-24,86.0,86.85,84.37,84.5,80.44,8043728
2019-06-25,84.6,84.69,82.16,82.62,78.65,7339868
2019-06-26,83.15,83.69,82.44,82.55,78.58,5838460
2019-06-27,82.93,83.77,82.93,83.66,79.64,11436707
2019-06-28,83.99,84.75,82.67,83.95,79.91,12443841
2019-07-01,84.93,86.28,84.9,85.41,81.3,6607555
2019-07-02,85.36,85.47,84.22,84.96,80.88,7189294
2019-07-03,85.33,86.29,85.12,86.2,82.06,4012837
2019-07-05,85.8,86.91,85.42,86.82,82.65,6440908
2019-07-08,86.06,88.52,85.97,88.48,84.23,7051999
2019-07-09,88.1,88.8,87.82,88.04,83.81,6219722
2019-07-10,88.48,88.94,87.39,87.44,83.24,5985455
2019-07-11,87.71,88.3,87.4,88.29,84.05,3942358
2019-07-12,88.18,89.31,88.01,89.12,84.84,4240956
2019-07-15,89.06,89.87,89.06,89.48,85.18,3751294
2019-07-16,89.5,89.71,88.57,88.6,84.34,5812813
2019-07-17,88.42,88.69,87.44,87.5,83.29,4461701
2019-07-18,87.63,87.76,86.76,87.44,83.24,4609157
2019-07-19,87.73,87.88,86.48,86.55,82.39,6635634
2019-07-22,86.56,86.99,85.83,85.97,81.84,6810325
2019-07-23,86.64,87.1,86.23,86.7,82.53,5659933
2019-07-24,86.65,87.21,86.31,86.7,82.53,6362911
2019-07-25,86.82,87.5,86.59,87.28,83.08,4546496
2019-07-26,87.44,87.84,86.77,87.54,83.33,3707249
